year, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, CMCC-ESM2
1.850000000000000000e+03, 6.535411778300359885e-10, 0.000000000000000000e+00, 3.916105062808065440e-10, 3.577942919093328263e-14, 0.000000000000000000e+00, 3.654365750705860882e-10, 1.407341408930825576e-10, 7.403251543101117872e-12
1.851000000000000000e+03, 6.154059502030756312e-10, 3.290375728127461568e-12, 4.031056578428309067e-10, 6.318526003415230184e-14, 0.000000000000000000e+00, 3.788422586977193037e-10, 1.933364273284947085e-10, 2.264329954901829696e-11
1.852000000000000000e+03, 5.847240289999668521e-10, 4.732276267116178717e-12, 4.017395997154716107e-10, 8.136241735454965286e-14, 4.451382672629508665e-13, 3.841525057726959878e-10, 2.113866836686062742e-10, 3.702550895902854797e-11
1.853000000000000000e+03, 5.849759388391330622e-10, 5.470439988521754511e-12, 4.107091106111402550e-10, 8.344111142937526561e-14, 8.873175816479108481e-13, 3.873742698072144675e-10, 2.262469382872088933e-10, 4.846301570794822903e-11
1.854000000000000000e+03, 5.811026585802865978e-10, 5.933723418434769101e-12, 4.095718026382564967e-10, 8.353581494962936865e-14, 1.333743213527641216e-12, 3.909966153194321413e-10, 2.269252170239945290e-10, 5.757004986924076001e-11
1.855000000000000000e+03, 6.329619598833390976e-10, 6.266693099423385239e-12, 4.075085904479743921e-10, 1.089156171785835355e-13, 1.774341366752045470e-12, 3.921494173845887890e-10, 2.417402530426850473e-10, 6.481142899770586431e-11
1.856000000000000000e+03, 6.634218636744812276e-10, 6.533549360343678881e-12, 4.140226580808607872e-10, 1.175323035395096730e-13, 2.215535520778696103e-12, 3.955362389705844415e-10, 2.407084423441856206e-10, 7.057239212554627400e-11
1.857000000000000000e+03, 6.256000194011275198e-10, 6.765592013210939929e-12, 4.159477255234746275e-10, 1.127993100192515706e-13, 2.656413362870048930e-12, 3.998458274292576459e-10, 2.501804524923989422e-10, 7.514385393001458798e-11
1.858000000000000000e+03, 6.273855942791906407e-10, 6.968790986178319670e-12, 4.199485215772918833e-10, 9.559725124705877831e-14, 3.099305730460869501e-12, 4.000208215457442555e-10, 2.542835375311400572e-10, 7.876217267800261650e-11
1.859000000000000000e+03, 6.597519367157001398e-10, 7.148884570017962200e-12, 4.131825606005680662e-10, 8.176548122154169071e-14, 3.543445062803656659e-12, 3.957471180655761976e-10, 2.545448808679128537e-10, 8.162423868900085582e-11
1.860000000000000000e+03, 6.565657622236999948e-10, 7.308222507650977958e-12, 4.155453750522770406e-10, 1.936737708075806497e-13, 4.003630851908310986e-12, 3.902300340094941332e-10, 2.619417238086665738e-10, 8.375013813818553336e-11
