year, NorESM2-LM, INM-CM4-8, CESM2-WACCM, UKESM1-0-LL, NorESM2-MM, CanESM5, INM-CM5-0, IPSL-CM6A-LR, GFDL-ESM4, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CMCC-ESM2, EC-Earth3-Veg, CNRM-ESM2-1
1.850000000000000000e+03, 1.647658194720309277e+00, 1.085341454041422127e+00, 1.716097746424850135e+00, 2.163088682701805432e+00, 1.520641648663529688e+00, 7.774602341244251091e-01, 1.044576469877234848e+00, 7.455181629283579303e-01, 1.974589213250129260e+00, 1.069079209602314284e+00, 1.228231462076308844e+00, 7.853544110951942159e-01, 2.589145982147198932e+00, 2.147076246581501646e+00, 1.170476453818919405e+00, 9.178208691113861617e-01
1.851000000000000000e+03, 1.677475298006956050e+00, 1.078170648458928849e+00, 1.751667782439281007e+00, 2.120845845947489039e+00, 1.508089798136027948e+00, 8.305067517571110836e-01, 1.070223477876748541e+00, 7.450108528983185874e-01, 1.908988248508412866e+00, 1.082455546916910150e+00, 1.222080746438886312e+00, 8.012437783559402948e-01, 2.455388562305868660e+00, 2.118083407280971109e+00, 1.188609750910043505e+00, 8.935865916227698769e-01
1.852000000000000000e+03, 1.676299523896735089e+00, 1.067028246474524877e+00, 1.870190642194569763e+00, 2.133709212167115066e+00, 1.525844246672067417e+00, 7.981351997404747545e-01, 1.047793769081418747e+00, 7.298146587877174518e-01, 1.945457473854439234e+00, 1.063077498277979593e+00, 1.199415436263717272e+00, 7.670955503891020433e-01, 2.487296128788076821e+00, 2.161502486078577867e+00, 1.178177140820959590e+00, 8.942698272999812792e-01
1.853000000000000000e+03, 1.725963245066839402e+00, 1.094161462587692979e+00, 1.889969573355078536e+00, 2.101120342715977696e+00, 1.555649598671521971e+00, 7.617019819001292769e-01, 1.096787076802287597e+00, 7.077844183653130283e-01, 1.904557558906519121e+00, 1.040582846870949485e+00, 1.222023894274135269e+00, 7.607299586772878763e-01, 2.514004697897624929e+00, 2.242878669916334999e+00, 1.168970054259650615e+00, 8.729523459695034404e-01
1.854000000000000000e+03, 1.624147843050355311e+00, 1.099212551304603602e+00, 1.889094470124168090e+00, 2.155447998771096607e+00, 1.519693175690208342e+00, 7.571635049082271474e-01, 1.077991319693490935e+00, 7.156997470574187892e-01, 1.816573428494987930e+00, 1.054112320257223789e+00, 1.217863875093990966e+00, 7.737918158679960579e-01, 2.517644088196807850e+00, 2.242287347079384041e+00, 1.167197381788807498e+00, 8.966173855789772995e-01
1.855000000000000000e+03, 1.604088039735397375e+00, 1.099812987545216503e+00, 1.818971736163739639e+00, 2.178949160631263204e+00, 1.524039033527922582e+00, 7.851730730823777149e-01, 1.074410951085057686e+00, 7.440969209351079305e-01, 1.905956889466429827e+00, 1.045797007817623747e+00, 1.209003777999374751e+00, 7.584207352967250459e-01, 2.536980330946030815e+00, 2.156869317294878297e+00, 1.173838765944802853e+00, 8.457210823719326642e-01
1.856000000000000000e+03, 1.678468577542181484e+00, 1.088012519461347249e+00, 1.735538952443718141e+00, 2.183020404910379408e+00, 1.560183382758157489e+00, 8.014646758032316631e-01, 1.064500518221914938e+00, 7.588856637139801409e-01, 1.996728789832936890e+00, 1.066587750143389579e+00, 1.215921640774837664e+00, 7.759012020797119158e-01, 2.478805140100884596e+00, 2.066859689775379483e+00, 1.171340312668071482e+00, 8.796116127257523898e-01
1.857000000000000000e+03, 1.705030356185927243e+00, 1.106875236822932651e+00, 1.732293331309603168e+00, 2.157297803360733734e+00, 1.588323883519911162e+00, 7.617232662409442190e-01, 1.049123064415044215e+00, 7.390674446344851489e-01, 1.941262789651363896e+00, 1.064980965191749007e+00, 1.225540079148904171e+00, 7.864004568444764587e-01, 2.503329793407667481e+00, 2.131804520933604508e+00, 1.163730270167493863e+00, 9.333456731604773404e-01
1.858000000000000000e+03, 1.673427061253881520e+00, 1.074464111526591603e+00, 1.761824487177872989e+00, 2.131640724441892232e+00, 1.564854746617006631e+00, 7.912292455446602313e-01, 1.047545766496652320e+00, 7.340962211413283312e-01, 1.883771048920829028e+00, 1.054627028000982847e+00, 1.218473114100417476e+00, 7.864752080236731002e-01, 2.491628302428827268e+00, 2.275587832142045741e+00, 1.192352363196851561e+00, 8.947491808774094002e-01
1.859000000000000000e+03, 1.666990738519813275e+00, 1.066621826848939358e+00, 1.743533363854744778e+00, 2.136580613606361645e+00, 1.492054121153226554e+00, 8.102901277123004675e-01, 1.064406817350100232e+00, 7.365330108329478653e-01, 1.931412815892905588e+00, 1.058458173953517489e+00, 1.206806674511607946e+00, 7.553946726229483488e-01, 2.540278620168845869e+00, 2.290783732165381892e+00, 1.196077214303430392e+00, 9.447658860484380305e-01
