year, ACCESS-ESM1-5, NorESM2-MM, CESM2-WACCM, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, TaiESM1, GFDL-ESM4, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, CNRM-ESM2-1, CanESM5
1.850000000000000000e+03, 3.341966018264520777e+00, 3.284424854013210382e+00, 3.871818845436464596e+00, 4.459232648389972908e+00, 4.954787305157960731e+00, 3.202977246068554162e+00, 3.971998329682286943e+00, 3.059242095387364468e+00, 3.422113532866164487e+00, 1.822891347793118344e+00, 2.086155422068896037e+00, 3.406746664150473336e+00, 2.549151432451944643e+00, 3.678294467428563141e+00
1.851000000000000000e+03, 3.355380800660134000e+00, 3.276926124783145600e+00, 3.781888122618097370e+00, 4.302207172457192641e+00, 5.167339445439569801e+00, 3.218349533845562327e+00, 4.189544890972308977e+00, 3.102159706123508442e+00, 3.351605868914247388e+00, 1.814708526260025323e+00, 2.282675802711701785e+00, 3.303635090909033512e+00, 2.546905239489584361e+00, 3.722927962448656203e+00
1.852000000000000000e+03, 3.409959145211361786e+00, 3.287113217177847879e+00, 3.711161339024475314e+00, 4.460768570268299094e+00, 5.286308556653427360e+00, 3.249174600394610479e+00, 3.917197904001155084e+00, 3.097758615190500553e+00, 3.330798606568486253e+00, 1.794122209769369203e+00, 2.264222099677053901e+00, 3.384122997940658184e+00, 2.611788858862764684e+00, 3.458017198358716016e+00
1.853000000000000000e+03, 3.434391398134266637e+00, 3.259999853154976535e+00, 3.685403856324484195e+00, 4.479360706033123307e+00, 5.172656442831990553e+00, 3.226450514902210465e+00, 4.141794857409221819e+00, 2.980365213573554772e+00, 3.313098036510681244e+00, 1.764364015261075780e+00, 1.971101504765516266e+00, 3.484260407752274524e+00, 2.417682936101113178e+00, 3.518025631203325343e+00
1.854000000000000000e+03, 3.390660875235919303e+00, 3.259528441186065884e+00, 3.676763240166317726e+00, 4.474687377393246734e+00, 5.753815006220244221e+00, 3.213657553647881304e+00, 3.999447010077527676e+00, 3.039213608095788555e+00, 3.570364777968951131e+00, 1.789478332583179121e+00, 2.184401230520025994e+00, 3.393187417284288188e+00, 2.483917063272229164e+00, 3.463272114834426763e+00
1.855000000000000000e+03, 3.394980102160880087e+00, 3.237712555902359846e+00, 3.769456475655089900e+00, 4.251327229206147251e+00, 5.373701020751687985e+00, 3.206595884290549314e+00, 4.043652419831153644e+00, 3.032042176330888683e+00, 3.336942265973650734e+00, 1.874737637000029045e+00, 2.188870166400451289e+00, 3.414011539033627862e+00, 2.429514054277374768e+00, 3.709176932986783193e+00
1.856000000000000000e+03, 3.308872045864463818e+00, 3.313777425439858870e+00, 3.582378679871472293e+00, 4.395008855832251093e+00, 5.425169517072964354e+00, 3.201766417270380582e+00, 4.047242591248948251e+00, 3.093374888947672652e+00, 3.225276097259914820e+00, 1.807800238624123201e+00, 2.243585649187159081e+00, 3.381482283186155069e+00, 2.527513463108409297e+00, 3.554911955912038124e+00
1.857000000000000000e+03, 3.418497364929652615e+00, 3.197235252966815988e+00, 3.765467970990017843e+00, 4.490178216829422198e+00, 5.326988998039411172e+00, 3.246824594770558292e+00, 3.971512603377372219e+00, 3.025910762872945803e+00, 3.492227753597342055e+00, 1.811406653156294677e+00, 2.066085621024609686e+00, 3.540863867756539385e+00, 2.629774411764828734e+00, 3.322595154262354189e+00
1.858000000000000000e+03, 3.368766988882041957e+00, 3.199575282524635966e+00, 3.694589131023632067e+00, 4.433769104984585319e+00, 4.970659288355780525e+00, 3.264322009777105293e+00, 4.056580398758595329e+00, 3.063043263312988707e+00, 3.356951559415729758e+00, 1.830767190019208623e+00, 2.234964830225131038e+00, 3.303568119814373372e+00, 2.592303422695751980e+00, 3.722516769959248073e+00
1.859000000000000000e+03, 3.344528985744910532e+00, 3.179241348837108294e+00, 3.706388679134165365e+00, 4.444222109762804074e+00, 5.451654391815520029e+00, 3.209141931167394990e+00, 4.092189731410659448e+00, 3.038407127662769103e+00, 3.308865897031798564e+00, 1.796177795116627340e+00, 2.304635947516571193e+00, 3.525990335097472617e+00, 2.602314768255725497e+00, 3.787592590722051789e+00
