year, CMCC-CM2-SR5, IPSL-CM6A-LR, CESM2-WACCM, TaiESM1, NorESM2-LM, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CanESM5
2.015000000000000000e+03, 5.184780645455960624e+00, 7.110252452136768042e+00, 3.855284829178892370e+00, 1.768856361721191206e+00, 4.010501052788932874e+00, 4.563918228649561648e+00, 2.638051569397230267e+01, 3.867168342212210952e+00, 5.237431524597088384e+00, 2.381820023103563955e+01, 2.181706777917565532e+01, 1.186970251187099912e+01, 7.679062230956136936e+00
2.016000000000000000e+03, 5.938263514871005455e+00, 7.161083380131556098e+00, 3.963740319591608330e+00, 1.884487836047401332e+00, 4.227706331410178819e+00, 4.464580435821429383e+00, 2.644117720734218224e+01, 3.800293722225467796e+00, 5.309975493616734710e+00, 2.382833627614428451e+01, 2.182219533105039844e+01, 1.196313282695764713e+01, 7.490099588904724826e+00
2.017000000000000000e+03, 5.627091098545673020e+00, 7.203039096905959227e+00, 4.093930769639595901e+00, 1.843323856448176645e+00, 4.295115235410528420e+00, 4.503785816109939333e+00, 2.644823219710557893e+01, 3.870754629163090765e+00, 5.287637160825454430e+00, 2.382560039479388081e+01, 2.185176926848642864e+01, 1.189160421727149064e+01, 7.604965460105693964e+00
2.018000000000000000e+03, 5.512180339710273103e+00, 7.213882486764781277e+00, 3.976688269002645271e+00, 1.683344478045451842e+00, 4.285629099791672836e+00, 4.571721153988652198e+00, 2.658577390274644614e+01, 3.935777232201636000e+00, 5.290268878531100505e+00, 2.383626477183972980e+01, 2.192644284001866595e+01, 1.193447024628031983e+01, 7.773731958089251215e+00
2.019000000000000000e+03, 5.447038702616153749e+00, 7.246121726817181141e+00, 3.780863711826683460e+00, 1.653901189353649270e+00, 4.243538527284697714e+00, 4.683140351575584504e+00, 2.669365598963289443e+01, 4.031121211857291442e+00, 5.310370687344257767e+00, 2.400133459045741091e+01, 2.193860619052878747e+01, 1.196973284204954524e+01, 7.781761155335523483e+00
2.020000000000000000e+03, 5.637658512725503890e+00, 7.266874020171853132e+00, 3.793103115214957910e+00, 1.702868103514736386e+00, 3.998984267460306885e+00, 4.747493965566636831e+00, 2.670155549963615726e+01, 4.137957002593918965e+00, 5.365336145909136434e+00, 2.399434006768391114e+01, 2.194535581717727268e+01, 1.187570485471760051e+01, 7.685945940059513148e+00
2.021000000000000000e+03, 5.693684502788429747e+00, 7.266594784543935148e+00, 3.858490504611666871e+00, 1.744791084911492929e+00, 3.843683667165155082e+00, 4.732876726815961277e+00, 2.676243095252860016e+01, 4.036853753984295246e+00, 5.400872425815955502e+00, 2.396323564965399555e+01, 2.193800262958494329e+01, 1.188251173524823479e+01, 7.768854150024815830e+00
2.022000000000000000e+03, 5.617423058969507110e+00, 7.256606878752079659e+00, 3.891267577049053461e+00, 2.023526383691832020e+00, 3.874289549649680087e+00, 4.773861779030825758e+00, 2.693555817810639041e+01, 3.866823067528366131e+00, 5.421108807687544662e+00, 2.406008037488094331e+01, 2.195135757934877319e+01, 1.197510577025614786e+01, 7.613317668387987958e+00
2.023000000000000000e+03, 5.213298358058398030e+00, 7.304797607410013605e+00, 3.897820599437196609e+00, 1.744753009291603929e+00, 4.004532076446974287e+00, 4.856286907146528442e+00, 2.705116629511571702e+01, 3.996382579058792128e+00, 5.408450623373382449e+00, 2.403796474809750094e+01, 2.199203692757864914e+01, 1.196659809584831891e+01, 7.745009577581936533e+00
2.024000000000000000e+03, 5.462009510098332576e+00, 7.326136400945176597e+00, 3.914474689135688745e+00, 1.720610279599614989e+00, 4.041643632991156032e+00, 4.843359702487251894e+00, 2.722926572320288230e+01, 4.037326596753470831e+00, 5.377998120706646290e+00, 2.411418509711625191e+01, 2.204553077545287110e+01, 1.197348672858530705e+01, 7.797315731479183221e+00
