year, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, CNRM-ESM2-1, UKESM1-0-LL
2.015000000000000000e+03, 1.241963039473762631e+00, 1.394595869511970232e+00, 1.576550127585041983e+00, 4.888447152529627471e-01, 1.746484721150792341e+00, 8.543692467816806080e-02, 1.261966452340361755e+00, 1.172620167820808135e-01, 1.320088415319262999e-02
2.016000000000000000e+03, 1.242614535531625153e+00, 1.385910586242128373e+00, 1.688672793007481854e+00, 4.880354066130714874e-01, 1.747102192128007214e+00, 8.151842108180601398e-02, 1.262431688306765887e+00, 1.069611493306125288e-01, 1.291747563391138984e-02
2.017000000000000000e+03, 1.241058443617871321e+00, 1.378967808537719941e+00, 1.646363519554886246e+00, 4.870394630277165571e-01, 1.748951734427929061e+00, 7.781400661393615692e-02, 1.262217358184949845e+00, 9.677459284953872365e-02, 1.263101479684418903e-02
2.018000000000000000e+03, 1.239461026856962134e+00, 1.376380898073814363e+00, 1.614346530840985672e+00, 4.860104072259431307e-01, 1.744223460178794261e+00, 7.428879491810516655e-02, 1.259017100470117390e+00, 8.470215729935204330e-02, 1.232863057974285977e-02
2.019000000000000000e+03, 1.237366172537762710e+00, 1.372648827010860551e+00, 1.587003513523840281e+00, 4.843074085746880142e-01, 1.744734677914250964e+00, 7.099170265625708021e-02, 1.253054610920427026e+00, 7.178262442210357752e-02, 1.205339402235890492e-02
2.020000000000000000e+03, 1.227663746654771293e+00, 1.365625454914850545e+00, 1.562035840810352516e+00, 4.824769847104306009e-01, 1.731632110895448662e+00, 6.783518328110842155e-02, 1.244190736902145433e+00, 6.753739777836172131e-02, 1.179943795282009308e-02
2.021000000000000000e+03, 1.220015441116832910e+00, 1.344126614687738419e+00, 1.546610056403823208e+00, 4.781902788429027162e-01, 1.717141943117703518e+00, 6.449410850063849732e-02, 1.232822664249409783e+00, 6.191539680392936507e-02, 1.151298478736880772e-02
2.022000000000000000e+03, 1.215171757261324537e+00, 1.329523262761575175e+00, 1.524167752819186816e+00, 4.736078140362450228e-01, 1.711953624599430901e+00, 6.131159101038287373e-02, 1.220443528041579739e+00, 5.667379888924766601e-02, 1.129243805414851566e-02
2.023000000000000000e+03, 1.212764059049821208e+00, 1.320423002618184682e+00, 1.510484894410830226e+00, 4.700503927921302338e-01, 1.695994109492664492e+00, 5.832105182390340953e-02, 1.207508087947627429e+00, 5.166344993435502408e-02, 1.108361364471830736e-02
2.024000000000000000e+03, 1.211969555852274949e+00, 1.304462810545429674e+00, 1.489940512543147078e+00, 4.659476815429807739e-01, 1.685426588741515630e+00, 5.549332956654670634e-02, 1.194011120449368635e+00, 4.689934871136978295e-02, 1.083196740027777411e-02
2.025000000000000000e+03, 1.211620395232235081e+00, 1.295708351909441891e+00, 1.477701316639030482e+00, 4.622444220376387691e-01, 1.677535258023854059e+00, 5.281093128395733527e-02, 1.180696029678022230e+00, 4.247731722605009586e-02, 1.063748631824504992e-02
2.026000000000000000e+03, 1.211739026753575255e+00, 1.280035796411898907e+00, 1.473224276077030437e+00, 4.592820741182085942e-01, 1.662906165090427990e+00, 5.018033854681376582e-02, 1.168030866545927360e+00, 3.948756043238160762e-02, 1.051887689236248938e-02
2.027000000000000000e+03, 1.213454886197910421e+00, 1.270975282579898336e+00, 1.453400358610578369e+00, 4.554975054025176551e-01, 1.650550071381721828e+00, 4.773356514164143333e-02, 1.155835487504778714e+00, 3.685117493822093193e-02, 1.048510515761369097e-02
2.028000000000000000e+03, 1.216690346021844560e+00, 1.259092332341558818e+00, 1.451302557614724931e+00, 4.521865908007902113e-01, 1.639020239568153015e+00, 4.544210813672903970e-02, 1.144875862140167122e+00, 3.464186665068970383e-02, 1.031622505709552280e-02
2.029000000000000000e+03, 1.218589970998024574e+00, 1.245562313543200794e+00, 1.440279382281657305e+00, 4.483429426889988800e-01, 1.626899186062294111e+00, 4.329513824370723185e-02, 1.135085812393558991e+00, 3.283405083022553766e-02, 1.013426334679176297e-02
2.030000000000000000e+03, 1.216950728121392711e+00, 1.231470802848629864e+00, 1.439123420726676983e+00, 4.447170704807709152e-01, 1.620149609444366812e+00, 4.131345951320881255e-02, 1.125384417911686974e+00, 3.198271167059757447e-02, 1.002245400622601285e-02
