year, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, CMCC-ESM2, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM
2.015000000000000000e+03, 4.698533669582181734e-11, 1.255624021788050954e-09, 2.099139953507286521e-11, 1.360564805976390179e-12, 2.425889292728728040e-10, 2.916192859629733133e-10, 4.564758138268355651e-10, 5.478045227553280831e-11, 1.087841962461699618e-10, 1.282370236646541164e-09
2.016000000000000000e+03, 4.247172283240791767e-11, 1.291295685612001764e-09, 2.562312587019978057e-11, 1.551792188218621483e-12, 2.503649628328021419e-10, 2.900349900553076519e-10, 3.165332942325200498e-10, 5.772518702295486725e-11, 1.081626948481415847e-10, 1.313024872217219646e-09
2.017000000000000000e+03, 4.084480726450162557e-11, 1.299866594760535359e-09, 2.593952724894726067e-11, 1.668890826472059829e-12, 2.485958696563996751e-10, 2.910076360864922964e-10, 2.952959422663497281e-10, 5.980936235021148688e-11, 1.080043590445897956e-10, 1.317990164593684050e-09
2.018000000000000000e+03, 3.975284904033809105e-11, 1.279481919399769916e-09, 2.611473834223366031e-11, 1.680831054194669861e-12, 2.449854371464127469e-10, 2.897250832352494191e-10, 2.802401743318542280e-10, 5.689738152446973695e-11, 1.070156127788194166e-10, 1.296873962998353066e-09
2.019000000000000000e+03, 3.902298093402609056e-11, 1.292698715243829949e-09, 2.639631331378133481e-11, 1.704812198914028118e-12, 2.410329238923875261e-10, 2.841143765175974191e-10, 2.676860805194026758e-10, 5.808523010705471258e-11, 9.273195336679052971e-11, 1.292437487921072735e-09
2.020000000000000000e+03, 3.606977038676747009e-11, 1.288253929926823988e-09, 2.435967229514962156e-11, 1.740203599957940869e-12, 2.366632184547631403e-10, 2.628127340435760134e-10, 2.460668311751975736e-10, 5.463845449055388283e-11, 6.133940045013626467e-11, 1.317663653313416186e-09
2.021000000000000000e+03, 3.399841815052052782e-11, 1.213049211538369059e-09, 1.559237654039565586e-11, 1.634924376358120066e-12, 2.236731492804445395e-10, 2.551070739512148158e-10, 2.374650783878588086e-10, 4.928220165191724261e-11, 4.705604258839740915e-11, 1.335964450986644882e-09
2.022000000000000000e+03, 3.363006621322431470e-11, 1.263518541552052328e-09, 1.538822974016942251e-11, 1.667220030837806830e-12, 2.181329191602064400e-10, 2.522118322100256279e-10, 2.266334249655295775e-10, 4.695416232458909284e-11, 4.466229364705656989e-11, 1.304093626250554304e-09
2.023000000000000000e+03, 3.227689472437970553e-11, 1.278376624657674244e-09, 1.529418752490040801e-11, 1.704890037757181317e-12, 2.126892704161717267e-10, 2.451313259522831694e-10, 2.201642655458651898e-10, 4.580384849958075645e-11, 4.108003646902088438e-11, 1.271214161439723490e-09
2.024000000000000000e+03, 3.211741448765565246e-11, 1.262770243694001888e-09, 1.468868847041571296e-11, 1.578519262038186842e-12, 2.075333596367789513e-10, 2.365246077970188719e-10, 2.147814616941176158e-10, 4.550161191883799913e-11, 3.845295554389241705e-11, 1.291380462350860042e-09
