year, IPSL-CM6A-LR, INM-CM4-8, UKESM1-0-LL, TaiESM1, NorESM2-LM, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM, NorESM2-MM, CanESM5, MPI-ESM1-2-LR, CMCC-CM2-SR5, CNRM-ESM2-1
2.015000000000000000e+03, 3.211458602674353457e+00, 6.214309128277207606e+00, 5.993200461841721172e+00, 4.462128133186068268e+00, 5.092503938071784475e+00, 4.063261949859869659e+00, 4.168808954498147479e+00, 6.198204216749368278e+00, 3.485912830091633108e+00, 5.042859814834591781e+00, 5.106836242150708749e+00, 5.247184284491957840e+00, 4.403035134709027965e+00, 5.437856734174787654e+00, 4.691602588226762016e+00, 3.731928608995675134e+00
2.016000000000000000e+03, 3.064325879909151951e+00, 5.951448281641238403e+00, 5.842516372648239198e+00, 4.295051703565269108e+00, 5.011625026310516873e+00, 3.965316437642674163e+00, 4.255411374551600900e+00, 6.118980067693292391e+00, 3.265611163863271216e+00, 4.951526333436747862e+00, 4.897576376947198717e+00, 4.933178780573402200e+00, 4.756489026485908767e+00, 5.641646228656520989e+00, 4.233670735589003975e+00, 3.740409320595064813e+00
2.017000000000000000e+03, 2.909446967593182887e+00, 6.184102364799257678e+00, 6.180268795477090293e+00, 4.523903889990817717e+00, 4.936478456118874369e+00, 4.081129781011072488e+00, 4.112514310338710288e+00, 5.861170186125014503e+00, 3.318218559947864410e+00, 4.918409780249847429e+00, 4.797386627194144104e+00, 4.998851241777673593e+00, 4.479774216926856845e+00, 5.584661338424880661e+00, 4.844184606721300135e+00, 4.039122154714565482e+00
2.018000000000000000e+03, 3.025606756122902308e+00, 6.404215360840789018e+00, 6.133882362583818804e+00, 4.556619761135280555e+00, 4.918598901014043179e+00, 4.232566819150025417e+00, 4.341576781666657503e+00, 6.129480705855533174e+00, 3.474554266408163006e+00, 4.890964414524105131e+00, 4.967325359848981492e+00, 4.782095186558123601e+00, 4.524891918448072481e+00, 5.888633822715306998e+00, 4.642086088027954638e+00, 3.664884264138171144e+00
2.019000000000000000e+03, 2.953804752496148822e+00, 6.107571800425394493e+00, 6.291325834817272700e+00, 4.536885966522031133e+00, 4.971188887095560283e+00, 4.350880714207770339e+00, 4.197098946329328228e+00, 6.024031108604656737e+00, 3.331962493016842775e+00, 4.958513444882986398e+00, 5.157182975161579641e+00, 4.717418417936407593e+00, 4.499915090585123068e+00, 5.600923263944516783e+00, 4.762391318859195088e+00, 3.527896183280956333e+00
2.020000000000000000e+03, 2.986476076442629246e+00, 6.159846061958525354e+00, 6.421025063673490685e+00, 4.667217457564261984e+00, 5.225956443838835952e+00, 4.185288869210432416e+00, 4.327193526520389355e+00, 6.026605256849922654e+00, 3.483258858201640162e+00, 4.990500320323364214e+00, 5.227866260395819253e+00, 4.697703248697465916e+00, 4.540027891963445583e+00, 5.248864589202207220e+00, 4.595083751791688265e+00, 3.838519430648893227e+00
2.021000000000000000e+03, 3.019529539323511091e+00, 6.284941715688629138e+00, 6.518825137700254402e+00, 4.500101513161500755e+00, 5.271989936250874642e+00, 4.157704248963130844e+00, 4.519771687617159195e+00, 6.089572837428444352e+00, 3.471469260593343265e+00, 5.133358377670211858e+00, 5.057957814359563820e+00, 4.955558952520751959e+00, 4.721043951129499483e+00, 5.900516298789520775e+00, 4.822328484473914045e+00, 4.164403168837789160e+00
2.022000000000000000e+03, 3.294292970924951991e+00, 6.472696332710981437e+00, 6.455819530066055911e+00, 4.277657016166432236e+00, 5.205548628997918925e+00, 4.222875956733088465e+00, 4.017787487654552514e+00, 6.157517597867555814e+00, 3.435446648913504042e+00, 5.169326147570677321e+00, 4.990946699492308625e+00, 5.090183299664139405e+00, 4.817839080068696767e+00, 5.448512838241140521e+00, 4.804024138286052015e+00, 3.842984736081307418e+00
2.023000000000000000e+03, 3.163908218498623803e+00, 6.229235848412135290e+00, 6.414340531628013764e+00, 4.838813070921498039e+00, 5.301658961556316996e+00, 4.212007141976674696e+00, 4.434210331872537658e+00, 6.180890377224823595e+00, 3.529667784341252279e+00, 5.177968753685648018e+00, 5.193247890583537085e+00, 4.886698169534843039e+00, 4.663951769632959099e+00, 5.870852001704661483e+00, 5.024584046048717667e+00, 3.888487466854294805e+00
2.024000000000000000e+03, 3.038977030347416619e+00, 6.491967642352229007e+00, 6.452712418655791815e+00, 4.822507525061159761e+00, 5.226347023172718487e+00, 4.165386602890697176e+00, 4.427018942074183450e+00, 6.319873607339332011e+00, 3.850419971915538309e+00, 5.210535631163869752e+00, 5.117857505755032399e+00, 5.043755946845601912e+00, 4.857546971775475342e+00, 6.033602083770520430e+00, 4.809633195343029577e+00, 3.674094793492085120e+00
2.025000000000000000e+03, 2.931302748944104142e+00, 6.304056698785218238e+00, 6.678851060371425064e+00, 4.486234940427918261e+00, 5.431538052589681698e+00, 4.137637150308766998e+00, 4.126310140429029438e+00, 6.201294432215707531e+00, 3.748178113025057545e+00, 5.104793241321722519e+00, 5.368886823051059132e+00, 4.678155544186252790e+00, 4.794460912552976239e+00, 5.975448409023885965e+00, 4.812352790943383418e+00, 3.895149183251478409e+00
2.026000000000000000e+03, 3.255723853741729013e+00, 6.719813717879060455e+00, 6.523773858356549660e+00, 4.418780572613840718e+00, 5.149568568501263321e+00, 4.297322463462714737e+00, 4.159423393568231653e+00, 6.411233760631883882e+00, 3.755660441473133382e+00, 5.336578310469707098e+00, 5.662429084688097802e+00, 4.822544722695814912e+00, 4.834491612086432077e+00, 5.710067165481276241e+00, 4.642241965443594687e+00, 4.004371043056699442e+00
2.027000000000000000e+03, 3.386638051726489795e+00, 6.588266170126695798e+00, 6.704687681579566849e+00, 4.824701487030366387e+00, 5.443855163542796305e+00, 4.376696065931579227e+00, 4.272641540357291490e+00, 6.028291754312959050e+00, 3.791852104284261671e+00, 5.244799406763944738e+00, 5.386718001513367327e+00, 5.095973730472112884e+00, 4.785668902973621464e+00, 6.071736769674272338e+00, 5.050954212567781987e+00, 4.051992302207758634e+00
2.028000000000000000e+03, 3.191365905926133895e+00, 6.516944320591867346e+00, 6.405332351143746550e+00, 4.686116176359107044e+00, 5.126816730688613433e+00, 4.428672955082386231e+00, 4.337578355630598459e+00, 6.232240325804305314e+00, 3.769154815127286451e+00, 5.202241895232464941e+00, 5.097748715279201370e+00, 5.111602553671580118e+00, 4.736401654085566015e+00, 6.078910871487341439e+00, 5.289332341134402427e+00, 3.922816225815293656e+00
2.029000000000000000e+03, 3.204472334225635599e+00, 6.170885027342536411e+00, 6.655709746014194295e+00, 4.905337169970173328e+00, 5.396313147557538770e+00, 4.280618593121021220e+00, 4.386575885823106979e+00, 6.427503796299026462e+00, 3.796475406054112156e+00, 5.420675380370766128e+00, 5.238194942635229445e+00, 5.177684580715353313e+00, 4.751967200212685150e+00, 6.179875732659116494e+00, 4.898916031857555531e+00, 3.733366846772920855e+00
2.030000000000000000e+03, 3.218950376994589302e+00, 6.468935105925011086e+00, 6.761575610111420609e+00, 4.588750090553744165e+00, 5.423094930428603355e+00, 4.279811337796685322e+00, 4.740088309141046174e+00, 6.203653937751450798e+00, 3.795946038048852333e+00, 5.097051995867960095e+00, 5.153602525110300370e+00, 5.021758062084131780e+00, 4.985497526271657875e+00, 5.922762917098815194e+00, 4.476923553506324538e+00, 3.681490203104849535e+00
2.031000000000000000e+03, 3.078909229897132338e+00, 6.345629106971058420e+00, 6.461727151846083927e+00, 4.656916757413561925e+00, 5.447264287116432513e+00, 4.250239448140410659e+00, 4.710210733083630252e+00, 6.407022557232841642e+00, 3.929835855974460390e+00, 5.484274164187164402e+00, 5.252781022167311242e+00, 5.015195938221056693e+00, 4.866981685660325851e+00, 6.026242156913796499e+00, 5.179707684551488889e+00, 4.148795099954032395e+00
