year, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, CESM2-WACCM, NorESM2-LM, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, INM-CM5-0, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1
2.015000000000000000e+03, 2.142147004091377926e+00, 1.807213594481679175e+00, 2.351091780725810931e+00, 2.249815810299478969e+00, 2.164427733636775653e+00, 2.403548098886416629e+00, 2.865615151452240106e+00, 2.196267036659524052e+00, 2.465419927605095207e+00, 2.011962291475349218e+00, 2.207177769963595271e+00, 3.083649780511442895e+00, 3.051991867400375202e+00, 2.725225308134011648e+00, 2.176263519891771914e+00, 2.125265197474396572e+00
2.016000000000000000e+03, 2.180055185203708223e+00, 1.797324850000647345e+00, 2.456363012596724626e+00, 2.303175918829273083e+00, 2.139737380572772185e+00, 2.455594828059796342e+00, 2.735102890336192694e+00, 2.041232117359532250e+00, 2.285067094574864566e+00, 2.012040636128840099e+00, 1.953000213903376414e+00, 2.886655899044370255e+00, 3.181936048055553190e+00, 2.553050539059088297e+00, 2.319170405350015951e+00, 2.261623133689533827e+00
2.017000000000000000e+03, 2.338769113632730878e+00, 1.905561961178251273e+00, 2.213387428892544584e+00, 2.184555254396010060e+00, 2.223938609726527016e+00, 2.611390903235885297e+00, 2.868976488593817376e+00, 2.116707070660532430e+00, 2.389639404240289977e+00, 1.940707648120113982e+00, 2.131055613352947020e+00, 3.053266860620057255e+00, 2.986375787359690559e+00, 2.748260178064216408e+00, 2.555091594252931309e+00, 2.282174911300169473e+00
2.018000000000000000e+03, 2.167255516781654734e+00, 1.838535431308571555e+00, 2.172664688673700883e+00, 2.471869330953877064e+00, 2.139274230131338328e+00, 2.445722395220705891e+00, 2.881406576962126653e+00, 1.953411298995511247e+00, 2.612961572864747062e+00, 2.115749566672947335e+00, 2.086599588179685938e+00, 3.110411059608870765e+00, 3.031419428792558435e+00, 2.845476863729926809e+00, 2.312886164235721242e+00, 2.223674236348028188e+00
2.019000000000000000e+03, 2.031602645044356059e+00, 2.004821908967850952e+00, 2.414067994323747079e+00, 2.549527922735005614e+00, 2.251560032163279157e+00, 2.510161834063845188e+00, 2.908238146188866668e+00, 2.065770270772471218e+00, 2.581403850132128142e+00, 2.051476272868080208e+00, 2.145946220106601299e+00, 3.075355625125757886e+00, 3.141592817589558884e+00, 2.749321901833265969e+00, 2.472994575580504506e+00, 2.096228897473649599e+00
2.020000000000000000e+03, 2.219399290615748033e+00, 1.882560255871172261e+00, 2.179813946813100145e+00, 2.200056184994418906e+00, 2.474232292435927238e+00, 2.468427149611947424e+00, 2.878107723770800597e+00, 1.954672844918254881e+00, 2.751638263730522560e+00, 2.114028284968592075e+00, 2.069504616011020204e+00, 3.049903559631585548e+00, 2.949509018520611647e+00, 2.877279255013470927e+00, 2.524373364397395125e+00, 2.296445121714750126e+00
2.021000000000000000e+03, 2.158518325674334548e+00, 1.973282340183223349e+00, 2.431200026937811565e+00, 2.386176776840733815e+00, 2.326411064096417736e+00, 2.523891119630723878e+00, 2.943332159575170248e+00, 2.230071084968193063e+00, 2.557344945233830380e+00, 2.316741791768957448e+00, 2.101995920336484858e+00, 3.172174850763511689e+00, 3.127358238308517890e+00, 2.951519127597332037e+00, 2.349490418552047988e+00, 2.436241486747384943e+00
2.022000000000000000e+03, 2.130385499118080617e+00, 2.097187760922199384e+00, 2.328377945117786840e+00, 2.605665483485474887e+00, 2.282989717885048009e+00, 2.774306578039356097e+00, 2.836364962162496450e+00, 2.130035816605752697e+00, 2.342996346816083264e+00, 1.999939406276144638e+00, 2.197977143508826003e+00, 3.263110495572822511e+00, 3.063494616725263242e+00, 2.684997752951105099e+00, 2.681169726355959071e+00, 2.134820825943784861e+00
2.023000000000000000e+03, 2.209843394220414314e+00, 1.987268586772624523e+00, 2.108596086286351756e+00, 2.423450961917918534e+00, 2.293748795392211104e+00, 2.749102418096002420e+00, 2.891558255631041519e+00, 2.074739698473053284e+00, 2.524724943935215293e+00, 2.122779777536960122e+00, 2.243348110255213079e+00, 3.055444721563116417e+00, 3.219595075417144070e+00, 2.773860252249065184e+00, 2.294174094124477925e+00, 2.241712848356475885e+00
2.024000000000000000e+03, 2.310635957094306470e+00, 2.007412076739264251e+00, 2.303263454055218595e+00, 2.288023725150976961e+00, 2.400765139104647172e+00, 2.784706662967405766e+00, 2.908422081965546635e+00, 2.007823130233509890e+00, 2.714591388112597592e+00, 2.096466146307678358e+00, 2.066898271628174744e+00, 3.209220600672258783e+00, 3.143616283157824487e+00, 2.734087876234254200e+00, 2.461395137688358048e+00, 2.219223331689950118e+00
2.025000000000000000e+03, 2.330539171760959594e+00, 2.010450474755707262e+00, 2.305780165392518288e+00, 2.798024975280854587e+00, 2.225804630022253150e+00, 2.661773226001660664e+00, 2.787579507557068403e+00, 2.063814310196688151e+00, 2.435823928615839407e+00, 2.056286985600924044e+00, 2.131297481028211926e+00, 3.084690855406726939e+00, 3.021297078444477702e+00, 2.657526549014407102e+00, 2.409805194653917404e+00, 2.301569364252641581e+00
2.026000000000000000e+03, 2.063923512545357664e+00, 1.987658358240856460e+00, 2.324565189513728480e+00, 2.431413306286575704e+00, 2.423981524199201765e+00, 2.425060405518673967e+00, 2.914933635692775749e+00, 2.087179588832824173e+00, 2.491523609168706077e+00, 2.074819111808350769e+00, 2.322498914173824147e+00, 3.293282470349760072e+00, 3.146030003165288580e+00, 2.983480298354728610e+00, 2.474062639678298314e+00, 2.427586886773597463e+00
2.027000000000000000e+03, 2.251128826760856239e+00, 1.913708249239943981e+00, 2.260130867671870547e+00, 2.415853707947382301e+00, 2.319791248137339501e+00, 2.669108983291262227e+00, 2.883191203594571039e+00, 2.163030876285233273e+00, 2.587827506901190233e+00, 2.058781420121986727e+00, 2.205045919853250158e+00, 3.308810368758978715e+00, 3.062842591339011378e+00, 2.630596562217367929e+00, 2.408140685423334926e+00, 2.339636069471589419e+00
2.028000000000000000e+03, 2.289543395512596557e+00, 1.915809248817047505e+00, 2.334492622640185644e+00, 2.394611243660350386e+00, 2.172872841986074555e+00, 2.876441692664560179e+00, 3.094203298527839596e+00, 2.184230852334348327e+00, 2.722195060849971870e+00, 2.083781029629620196e+00, 2.105416127336394272e+00, 3.193406990055343009e+00, 3.119388502437255628e+00, 2.777177283125368046e+00, 2.553140796546966129e+00, 2.150188693084735370e+00
2.029000000000000000e+03, 2.459804626029014507e+00, 1.886871066810099418e+00, 2.140567707179020562e+00, 2.481855650429479088e+00, 2.301482962097406215e+00, 2.699163478222580181e+00, 3.072821006146860157e+00, 2.150567141431117602e+00, 2.583631831881962437e+00, 2.098585622580023902e+00, 2.207872737762571980e+00, 2.796367794077484703e+00, 3.307847777676665046e+00, 2.696420302624249921e+00, 2.401920048462471424e+00, 2.209798614069034439e+00
