year, NorESM2-MM, GFDL-ESM4, NorESM2-LM, TaiESM1, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, CESM2-WACCM, CNRM-ESM2-1
2.015000000000000000e+03, 3.993423809700989313e+00, 1.187915275136555771e+01, 3.987591446016102381e+00, 1.736791578820825688e+00, 5.246395219163330736e+00, 7.131431535459224591e+00, 7.654889949433029805e+00, 2.185988644419930438e+01, 2.381092443838776163e+01, 4.493305133973895416e+00, 5.384399345909237411e+00, 3.855072255347936405e+00, 2.631351157351918602e+01
2.016000000000000000e+03, 3.982600646492014285e+00, 1.197419468363182737e+01, 4.074983150667231158e+00, 1.635306271768666164e+00, 5.338720810740914757e+00, 7.166661724692609425e+00, 7.594831769683048073e+00, 2.187491784784165816e+01, 2.388197064855728158e+01, 4.431623014918050885e+00, 5.998058314836265836e+00, 3.917701092312686040e+00, 2.647003433155624208e+01
2.017000000000000000e+03, 3.869208943806813572e+00, 1.188087128722457386e+01, 4.140884023498921707e+00, 1.566478089653841055e+00, 5.342731768442103402e+00, 7.162704000160957207e+00, 7.649236359373154492e+00, 2.188179575919662057e+01, 2.384766241328510716e+01, 4.435534934078885883e+00, 5.336595071845765759e+00, 3.898374060095682214e+00, 2.647397401359433999e+01
2.018000000000000000e+03, 3.790966876312905409e+00, 1.180794136939049821e+01, 4.157560500630018474e+00, 1.653796538327264809e+00, 5.361865775349191843e+00, 7.155302973764839258e+00, 7.784002215137188152e+00, 2.189375440691758001e+01, 2.386613245446823228e+01, 4.365210652687385284e+00, 5.306247296883736198e+00, 3.906949919818544004e+00, 2.665307805264415819e+01
2.019000000000000000e+03, 3.847187283030556237e+00, 1.187412455009458334e+01, 4.056282426898274451e+00, 1.792917264039859626e+00, 5.352894688874013873e+00, 7.164034198283820487e+00, 7.852184695507786749e+00, 2.193773392429417157e+01, 2.393747825176493649e+01, 4.420475741824340332e+00, 5.702322718943369395e+00, 3.963883935629428645e+00, 2.676944186774344558e+01
2.020000000000000000e+03, 3.842176621700164496e+00, 1.194097233732683350e+01, 4.018648771955338539e+00, 1.847509268405783667e+00, 5.411980056800358874e+00, 7.187998074565131290e+00, 7.784053172988111058e+00, 2.204069206373896961e+01, 2.390669442251853738e+01, 4.562269259569380786e+00, 6.121127971471809204e+00, 3.926558412342457505e+00, 2.685203400332685320e+01
2.021000000000000000e+03, 3.834426109753584111e+00, 1.193999385015075632e+01, 4.177122799045829282e+00, 1.672116999296204387e+00, 5.415085281966333319e+00, 7.179180701802539311e+00, 7.711627996398013885e+00, 2.206962330982560871e+01, 2.402215516288001140e+01, 4.696257105655859299e+00, 5.810388001179690676e+00, 3.920615998646422629e+00, 2.688365466990246588e+01
2.022000000000000000e+03, 4.074343913206127432e+00, 1.191514764376866964e+01, 4.094786045942626629e+00, 1.794958058848710181e+00, 5.412807330692841035e+00, 7.194220262152028589e+00, 7.772059635454581006e+00, 2.215286221865381577e+01, 2.406257423816326835e+01, 4.725991198999703435e+00, 5.548671424693181642e+00, 4.045185043692853810e+00, 2.698608990663450058e+01
2.023000000000000000e+03, 4.075645618519390112e+00, 1.194936703648182608e+01, 4.031340363140089700e+00, 1.740519036004773312e+00, 5.419436106194064351e+00, 7.222721441661737352e+00, 7.893612158930547018e+00, 2.228311273537402215e+01, 2.407672997128839754e+01, 4.774631933062273959e+00, 5.085749820190347492e+00, 4.106471136218984519e+00, 2.712563901991356019e+01
2.024000000000000000e+03, 3.968901579266235213e+00, 1.202630556000826090e+01, 3.941233307194125235e+00, 1.711822474493296609e+00, 5.397662865399384557e+00, 7.309942669039680929e+00, 7.590132924596035835e+00, 2.236668371842530689e+01, 2.415271125229402571e+01, 4.671185318220337557e+00, 5.351284926536099107e+00, 4.130820323041831443e+00, 2.713550955438931567e+01
