year, TaiESM1, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5
2.015000000000000000e+03, 6.823279524391678308e+01, 1.341533297114762036e+02, 1.107156462073521652e+02, 9.882543959933421718e+01, 9.422520123738051723e+01, 1.006487068491657197e+02, 5.835172598762550678e+01, 1.006629879919502031e+02, 2.022715064493664556e+02, 3.774279194520640601e+01, 1.218491629765532025e+02, 1.430434059323987412e+02, 2.742743320101923814e+02
2.016000000000000000e+03, 6.822668138539061999e+01, 1.341320415890192237e+02, 1.107429264111932810e+02, 9.906612796814340527e+01, 9.425991036515124222e+01, 1.007367475050409951e+02, 5.844083955176041911e+01, 1.007488078557201163e+02, 2.023674232271663982e+02, 3.778965768933909430e+01, 1.218109159313256100e+02, 1.431610501167266136e+02, 2.744524482818650313e+02
2.017000000000000000e+03, 6.806451917163903431e+01, 1.341063661690961339e+02, 1.107538928475702420e+02, 9.927585286761332384e+01, 9.428599072834703065e+01, 1.008273901084300945e+02, 5.842861776893452941e+01, 1.008165974059706684e+02, 2.024926386155719342e+02, 3.783089808778450447e+01, 1.217620799273006469e+02, 1.432978535900103623e+02, 2.745427613152209574e+02
2.018000000000000000e+03, 6.796090139158386023e+01, 1.340749245910325271e+02, 1.107413119980012226e+02, 9.946699454551003328e+01, 9.430749330950193610e+01, 1.009320168078953373e+02, 5.846392114260345352e+01, 1.008621224414458624e+02, 2.026040031953496907e+02, 3.785796468529972714e+01, 1.217189558388929100e+02, 1.434477171212502924e+02, 2.745585416257695215e+02
2.019000000000000000e+03, 6.804041747557523934e+01, 1.340469067748133227e+02, 1.107718582787437782e+02, 9.966752671434745992e+01, 9.431115254223735178e+01, 1.010049018755648405e+02, 5.853401630589462457e+01, 1.009157238277798569e+02, 2.025124959114278624e+02, 3.788906789441970346e+01, 1.216880189477657410e+02, 1.436090548052945621e+02, 2.746533006976865181e+02
2.020000000000000000e+03, 6.815499830471799214e+01, 1.340663292613081410e+02, 1.108161267533728989e+02, 9.984213503430711967e+01, 9.432951234160982779e+01, 1.010501150600867959e+02, 5.851343354423573118e+01, 1.009744439744917202e+02, 2.024965570546687275e+02, 3.791569183655921904e+01, 1.216603073210401647e+02, 1.437679819868376114e+02, 2.748927849479330803e+02
2.021000000000000000e+03, 6.819594868893335615e+01, 1.341253470248210533e+02, 1.108360970248793791e+02, 1.000575936092288742e+02, 9.436241081079515425e+01, 1.011386847546636432e+02, 5.864644959991469619e+01, 1.009996019811342336e+02, 2.025932957338857534e+02, 3.793454825360807803e+01, 1.216321581387789621e+02, 1.439285490482839691e+02, 2.750875059650128378e+02
2.022000000000000000e+03, 6.821816570661781043e+01, 1.341806418055718382e+02, 1.108888109179800239e+02, 1.002548456425368215e+02, 9.437602597791753567e+01, 1.012394643834283983e+02, 5.869822782170083997e+01, 1.010876042563672854e+02, 2.027971449016936276e+02, 3.797370939151742419e+01, 1.215925899431481128e+02, 1.440748451937324717e+02, 2.751906290125562577e+02
2.023000000000000000e+03, 6.829138194103269655e+01, 1.342453441648168280e+02, 1.109543591433621543e+02, 1.004585487655058387e+02, 9.438239297374018122e+01, 1.012958365113603776e+02, 5.871761616940104744e+01, 1.012303934640369647e+02, 2.029386296080203067e+02, 3.801806793580416155e+01, 1.215689649248016195e+02, 1.442425060995394688e+02, 2.751629140257761605e+02
2.024000000000000000e+03, 6.825313094854149654e+01, 1.342637444291725046e+02, 1.110463964196440969e+02, 1.006565616849094340e+02, 9.438278503308487188e+01, 1.013412366575160348e+02, 5.879012401095006624e+01, 1.013157963290932315e+02, 2.030659987140978160e+02, 3.808031159261877008e+01, 1.215665166894424090e+02, 1.443844900268626930e+02, 2.751314706687747957e+02
