year, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL
2.015000000000000000e+03, -1.433907118450253192e-09, 2.427453300390267892e-10, 1.087841962461699618e-10, 7.415581509241812923e-10
2.016000000000000000e+03, -1.452460346966466762e-09, 2.506945805284733081e-10, 1.089194354230112607e-10, 7.584721944467805978e-10
2.017000000000000000e+03, -1.420278930411683418e-09, 2.488941448335931435e-10, 1.072477861166902457e-10, 6.963880378166696637e-10
2.018000000000000000e+03, -1.430979984028636627e-09, 2.454033435734349702e-10, 1.064693874863197578e-10, 6.900597358901871166e-10
2.019000000000000000e+03, -1.407170227219426790e-09, 2.415199496422700731e-10, 9.472762860075299278e-11, 6.951318450732797301e-10
2.020000000000000000e+03, -1.325667582218872710e-09, 2.370172992624371607e-10, 6.399966582402041346e-11, 7.013390798838448334e-10
2.021000000000000000e+03, -1.424185282899127515e-09, 2.246447014733195501e-10, 5.246370435256482857e-11, 7.770914424859625552e-10
2.022000000000000000e+03, -1.431802691288856114e-09, 2.190066950756832134e-10, 5.061187265680511838e-11, 7.149483923602240765e-10
2.023000000000000000e+03, -1.518977262942841705e-09, 2.132926364604009393e-10, 4.831941383341553621e-11, 6.714814155224222916e-10
2.024000000000000000e+03, -1.472284443823577381e-09, 2.080657167541019913e-10, 4.741654278418641728e-11, 7.109705160992206656e-10
2.025000000000000000e+03, -1.458849486798920823e-09, 2.024609478623673008e-10, 4.422425850169869572e-11, 6.983119230815306907e-10
2.026000000000000000e+03, -1.438315838360597230e-09, 2.125250699729651519e-10, 4.073982962706801038e-11, 7.260865636073938997e-10
2.027000000000000000e+03, -1.488072074797881158e-09, 2.097583337903876918e-10, 3.965546850287975822e-11, 7.169987971721637918e-10
2.028000000000000000e+03, -1.433045179841722881e-09, 2.036092188668507305e-10, 3.662567166770244173e-11, 7.074090995613931288e-10
2.029000000000000000e+03, -1.532901675590543540e-09, 2.018563541778486302e-10, 3.399103637037746115e-11, 7.318892329886738896e-10
2.030000000000000000e+03, -1.424709003552399960e-09, 2.008915620659555570e-10, 3.111027598742998964e-11, 7.140926178872439721e-10
2.031000000000000000e+03, -1.441934792685610645e-09, 2.237433457407216073e-10, 2.871471210121283715e-11, 6.338277076203978394e-10
2.032000000000000000e+03, -1.445853022457138084e-09, 2.196543811670986016e-10, 2.815112778048193610e-11, 6.995699297226292728e-10
2.033000000000000000e+03, -1.508889441311312401e-09, 2.158092806446584285e-10, 2.783189567961192825e-11, 7.322908385492371648e-10
2.034000000000000000e+03, -1.397741340295084841e-09, 2.153422158896131764e-10, 2.837838409164974827e-11, 7.126646675942726958e-10
2.035000000000000000e+03, -1.339672876627587739e-09, 2.148670233324007689e-10, 2.840277261141986615e-11, 7.071954942906904423e-10
2.036000000000000000e+03, -1.381756160215852005e-09, 2.206466897593188478e-10, 2.372245429778676015e-11, 7.091343927750563564e-10
2.037000000000000000e+03, -1.363221026289061815e-09, 2.216235077595072813e-10, 2.461151436735948345e-11, 6.381572469620135046e-10
2.038000000000000000e+03, -1.425159995925299481e-09, 2.207013114082127649e-10, 2.401510732993528620e-11, 6.335712173945290026e-10
2.039000000000000000e+03, -1.452865676513636333e-09, 2.189830209726338234e-10, 2.396088828612959591e-11, 6.703402480194887595e-10
2.040000000000000000e+03, -1.358484068818817086e-09, 2.202475131002294693e-10, 2.213469905208715646e-11, 6.605915597591347371e-10
2.041000000000000000e+03, -1.436643202005186618e-09, 2.286723684462464346e-10, 1.771819664530864097e-11, 5.716177280885864615e-10
2.042000000000000000e+03, -1.405601269587631912e-09, 2.305628991844997692e-10, 1.818205421214123633e-11, 6.491033127767413218e-10
2.043000000000000000e+03, -1.423720854215186860e-09, 2.372036251296357822e-10, 1.759678040215590601e-11, 7.488853656881421156e-10
2.044000000000000000e+03, -1.328059534244525978e-09, 2.373924400112480603e-10, 1.354018431912909837e-11, 6.726364329984979619e-10
2.045000000000000000e+03, -1.333104017067331638e-09, 2.399171090675028901e-10, 1.280903831518206281e-11, 6.270295413992159931e-10
2.046000000000000000e+03, -1.346557918667687680e-09, 2.291241361613817897e-10, 1.152862724537760846e-11, 5.621181855323489361e-10
2.047000000000000000e+03, -1.377433481871771030e-09, 2.295802663134912243e-10, 1.152738719056313928e-11, 6.109057076505987454e-10
2.048000000000000000e+03, -1.330461917928781567e-09, 2.289947288230513702e-10, 1.206632505761273857e-11, 6.271883151625262281e-10
2.049000000000000000e+03, -1.250381480704789474e-09, 2.274100523906293726e-10, 9.895851184143015887e-12, 5.899281899853264888e-10
2.050000000000000000e+03, -1.360046606204566822e-09, 2.284781943593670663e-10, 6.131413145668879711e-12, 6.517155486171188600e-10
2.051000000000000000e+03, -1.301593036378343489e-09, 2.383855140387193668e-10, 8.409469844181785273e-12, 6.407993686040357146e-10
2.052000000000000000e+03, -1.302200452002145643e-09, 2.396504546667070677e-10, 7.229528899468814301e-12, 6.009984756073137544e-10
2.053000000000000000e+03, -1.300202989611702602e-09, 2.412718129004345094e-10, 6.978465242457125721e-12, 6.561978998770253548e-10
2.054000000000000000e+03, -1.336872875007015776e-09, 2.363362876456522764e-10, 6.861711942153677897e-12, 6.502026568349019003e-10
2.055000000000000000e+03, -1.313483775019724598e-09, 2.394416093652183809e-10, 6.595384908567663867e-12, 6.582617708630253318e-10
2.056000000000000000e+03, -1.305786577461050547e-09, 2.559421878642144186e-10, 6.435018589308967836e-12, 6.269857719067341323e-10
2.057000000000000000e+03, -1.337185407476896096e-09, 2.621532898090578603e-10, 6.017676412992016369e-12, 6.404560317555424489e-10
2.058000000000000000e+03, -1.282732202273609780e-09, 2.604527194182634005e-10, 6.088485263116862805e-12, 5.481316575181375266e-10
2.059000000000000000e+03, -1.297345397026523775e-09, 2.618489073349235704e-10, 5.891450889946436352e-12, 5.407529069813572342e-10
2.060000000000000000e+03, -1.251679356403430697e-09, 2.701008261352205864e-10, 6.255900314150396786e-12, 5.255713757831364499e-10
2.061000000000000000e+03, -1.261361292069894406e-09, 2.774235717638076531e-10, 6.103248315530054778e-12, 5.759680882434878614e-10
2.062000000000000000e+03, -1.249323429209847260e-09, 2.825242938277362587e-10, 5.878602518073399028e-12, 6.214216654628218050e-10
2.063000000000000000e+03, -1.230219484726964842e-09, 2.845800495183871981e-10, 6.180705851817927560e-12, 5.752735957271764494e-10
2.064000000000000000e+03, -1.213305029355248290e-09, 2.904275573743444159e-10, 5.891789823366527691e-12, 5.260468960955263587e-10
2.065000000000000000e+03, -1.204297568643870265e-09, 2.986540833666926897e-10, 5.440277733147911411e-12, 6.096010828065149377e-10
2.066000000000000000e+03, -1.248373756054682763e-09, 2.635764859744252136e-10, 5.723512991318051463e-12, 5.592409084121102281e-10
2.067000000000000000e+03, -1.256302037406222040e-09, 2.767722773029845296e-10, 5.081925424917536515e-12, 5.727054906029163870e-10
2.068000000000000000e+03, -1.199739314156343381e-09, 2.825669858365244941e-10, 5.136303051192005612e-12, 5.302279015476914158e-10
2.069000000000000000e+03, -1.216485627715996313e-09, 2.825593397187015792e-10, 5.153038958636919349e-12, 5.188909843292116318e-10
2.070000000000000000e+03, -1.284540218191811863e-09, 2.858362245050254649e-10, 5.251949347459663393e-12, 5.512394954164755901e-10
2.071000000000000000e+03, -1.137526722289527749e-09, 3.884759270437801561e-10, 5.484360024388302242e-12, 5.373271955890159372e-10
2.072000000000000000e+03, -1.222151127704389785e-09, 4.044263963989532225e-10, 5.195104523547151093e-12, 5.330285380226831433e-10
2.073000000000000000e+03, -1.220726028486404937e-09, 3.974094249703321318e-10, 5.129382840863065675e-12, 6.160873437035760086e-10
2.074000000000000000e+03, -1.168044619151073569e-09, 4.011839094552122307e-10, 5.032998658581665327e-12, 5.619384823000478406e-10
2.075000000000000000e+03, -1.143472503064329615e-09, 4.044360857833923430e-10, 5.202601068380189355e-12, 5.321797934213513747e-10
2.076000000000000000e+03, -1.167804997137560703e-09, 4.438484351901292010e-10, 6.841388281768003088e-12, 5.850541862215853861e-10
2.077000000000000000e+03, -1.239453063362627204e-09, 4.545703175538985518e-10, 6.955436065223325202e-12, 5.414277778838039828e-10
2.078000000000000000e+03, -1.246286194463894062e-09, 4.609049133913084050e-10, 7.747519153545973041e-12, 5.116503224760283324e-10
2.079000000000000000e+03, -1.172170607402671410e-09, 4.653947153243373593e-10, 7.559016963151188344e-12, 5.892640292710454851e-10
2.080000000000000000e+03, -1.234110797852012787e-09, 4.721276961074327868e-10, 8.129013431574997238e-12, 5.855820068146742008e-10
2.081000000000000000e+03, -1.176097525823995284e-09, 4.019676286586061763e-10, 8.584233596132517575e-12, 5.405986088699118297e-10
2.082000000000000000e+03, -1.137775431280361525e-09, 3.980490272955364579e-10, 8.611438799899213235e-12, 5.210082591657429054e-10
2.083000000000000000e+03, -1.160250457236656734e-09, 3.966999011036997545e-10, 8.971202849470423878e-12, 5.163775815022747672e-10
2.084000000000000000e+03, -1.175908107742671654e-09, 3.931543693040902202e-10, 9.022129475745372680e-12, 4.831399845813577748e-10
2.085000000000000000e+03, -1.094300569840750869e-09, 3.902492327972751826e-10, 9.299046724105159579e-12, 5.732499477075089938e-10
2.086000000000000000e+03, -1.215205235206026243e-09, 3.963297942902214752e-10, 1.077495833603177240e-11, 5.110698400954160951e-10
2.087000000000000000e+03, -1.148011362870796809e-09, 3.965877769070267346e-10, 1.117489180278968609e-11, 5.163246660937400094e-10
2.088000000000000000e+03, -1.186045961000889832e-09, 3.937984208378127452e-10, 1.126078074503162693e-11, 4.887650193816807378e-10
2.089000000000000000e+03, -1.162861765538327239e-09, 3.959719919792782888e-10, 1.154546201309420680e-11, 4.994775919210883359e-10
2.090000000000000000e+03, -1.152783281412654041e-09, 3.983859329877466682e-10, 1.149229364236893067e-11, 5.321047983097746355e-10
2.091000000000000000e+03, -1.247772243011260004e-09, 2.937149629187349478e-10, 2.272708589527917029e-11, 5.157045663577290411e-10
2.092000000000000000e+03, -1.196264405028376887e-09, 2.877473419500883277e-10, 2.355367002501339984e-11, 5.080708440973904673e-10
2.093000000000000000e+03, -1.068785548298405124e-09, 2.833367187656042599e-10, 2.428219599108860573e-11, 4.632095996652797342e-10
2.094000000000000000e+03, -1.237111507182747931e-09, 2.804061653422007360e-10, 2.520181374150389805e-11, 5.283588168164798551e-10
2.095000000000000000e+03, -1.193404561599693148e-09, 2.765370157211846530e-10, 2.606768876536372196e-11, 5.557008013466684428e-10
2.096000000000000000e+03, -1.197781949091741393e-09, 2.131254318538159550e-10, 4.250034579915027987e-11, 5.254669546190504757e-10
2.097000000000000000e+03, -1.193912679485916981e-09, 2.068072547014835254e-10, 4.418484260283918119e-11, 5.215796382352536119e-10
2.098000000000000000e+03, -1.205656810933770080e-09, 2.023096365763826242e-10, 4.591659675587158951e-11, 5.790954394211649085e-10
