year, TaiESM1, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1
2.015000000000000000e+03, 2.109812761234600842e-10, 1.621103557597018559e-10, 8.272029901300669953e-10, 1.963556183256855106e-10, 2.258839794543420336e-10, 2.904759979422216328e-10, 2.930553490174768181e-10, 2.109812761234600842e-10, 8.272029901300669953e-10, 1.503061885205862920e-10, 1.539812208347531935e-10, 1.621103557597018559e-10
2.016000000000000000e+03, 1.361512242491518397e-10, 2.641937821717038961e-10, 4.005754824533843539e-10, 2.259136464543367803e-10, 2.437142074339702106e-10, 5.277624088798195327e-10, 5.302401800750689118e-10, 1.361512242491518397e-10, 4.005754824533843539e-10, 3.334082345181847522e-10, 1.085215123132986613e-10, 2.641937821717038961e-10
2.017000000000000000e+03, 6.832289446818720563e-11, 2.499891331060572898e-10, 2.215512055346587009e-10, 2.494252498619796638e-10, 2.159688621120931389e-10, 2.937817345354809772e-10, 2.962315718254086138e-10, 6.832289446818720563e-11, 2.215512055346587009e-10, 3.362518444885773892e-10, 1.848118361008680901e-10, 2.499891331060572898e-10
2.018000000000000000e+03, 1.176797009945019660e-10, 2.069223193537677729e-10, 1.823454395172628748e-10, 1.584183479090698030e-10, 2.514586404866272203e-10, 3.274108123178603195e-10, 3.297125504164518115e-10, 1.176797009945019660e-10, 1.823454395172628748e-10, 1.635662434926605201e-10, 2.487530408067679059e-10, 2.069223193537677729e-10
2.019000000000000000e+03, 1.166227628785744411e-10, 2.725127614459849305e-10, 2.630806516081332913e-10, 1.883755255969680230e-10, 2.539102379160991226e-10, 3.047564581457479317e-10, 3.071247077011640711e-10, 1.166227628785744411e-10, 2.630806516081332913e-10, 1.397483487708023456e-10, 1.285902082225597512e-10, 2.725127614459849305e-10
2.020000000000000000e+03, 1.141724440386131469e-10, 3.245741826789569236e-10, 2.139316484288021832e-10, 1.831084572593737346e-10, 1.749572924243405490e-10, 2.272558665103860029e-10, 2.294757622288881795e-10, 1.141724440386131469e-10, 2.139316484288021832e-10, 1.094969259875366687e-10, 1.410763322384699874e-10, 3.245741826789569236e-10
2.021000000000000000e+03, 7.718537267345316483e-11, 2.260053407440582942e-10, 1.852130334265542288e-10, 1.548059748947134170e-10, 2.137151461542556286e-10, 3.286038791562702421e-10, 3.307423495130639113e-10, 7.718537267345316483e-11, 1.852130334265542288e-10, 1.847006783514938155e-10, 3.749959024026577416e-10, 2.260053407440582942e-10
2.022000000000000000e+03, 1.410995555043046879e-10, 2.230799618625025595e-10, 5.170544090118547839e-10, 2.184504133048807617e-10, 2.431622697997978855e-10, 3.454238778158715705e-10, 3.475473045596008150e-10, 1.410995555043046879e-10, 5.170544090118547839e-10, 2.961498906182369426e-10, 1.680958580422389116e-10, 2.230799618625025595e-10
2.023000000000000000e+03, 1.555879254028029019e-10, 2.578226617250458299e-10, 4.001748868784777166e-10, 1.687642952386249065e-10, 3.276993321046058472e-10, 3.212927217679963534e-10, 3.234035538137687240e-10, 1.555879254028029019e-10, 4.001748868784777166e-10, 4.487700383385240544e-10, 1.704034989776702445e-10, 2.578226617250458299e-10
2.024000000000000000e+03, 1.763576878327896353e-10, 2.526174191398997052e-10, 4.077671144630790286e-10, 2.184856223893773655e-10, 6.487847575443121212e-10, 6.307982328035672905e-10, 6.327812506863245197e-10, 1.763576878327896353e-10, 4.077671144630790286e-10, 2.706224081204143739e-10, 1.121906795418398395e-10, 2.526174191398997052e-10
2.025000000000000000e+03, 1.683728987627641955e-10, 2.700739710500921732e-10, 2.627332511243754744e-10, 2.034069021323970105e-10, 1.812164556678467285e-10, 3.346973530263000609e-10, 3.365889205233103033e-10, 1.683728987627641955e-10, 2.627332511243754744e-10, 2.368180751105201927e-10, 1.264907368652275401e-10, 2.700739710500921732e-10
2.026000000000000000e+03, 1.844952320788652834e-10, 2.457800951595236552e-10, 2.762813339023986936e-10, 2.192048024830538026e-10, 2.617145318743445174e-10, 4.106494189813761633e-10, 4.125497037228318068e-10, 1.844952320788652834e-10, 2.762813339023986936e-10, 3.621079421470160688e-10, 2.124664938484360029e-10, 2.457800951595236552e-10
2.027000000000000000e+03, 1.680519532040731994e-10, 3.227199590563384253e-10, 3.283740477013861283e-10, 1.810782604641137617e-10, 3.055169322504706594e-10, 3.033519865327669095e-10, 3.052850211589482621e-10, 1.680519532040731994e-10, 3.283740477013861283e-10, 5.065969647277585364e-10, 2.416786622775582856e-10, 3.227199590563384253e-10
2.028000000000000000e+03, 2.244014501039374335e-10, 2.624571098125263285e-10, 2.210686939309143675e-10, 2.116121797824158509e-10, 2.147795638788322453e-10, 4.262206909965971543e-10, 4.281616397637192326e-10, 2.244014501039374335e-10, 2.210686939309143675e-10, 4.430582469464985741e-10, 2.182803539856633109e-10, 2.624571098125263285e-10
2.029000000000000000e+03, 1.514242632759295817e-10, 3.933159662392506213e-10, 4.752068098551430066e-10, 2.103307593740022347e-10, 3.058840393911106326e-10, 3.134348431306495664e-10, 3.153318649730002777e-10, 1.514242632759295817e-10, 4.752068098551430066e-10, 1.848418881392894952e-10, 1.692635000001602112e-10, 3.933159662392506213e-10
2.030000000000000000e+03, 1.943292638623211679e-10, 3.211450074343104476e-10, 3.352496397292953263e-10, 1.556158019958626959e-10, 1.370256217956807635e-10, 4.254806915031279340e-10, 4.274337436039367532e-10, 1.943292638623211679e-10, 3.352496397292953263e-10, 1.794252320786247143e-10, 1.996291824776157846e-10, 3.211450074343104476e-10
