year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.015000000000000000e+03, 7.082984835738190257e-10, 5.387887231179832274e-10, 4.182691132191486227e-10
2.016000000000000000e+03, 6.797836430037266749e-10, 6.264232602607163058e-10, 4.407682481125593678e-10
2.017000000000000000e+03, 7.048728188743095668e-10, 5.371762724784828514e-10, 3.312763401797775724e-10
2.018000000000000000e+03, 7.109491800767755728e-10, 6.597446997624453992e-10, 3.631595704620330145e-10
2.019000000000000000e+03, 7.326211449480527807e-10, 6.130120998680528875e-10, 4.609804046368952555e-10
2.020000000000000000e+03, 7.548845727007205792e-10, 6.195626472379718622e-10, 4.153107861105691935e-10
2.021000000000000000e+03, 7.554884032432858986e-10, 5.811276775066817397e-10, 3.885037324191013052e-10
2.022000000000000000e+03, 7.281400049760134701e-10, 6.522619536245795895e-10, 4.370962082729491844e-10
2.023000000000000000e+03, 7.156153245733400485e-10, 5.731411349572051263e-10, 3.980975554876145614e-10
2.024000000000000000e+03, 7.306647590750764643e-10, 6.080516835689929917e-10, 4.429822033984306869e-10
2.025000000000000000e+03, 7.467631610636336319e-10, 5.419586165078791098e-10, 4.154192519098051628e-10
2.026000000000000000e+03, 7.393380399383587164e-10, 6.538022183755223505e-10, 4.580906034582674013e-10
2.027000000000000000e+03, 8.036496131258786537e-10, 5.683823970581235650e-10, 5.084815113104096947e-10
2.028000000000000000e+03, 7.413132736085500747e-10, 5.727226185007938189e-10, 5.185751019092346708e-10
2.029000000000000000e+03, 7.353500604286008505e-10, 6.411186963157007980e-10, 4.308837721407172215e-10
2.030000000000000000e+03, 7.660456859667804375e-10, 5.954856945686488138e-10, 4.504049724692043644e-10
2.031000000000000000e+03, 7.621154289449279872e-10, 6.257838033459488406e-10, 5.088946916827722873e-10
2.032000000000000000e+03, 7.924564212036782249e-10, 6.038652057739531386e-10, 5.145136316735962285e-10
2.033000000000000000e+03, 7.769170752011589921e-10, 5.807745352649181254e-10, 5.021341767909134302e-10
2.034000000000000000e+03, 7.813595484603412632e-10, 5.621876447790086216e-10, 4.592100725392135533e-10
2.035000000000000000e+03, 7.502602815608801571e-10, 5.948172492651380911e-10, 5.510642529591563037e-10
2.036000000000000000e+03, 7.714844762233994922e-10, 6.146453983175456782e-10, 4.834189703373091929e-10
2.037000000000000000e+03, 7.640735464552272142e-10, 6.114939824705899372e-10, 4.604021792996950117e-10
2.038000000000000000e+03, 7.735546615569924078e-10, 6.097717541821015074e-10, 4.424905316216316762e-10
2.039000000000000000e+03, 7.906166297255519020e-10, 5.805293238540815223e-10, 4.172399381801134617e-10
2.040000000000000000e+03, 7.709732333224030786e-10, 5.913737451367636959e-10, 5.187663725329740870e-10
2.041000000000000000e+03, 7.982103028562253623e-10, 6.393633854044212535e-10, 4.722670259969926720e-10
