year, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR
2.015000000000000000e+03, 2.431702362679405566e-10, 1.192458560630377627e-09, 1.019747876083287377e-09, 9.383708669776437403e-11, 9.790333820489919741e-11, 1.246346066088833856e-09, 1.416693365331859509e-12, 7.256410513292791536e-10
2.016000000000000000e+03, 2.424218990231997980e-10, 1.172391771653618156e-09, 1.006119792957979188e-09, 9.284278792595338267e-11, 2.011682168484013554e-10, 1.265749822247952156e-09, 2.031531846602805763e-12, 7.243940799461895184e-10
2.017000000000000000e+03, 2.418844399436350600e-10, 1.164377344526101120e-09, 1.003417970412074176e-09, 9.141558505148528216e-11, 1.484718389864855884e-10, 1.234406071728012713e-09, 2.370308309999111971e-12, 7.254656596146204611e-10
2.018000000000000000e+03, 2.412987079887639795e-10, 1.152429261296543501e-09, 1.004479269647320466e-09, 9.064475108680468814e-11, 1.155404120987579475e-10, 1.246166853294797566e-09, 2.334150682104205240e-12, 7.255700118453463210e-10
2.019000000000000000e+03, 2.404670947261572387e-10, 1.151757471833330706e-09, 1.007221564495022371e-09, 7.647126455984069960e-11, 1.128678334240286566e-10, 1.223520965820212430e-09, 2.280832981976426531e-12, 7.231008155726649201e-10
2.020000000000000000e+03, 2.395365375143044493e-10, 1.204193351443430570e-09, 1.011854186085776613e-09, 4.518143405330021637e-11, 9.808058129406885170e-11, 1.143284590469233279e-09, 2.321550219218879195e-12, 7.415964485795828320e-10
2.021000000000000000e+03, 2.385243945629073774e-10, 1.187104039692044350e-09, 1.011533549970722785e-09, 4.312764597696981391e-11, 1.011038795551469024e-10, 1.243283900126124027e-09, 2.472980726130774320e-12, 7.420291945592102401e-10
2.022000000000000000e+03, 2.374869435585627284e-10, 1.158184162689230499e-09, 1.017848054627012967e-09, 4.052047365535770032e-11, 9.085242868781719154e-11, 1.254997131076696691e-09, 2.566573106445195656e-12, 7.259707701718983096e-10
2.023000000000000000e+03, 2.364604630796345315e-10, 1.143349976549622560e-09, 1.020755785802094127e-09, 3.805360284850829383e-11, 8.525573233882251357e-11, 1.343671923472936667e-09, 2.443787398398932293e-12, 7.103223281143776066e-10
2.024000000000000000e+03, 2.352817776544579843e-10, 1.119003339713297496e-09, 1.019386723462627056e-09, 3.558771834830510652e-11, 8.177448046476702115e-11, 1.297617673361194108e-09, 2.415048705580386544e-12, 7.150739192778084402e-10
