year, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, GFDL-ESM4, MIROC-ES2L, UKESM1-0-LL, INM-CM5-0, CESM2-WACCM
2.015000000000000000e+03, 1.220517321382046161e+00, 2.802915265163634650e+00, 9.110476524920970709e-01, 2.388825711432464693e+00, 2.416724076429173529e+00, 1.266087111980790381e+00, 1.108592090603836677e+00, 2.014848552556133043e+00, 1.465518971879668841e+00, 8.911483437844243127e-01, 1.118519182624390096e+00, 1.684044232008627295e+00, 9.143701492259890262e-01, 2.258294360453854566e+00, 1.135167952025855298e+00, 2.119247610777302615e+00
2.016000000000000000e+03, 1.245971529411355805e+00, 2.871604349409266455e+00, 9.019149348282264889e-01, 2.363887164662420659e+00, 2.352990765751906022e+00, 1.264933512653495074e+00, 1.126057623719039169e+00, 1.916548147798507795e+00, 1.557298591760286399e+00, 9.018301196827669397e-01, 1.111545547790052879e+00, 1.556809790801549243e+00, 8.918304895016584410e-01, 2.221801705149109019e+00, 1.123011462088092882e+00, 2.146119829965929426e+00
2.017000000000000000e+03, 1.261097188484387122e+00, 2.769721149323575826e+00, 9.010188553582739734e-01, 2.315577102085994099e+00, 2.525320237688656100e+00, 1.266528281405999046e+00, 1.133780413062165371e+00, 1.957347070921070964e+00, 1.483569689798970304e+00, 8.982352324714689695e-01, 1.155393943743826535e+00, 1.630119952172183417e+00, 9.215575562259767928e-01, 2.215450189852286478e+00, 1.125267556173649375e+00, 2.142040629047536004e+00
2.018000000000000000e+03, 1.251947984598212438e+00, 2.541681758949028147e+00, 9.134349447164881175e-01, 2.291868672087971959e+00, 2.825488967828821973e+00, 1.256178685025620689e+00, 1.084782196342846339e+00, 2.006758372066240970e+00, 1.580799640360925684e+00, 8.852252275099118384e-01, 1.103616921607114776e+00, 1.716235548570263614e+00, 9.340085378402938066e-01, 2.199935334735696024e+00, 1.117782248277343626e+00, 2.182297698985700585e+00
2.019000000000000000e+03, 1.259219492094056703e+00, 2.624331178222139460e+00, 9.144707701052423587e-01, 2.304933591797632797e+00, 2.864468623014440052e+00, 1.278394657020499814e+00, 1.133031605715108636e+00, 2.065146506351421163e+00, 1.562039572565638190e+00, 8.837114335688492917e-01, 1.081309178242431779e+00, 1.686790882604469743e+00, 9.452197484604233368e-01, 2.181083971358395157e+00, 1.099926364957222846e+00, 2.205089790992920129e+00
2.020000000000000000e+03, 1.279074713138993236e+00, 2.762914217155929553e+00, 9.306810886942161742e-01, 2.315499584506761632e+00, 2.741243621164411337e+00, 1.279188973024056430e+00, 1.110014604312099751e+00, 2.101236461635361152e+00, 1.568558606156522206e+00, 8.630129820378776850e-01, 1.072760150987817962e+00, 1.638774665839940914e+00, 9.460448639776403157e-01, 2.239852550800723652e+00, 1.121254069100987794e+00, 2.266689734083112473e+00
2.021000000000000000e+03, 1.280518848777534080e+00, 2.764480647082962594e+00, 9.583130813774006773e-01, 2.297513578026271652e+00, 2.765888247328296412e+00, 1.272615984132259292e+00, 1.144692571671974024e+00, 2.136740781357775898e+00, 1.558257980399261555e+00, 8.821644495191014457e-01, 1.115721141532090011e+00, 1.663899390087703711e+00, 9.225249782776868690e-01, 2.318095379921838894e+00, 1.123788361459060914e+00, 2.321971772382040999e+00
2.022000000000000000e+03, 1.275147319576911853e+00, 2.691819476304240677e+00, 9.447175469840232154e-01, 2.287827802800209920e+00, 2.718456761958679468e+00, 1.280485563739051535e+00, 1.153761483983406277e+00, 2.155372212626439410e+00, 1.647895616810738595e+00, 8.945392816650745704e-01, 1.159142384603697451e+00, 1.656864102872517952e+00, 9.308187529819742512e-01, 2.301932683005034175e+00, 1.137694069517573681e+00, 2.265467138982628192e+00
2.023000000000000000e+03, 1.284642395699575834e+00, 2.628841647937195880e+00, 9.426396072693119521e-01, 2.389696795523118755e+00, 2.675044388896114178e+00, 1.273655232915750890e+00, 1.128452065926374592e+00, 2.060967429884188018e+00, 1.555013963552650980e+00, 9.404153652424476206e-01, 1.123391267230737567e+00, 1.725308724191901844e+00, 9.655688062013957351e-01, 2.285549280110562798e+00, 1.104562088129180442e+00, 2.318788026813133119e+00
2.024000000000000000e+03, 1.264778841059463144e+00, 2.795539116610048058e+00, 9.948721174421658597e-01, 2.346936157109036802e+00, 2.785084615081109050e+00, 1.268877419988081234e+00, 1.125643473543718631e+00, 2.115862426947567432e+00, 1.595373895342209192e+00, 9.341836279682578237e-01, 1.178834066482721044e+00, 1.649363581614390339e+00, 9.568632513545981544e-01, 2.320404096559224083e+00, 1.120094508525170118e+00, 2.251398712395756174e+00
