year, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, MIROC-ES2L, CanESM5, CMCC-ESM2
2.015000000000000000e+03, 8.512845210870111273e-10, 1.283713535662941250e-09, 8.588042060165290668e-10, 8.219292327926153664e-10, 1.235085161940818907e-09, 2.904959319682072445e-10, -1.137867884795714625e-09
2.016000000000000000e+03, 2.377385402819255465e-10, 8.076413922626965275e-10, -1.973007107342154016e-10, 1.420217355386159071e-10, 1.052180353498381614e-09, 1.304978468548224286e-10, -4.232932620912590392e-10
2.017000000000000000e+03, 9.552652570640445844e-11, 1.110790461049810307e-09, 3.693659503691552379e-10, 7.118807390493072750e-10, 1.485387420866401444e-09, 6.945465044722989783e-10, -6.106308849597631458e-10
2.018000000000000000e+03, 7.593777240711238554e-10, 9.427595971535327900e-10, 6.185499121708610832e-10, -2.074618164890450383e-10, 1.822829676587681473e-09, 6.385028107983235110e-10, -2.682088349011344199e-10
2.019000000000000000e+03, 4.557974834508563374e-10, 8.609752644045628856e-10, 6.381235889863888333e-10, 9.586951903820448795e-11, 1.404109570937914838e-09, 2.758811103762259013e-10, -1.669973440725676033e-09
2.020000000000000000e+03, 1.093912282267509911e-09, 8.660429984196462774e-10, 8.034451151234994155e-10, 5.116240959252134884e-10, 1.685162363320033905e-09, 3.786311064765808538e-10, -2.409760609182422942e-10
2.021000000000000000e+03, 8.870535980988650132e-10, 1.314471603076867865e-09, 8.343691510616479788e-10, 1.345052766569093003e-09, 1.424312234644391689e-09, 6.319101595834716846e-10, -7.283385963175892554e-10
2.022000000000000000e+03, 5.549388640252165125e-10, 1.374274268542546067e-09, 2.059466840125302310e-10, 6.423299934618774746e-10, 1.730830010485855443e-09, 8.881330196860232539e-10, -2.961460021140310468e-10
2.023000000000000000e+03, 4.166080156172860857e-10, 9.709033158226679385e-10, 6.488885798803117238e-10, 5.593362113915488069e-10, 1.782749092815325914e-09, -2.353079620679700894e-10, -5.765681498202846050e-10
2.024000000000000000e+03, 8.430327972395870367e-10, 1.149465877782909884e-09, 2.024510501631805122e-10, 1.080091231312223441e-09, 1.793844837883453813e-09, 5.450414525401543656e-10, -1.219995939043211387e-09
2.025000000000000000e+03, 4.497934070979985306e-10, 1.401305245005965427e-09, 8.832351384309421931e-10, 5.581469149327935293e-10, 1.649711536348495060e-09, 9.510491929332406122e-10, -1.064786001712294854e-09
2.026000000000000000e+03, 9.460959012138540546e-10, 1.612805670326429336e-09, 6.864361932885603827e-10, 8.618336313278172541e-10, 2.011893043214233676e-09, 5.136886227987315496e-10, 9.113448714615443746e-11
2.027000000000000000e+03, 1.852158887642083365e-09, 1.214343805253865927e-09, 3.633376936694094964e-10, 5.419219034730424082e-10, 1.895451715845493557e-09, 4.633493454418089893e-10, -1.751316266475738309e-09
2.028000000000000000e+03, 6.929994413933069249e-10, 9.511323744811668164e-10, -4.483203927301134260e-10, 4.639563009953961940e-10, 1.631077428914662568e-09, 1.154347618428161824e-09, -8.127065308838276252e-10
