year, TaiESM1, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, UKESM1-0-LL, INM-CM4-8, INM-CM5-0, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR, CNRM-ESM2-1, CanESM5, GFDL-ESM4, EC-Earth3-Veg, CMCC-CM2-SR5
2.015000000000000000e+03, 4.441687569464933816e+00, 5.120663789005199362e+00, 4.891581141063120697e+00, 4.115788872324121606e+00, 6.239678145569943268e+00, 6.018359955999947886e+00, 6.225560476082372396e+00, 4.854066371199269092e+00, 5.633074726197788706e+00, 5.201846633963709721e+00, 3.076103726683599771e+00, 3.934634998069973300e+00, 4.419212643879546931e+00, 3.422580841756191372e+00, 4.429470117247147343e+00, 4.408401396541118622e+00
2.016000000000000000e+03, 4.332825747596767307e+00, 4.805417895272562134e+00, 4.672841185637460093e+00, 4.209459797395861180e+00, 6.182930335889532891e+00, 6.273638264185449565e+00, 6.054079151409900383e+00, 4.707996677951630460e+00, 5.355495035982671403e+00, 5.116552136772864579e+00, 3.098587292926856751e+00, 3.717252646881318512e+00, 4.349091908522852101e+00, 2.791349031834935879e+00, 3.914437946943898794e+00, 4.527973663975339846e+00
2.017000000000000000e+03, 4.601659942037875872e+00, 5.013386876723661345e+00, 4.863056214737287775e+00, 4.278251482417791074e+00, 5.953412343559685738e+00, 6.203061808647785114e+00, 6.044684449027135642e+00, 5.010724212867799565e+00, 5.502338793302720354e+00, 5.052147020626680529e+00, 2.983850791720265239e+00, 3.871073953551103397e+00, 4.385485627031266986e+00, 3.176478919761954955e+00, 4.174195552706470025e+00, 4.982018835896745657e+00
2.018000000000000000e+03, 4.295562059946861133e+00, 5.076413787461799387e+00, 5.120190141271503848e+00, 4.111812124872165519e+00, 5.962121901364597854e+00, 5.920119266132446434e+00, 6.062027202082250987e+00, 5.164997900976114664e+00, 5.626733460665281683e+00, 5.134198290543295684e+00, 3.041478536890382056e+00, 3.776627207787814910e+00, 4.525420267333630342e+00, 3.336284330399012177e+00, 4.246483954745177591e+00, 4.654288538832695110e+00
2.019000000000000000e+03, 4.199375834752950176e+00, 5.088664209182287124e+00, 4.929628900025964100e+00, 4.185113144043432598e+00, 6.003234531486838499e+00, 6.344086528429682126e+00, 6.006272855995590021e+00, 4.998144019320355902e+00, 5.737039543729069990e+00, 5.226309189820971035e+00, 3.025837631499265878e+00, 3.699169477403934980e+00, 4.517181566516031310e+00, 3.389574359765981981e+00, 4.366639871295269870e+00, 4.311119612175971838e+00
2.020000000000000000e+03, 4.322990739209015665e+00, 5.333742707072760325e+00, 5.177469985633438299e+00, 4.194453732200368989e+00, 6.283159707099981617e+00, 6.100661703568548866e+00, 6.138237181077346172e+00, 5.111611525665175293e+00, 5.937638626080633308e+00, 5.185391210799530803e+00, 2.889135776034079228e+00, 3.675050640273689329e+00, 4.517731745642653785e+00, 3.260391704568305737e+00, 4.058389004528502930e+00, 4.436726470501549890e+00
2.021000000000000000e+03, 4.712738799071075846e+00, 5.271516013428888314e+00, 5.166833406837560538e+00, 4.243517105785786114e+00, 6.837592915056216469e+00, 6.489444019007470033e+00, 6.268214075748501202e+00, 5.081745697020571662e+00, 5.882367137921374223e+00, 4.978632493404789194e+00, 3.067479289242302176e+00, 3.920282903096500959e+00, 4.733127589375648370e+00, 3.270862225740533535e+00, 4.551814496665315346e+00, 4.908462457288855774e+00
2.022000000000000000e+03, 4.445153905655477189e+00, 5.082147786654506838e+00, 4.775858030344917182e+00, 4.202177281788888941e+00, 6.369575497477967474e+00, 6.503061246024379294e+00, 6.095225630523744442e+00, 5.112595870594338621e+00, 5.691191399820200836e+00, 5.389736529248544628e+00, 3.175790226722774889e+00, 3.971996798369196391e+00, 4.660059849552097511e+00, 3.343536486328817947e+00, 4.219095135863669910e+00, 5.014021683782756256e+00
2.023000000000000000e+03, 4.643649650110318383e+00, 5.160163137995494864e+00, 4.992715049601709865e+00, 4.247295053046692637e+00, 6.366666342487818930e+00, 6.255377360603728398e+00, 5.916731996001473703e+00, 5.256791877731754603e+00, 5.712426852065625837e+00, 5.317097935179489809e+00, 3.389209132459669149e+00, 3.887582968356049218e+00, 4.598400919026395250e+00, 3.492975959492943705e+00, 4.581572077733711446e+00, 5.142711094040478770e+00
2.024000000000000000e+03, 4.633972496682272180e+00, 5.147965842532070901e+00, 5.093743956713836951e+00, 4.066522261709656583e+00, 6.490356541338712759e+00, 6.203681018186978591e+00, 6.091143376389752007e+00, 5.324537006978936837e+00, 5.738203344892393254e+00, 5.450508142499685071e+00, 3.288730401632026457e+00, 4.026869597004051116e+00, 4.764698008565032339e+00, 3.371778577099021401e+00, 3.929313865880659229e+00, 4.537968904357924771e+00
2.025000000000000000e+03, 4.413832803810697314e+00, 5.225652850754132217e+00, 5.121891827009647180e+00, 4.184824348444331932e+00, 6.460462300499442811e+00, 6.469142381709264811e+00, 6.132695933948558498e+00, 5.233574518242751772e+00, 5.883191978702130065e+00, 5.493148840889367612e+00, 3.196522598331942522e+00, 4.169228804945246836e+00, 4.788472767929284224e+00, 3.548823314681678109e+00, 4.515768302132524781e+00, 4.736347999568405243e+00
2.026000000000000000e+03, 4.599801441886937070e+00, 5.280331476191737927e+00, 5.045331213162040918e+00, 4.249309946302786578e+00, 6.590809797484714849e+00, 6.514156374541734351e+00, 6.327581314375697374e+00, 5.308381125008436285e+00, 5.867072586221268260e+00, 5.272857129926614483e+00, 3.200676702149359176e+00, 4.188544042651648702e+00, 4.828008033813535604e+00, 3.565083407673605986e+00, 4.235186820488081594e+00, 4.780241821647819300e+00
2.027000000000000000e+03, 4.542348922428085523e+00, 4.994090527972785409e+00, 4.906158066991642919e+00, 4.339481566869815232e+00, 6.535548670657814085e+00, 6.354190764995482077e+00, 6.261051128410520583e+00, 5.291443615965772729e+00, 6.359265087312512499e+00, 5.245375713231443804e+00, 3.256362005394183079e+00, 4.043570869657755473e+00, 4.603727333700739166e+00, 3.706684591000786622e+00, 4.210585055106158769e+00, 5.167376517471278241e+00
2.028000000000000000e+03, 4.729255666404132086e+00, 5.106298397423810975e+00, 5.207038026596945812e+00, 4.426902272320577758e+00, 6.552308827118659806e+00, 6.195167306207409297e+00, 6.278274318220749883e+00, 5.503383686862089341e+00, 5.812200437476901627e+00, 5.568708449236829949e+00, 3.267303119488520480e+00, 4.117584802883350825e+00, 5.172757621594545441e+00, 3.484649777886830613e+00, 4.526104459029524740e+00, 5.150162050575092465e+00
2.029000000000000000e+03, 4.635659799419991955e+00, 5.294537040801379213e+00, 5.028239722825587954e+00, 4.128463218442358418e+00, 6.572210074573942684e+00, 6.461821771760269506e+00, 6.367263203339605937e+00, 5.174629796132330206e+00, 5.725143304645830433e+00, 5.552768028274366330e+00, 3.409819021952706031e+00, 4.073472043306261448e+00, 5.089289386963685047e+00, 3.673403665740478719e+00, 4.480642073862455277e+00, 4.770627682299656058e+00
