year, CanESM5, CESM2-WACCM, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, TaiESM1
1.850000000000000000e+03, 7.287973907855052502e+00, 1.585612912492103010e+00, 1.464371483618136338e+01, 1.819436004157955722e+01, 5.996289336196993780e+00, 1.376557846755469106e+00, 4.810789290619750247e+00, 3.068100343585471901e+00, 1.102251179496258437e+01, 2.204895560937550236e+00, 1.637444204457784602e+00, 2.341001334414608337e+00, 3.499738554034639848e-01
1.851000000000000000e+03, 7.162015801389070901e+00, 1.598330763578645008e+00, 1.465593489189303611e+01, 1.814608750713393093e+01, 5.983834546940633103e+00, 1.416439650610206824e+00, 4.813593446325251435e+00, 3.098782262923069464e+00, 1.104227075571978922e+01, 2.173807977511540646e+00, 1.572126712344297683e+00, 2.849983066830044542e+00, 3.735066263172783230e-01
1.852000000000000000e+03, 7.296395836079782704e+00, 1.619186632331498288e+00, 1.456097671647633440e+01, 1.811194493126858873e+01, 6.033801622911425078e+00, 1.450320161204907476e+00, 4.781897708210932407e+00, 3.129512012624730222e+00, 1.104575192741367573e+01, 2.143841386061576149e+00, 1.580187734377933806e+00, 2.766771314344635524e+00, 3.342544521425175330e-01
1.853000000000000000e+03, 7.336336611100385596e+00, 1.566974239581706785e+00, 1.464814643821755880e+01, 1.817536775712815356e+01, 5.988586392997105712e+00, 1.450605517600691341e+00, 4.810176629702797690e+00, 3.146285217200643469e+00, 1.100928292233977857e+01, 2.197070402442705461e+00, 1.607878320442233111e+00, 2.424077804689616311e+00, 2.670380679887331965e-01
1.854000000000000000e+03, 7.300762488353767843e+00, 1.502779402543226839e+00, 1.462722206364767352e+01, 1.816167661504602293e+01, 5.963256085123846972e+00, 1.393627344158726356e+00, 4.787336443442522516e+00, 3.122368401069762101e+00, 1.098954468973372123e+01, 2.238466258892449989e+00, 1.551373406648580922e+00, 2.538753119872288799e+00, 3.140612746666420207e-01
1.855000000000000000e+03, 7.391234875703650786e+00, 1.580928306025181085e+00, 1.478895550114057578e+01, 1.809846446263746955e+01, 5.907519516119150715e+00, 1.383164452239828313e+00, 4.790528742630223213e+00, 3.053765203943249240e+00, 1.098719547973462518e+01, 2.122035990212022494e+00, 1.550145083168367632e+00, 2.343865789070816774e+00, 4.495390711160289765e-01
1.856000000000000000e+03, 7.530709322762715985e+00, 1.598673417048713796e+00, 1.457271995824245892e+01, 1.801656475870404606e+01, 5.942072086418768606e+00, 1.394354113741081092e+00, 4.774712698115027187e+00, 3.022216650120182369e+00, 1.105246929692992985e+01, 2.084080903045553601e+00, 1.558976118880355477e+00, 2.495339465996535111e+00, 3.394891046612672492e-01
1.857000000000000000e+03, 7.632290150608927348e+00, 1.585652594908792734e+00, 1.460114109070912924e+01, 1.793091205571014157e+01, 5.967521561564105070e+00, 1.440136539640208158e+00, 4.794691052724641800e+00, 2.970248243771008045e+00, 1.108940157811805705e+01, 2.077334398051073450e+00, 1.573688310821269809e+00, 2.535622890969661647e+00, 2.677725077465577530e-01
1.858000000000000000e+03, 7.545182238554786203e+00, 1.595143065792411274e+00, 1.456589930206404127e+01, 1.791935721895542599e+01, 5.932811449878315102e+00, 1.482671218602293894e+00, 4.736562576873589059e+00, 2.928898623179592597e+00, 1.108601656191163265e+01, 2.081009311331635470e+00, 1.580515228369175018e+00, 2.818862865791127437e+00, 2.646351223426189336e-01
1.859000000000000000e+03, 7.729173569769940855e+00, 1.609745167014938527e+00, 1.452382312535667630e+01, 1.789708707679284316e+01, 5.902675372393654030e+00, 1.430650466861792980e+00, 4.775527287626163186e+00, 2.928900917517544666e+00, 1.107988488717298026e+01, 2.122019458365253186e+00, 1.631569278046063998e+00, 2.770858771497248352e+00, 3.657170907457218401e-01
1.860000000000000000e+03, 7.697602113638374988e+00, 1.556818153836704077e+00, 1.454726387882174521e+01, 1.781139896040106052e+01, 5.864234216164956770e+00, 1.506834684471497487e+00, 4.805753821443472518e+00, 2.942449538881542370e+00, 1.107773350498894160e+01, 2.194334730967699265e+00, 1.555955898609359567e+00, 2.384327469756460705e+00, 3.726733974063333732e-01
