year, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM
1.850000000000000000e+03, 2.824653425019524633e+01, 6.245690694062314208e+01, 3.539024315209692872e+01, 7.849828986935503394e+01, 1.839178766929851463e+02, 3.832026158781113878e+01, 3.722050026754705954e+01, 5.023026321616113421e+01, 1.476609907920766140e+01, 1.500111493730645940e+01, 5.965459032467657607e+01, 8.766295707752688315e+01, 1.045319513025912102e+02, 3.651739923642008279e+01
1.851000000000000000e+03, 2.825510062549652801e+01, 6.244173591050680017e+01, 3.540852334656005951e+01, 7.851345152250610226e+01, 1.838573043865696661e+02, 3.832167989610743319e+01, 3.721747986054272417e+01, 5.022832813487909220e+01, 1.481192244822170423e+01, 1.496220290718064838e+01, 5.967495072081641894e+01, 8.765450978294992979e+01, 1.044643902346260660e+02, 3.651274035754698133e+01
1.852000000000000000e+03, 2.824973759399588147e+01, 6.243503641093493428e+01, 3.541373797208223095e+01, 7.850325078742579876e+01, 1.839082480146428793e+02, 3.833370837312923385e+01, 3.720780748110600911e+01, 5.024548914813977518e+01, 1.479775556353420818e+01, 1.494036237123061284e+01, 5.967947082839670969e+01, 8.762556982421703822e+01, 1.043955518419836750e+02, 3.652587247358862754e+01
1.853000000000000000e+03, 2.825513731950811191e+01, 6.240553966118488916e+01, 3.539540616882108992e+01, 7.851009530493948319e+01, 1.838439003089944208e+02, 3.834151452606514709e+01, 3.721225548626072310e+01, 5.026425834903817247e+01, 1.476000317421778085e+01, 1.490656661640747060e+01, 5.969847824520371660e+01, 8.762371249773339343e+01, 1.043473285161550166e+02, 3.653621537105012607e+01
1.854000000000000000e+03, 2.825157466415459950e+01, 6.238954199148814439e+01, 3.534895169560150663e+01, 7.852837789668234336e+01, 1.837988804141104424e+02, 3.830495697835998925e+01, 3.720409408904714610e+01, 5.027159967477729907e+01, 1.472467063697892975e+01, 1.489897138099071761e+01, 5.972316824451254291e+01, 8.762649504830470448e+01, 1.043200159345391995e+02, 3.653893911035817865e+01
1.855000000000000000e+03, 2.824984874214436559e+01, 6.240406441989144071e+01, 3.531924489671170164e+01, 7.853306448409179552e+01, 1.837098790855554569e+02, 3.829342536173481903e+01, 3.718374448613948857e+01, 5.024088265018375665e+01, 1.476451198834018896e+01, 1.483966143928247838e+01, 5.972465651045788348e+01, 8.764196959400769060e+01, 1.043310034737858416e+02, 3.652463346509401276e+01
1.856000000000000000e+03, 2.824291918982078542e+01, 6.244682928781502795e+01, 3.536985586502046885e+01, 7.852853785457840274e+01, 1.836496178477722481e+02, 3.829656755966992421e+01, 3.716333526943332544e+01, 5.019978449936670017e+01, 1.481124375417057237e+01, 1.480600866882572220e+01, 5.970044113148378528e+01, 8.764864448398340357e+01, 1.043198564833127051e+02, 3.650955470567159011e+01
1.857000000000000000e+03, 2.824900037079844850e+01, 6.245506670101548252e+01, 3.541418854328855303e+01, 7.853999859671547767e+01, 1.835892535548321973e+02, 3.829968110737073062e+01, 3.715663213294688205e+01, 5.015024957346363266e+01, 1.478503041217099323e+01, 1.475963093676786997e+01, 5.968997189526884029e+01, 8.762491173057955507e+01, 1.043461479218817374e+02, 3.651070561049599661e+01
1.858000000000000000e+03, 2.823531623293062864e+01, 6.240633187931499748e+01, 3.539495701751680912e+01, 7.857065544764077458e+01, 1.835903925877479992e+02, 3.829694724789523264e+01, 3.715890826063944985e+01, 5.009247480066402858e+01, 1.470623651216658523e+01, 1.470944662807233350e+01, 5.969385459218970169e+01, 8.762583862513788802e+01, 1.043214830341108978e+02, 3.653894765571020287e+01
1.859000000000000000e+03, 2.823864933090736784e+01, 6.238737291192344259e+01, 3.537887794661153862e+01, 7.856707712899083162e+01, 1.836250036244054229e+02, 3.830074212038428527e+01, 3.717297683578479450e+01, 5.005023228019292958e+01, 1.468537214716934081e+01, 1.467977311219556924e+01, 5.970007121629834046e+01, 8.762961194038521739e+01, 1.043664900253507284e+02, 3.654069678146379374e+01
