year, NorESM2-MM, INM-CM5-0, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, EC-Earth3-Veg, CanESM5, INM-CM4-8, UKESM1-0-LL, IPSL-CM6A-LR
1.850000000000000000e+03, 1.485012929798883086e+01, 2.034344786813753458e+01, 1.456102396903374618e+01, 3.268473963301786966e+01, 1.319036498822662473e+01, 1.127368758348751676e+01, 1.951591714867851834e+01, 1.697125698968444141e+01, 5.071508533832471244e+00, 2.102814559520641069e+01, 5.604546086426828388e+00, 1.340290035423396908e+01, 2.628009774403987109e+01, 2.006805198607595386e+01, 1.273471909079590603e+01, 7.989557834049161755e+00
1.851000000000000000e+03, 1.475432693172518483e+01, 2.028675751063603983e+01, 1.450807688170323928e+01, 3.267213791730493000e+01, 1.314897777595015782e+01, 1.067064335365856387e+01, 1.948318545341824048e+01, 1.682178405609624861e+01, 5.068881857960049864e+00, 2.099773743093322764e+01, 5.331248872762285984e+00, 1.335144873539329780e+01, 2.632237097679344373e+01, 1.997062356129707439e+01, 1.272850091258417926e+01, 7.949173128324451554e+00
1.852000000000000000e+03, 1.469860893722470152e+01, 2.028382744638860657e+01, 1.436980216641458163e+01, 3.269822749025934883e+01, 1.300066734731716522e+01, 1.016243311482080180e+01, 1.954766444497503031e+01, 1.657167445815308682e+01, 5.029985823078264140e+00, 2.091271221694143989e+01, 5.321766709528461092e+00, 1.340221063698739457e+01, 2.630072137612799921e+01, 1.993509754609522844e+01, 1.273719246097611446e+01, 7.950024525838942147e+00
1.853000000000000000e+03, 1.450630760710487976e+01, 2.030267310355879218e+01, 1.425211759207465079e+01, 3.268659005542903628e+01, 1.294653651357343982e+01, 1.057079661829003037e+01, 1.955554513136941708e+01, 1.639332833658604116e+01, 5.013442408095627023e+00, 2.083673110836750197e+01, 5.449037525613828592e+00, 1.344242807965627229e+01, 2.622783220913084179e+01, 1.982620780511842540e+01, 1.275643985267847214e+01, 7.948769411501036330e+00
1.854000000000000000e+03, 1.434495221885422644e+01, 2.032313444371872890e+01, 1.415419197962389397e+01, 3.261029458786015311e+01, 1.288706378904486272e+01, 1.031465650173052317e+01, 1.964077891560656752e+01, 1.638681817866741852e+01, 4.987649735063350853e+00, 2.081072013033459811e+01, 5.495747849544629027e+00, 1.337772720353785694e+01, 2.618196278400113997e+01, 1.974108184602456717e+01, 1.278427836371678694e+01, 7.921838361680512364e+00
1.855000000000000000e+03, 1.426351189919832585e+01, 2.048922542380429945e+01, 1.415067852497114487e+01, 3.245738646918069037e+01, 1.286410105383374081e+01, 1.057132768290689562e+01, 1.944722761582596959e+01, 1.627665633181160487e+01, 5.031488820595050981e+00, 2.076875055472576648e+01, 5.177438611677856350e+00, 1.319161765910685347e+01, 2.609252918924831732e+01, 1.980920301317241083e+01, 1.281199343449976169e+01, 7.885386180326865890e+00
1.856000000000000000e+03, 1.423123286146326016e+01, 2.050073657924436787e+01, 1.413551248311536668e+01, 3.225461590856482985e+01, 1.280673135327626788e+01, 1.044639582511617704e+01, 1.939389070606107524e+01, 1.617648147842607642e+01, 4.974887197398729199e+00, 2.062295775326946057e+01, 4.998080984013097527e+00, 1.295070362138818965e+01, 2.597144499154422093e+01, 1.987336627876173623e+01, 1.283294278710089031e+01, 7.912749222145460948e+00
1.857000000000000000e+03, 1.419032020659155080e+01, 2.042730024105726017e+01, 1.401852345606267036e+01, 3.210114425775839919e+01, 1.264710643566121639e+01, 1.044604489584106766e+01, 1.931965173212562092e+01, 1.605513679240108615e+01, 5.003053196366827216e+00, 2.056363933921669229e+01, 5.092511549084195011e+00, 1.299796665189521505e+01, 2.586273109192846675e+01, 1.991480796277165055e+01, 1.280178194257481117e+01, 7.845793163225482481e+00
1.858000000000000000e+03, 1.410189079189571970e+01, 2.049150458493713245e+01, 1.384531985864663284e+01, 3.206167426384954666e+01, 1.254715514619766026e+01, 9.903583686637125183e+00, 1.920189836289259233e+01, 1.595261614930550387e+01, 4.993021862717348824e+00, 2.048330197036864320e+01, 5.344351534496921019e+00, 1.307752650904582481e+01, 2.583870042335467687e+01, 2.000926479494000887e+01, 1.278340659090505405e+01, 7.871299762334400540e+00
1.859000000000000000e+03, 1.395624973047297246e+01, 2.046245810793928044e+01, 1.384568960281802141e+01, 3.204749715294654777e+01, 1.245742651336936824e+01, 9.500239492132763530e+00, 1.920759275904569208e+01, 1.581164979831783057e+01, 4.966409282089388810e+00, 2.043755880328792429e+01, 5.315989465770876166e+00, 1.311623277742699223e+01, 2.575639312247228574e+01, 1.993539471026893395e+01, 1.275867603671386696e+01, 7.928974277528416437e+00
1.860000000000000000e+03, 1.396158325061344385e+01, 2.042383310405296726e+01, 1.369495249386560509e+01, 3.199465907577657120e+01, 1.234708649078199372e+01, 9.845389091171652396e+00, 1.928405571737278734e+01, 1.574011905078915063e+01, 4.928383956441440894e+00, 2.049590854798962170e+01, 5.110029569165078556e+00, 1.301531404077969256e+01, 2.568907612968408927e+01, 1.975179351654638182e+01, 1.276376008000305440e+01, 7.915994207583661790e+00
1.861000000000000000e+03, 1.397274223409161920e+01, 2.053144499534556289e+01, 1.345847591556016631e+01, 3.201879413582911127e+01, 1.228353281037198741e+01, 9.820191680011468804e+00, 1.935857558617377805e+01, 1.559966297322566042e+01, 4.995316271408966280e+00, 2.049896591327811990e+01, 5.030167256788971919e+00, 1.291010424617513230e+01, 2.573752810415925651e+01, 1.976910708880372169e+01, 1.277986908628634133e+01, 7.925509749452485764e+00
1.862000000000000000e+03, 1.391678638418102487e+01, 2.059780852883082503e+01, 1.341710117773497934e+01, 3.209290975620631770e+01, 1.226273199922563428e+01, 1.024301630603874536e+01, 1.931590276194598133e+01, 1.545805791803669926e+01, 5.083782613907385617e+00, 2.043880582021703418e+01, 5.031088427159227550e+00, 1.285781147586201811e+01, 2.581979469237672120e+01, 1.989548345755103398e+01, 1.278095834055101498e+01, 7.896225966973465127e+00
1.863000000000000000e+03, 1.382815648230422312e+01, 2.051260416402228515e+01, 1.340352929568002693e+01, 3.220188517945346263e+01, 1.230380744921213321e+01, 9.789483759491110604e+00, 1.928043983176650400e+01, 1.534746151446559459e+01, 5.067518786532121844e+00, 2.035639698036167999e+01, 4.970588370234478859e+00, 1.276756285130437085e+01, 2.582059935382677907e+01, 1.993276931050747081e+01, 1.281848156842696618e+01, 7.873195756723777805e+00
1.864000000000000000e+03, 1.376138499164771112e+01, 2.050847796664742972e+01, 1.322797064657328647e+01, 3.229878233794567421e+01, 1.229019654557653141e+01, 9.676940174350612267e+00, 1.928666071632171963e+01, 1.521088957218926474e+01, 4.959460502253501879e+00, 2.035559513970212464e+01, 4.983757799106956377e+00, 1.259768965949502295e+01, 2.576599728380679011e+01, 2.000252894886986965e+01, 1.285967873764551683e+01, 7.831452256731827433e+00
1.865000000000000000e+03, 1.369625074097007200e+01, 2.047656610504762753e+01, 1.308833533800746629e+01, 3.232032619395176454e+01, 1.227609731771581103e+01, 9.688005251693077469e+00, 1.924080899471476158e+01, 1.515316028531400505e+01, 4.877767396854102877e+00, 2.041564504186717244e+01, 4.956234157106873539e+00, 1.250393678383104401e+01, 2.564968948867191401e+01, 2.006034299936820986e+01, 1.289004074846366166e+01, 7.819385554113147840e+00
1.866000000000000000e+03, 1.362782708650093788e+01, 2.050036876820991338e+01, 1.300908749560484878e+01, 3.227054697903948721e+01, 1.228480097888510691e+01, 9.529687309953240870e+00, 1.919506960572708465e+01, 1.507712504909201989e+01, 4.852008114092130953e+00, 2.048791070462343455e+01, 4.706495587655363799e+00, 1.233684838916851589e+01, 2.560476748574032513e+01, 2.005713718751630026e+01, 1.285664551649828802e+01, 7.741434166546923734e+00
1.867000000000000000e+03, 1.359090180897204547e+01, 2.051227200854485133e+01, 1.290373807722226651e+01, 3.214255265659486582e+01, 1.222074579892534274e+01, 9.337638242766081120e+00, 1.920235959628243450e+01, 1.493332155783699022e+01, 4.876942463865400867e+00, 2.046138723719688457e+01, 4.687068506952563496e+00, 1.244605047689283595e+01, 2.566628304938259575e+01, 2.003051060143334894e+01, 1.283121755727526470e+01, 7.711140290464259195e+00
1.868000000000000000e+03, 1.346218454267837217e+01, 2.052489974317801469e+01, 1.286408087490544894e+01, 3.207662196863189052e+01, 1.219372471141338998e+01, 9.107922703122119046e+00, 1.912581121925715166e+01, 1.484858007083354714e+01, 4.926018866315950540e+00, 2.043625259822207241e+01, 4.858735609854925031e+00, 1.244253053889172911e+01, 2.568519560908609378e+01, 1.998204739462360990e+01, 1.277879156940644201e+01, 7.720706093147065019e+00
