year, EC-Earth3-Veg, MPI-ESM1-2-LR
1.850000000000000000e+03, 1.508037102480621032e-10, 6.831446927938682657e-10
1.851000000000000000e+03, 1.598758406048298601e-10, 6.718367504425420684e-10
1.852000000000000000e+03, 1.722945090787302160e-10, 6.451011492667675940e-10
1.853000000000000000e+03, 1.870650813150708761e-10, 6.663835569044652229e-10
1.854000000000000000e+03, 1.620940407741778631e-10, 6.581094660920299999e-10
1.855000000000000000e+03, 1.536824628885076206e-10, 6.824967218866159009e-10
1.856000000000000000e+03, 1.820947250039614409e-10, 6.260568333762190955e-10
1.857000000000000000e+03, 1.950860103402130584e-10, 6.946212496059052153e-10
1.858000000000000000e+03, 1.963263504109221660e-10, 6.778271997756372491e-10
1.859000000000000000e+03, 1.972711634292894320e-10, 6.541899604618746169e-10
1.860000000000000000e+03, 1.678752059882148521e-10, 6.338906755327160791e-10
1.861000000000000000e+03, 1.619070883134935024e-10, 7.174099823606434156e-10
1.862000000000000000e+03, 1.599738299822962075e-10, 7.321446536835192786e-10
1.863000000000000000e+03, 1.805907325207088282e-10, 7.126076559306798084e-10
1.864000000000000000e+03, 1.727588327139829143e-10, 6.379358535013703251e-10
1.865000000000000000e+03, 2.055443787063277955e-10, 6.147861716557235946e-10
1.866000000000000000e+03, 1.843168377601599250e-10, 6.317129161995298048e-10
1.867000000000000000e+03, 2.165293280034846283e-10, 6.725835696789854197e-10
1.868000000000000000e+03, 2.033666429928883393e-10, 7.012063426464830298e-10
1.869000000000000000e+03, 2.074435512498446286e-10, 6.970327124709049118e-10
1.870000000000000000e+03, 1.927122985987232482e-10, 6.232175234338603599e-10
1.871000000000000000e+03, 1.712994539426808302e-10, 6.652549316999704060e-10
1.872000000000000000e+03, 2.040021700891744310e-10, 6.909065904703086894e-10
1.873000000000000000e+03, 1.896482648068755954e-10, 6.996264106992924159e-10
1.874000000000000000e+03, 2.282511375626232989e-10, 6.600849057876406469e-10
1.875000000000000000e+03, 2.023329107598654044e-10, 6.381445926368409712e-10
1.876000000000000000e+03, 2.125173961533544025e-10, 6.547127326827108888e-10
1.877000000000000000e+03, 1.892697573874378714e-10, 6.552709950389649004e-10
1.878000000000000000e+03, 1.913944541512252598e-10, 6.502745338476598662e-10
