year, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-LM, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL
1.850000000000000000e+03, 9.629761135652108494e-10, 5.713029299195844015e-10, 2.944934706006859807e-10, 5.190397402714402262e-10, 1.669533618009035325e-09, 2.506010840299084451e-10, 3.178167150804788232e-10, 7.864872387225801714e-10
1.851000000000000000e+03, 9.467461446496397464e-10, 5.656789858080788221e-10, 3.064482600312932405e-10, 3.932623155919462334e-10, 1.694114362910920994e-09, 2.388286582588452653e-10, 3.271976040118766639e-10, 7.157553614864200141e-10
1.852000000000000000e+03, 9.790102213570330783e-10, 6.031949208224060840e-10, 3.039905536021661387e-10, 3.082799511563985263e-10, 1.847210324657567259e-09, 2.258781904047962665e-10, 3.264847817661773675e-10, 8.675179318864190951e-10
1.853000000000000000e+03, 9.601862405862406545e-10, 6.262160257431647143e-10, 2.924053408059332892e-10, 2.486387211133534307e-10, 1.859260353684986186e-09, 2.574388367967235301e-10, 3.194289109200923370e-10, 8.888573092177362047e-10
1.854000000000000000e+03, 9.625354431363223164e-10, 5.580164949676587908e-10, 2.921869495822699245e-10, 2.067040659783224936e-10, 1.766054151795911056e-09, 2.229235856505607877e-10, 3.165833365792686057e-10, 9.163902016429589934e-10
1.855000000000000000e+03, 9.732933103015349579e-10, 5.724934827711183809e-10, 2.883991717906678524e-10, 1.757144190477187876e-10, 1.753770300462563251e-09, 2.018659336381104613e-10, 3.147721164414814366e-10, 9.239610996219184081e-10
1.856000000000000000e+03, 9.981923769017657511e-10, 6.444762787928350562e-10, 2.891017086766313557e-10, 1.524913834790483508e-10, 1.877228589209527042e-09, 2.234567230630561315e-10, 3.151049295980975154e-10, 9.564397864766925814e-10
1.857000000000000000e+03, 9.933722202344583660e-10, 6.526403004222242364e-10, 2.800144830478686649e-10, 1.373739577963780507e-10, 1.685694968271405735e-09, 2.524295893753621700e-10, 3.156552345032594769e-10, 8.081184998916874554e-10
1.858000000000000000e+03, 1.000242847709949161e-09, 6.321879225803527023e-10, 2.748445555299021661e-10, 1.225529786716108221e-10, 1.860364451921067981e-09, 2.677317903229565161e-10, 3.132959403119887993e-10, 8.421193210511688738e-10
1.859000000000000000e+03, 9.903268074151622132e-10, 6.446397073683971660e-10, 2.739888814907529408e-10, 1.085232259960102025e-10, 1.947362931495210236e-09, 2.342826432612098322e-10, 3.129422875514902479e-10, 8.106106050541150472e-10
1.860000000000000000e+03, 9.723048890496498268e-10, 6.415636086205916028e-10, 2.739919495110652788e-10, 9.647588450359522264e-11, 1.910233827418224376e-09, 2.666068328137667456e-10, 3.132689403248009750e-10, 9.100391692952291074e-10
1.861000000000000000e+03, 9.546374743642376100e-10, 6.189138596014274845e-10, 2.750238034788335070e-10, 8.674557142140587714e-11, 1.944196697299894452e-09, 2.425592436775536657e-10, 3.144934273266878084e-10, 8.960636837840020874e-10
1.862000000000000000e+03, 1.039063003813672428e-09, 5.873834896057391761e-10, 2.776288209026462830e-10, 7.874704274647488584e-11, 1.886909039971912581e-09, 2.813894110354958190e-10, 3.123777025030176194e-10, 9.075118903478394201e-10
1.863000000000000000e+03, 1.089273856438420361e-09, 6.227519405764438709e-10, 2.775306589710417212e-10, 7.253789400887579165e-11, 1.866505514643488854e-09, 2.724831389253444245e-10, 3.127824782381585595e-10, 9.463452324721218985e-10
1.864000000000000000e+03, 1.096662775644218881e-09, 6.441735134484383033e-10, 2.769142622175989283e-10, 6.774389948025295864e-11, 1.766776338466927653e-09, 2.696166822256443562e-10, 3.139117479302450537e-10, 1.069504412777589032e-09
1.865000000000000000e+03, 1.023237392414385349e-09, 6.374494107232082118e-10, 2.764949339924078889e-10, 6.347023184553391425e-11, 1.782319019265570820e-09, 2.506321182121118430e-10, 3.147893783191195553e-10, 1.011922262430593399e-09
1.866000000000000000e+03, 9.916852771411450817e-10, 7.203421936759623644e-10, 2.760352841626614508e-10, 5.977304072330508183e-11, 1.787140057286634335e-09, 2.288514541416576680e-10, 3.152184630121567854e-10, 8.708407264442723288e-10
1.867000000000000000e+03, 1.011677736101475469e-09, 6.675186619387335260e-10, 2.740332918979762636e-10, 5.664425291260753182e-11, 1.770261951992148749e-09, 2.317671358318259283e-10, 3.140965530280698574e-10, 9.398134877126017123e-10
1.868000000000000000e+03, 1.051949753501693342e-09, 7.028729833021571304e-10, 2.702660894623625281e-10, 5.430110849463116422e-11, 1.890436141204230327e-09, 2.515114654863639036e-10, 3.130323746965582384e-10, 8.360585690370007200e-10
1.869000000000000000e+03, 1.075867541483536362e-09, 6.917193505311013061e-10, 2.700282873734071098e-10, 5.233374426771470930e-11, 1.871650809835582896e-09, 2.718415271348053379e-10, 3.127905211497475017e-10, 8.245302688538577249e-10
1.870000000000000000e+03, 1.068570214359018145e-09, 6.586084844952745903e-10, 2.702203609617108629e-10, 5.059338033674007309e-11, 1.754567222665359045e-09, 2.230871766330170505e-10, 3.116268543777225600e-10, 7.480888220345977115e-10
1.871000000000000000e+03, 1.040412277395212337e-09, 6.687296828061718127e-10, 2.756918903597360393e-10, 4.940052960702197571e-11, 1.799793832279911752e-09, 2.405711128890473100e-10, 3.142466701511916369e-10, 8.474566624346871203e-10
1.872000000000000000e+03, 1.066364748797014372e-09, 6.634856736919931710e-10, 2.753836024745647700e-10, 4.869256277403800092e-11, 2.055205256682982125e-09, 2.636885354216885437e-10, 3.128770219916705073e-10, 9.194015349629526097e-10
1.873000000000000000e+03, 1.100992558539382434e-09, 7.258714689365037402e-10, 2.744210830866770049e-10, 4.806943575800752916e-11, 1.926135345741029311e-09, 2.818927045332318543e-10, 3.123304121429032583e-10, 9.963339226417401491e-10
1.874000000000000000e+03, 1.106109681763572062e-09, 7.277191656285921749e-10, 2.746347172058120118e-10, 4.765671469829548478e-11, 2.031999302916210978e-09, 2.899978762189845597e-10, 3.116228507956277914e-10, 1.031631697716171087e-09
1.875000000000000000e+03, 1.123678188116699163e-09, 7.289208855232952533e-10, 2.747926582656158225e-10, 4.645474227057887808e-11, 2.131958076785059023e-09, 3.212265180955300081e-10, 3.118094086677785670e-10, 8.369520002568684347e-10
1.876000000000000000e+03, 1.090216491574015996e-09, 7.085031438705762081e-10, 2.736241773916370961e-10, 4.549889363531569337e-11, 2.067216110577692251e-09, 3.429070999482627103e-10, 3.124765645321654550e-10, 9.430315358096507040e-10
