year, IPSL-CM6A-LR, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, CNRM-ESM2-1, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2
1.850000000000000000e+03, 1.671333404766764253e-09, 9.815109724563881376e-10, 9.959252684262511596e-10, 3.036112569980352336e-10, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.240380324855309761e-14, 2.707201326748767467e-11
1.851000000000000000e+03, 1.734728014040155968e-09, 9.779853978018080877e-10, 1.035778309684834502e-09, 3.425239630455714643e-10, 0.000000000000000000e+00, 2.034570524637317514e-11, 1.656541672162141970e-13, 7.442917418603921075e-11
1.852000000000000000e+03, 1.889845614979184053e-09, 1.013113553436471318e-09, 1.059214235094689279e-09, 3.705111781937379942e-10, 7.306502661934023011e-12, 2.946200840765219319e-11, 2.123197258802047031e-13, 1.128087980165907488e-10
1.853000000000000000e+03, 1.904034155926958541e-09, 9.958398568581415339e-10, 1.070658699494910181e-09, 4.342167687185661334e-10, 1.464942797495014233e-11, 3.446617753262263842e-11, 2.281679251616570520e-13, 1.430691001221971954e-10
1.854000000000000000e+03, 1.812700613484088032e-09, 9.992172121716538916e-10, 1.084194980062298499e-09, 4.254350481406442441e-10, 2.230470887143026485e-11, 3.750686171242124393e-11, 2.509395765834231125e-13, 1.666797465452353853e-10
1.855000000000000000e+03, 1.802477115354677091e-09, 1.010899312261950532e-09, 1.097902586519326823e-09, 4.251336436664280635e-10, 3.005700425339728741e-11, 3.985814045056091519e-11, 2.567513260550084373e-13, 1.852855605152834351e-10
1.856000000000000000e+03, 1.927918922408588482e-09, 1.036852025185521946e-09, 1.100435303670059889e-09, 4.634121457484485761e-10, 3.787102124301897755e-11, 4.181556159940814673e-11, 2.251657349886539138e-13, 1.998807792833762607e-10
1.857000000000000000e+03, 1.738531054065592624e-09, 1.032548438759309934e-09, 1.107724425062338131e-09, 5.056284091619642861e-10, 4.558423838171725660e-11, 4.351983345682098417e-11, 1.820718035847361767e-13, 2.112095584722594647e-10
1.858000000000000000e+03, 1.914981876070132778e-09, 1.040366157631720336e-09, 1.116822826370814823e-09, 5.317973528125450325e-10, 5.332512801271647076e-11, 4.507744289468415114e-11, 1.591529439635863911e-13, 2.199941674056676634e-10
1.859000000000000000e+03, 2.003995072567822429e-09, 1.030962258996063569e-09, 1.124862170889609929e-09, 5.073574200381828413e-10, 6.106000960977740350e-11, 4.649222907159813003e-11, 1.589786240889973592e-13, 2.269180379429194664e-10
1.860000000000000000e+03, 1.969001717712158151e-09, 1.012054699112632986e-09, 1.117332284880316325e-09, 5.470861191446169784e-10, 6.882192422529661176e-11, 4.787206763917066922e-11, 1.641401133159833665e-13, 2.324037776417912613e-10
1.861000000000000000e+03, 2.003514646165368188e-09, 9.941407564214472181e-10, 1.116694435963905921e-09, 5.305730885465143875e-10, 6.986354616355355963e-11, 5.059210090572445596e-11, 1.723809500629190527e-13, 2.366587521161703214e-10
1.862000000000000000e+03, 1.946282572747065673e-09, 1.079485188015250884e-09, 1.116153993767189691e-09, 5.757289534031805954e-10, 7.118455460965549094e-11, 5.278391836672134559e-11, 1.698405646744379923e-13, 2.399823323706195240e-10
1.863000000000000000e+03, 1.925777473480312427e-09, 1.129907624997952467e-09, 1.116184890516679586e-09, 5.721737139111397723e-10, 7.229923265738102935e-11, 5.464652301032750120e-11, 1.858307320146903786e-13, 2.423318618633827794e-10
1.864000000000000000e+03, 1.826029729298009851e-09, 1.136994755273643347e-09, 1.122962365204587518e-09, 5.738502614337004142e-10, 7.344530960065346861e-11, 5.685767417143849349e-11, 2.542853649449837450e-13, 2.438002042493569195e-10
1.865000000000000000e+03, 1.841452039562999732e-09, 1.063041273043592611e-09, 1.140645287057411981e-09, 5.587913295109039451e-10, 7.452157465588619881e-11, 5.853496646742624598e-11, 2.836919006846475703e-13, 2.445568697529930602e-10
1.866000000000000000e+03, 1.846263165104380813e-09, 1.031337956670279868e-09, 1.157124565148138327e-09, 5.402370632509238474e-10, 7.573856868334297930e-11, 5.983420989413996063e-11, 2.352904906463842451e-13, 2.444733784201068434e-10
1.867000000000000000e+03, 1.829206209564410211e-09, 1.051472166448694674e-09, 1.158786582094719047e-09, 5.458801879323575234e-10, 7.692300872919329708e-11, 6.102299045162723120e-11, 1.968609898067561567e-13, 2.439724049266724525e-10
1.868000000000000000e+03, 1.949275954910770359e-09, 1.092055838300075525e-09, 1.154251671455972310e-09, 5.680963731164138079e-10, 7.817315268784390954e-11, 6.208320510202241699e-11, 1.762335801603209555e-13, 2.432345875108644600e-10
1.869000000000000000e+03, 1.930452652326898049e-09, 1.117428513028361697e-09, 1.143360389590791217e-09, 5.906160857007290020e-10, 7.939191128865645692e-11, 6.302053831063624678e-11, 1.674524754691049077e-13, 2.421912074580550364e-10
1.870000000000000000e+03, 1.813176660349589635e-09, 1.111224629311880403e-09, 1.181528980371652827e-09, 5.437910044844224298e-10, 8.051094458695043509e-11, 6.387735688416928757e-11, 1.542129003037042432e-13, 2.407993964557206555e-10
1.871000000000000000e+03, 1.863025161285682561e-09, 1.082672950526470324e-09, 1.196480668571628111e-09, 5.633290543383413157e-10, 8.152362017489490932e-11, 6.470165435357616064e-11, 1.519596418009302736e-13, 2.393438491021530992e-10
1.872000000000000000e+03, 2.118339303415881353e-09, 1.108950791111700536e-09, 1.208655788914974890e-09, 5.881706713861577686e-10, 8.429035474363657075e-11, 6.552682959195375323e-11, 1.566305817170689590e-13, 2.377272757610716400e-10
1.873000000000000000e+03, 1.989600752765811209e-09, 1.144439252411009800e-09, 1.217318943608292448e-09, 6.077883690678440720e-10, 8.697403153939433651e-11, 6.623986626073871156e-11, 2.018667112068351589e-13, 2.358424920432284595e-10
1.874000000000000000e+03, 2.095585305546171095e-09, 1.150142626278544670e-09, 1.231105774152598129e-09, 6.173364848717537282e-10, 8.974064778369381206e-11, 6.693564650555916529e-11, 2.337170018766951686e-13, 2.336095480221161269e-10
1.875000000000000000e+03, 2.195938165984833547e-09, 1.167997416288303883e-09, 1.240261507571550255e-09, 6.498574660125716878e-10, 9.246574531600298630e-11, 6.761620782722795189e-11, 2.203912451116681505e-13, 2.310930330285662816e-10
1.876000000000000000e+03, 2.131605774447639539e-09, 1.133883074477588465e-09, 1.245143391166688529e-09, 6.728043117549856391e-10, 9.529081515012199793e-11, 6.826126359320115490e-11, 2.151900135890567827e-13, 2.286027740687592879e-10
1.877000000000000000e+03, 2.036528437980330873e-09, 1.163260206963793524e-09, 1.250839196208721006e-09, 5.969082253200356747e-10, 9.800881130767529403e-11, 6.888397218896398671e-11, 2.695558881175661724e-13, 2.262576733779996423e-10
1.878000000000000000e+03, 2.008566295352377659e-09, 1.145454963958497201e-09, 1.257277111359549478e-09, 5.861414397603820186e-10, 1.007561447117295474e-10, 6.947564436006883328e-11, 3.595015936869020268e-13, 2.240464648471613077e-10
1.879000000000000000e+03, 2.116096397077960759e-09, 1.150683420150801783e-09, 1.266443695958890970e-09, 6.065989961127821149e-10, 1.034996494572137590e-10, 7.028679998326232156e-11, 4.110658163293429205e-13, 2.220479685586760165e-10
1.880000000000000000e+03, 2.290949806590909124e-09, 1.187522721869199643e-09, 1.265819393223072706e-09, 6.011949018737115115e-10, 1.057478777909457904e-10, 7.071647755935742231e-11, 4.120630000534897456e-13, 2.200480398649854461e-10
1.881000000000000000e+03, 2.095842276249765240e-09, 1.231591661931386737e-09, 1.269606782680980305e-09, 6.080221296811546633e-10, 1.063913563613645535e-10, 6.764378702380523090e-11, 2.641130571630767758e-12, 2.181392109612239176e-10
1.882000000000000000e+03, 2.190572194935664137e-09, 1.255855647198263271e-09, 1.275274787145905856e-09, 5.972642043529899538e-10, 1.068920535707106864e-10, 6.652268359637651422e-11, 6.803214846054087178e-12, 2.164090799016487076e-10
1.883000000000000000e+03, 2.118099525665153104e-09, 1.264692419759516396e-09, 1.275646139625815342e-09, 5.920148411558349361e-10, 1.073769956301546682e-10, 6.614434628170619843e-11, 9.472578658795863455e-12, 2.148547376489440519e-10
1.884000000000000000e+03, 2.129641295940939225e-09, 1.264652022784305115e-09, 1.277826386231301197e-09, 6.467972146492004376e-10, 1.078901777213862225e-10, 6.606053323104322250e-11, 1.147112554193163716e-11, 2.133339699022763969e-10
