year, UKESM1-0-LL, EC-Earth3-Veg, ACCESS-ESM1-5, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, CMCC-ESM2, GFDL-ESM4, INM-CM4-8, CanESM5
1.850000000000000000e+03, 2.102699796386658271e+00, 1.063185477284202429e+00, 1.332722623883202173e+00, 1.128731939748176982e+00, 1.117452369179881888e+00, 1.283058578724600940e+00, 1.436502329873877271e+00, 1.139678880176555831e+00, 1.114245978667019354e+00, 1.078580297134461574e+00, 1.290475878686006661e+00, 1.331160160483098487e+00, 2.044189919182949122e+00, 1.519960718113523290e+00, 1.416828052775404245e+00, 1.485853593918308402e+00
1.851000000000000000e+03, 2.092374258010843313e+00, 1.108327933617898609e+00, 1.358836622471266686e+00, 1.169591079728418581e+00, 1.090833496385143375e+00, 1.288382087310715685e+00, 1.444947743556658226e+00, 1.080690603910803960e+00, 1.138228735186101792e+00, 1.084860052274114972e+00, 1.266737742508043274e+00, 1.225515883906426851e+00, 1.904837684991767865e+00, 1.555513974740232674e+00, 1.426362367065209025e+00, 1.516677645134270724e+00
1.852000000000000000e+03, 2.107613528946196357e+00, 1.138365065504616469e+00, 1.394808815167621896e+00, 1.172966324829847196e+00, 1.122034199280492528e+00, 1.245505747475592839e+00, 1.481154337529450027e+00, 1.124254821562779227e+00, 1.120243157813422874e+00, 1.194060811888926654e+00, 1.200195999027610538e+00, 1.211757499075904132e+00, 1.866674420870846784e+00, 1.511596760495138581e+00, 1.429011888227721405e+00, 1.470306132796693088e+00
1.853000000000000000e+03, 2.135629811610126438e+00, 1.168567846935554044e+00, 1.369377152101467709e+00, 1.065877141560745311e+00, 1.115067545498337642e+00, 1.286906026723241059e+00, 1.460590017100240390e+00, 1.150533149560724278e+00, 1.116447910267574617e+00, 1.181977518984524078e+00, 1.186115271316627195e+00, 1.350075980732058811e+00, 2.066195366341994077e+00, 1.522172435312400651e+00, 1.349121233887689453e+00, 1.498162737945116341e+00
1.854000000000000000e+03, 2.139559498674865612e+00, 1.116924075370590019e+00, 1.312195724164427091e+00, 1.127994723423225265e+00, 1.098620318822570496e+00, 1.259415548118429262e+00, 1.450769429780552233e+00, 1.119979673588889391e+00, 1.113435507539847436e+00, 1.268827281278940511e+00, 1.242799329209797632e+00, 1.449317038767248933e+00, 2.311030386091425637e+00, 1.507219341529838497e+00, 1.398917147259279625e+00, 1.466186319616351375e+00
1.855000000000000000e+03, 2.136004636041332727e+00, 1.087576434930206171e+00, 1.236215892748180778e+00, 1.119605182762435147e+00, 1.099626771589084395e+00, 1.270211942181807885e+00, 1.495752277995932911e+00, 1.057646517231965566e+00, 1.093636917199547698e+00, 9.572333612206559428e-01, 1.194231040482433670e+00, 1.353621691490643597e+00, 2.051976267809743515e+00, 1.562516261774746784e+00, 1.444779974072227802e+00, 1.457895967245728119e+00
1.856000000000000000e+03, 2.137856820826672610e+00, 1.105020616811867251e+00, 1.223337479592312205e+00, 1.157110788992920636e+00, 1.149933129689177269e+00, 1.268968571201861906e+00, 1.391985712687288546e+00, 1.044898418467316681e+00, 1.101216072755913933e+00, 1.066988092754567852e+00, 1.217773371495586066e+00, 1.199714403721353406e+00, 1.572047037481354437e+00, 1.527105913924054148e+00, 1.419826172444871082e+00, 1.451227360684850920e+00
1.857000000000000000e+03, 2.108384220480837623e+00, 1.140058984813873355e+00, 1.204454005660040128e+00, 1.151252142652136934e+00, 1.068752402564464132e+00, 1.296742924445797751e+00, 1.416727238520882670e+00, 1.114268389752814725e+00, 1.136590662435480459e+00, 1.014639996800282162e+00, 1.243746117029120635e+00, 1.261577655943096232e+00, 1.826689393264826711e+00, 1.480511723144316782e+00, 1.468447397654190301e+00, 1.468583086775405055e+00
1.858000000000000000e+03, 2.107034245461372191e+00, 1.198787522911104242e+00, 1.270728906692055071e+00, 1.106560807833239179e+00, 1.128799899167051146e+00, 1.309321421273067498e+00, 1.419917011531751427e+00, 1.097007968526527044e+00, 1.182055262609901902e+00, 1.005171672247074932e+00, 1.213323064234523185e+00, 1.434686659138842746e+00, 2.309526453787575040e+00, 1.494679520589078159e+00, 1.495580163615077618e+00, 1.480890965794579239e+00
1.859000000000000000e+03, 2.091412632136153249e+00, 1.171753541591751269e+00, 1.274328865893572527e+00, 1.138458919293042104e+00, 1.169814465597370789e+00, 1.300397251616476790e+00, 1.418408216381740194e+00, 1.061506254179353848e+00, 1.078869887841433783e+00, 1.109561529643880107e+00, 1.239199477186698317e+00, 1.521193665591259236e+00, 2.331540290196814080e+00, 1.471064526168279096e+00, 1.433498293317863048e+00, 1.467630890202413108e+00
1.860000000000000000e+03, 2.126032586692490511e+00, 1.102082375549124471e+00, 1.326088653024801056e+00, 1.081275644116733936e+00, 1.152863546018120910e+00, 1.284823380815255822e+00, 1.444920443403522325e+00, 1.121545688358573933e+00, 1.146901914195378680e+00, 1.215503404297052059e+00, 1.216673390284690237e+00, 1.437249700954022602e+00, 2.267441974387258696e+00, 1.426869188443342651e+00, 1.376137599771154685e+00, 1.472230019849176896e+00
1.861000000000000000e+03, 2.132510495092656111e+00, 1.071369502524600170e+00, 1.356445472345390701e+00, 1.036999174044425320e+00, 1.167104548749510640e+00, 1.320654802150196483e+00, 1.480701329951526812e+00, 1.061410850996218791e+00, 1.218063401656565459e+00, 1.201488383646174496e+00, 1.175335419728943620e+00, 1.378256615552997388e+00, 2.160231809623284871e+00, 1.472992123726871716e+00, 1.442532771966330563e+00, 1.495521941341960259e+00
1.862000000000000000e+03, 2.113595868351471729e+00, 1.096144097973252407e+00, 1.373855592481995957e+00, 1.043815397033660108e+00, 1.150583544580384032e+00, 1.323728695468163075e+00, 1.456495902726808733e+00, 1.059064706131686684e+00, 1.207018158649341588e+00, 1.158893465743400242e+00, 1.182202876917009426e+00, 1.348385095555090896e+00, 2.001431485523708975e+00, 1.453973716021853102e+00, 1.436305793232994565e+00, 1.498011226863882106e+00
1.863000000000000000e+03, 2.157594643476381524e+00, 1.056295137151331387e+00, 1.418414165927745829e+00, 1.080213102242351564e+00, 1.136919489668946515e+00, 1.331020747003961668e+00, 1.324084247499890177e+00, 1.075062970472017820e+00, 1.198203632384728934e+00, 1.119373534427866357e+00, 1.150190312124703462e+00, 1.365717626002709961e+00, 2.130120074446581135e+00, 1.497448880619181910e+00, 1.463750403549628931e+00, 1.487776858276994352e+00
1.864000000000000000e+03, 2.183918506260231318e+00, 1.069580399820066807e+00, 1.436352896213326735e+00, 1.017255036902232845e+00, 1.108337879985824337e+00, 1.253795883817156787e+00, 1.411108916069420793e+00, 1.088521497931109305e+00, 1.200024084051203754e+00, 1.177547827359361809e+00, 1.140172203211484048e+00, 1.392674757161364685e+00, 2.020272331724453085e+00, 1.560198805200766703e+00, 1.489948974314956542e+00, 1.462824536761741179e+00
1.865000000000000000e+03, 2.165083940607837931e+00, 1.092485219465279878e+00, 1.382377805024768591e+00, 1.115862211270954418e+00, 1.123311807996382861e+00, 1.259405018569269341e+00, 1.417777205617175129e+00, 1.123046545667992335e+00, 1.174522709033818391e+00, 1.118819813174113831e+00, 1.170035055810003000e+00, 1.421248366320422507e+00, 2.030523942227894452e+00, 1.523913291441321816e+00, 1.497600754385771449e+00, 1.466040267916218776e+00
1.866000000000000000e+03, 2.115166462953999016e+00, 1.058760000447434013e+00, 1.334614564078250964e+00, 1.085765301216899514e+00, 1.060932340584940237e+00, 1.251444529416636975e+00, 1.456229274908788174e+00, 1.105756918001876254e+00, 1.223686197565086786e+00, 1.100423071560078236e+00, 1.173966024835039201e+00, 1.213460700423955707e+00, 2.255712946155264298e+00, 1.589577715841944849e+00, 1.369892941558187305e+00, 1.493000468245172296e+00
1.867000000000000000e+03, 2.119147757502761298e+00, 1.122319913212072695e+00, 1.281548079740687518e+00, 1.055313926429675364e+00, 1.071250737086079763e+00, 1.304281403134384121e+00, 1.437044869576678652e+00, 1.077476556895765381e+00, 1.197435699564048495e+00, 1.185331848274380873e+00, 1.221269511393718643e+00, 1.162587404053556206e+00, 2.267945132650870388e+00, 1.495972514730465885e+00, 1.390287589073089691e+00, 1.483713163622070619e+00
1.868000000000000000e+03, 2.094125779421185385e+00, 1.109151111790142918e+00, 1.335704883037871049e+00, 1.061228738807788119e+00, 1.109469579493008951e+00, 1.320782073535547774e+00, 1.465443197621479010e+00, 1.086436206518214265e+00, 1.121651015753904135e+00, 1.076949334206643183e+00, 1.171461173627572627e+00, 1.272122535878936089e+00, 1.911799409182069587e+00, 1.423514713520952268e+00, 1.412795995870035126e+00, 1.463148452006444167e+00
1.869000000000000000e+03, 2.092292740310208288e+00, 1.198258206016567629e+00, 1.282121435193694925e+00, 1.123065022874808472e+00, 1.090252060207272944e+00, 1.283123745952875483e+00, 1.426097366375365771e+00, 1.065961809442532715e+00, 1.044801100749644718e+00, 1.265999753045528919e+00, 1.210620356812242671e+00, 1.312204196105655418e+00, 1.774140500444561841e+00, 1.463189055553632878e+00, 1.477834128074638986e+00, 1.471587350425428653e+00
1.870000000000000000e+03, 2.040284162166214887e+00, 1.105363917753593661e+00, 1.280642688295863474e+00, 1.078631061729977914e+00, 1.057465019232338044e+00, 1.250352786807362726e+00, 1.377288493615234310e+00, 1.105636760988492284e+00, 9.320329120429343694e-01, 1.084885615775218914e+00, 1.170390380469027880e+00, 1.111287892403444610e+00, 1.827760645939422890e+00, 1.413015331294024346e+00, 1.432621054082379386e+00, 1.477277917992538603e+00
1.871000000000000000e+03, 2.068453824653640805e+00, 1.056814251711970964e+00, 1.339965417710543116e+00, 1.099939075599510430e+00, 1.058141823896989742e+00, 1.303379482794836175e+00, 1.390660678484092250e+00, 1.089814725472123547e+00, 1.010333641032928442e+00, 1.106534409448102663e+00, 1.190713849561804594e+00, 1.177977773843029041e+00, 2.008506295743449410e+00, 1.430187421820870552e+00, 1.436311041751643369e+00, 1.431282272466380068e+00
1.872000000000000000e+03, 2.114163145812613553e+00, 1.078923370207958365e+00, 1.341785462934911966e+00, 1.063763384487444785e+00, 1.146434295956551219e+00, 1.274818433028649833e+00, 1.424272855218082334e+00, 1.096955099045170190e+00, 1.057711062972407801e+00, 1.189490745123266358e+00, 1.130793404647271627e+00, 1.328623254850987978e+00, 1.639016616216578237e+00, 1.449425144233131402e+00, 1.429968588374102012e+00, 1.485898870165918595e+00
1.873000000000000000e+03, 2.124165961202955533e+00, 1.060246499321192415e+00, 1.346290324977727382e+00, 1.042198088903331099e+00, 1.108275313601042589e+00, 1.305192465441598504e+00, 1.388364052181813468e+00, 1.086371223401037645e+00, 1.086610498569658301e+00, 1.137327313699709741e+00, 1.170071197823285170e+00, 1.455505872383471067e+00, 1.661702388040749101e+00, 1.452270045848611524e+00, 1.455443142932248968e+00, 1.449205602535664772e+00
1.874000000000000000e+03, 2.135469938447750238e+00, 1.105017585925498036e+00, 1.396255554527756848e+00, 1.025176983331910208e+00, 1.143560463251783954e+00, 1.269279370160058207e+00, 1.336569313805446857e+00, 1.087373667510276531e+00, 1.112267895162283748e+00, 1.182875724630853220e+00, 1.135347103361590060e+00, 1.481446641336099157e+00, 1.762398478966812565e+00, 1.471159699592897718e+00, 1.447492977484725829e+00, 1.495365384371178719e+00
1.875000000000000000e+03, 2.100939076459985788e+00, 1.095525289063571162e+00, 1.416342585891248840e+00, 1.045140027410595973e+00, 1.179464921206767380e+00, 1.262259255519796453e+00, 1.427853247026293237e+00, 1.046799733131618781e+00, 1.186290279792929558e+00, 1.001387915491700253e+00, 1.213176110929391260e+00, 1.356475842609526472e+00, 1.899325754227433327e+00, 1.389205055269518541e+00, 1.407278223818342555e+00, 1.485669580002126011e+00
1.876000000000000000e+03, 2.100371809189215178e+00, 1.082785689858670075e+00, 1.405046637764063799e+00, 1.011096508270773464e+00, 1.167947657840484821e+00, 1.269287924264163259e+00, 1.513893959046607174e+00, 1.081333089260075653e+00, 1.176575487387093499e+00, 1.098889915318454369e+00, 1.205122515762578228e+00, 1.308054980628563735e+00, 1.988395024316101489e+00, 1.454895828837783567e+00, 1.478340506339259619e+00, 1.461083732857877626e+00
