year, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CMCC-ESM2, CanESM5, CESM2-WACCM, GFDL-ESM4, MPI-ESM1-2-LR
1.850000000000000000e+03, -4.749285314710183997e-10, 1.453695535301046199e-10, 8.246392717089416137e-11, 1.300614991841411595e-09, -7.102891398741526689e-10, 3.205125879894494870e-11, -1.665516680295013087e-10, 6.677922430421039174e-10
1.851000000000000000e+03, -2.096003725300925307e-10, -6.738918205115900925e-10, -9.331617826503462192e-10, 5.847279395665720736e-10, 4.488292358586490903e-10, -8.329213599980605856e-10, -3.835914667646962906e-10, -5.683397032719297992e-10
1.852000000000000000e+03, 3.881946978366491904e-10, -1.329031091804238139e-10, -1.002438372172039087e-10, 1.892889634433786385e-09, -3.980874085547002054e-11, -6.819672292071802006e-10, -1.088801184719585782e-09, 5.785275428758531420e-11
1.853000000000000000e+03, 2.321744603655853712e-10, -2.375101812862308165e-10, -3.176558465221302170e-10, -4.827369808497723820e-10, -2.781617734277093049e-10, -9.584760583345084479e-10, -2.349590023665063727e-10, -8.398006218465414476e-10
1.854000000000000000e+03, 7.554140061459831911e-10, 2.994627154445210863e-10, -1.947187955056806694e-10, 1.625991649363777749e-09, -3.196115682887269492e-10, 1.989935669068815385e-10, -6.914770202000976122e-10, 1.207397099069131671e-10
1.855000000000000000e+03, -1.600972354690885655e-09, 1.631113370590695967e-10, -5.747297680274833447e-10, 2.049604227398852043e-09, -1.070025251711893664e-10, -4.164708699585540723e-10, 1.817395597275544252e-11, 3.456034886727175301e-10
1.856000000000000000e+03, -5.085579419060285219e-10, 7.355707006196442696e-11, -1.084166313339366279e-09, 2.631735734060867500e-09, -1.573626836622933933e-10, -2.729612200241881699e-10, -7.630939735965723103e-10, -6.586707341882396655e-11
1.857000000000000000e+03, -7.340331596000058668e-10, -5.637677109547052300e-10, -7.107097725901037390e-10, -1.707666659959137865e-09, -3.264998362501173346e-10, -5.018041677082197328e-10, -1.320163132198662202e-09, 6.067267533615279345e-10
1.858000000000000000e+03, -5.944920721459119597e-10, 4.342757680061148922e-10, -5.698161575018649803e-10, 2.459027924943697741e-10, 2.477526776595225391e-10, -3.333927541787396669e-10, -1.939165170744014194e-10, -4.230652008402371294e-10
1.859000000000000000e+03, 1.526868561794921563e-10, -6.459180207996452675e-10, -4.763287912618062615e-10, 1.007474055456257943e-09, 1.880204201273314505e-10, -7.626977031377247310e-10, -1.083631003985213521e-09, 3.098538554070844958e-11
1.860000000000000000e+03, 7.960368383354281186e-10, 1.677228743210147160e-10, 2.542894655269159659e-10, 3.392706871266849315e-10, -1.312408898930587073e-09, -5.743665981131430214e-10, -9.992840386639356951e-10, -4.841534348742692986e-10
1.861000000000000000e+03, 2.205225097900275617e-10, -1.449720283410760597e-10, -9.533564841099185681e-10, 5.806628478994941732e-10, -5.181353645058934452e-10, -5.340137589843607592e-10, -3.216616640616000707e-10, 4.948981121183676463e-10
1.862000000000000000e+03, -1.781823273898112721e-10, -3.588165566172714965e-10, -6.680312327980709954e-10, 4.292067278447595845e-10, 3.598282296873898986e-10, -7.475503518663677984e-10, 1.483246752060668614e-11, 4.965043517898524095e-10
1.863000000000000000e+03, -1.974548787288563791e-10, 9.345862489019999452e-12, -8.768353940629623615e-10, 5.098543871590728627e-10, 2.469060543241403006e-11, -6.086645235246843349e-10, -2.171445367282386125e-10, 3.820364164699586895e-11
1.864000000000000000e+03, -9.899885343305642285e-11, 2.555097477189868046e-10, 4.045265838374043545e-10, 1.091557904999096488e-09, -8.720211890512934038e-10, -5.416005083463311958e-10, 4.241311099124945479e-11, -9.594866595796456030e-10
1.865000000000000000e+03, -7.406722562880538577e-11, 2.783771588101379520e-10, -1.386306859172873208e-11, 8.919075249802462148e-10, 2.335875207169986891e-10, -1.718380413283593976e-10, -2.878939589358074158e-10, -7.670353955277861370e-10
1.866000000000000000e+03, -2.615864369051550087e-10, -8.028873414431807951e-11, 1.052990121722882016e-10, -2.701751689962730222e-10, -1.528941990798966019e-10, -5.875131643045236084e-10, 2.903309472738841840e-10, -3.277758352157657048e-10
1.867000000000000000e+03, 5.392167766790491862e-10, -5.836588801381107315e-10, -5.815111760068070734e-10, 1.548702831314030408e-09, -4.259346164890215511e-10, -8.055191581000265242e-10, -4.008470342445397125e-10, 8.224608417205270302e-11
1.868000000000000000e+03, -2.337724052233825767e-10, 1.114156576946223685e-10, -3.977786885141648840e-10, 2.490585887274385569e-09, -1.114291727529983284e-10, -5.021656445751771717e-10, -6.179042903233077703e-10, 3.458818408064382068e-10
1.869000000000000000e+03, 5.243023512455366821e-10, -1.307900713067531484e-10, -2.191549391495501724e-10, 1.437598373469400481e-09, -4.072079507549841346e-10, -4.132973847291540739e-10, -8.274059737829998725e-10, 2.985942865975884704e-10
1.870000000000000000e+03, -5.472287931301221291e-10, -9.306714527913083624e-10, -3.266713928902381387e-10, -3.738594951209756957e-10, 7.248282007694359749e-10, -5.846590859474782989e-10, -6.841431110998418582e-10, -9.806906031661564620e-10
1.871000000000000000e+03, -4.494157153814818163e-10, -3.804477750483565944e-11, -3.357935708493665439e-10, 1.913101274843713254e-09, -1.182992083317692425e-09, -6.105796171360034902e-10, 1.090282217109349544e-10, -1.258577561649109816e-10
1.872000000000000000e+03, 7.334898233644497547e-10, -1.426812410012852102e-10, -3.841443977752438058e-10, 2.473339393302149294e-09, -3.725069311099630712e-10, -1.287467040132751165e-10, -1.008781864303844838e-09, 6.536419342323482318e-11
1.873000000000000000e+03, 5.961902017674099289e-11, -3.492920597582532767e-10, -8.124076759898068780e-10, 6.558280196382122604e-10, -3.724633725438319427e-10, -5.737168923567354425e-10, -9.018278549073732826e-10, -6.100940061291572304e-10
