year, GFDL-ESM4, INM-CM4-8, NorESM2-MM, UKESM1-0-LL, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, TaiESM1, MPI-ESM1-2-LR, INM-CM5-0, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1
1.850000000000000000e+03, 2.568171835624486921e+00, 1.724490195047812202e+00, 1.867939627178213158e+00, 2.018090678017754325e+00, 1.843494508594416326e+00, 2.089289805500007091e+00, 2.147879405962454413e+00, 2.037296146977268130e+00, 2.010134518758208255e+00, 1.961877156023470459e+00, 2.571116062296539440e+00, 2.469554883039562387e+00, 2.041483580227891892e+00, 2.410678160536353865e+00, 2.220644800296916355e+00, 2.488942619008464696e+00
1.851000000000000000e+03, 2.543366857440437112e+00, 1.795621014921012781e+00, 1.986198979579266499e+00, 1.997898044166544151e+00, 2.091925871400076353e+00, 2.010303800459956047e+00, 2.069227655520768039e+00, 2.137966220666105421e+00, 2.389591144916393795e+00, 1.736529920440599062e+00, 2.378540549091800571e+00, 2.482978360412352981e+00, 1.996209023817086203e+00, 2.591622472462080218e+00, 1.889454036271473347e+00, 2.438108837081887970e+00
1.852000000000000000e+03, 2.366111032372732126e+00, 1.845529656429202525e+00, 1.837148584786667094e+00, 2.218178145458482131e+00, 1.938476025908816514e+00, 2.278170503614177278e+00, 1.845420913823264897e+00, 2.051362108436879161e+00, 1.997028258036070314e+00, 2.067389549055423714e+00, 2.552838019650047752e+00, 2.680162141304746282e+00, 2.003979661737150586e+00, 2.390967322420809005e+00, 2.039313788401355243e+00, 2.633629747497920892e+00
1.853000000000000000e+03, 2.637816656696294615e+00, 1.747824344137486552e+00, 1.903761700542938584e+00, 2.125397805222530412e+00, 1.785620442361524507e+00, 2.092330678207647843e+00, 2.150266172039655643e+00, 2.069077797494651261e+00, 2.367897451966432421e+00, 1.787638187652288435e+00, 2.430468926403261065e+00, 2.420890562855210426e+00, 2.202298437506017503e+00, 2.449527589816803630e+00, 2.168048961993856327e+00, 2.665046992165327033e+00
1.854000000000000000e+03, 2.466795666701903311e+00, 1.812988975986595586e+00, 2.021085175873237993e+00, 2.090621846958864438e+00, 2.008967824085761578e+00, 1.960602093593920792e+00, 2.171595967644427638e+00, 2.238366790947816209e+00, 2.221186725996460609e+00, 2.034294066248418797e+00, 2.077932258012737510e+00, 2.573772089376944017e+00, 2.091454282339584747e+00, 2.563683990978782745e+00, 2.232924206707976200e+00, 2.480890337420055936e+00
1.855000000000000000e+03, 2.573700846040121615e+00, 1.848921525405344601e+00, 2.077783265342579622e+00, 2.090765856892232932e+00, 1.943575439722239340e+00, 1.930998755045242543e+00, 1.975705933897558886e+00, 2.016650366525649662e+00, 2.274992661918703085e+00, 2.076187035885909360e+00, 2.235305229557187801e+00, 2.565890735901172892e+00, 2.026384236413349527e+00, 2.592442083106325512e+00, 2.069230751095198606e+00, 2.126041141011381974e+00
1.856000000000000000e+03, 2.409330769287111096e+00, 1.916163249444557515e+00, 1.804382097191713274e+00, 2.179559149364362458e+00, 1.968768673932924873e+00, 2.058367582828341202e+00, 2.004411909795799751e+00, 2.192825528312643879e+00, 2.136328509386724583e+00, 1.725205364390388407e+00, 2.385083438244541831e+00, 2.445682523575552381e+00, 1.936448768390889308e+00, 2.524546813623206987e+00, 2.255689200864279709e+00, 2.564438410060288387e+00
1.857000000000000000e+03, 2.495330404074789676e+00, 1.965105862404040060e+00, 1.912807322285011269e+00, 2.022999220613109550e+00, 1.959976097070407208e+00, 2.104059737591732926e+00, 2.117076939862218676e+00, 2.213419368126109177e+00, 2.123110921042534294e+00, 1.941225682781061002e+00, 2.434501176380395204e+00, 2.522808440136174557e+00, 2.025658915599481524e+00, 2.531875253248010438e+00, 2.190294983319305722e+00, 2.454899405699209058e+00
1.858000000000000000e+03, 2.341269780164256797e+00, 2.016622020815362237e+00, 1.912778251745295366e+00, 1.915677221741109326e+00, 1.887369208107213536e+00, 2.084938040789691360e+00, 2.041016008650058833e+00, 2.284494163367731812e+00, 2.248057687830681495e+00, 1.976463783390122186e+00, 2.469189756740505448e+00, 2.633724351973901978e+00, 1.883590455837638622e+00, 2.410974137108365056e+00, 2.150586370484951271e+00, 2.166084454031222961e+00
1.859000000000000000e+03, 2.518988684172360326e+00, 1.681678885090545750e+00, 1.962995802579358573e+00, 2.056270141451231215e+00, 1.969542111296210374e+00, 2.067682768488946277e+00, 2.095912243798092600e+00, 2.107304752973734985e+00, 2.126344343230459177e+00, 1.764410117203363271e+00, 2.499361910233627082e+00, 2.423964824810321605e+00, 1.869012199941723962e+00, 2.449605199663014599e+00, 2.146792705556265002e+00, 2.678483042810069215e+00
1.860000000000000000e+03, 2.405375245977348531e+00, 1.718861516012382351e+00, 2.042941596736396193e+00, 2.096059164822795751e+00, 1.853383573327431977e+00, 1.873780377953076615e+00, 2.216549909525892481e+00, 2.477969434754691225e+00, 2.020355922841333474e+00, 1.858529760766844952e+00, 2.546953215416249083e+00, 2.641658546031643073e+00, 2.190223272063876792e+00, 2.583899506185344475e+00, 2.107226332541326741e+00, 2.564046154452415571e+00
1.861000000000000000e+03, 2.438155500480688520e+00, 1.761313908658614258e+00, 2.085881391437869770e+00, 2.133292320169669853e+00, 1.917419151677489886e+00, 2.048211298188551854e+00, 1.939881472311991262e+00, 2.134882158393102802e+00, 2.355609698611351721e+00, 2.028857712474878117e+00, 2.520447651301914505e+00, 2.453495198051862669e+00, 2.082362747256683022e+00, 2.413530584219958364e+00, 2.308495276036921950e+00, 2.612744949800576588e+00
1.862000000000000000e+03, 2.435850111468337964e+00, 1.908820985035858619e+00, 1.871965529093778891e+00, 2.196131671492720816e+00, 1.907260475312095860e+00, 1.971862405998879186e+00, 2.192352934047180568e+00, 2.141770644764724452e+00, 2.271237405512829266e+00, 1.839877690990515235e+00, 2.293106354939772107e+00, 2.368389976388304063e+00, 1.912244262821028107e+00, 2.388885172867932116e+00, 2.231346109117249732e+00, 2.568169435041216087e+00
1.863000000000000000e+03, 2.545314209784052650e+00, 1.858290040408118626e+00, 1.859703680437946094e+00, 2.111589825648560570e+00, 2.101662214416380348e+00, 2.033740888323633200e+00, 2.101276044504634122e+00, 2.265619975348411419e+00, 2.330643264336726528e+00, 1.854550762736711045e+00, 2.797097252385514210e+00, 2.651797955526530970e+00, 2.100399232144154915e+00, 2.511832045747994346e+00, 2.041368469976849731e+00, 2.336459338438785949e+00
1.864000000000000000e+03, 2.650110310378715361e+00, 2.069804473770251896e+00, 2.157602365635368891e+00, 2.351545951014056612e+00, 1.859091800485653367e+00, 1.972256986196592399e+00, 2.069993928570231567e+00, 2.168045107907769165e+00, 2.108600586214048889e+00, 1.965731283196722190e+00, 2.519792701203409813e+00, 2.495757740912918354e+00, 1.990562709454468004e+00, 2.556195804037443065e+00, 2.110008614198695565e+00, 2.449293221198821424e+00
1.865000000000000000e+03, 2.489848856141532174e+00, 1.729336426338928145e+00, 1.974110555129221956e+00, 2.139187973499741879e+00, 1.866016768033891493e+00, 1.844131729729574287e+00, 2.004729245815231931e+00, 2.128128612061224167e+00, 2.082651159848601274e+00, 1.918090123374920575e+00, 2.278534381510129325e+00, 2.636659076567488214e+00, 1.841114379888102892e+00, 2.591829663863917776e+00, 2.195143641887502994e+00, 2.474697113385242897e+00
1.866000000000000000e+03, 2.727897907875706185e+00, 1.902776472526132912e+00, 2.137021880960812137e+00, 1.911773710739967491e+00, 1.968023119850413005e+00, 2.023512086997378834e+00, 2.084616263367890188e+00, 2.144410120126635455e+00, 2.116161385907356252e+00, 1.965295004616784746e+00, 2.299758236565437652e+00, 2.552456358600454056e+00, 2.087330699127183831e+00, 2.390056602699838884e+00, 2.046463590532388910e+00, 2.360946285614109907e+00
