year, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, INM-CM4-8, NorESM2-LM, CESM2-WACCM, NorESM2-MM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, UKESM1-0-LL, ACCESS-ESM1-5
1.850000000000000000e+03, 2.808929963121484548e+02, 2.818206008142408905e+02, 2.815008674114203586e+02, 2.824020325248343966e+02, 2.825673471468141997e+02, 2.828479113873834194e+02, 2.821753444113408023e+02, 2.828412397041443569e+02, 2.817270046608733196e+02, 2.794547928180626286e+02, 2.796759383314008005e+02, 2.825964557087036155e+02, 2.779692367397539670e+02, 2.808472169989449299e+02, 2.794021154532011906e+02, 2.823287934966694479e+02
1.851000000000000000e+03, 2.814780344145554523e+02, 2.815102815822353932e+02, 2.817922387277716894e+02, 2.821676789893458022e+02, 2.826770526478830448e+02, 2.826839302540493009e+02, 2.821632587630693365e+02, 2.827087654524722211e+02, 2.816700985234421069e+02, 2.798312903707896453e+02, 2.811741626517188024e+02, 2.827934343016370917e+02, 2.787578777845029663e+02, 2.803586341066555292e+02, 2.802908210332009844e+02, 2.816422743123825398e+02
1.852000000000000000e+03, 2.809277304300358082e+02, 2.818783977338754880e+02, 2.815852105161903864e+02, 2.817626053888570254e+02, 2.826579761339709762e+02, 2.827471422034869306e+02, 2.822005223222178643e+02, 2.823012591868959476e+02, 2.815882409740995627e+02, 2.802643202635862849e+02, 2.805268290138667453e+02, 2.832334748331101650e+02, 2.787866819580503375e+02, 2.802003653667329672e+02, 2.796844460085263790e+02, 2.816912486303053242e+02
1.853000000000000000e+03, 2.808930671192301816e+02, 2.815232229891182669e+02, 2.823150353595432875e+02, 2.823484271935648735e+02, 2.838762349515779420e+02, 2.825208599492560779e+02, 2.816376020426492914e+02, 2.824617356024838273e+02, 2.819615999873474266e+02, 2.792089640528658947e+02, 2.805406052760164357e+02, 2.830857684768807303e+02, 2.777644097576775266e+02, 2.807495460404027199e+02, 2.803923781019640842e+02, 2.814474660408036470e+02
1.854000000000000000e+03, 2.804263577063662183e+02, 2.817667197121661502e+02, 2.815520359824032539e+02, 2.822522686948155979e+02, 2.824939618639278365e+02, 2.823079935036025176e+02, 2.819148155052186553e+02, 2.827801539088935669e+02, 2.815814575022499753e+02, 2.804138547578234579e+02, 2.805456272062210132e+02, 2.820944115871171789e+02, 2.788674826796999469e+02, 2.803961285812373490e+02, 2.801182810460907717e+02, 2.828716665947652587e+02
1.855000000000000000e+03, 2.804889625724109692e+02, 2.820560406307973835e+02, 2.819158971794565218e+02, 2.818462873487418392e+02, 2.828926088207952603e+02, 2.824068716777380246e+02, 2.817427325583817606e+02, 2.821257070946618910e+02, 2.816562702357486501e+02, 2.803498724290761857e+02, 2.803234294886785847e+02, 2.836003417434258722e+02, 2.798445363362681633e+02, 2.806889806304191666e+02, 2.790223393555776852e+02, 2.824757167840196530e+02
1.856000000000000000e+03, 2.806815161312870259e+02, 2.817960371695349977e+02, 2.815619451854084900e+02, 2.815459221271708543e+02, 2.825861656870929437e+02, 2.827553054982537333e+02, 2.820453002675142216e+02, 2.819571335400346470e+02, 2.817939065245711276e+02, 2.802747261682447402e+02, 2.807102626322666197e+02, 2.836904652598043981e+02, 2.793489509637610695e+02, 2.799146517347200529e+02, 2.805971508496127171e+02, 2.822571857483486610e+02
1.857000000000000000e+03, 2.811730212810648482e+02, 2.815941346702842338e+02, 2.819465865058825216e+02, 2.820244362278805283e+02, 2.830803766463726561e+02, 2.817149963077902726e+02, 2.829951851442161228e+02, 2.827788930106844418e+02, 2.816065350338757867e+02, 2.808422961231108275e+02, 2.805671290479872368e+02, 2.831707167021458531e+02, 2.791311771170394422e+02, 2.807182303017826257e+02, 2.810859100141810814e+02, 2.828561388159659487e+02
1.858000000000000000e+03, 2.810593363053196754e+02, 2.816395919979145788e+02, 2.819602115350285771e+02, 2.823664462637011070e+02, 2.821566001843179947e+02, 2.819781558737663545e+02, 2.820910491275744221e+02, 2.821772999106021302e+02, 2.809061013002714162e+02, 2.798466029191946518e+02, 2.808800262502035707e+02, 2.824590337428923590e+02, 2.793203733369281849e+02, 2.806261443440895391e+02, 2.802216659579892735e+02, 2.824967071764653497e+02
1.859000000000000000e+03, 2.813017558970508389e+02, 2.815280483680528505e+02, 2.806995366025390126e+02, 2.823392982989454367e+02, 2.821484310249868486e+02, 2.819061555979803302e+02, 2.816861046093612799e+02, 2.823402241998306295e+02, 2.818871935841490313e+02, 2.807279296618929720e+02, 2.808179688942647658e+02, 2.835882597611968094e+02, 2.780849643545914205e+02, 2.814254231654933278e+02, 2.807641773990225715e+02, 2.825956741298798534e+02
