year, UKESM1-0-LL, CanESM5, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, TaiESM1, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR
2.015000000000000000e+03, 1.065687583555942979e+02, 7.115372689389070615e+01, 5.445787183826473665e+01, 4.113384254555460728e+01, 4.030700425813834897e+01, 1.633734082967545120e+01, 4.197253424834030966e+01, 1.810939247129557828e+02, 2.962433371952026562e+01, 5.906213609942851406e+01, 9.577191259317429228e+01, 7.033334542013933799e+01, 1.162279508459109678e+01, 3.667523727244638110e+01
2.016000000000000000e+03, 1.066477883792870500e+02, 7.113427189390904459e+01, 5.451137709116039787e+01, 4.118094632999098081e+01, 4.035011954962828895e+01, 1.634892869313294028e+01, 4.200628619546739628e+01, 1.809746197232730367e+02, 2.963070264854069436e+01, 5.904176545971367318e+01, 9.579717224950353227e+01, 7.048001900933360275e+01, 1.161882264476208704e+01, 3.663078412958270036e+01
2.017000000000000000e+03, 1.067740389317662419e+02, 7.112712665112404409e+01, 5.448107277738605347e+01, 4.120428946917935775e+01, 4.036479226405086962e+01, 1.641417409756174095e+01, 4.201926029068384594e+01, 1.808652034712868328e+02, 2.963399588624711711e+01, 5.900919256105716926e+01, 9.582772987743025794e+01, 7.058284332229496272e+01, 1.165074969528602189e+01, 3.664342647364790650e+01
2.018000000000000000e+03, 1.068046285165356295e+02, 7.112009572967899373e+01, 5.443932197233873183e+01, 4.120259185955799097e+01, 4.040311436669806966e+01, 1.638876301962694626e+01, 4.203544756977872510e+01, 1.809105373636844547e+02, 2.965344056691625596e+01, 5.899943895191056242e+01, 9.587465078729493939e+01, 7.066714771053756294e+01, 1.167153339394525702e+01, 3.667892977087070960e+01
2.019000000000000000e+03, 1.067967040009233273e+02, 7.111561012483045374e+01, 5.442337485528879881e+01, 4.124263797758337091e+01, 4.046073657326527240e+01, 1.640488522647125080e+01, 4.208304961121424270e+01, 1.809258773205782234e+02, 2.966792185008240068e+01, 5.902895022609917675e+01, 9.594629664413706394e+01, 7.077781105727625288e+01, 1.165461181702559301e+01, 3.670936836672108683e+01
2.020000000000000000e+03, 1.068455222114418035e+02, 7.111350205076364261e+01, 5.441342896582715838e+01, 4.128484651279197237e+01, 4.047547028796364543e+01, 1.647649217755684603e+01, 4.216582649102829095e+01, 1.809283904897543493e+02, 2.967918331031944490e+01, 5.906934492643281942e+01, 9.600951670435986784e+01, 7.083330997396666362e+01, 1.164058783439419642e+01, 3.672877234764614940e+01
2.021000000000000000e+03, 1.069333893273543623e+02, 7.111123132253551660e+01, 5.442562318413938272e+01, 4.132626799761344927e+01, 4.048244051368300234e+01, 1.650078386002567399e+01, 4.222910389758980898e+01, 1.809758887540353953e+02, 2.969575350577749973e+01, 5.907762671625881978e+01, 9.606463783533827439e+01, 7.088913126014192301e+01, 1.166969088658492737e+01, 3.670662817757747121e+01
2.022000000000000000e+03, 1.069449567872870119e+02, 7.111405737470353472e+01, 5.443980460794256260e+01, 4.135799875350055288e+01, 4.049666225369642802e+01, 1.658754152705062523e+01, 4.224027096439752427e+01, 1.808844455799787170e+02, 2.971703039791190193e+01, 5.907186628885317958e+01, 9.610924732917773383e+01, 7.093806104933831591e+01, 1.165703462502368559e+01, 3.671166185540388938e+01
2.023000000000000000e+03, 1.070220952404842762e+02, 7.111493743810154911e+01, 5.442383770297539058e+01, 4.140621932562775243e+01, 4.048636786165592127e+01, 1.659921028324863812e+01, 4.225981796862655671e+01, 1.809263202815499767e+02, 2.973230387629670091e+01, 5.910307335058896427e+01, 9.618676862933747884e+01, 7.098205195048045368e+01, 1.162386141322057220e+01, 3.677376784878327243e+01
2.024000000000000000e+03, 1.070584585232042798e+02, 7.110083301942700018e+01, 5.443419233189350592e+01, 4.143334688497350982e+01, 4.050431503529889454e+01, 1.654327058546961027e+01, 4.228013466166800782e+01, 1.809409767738357573e+02, 2.976291949209546317e+01, 5.913962605761519598e+01, 9.627762567898392376e+01, 7.103719910518981351e+01, 1.159487418612863685e+01, 3.687511852969285542e+01
2.025000000000000000e+03, 1.072168940254854874e+02, 7.109617812099524770e+01, 5.446867770228131889e+01, 4.146194947344714166e+01, 4.054047840106209577e+01, 1.659756306984910879e+01, 4.228172221566604350e+01, 1.809330322085892533e+02, 2.979492758494397719e+01, 5.915156181482684161e+01, 9.635524846979502911e+01, 7.108025649287201020e+01, 1.158566279374230845e+01, 3.689985227136657642e+01
2.026000000000000000e+03, 1.072469883718329839e+02, 7.110673213096322343e+01, 5.451591287554759191e+01, 4.147511439432621216e+01, 4.057524042363044714e+01, 1.659100309853689481e+01, 4.228931173768150131e+01, 1.809468042757352464e+02, 2.981608413984280403e+01, 5.913734075311593585e+01, 9.641691332761104150e+01, 7.115771177444095485e+01, 1.161397753995130167e+01, 3.685511017455805671e+01
2.027000000000000000e+03, 1.073107031991754354e+02, 7.114523191199170071e+01, 5.454968238433180261e+01, 4.148716956466353878e+01, 4.057493928590448462e+01, 1.662561402486079487e+01, 4.231624901110502890e+01, 1.809098779177552956e+02, 2.983976238152035521e+01, 5.915101292307917191e+01, 9.647938372149221209e+01, 7.121481642646345733e+01, 1.158220072633443642e+01, 3.692519537107112626e+01
2.028000000000000000e+03, 1.074029179532758604e+02, 7.119675503525229487e+01, 5.459145286438551636e+01, 4.150004126219280920e+01, 4.056649390661717547e+01, 1.661158949371558791e+01, 4.235259445785994359e+01, 1.808167061710332462e+02, 2.984976243641508020e+01, 5.914911840152816325e+01, 9.653067876596024632e+01, 7.128713152276935716e+01, 1.160069695175329585e+01, 3.698871054263526759e+01
2.029000000000000000e+03, 1.075225910613195168e+02, 7.122608417056198959e+01, 5.464188381786699011e+01, 4.152390768044633518e+01, 4.062515760567016798e+01, 1.666432559880072972e+01, 4.236508929938171519e+01, 1.807336291582147680e+02, 2.987286085855704698e+01, 5.914670066167129647e+01, 9.659067530614218811e+01, 7.136195556330696377e+01, 1.161371864110086705e+01, 3.695994555129036740e+01
2.030000000000000000e+03, 1.076792705171324656e+02, 7.125902700595121075e+01, 5.468226880960897063e+01, 4.154972159471382298e+01, 4.064426421233289943e+01, 1.664678047896868307e+01, 4.238422268748009003e+01, 1.807200184894504673e+02, 2.990026111258449859e+01, 5.916242140392116511e+01, 9.667582999377115982e+01, 7.141791528045227722e+01, 1.158342958152278079e+01, 3.694701943111762432e+01
2.031000000000000000e+03, 1.078180254006892795e+02, 7.130688079339580554e+01, 5.471311182681965590e+01, 4.157433114355742276e+01, 4.066988083546166877e+01, 1.671637981149497065e+01, 4.242118263237877329e+01, 1.807304239243565576e+02, 2.992435370980517106e+01, 5.916962431168912673e+01, 9.676896450066999478e+01, 7.147447130711437069e+01, 1.159731728354282332e+01, 3.691136805767822437e+01
2.032000000000000000e+03, 1.079047898894906439e+02, 7.135821272887226030e+01, 5.473953100136249361e+01, 4.160303421629354403e+01, 4.073763980895982684e+01, 1.672439079944983220e+01, 4.246822243211023817e+01, 1.807338553242797730e+02, 2.996192190448976334e+01, 5.917885848971599216e+01, 9.682060096669508198e+01, 7.153797678402384008e+01, 1.158955688105180037e+01, 3.696181130708849594e+01
2.033000000000000000e+03, 1.080753972424714959e+02, 7.139700396695968720e+01, 5.478021139426481056e+01, 4.165409543498023481e+01, 4.077485669716124761e+01, 1.674677327343681910e+01, 4.251241849617046853e+01, 1.807077291988615855e+02, 2.996632731025631458e+01, 5.920798452818818447e+01, 9.691582059339775412e+01, 7.158109718815919109e+01, 1.160211408480008899e+01, 3.703030522917290313e+01
