year, CNRM-ESM2-1, INM-CM5-0, CanESM5, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, TaiESM1, CMCC-CM2-SR5, MPI-ESM1-2-LR, INM-CM4-8, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL
2.015000000000000000e+03, 2.639236827443711420e+01, 2.286317119201802583e+01, 2.579544113978398912e+01, 1.301059031753355555e+01, 1.441427124695716522e+01, 9.354566153335879264e+00, 2.624813181220049429e+01, 7.790400542703581621e+00, 3.898873452727888633e+01, 4.594523180591689737e+00, 7.489116593211640804e+00, 5.553638319589846439e+00, 2.195135497507951428e+01, 1.258156825268444123e+01, 1.516137194703317981e+01, 1.273310425484860886e+01
2.016000000000000000e+03, 2.666405562185046918e+01, 2.290253135536926621e+01, 2.599766642887593804e+01, 1.298144865533953229e+01, 1.442843800688538280e+01, 9.386831182126520901e+00, 2.634168870288592146e+01, 7.875739337936757956e+00, 3.895136290610926721e+01, 4.618116895797514943e+00, 8.513438122822213572e+00, 5.651651034040302335e+00, 2.203084169065612130e+01, 1.260155650178083953e+01, 1.517965831728425385e+01, 1.280601102650115131e+01
2.017000000000000000e+03, 2.691950790554612283e+01, 2.287598666088254262e+01, 2.620081654957130723e+01, 1.304384188431943592e+01, 1.455646561274284778e+01, 9.511055667919888990e+00, 2.650426141123964641e+01, 7.962524936394953734e+00, 3.901005569129700490e+01, 4.522603147111178501e+00, 8.716800319314579326e+00, 5.705325644852294431e+00, 2.213785124390972214e+01, 1.267473781551671053e+01, 1.531723581586290983e+01, 1.288260247104470935e+01
2.018000000000000000e+03, 2.716480627140366977e+01, 2.298308006521132540e+01, 2.638424385993894106e+01, 1.323114468670982191e+01, 1.468095204237633133e+01, 9.653042888818148981e+00, 2.665757278667598484e+01, 7.970361657672270006e+00, 3.909628336290694506e+01, 4.748774673958986448e+00, 8.126863853239512991e+00, 5.648839067352994014e+00, 2.217101995562524053e+01, 1.262856451556985071e+01, 1.545691360402257963e+01, 1.293181936817500954e+01
2.019000000000000000e+03, 2.731098930390681190e+01, 2.290652738464963178e+01, 2.654644979724400500e+01, 1.326978727176070905e+01, 1.467282981749937854e+01, 9.694552144890254297e+00, 2.685014514915330963e+01, 8.042771502884168200e+00, 3.923621508359534005e+01, 4.731048778279951073e+00, 8.196694189861178259e+00, 5.653882318371402427e+00, 2.216484169127106085e+01, 1.255243376624072127e+01, 1.559099830038989687e+01, 1.303448196334008102e+01
2.020000000000000000e+03, 2.760810118914722722e+01, 2.299071278800269980e+01, 2.666455674475892934e+01, 1.328658052840648018e+01, 1.454959602549135944e+01, 9.672379106407479554e+00, 2.699550342559722083e+01, 8.143394916742757061e+00, 3.935687354662299953e+01, 4.507582245156963374e+00, 8.063398976206718416e+00, 5.679887439718491748e+00, 2.224800652821797442e+01, 1.265847944224188915e+01, 1.583887355921454443e+01, 1.313066118027928830e+01
2.021000000000000000e+03, 2.798484638294839755e+01, 2.317778999705171117e+01, 2.682944538544428070e+01, 1.325048835073898168e+01, 1.461994470734366658e+01, 9.815230126421102597e+00, 2.705574461911505679e+01, 8.121941160475932620e+00, 3.950635006532339588e+01, 4.561441435191106564e+00, 8.177594390642473954e+00, 5.671871268346075468e+00, 2.232353810419450824e+01, 1.270474427324645283e+01, 1.590790713765258957e+01, 1.322414440434811134e+01
2.022000000000000000e+03, 2.813396129792088374e+01, 2.327291808023549891e+01, 2.713189692297707367e+01, 1.328519966864191737e+01, 1.478994420750180083e+01, 9.889045674669640462e+00, 2.725538624685737688e+01, 8.125680392219742032e+00, 3.968630739084137105e+01, 4.272269793117379422e+00, 8.583817203269246576e+00, 5.745368101968010066e+00, 2.236082308780217431e+01, 1.276536285298508133e+01, 1.588297025124276374e+01, 1.334910785404907152e+01
2.023000000000000000e+03, 2.839736354477313895e+01, 2.328198845775009218e+01, 2.749548302049843684e+01, 1.334339519660476192e+01, 1.485015026658062531e+01, 1.008092531496920330e+01, 2.737317322297795030e+01, 8.125089821631693354e+00, 3.979239098989730650e+01, 4.416891924610373721e+00, 8.069220564084599090e+00, 5.837693370500927514e+00, 2.221287578015142117e+01, 1.295952798231296299e+01, 1.598866901045555799e+01, 1.342554677909861383e+01
2.024000000000000000e+03, 2.848731443964043208e+01, 2.331561081186412210e+01, 2.769362158167941246e+01, 1.351523297784403255e+01, 1.496471874821508408e+01, 1.017262358741236028e+01, 2.765652274016522583e+01, 8.150731419170940129e+00, 3.999931266431354260e+01, 4.675302489804944450e+00, 8.120317426493802060e+00, 5.827235035694665832e+00, 2.220376161895887535e+01, 1.299473247913040197e+01, 1.621545187860808568e+01, 1.352027227471675275e+01
2.025000000000000000e+03, 2.875355790745826923e+01, 2.333176207678738123e+01, 2.783645862274353178e+01, 1.360588821469179699e+01, 1.506555072035542864e+01, 1.027012087387116956e+01, 2.779393006172797342e+01, 8.162906782243481985e+00, 4.021427940536446499e+01, 4.604141515526884554e+00, 8.013313285889930526e+00, 5.904327814396717500e+00, 2.233064821161908853e+01, 1.303262468684391351e+01, 1.635310653042370177e+01, 1.361672678557554228e+01
2.026000000000000000e+03, 2.901256230244171164e+01, 2.335318070739851137e+01, 2.791017035975570337e+01, 1.373009676125788836e+01, 1.519895162778708908e+01, 1.032140310873806222e+01, 2.795159811341159184e+01, 8.212509252134928772e+00, 4.044132694652547855e+01, 4.686248465673061858e+00, 7.790447084388691046e+00, 5.989519729007374949e+00, 2.243854370834379708e+01, 1.305348343915597198e+01, 1.628008995302944228e+01, 1.368106470028446076e+01
2.027000000000000000e+03, 2.923918668040766988e+01, 2.346709713140888454e+01, 2.812275372955695474e+01, 1.387461786675832620e+01, 1.523902523568757594e+01, 1.036771283419677303e+01, 2.810072825755108994e+01, 8.257293536903253184e+00, 4.066068333118371214e+01, 4.633986132762786703e+00, 8.177250070556633332e+00, 6.009928414223697501e+00, 2.233594441573181655e+01, 1.328743571220718955e+01, 1.641878354210800239e+01, 1.374537019803404014e+01
2.028000000000000000e+03, 2.926509331392368551e+01, 2.357000921332157262e+01, 2.834435613086238703e+01, 1.401126758252648763e+01, 1.528962958595220734e+01, 1.045237373957852967e+01, 2.829865059995350762e+01, 8.353040388871834310e+00, 4.084101932141756208e+01, 4.659287284343344382e+00, 8.630833714229430242e+00, 6.028031663336932411e+00, 2.231513553874292910e+01, 1.338425672972930691e+01, 1.655182167282993078e+01, 1.387590786929996867e+01
2.029000000000000000e+03, 2.944247974189492467e+01, 2.360159424710467135e+01, 2.860145957776031977e+01, 1.407208550534300961e+01, 1.539994560607764384e+01, 1.058036245584550450e+01, 2.848975419533527997e+01, 8.522980000939755385e+00, 4.096687859684119104e+01, 4.602069321620513520e+00, 8.692027669023838499e+00, 6.113594976418719185e+00, 2.233449097436131225e+01, 1.333091370209258208e+01, 1.678043334638799777e+01, 1.397814164054201846e+01
2.030000000000000000e+03, 2.972767903198586126e+01, 2.357371455915018998e+01, 2.887371215484125031e+01, 1.414968404034761740e+01, 1.546447967484618857e+01, 1.071679387302288866e+01, 2.880142882807885840e+01, 8.437026389310398500e+00, 4.109176782609750234e+01, 4.722645719130392550e+00, 8.609390122418485447e+00, 6.218407769936589169e+00, 2.229616940839541783e+01, 1.349902290926961079e+01, 1.696394987392366005e+01, 1.405129926817444108e+01
2.031000000000000000e+03, 2.972085518548434280e+01, 2.355899417143557883e+01, 2.903417112113488940e+01, 1.424789625049492869e+01, 1.551085516356959459e+01, 1.084188760359935522e+01, 2.890834777616427687e+01, 8.438382511764828564e+00, 4.116309902417844313e+01, 4.493433933651300727e+00, 8.458446905850138364e+00, 6.216060466272233853e+00, 2.232995113776501839e+01, 1.353078389496248057e+01, 1.701408917224275896e+01, 1.415169130720270019e+01
2.032000000000000000e+03, 3.003517450667997224e+01, 2.359951340183653201e+01, 2.915143732939282728e+01, 1.426720439477804625e+01, 1.549766975261457524e+01, 1.083112033752078318e+01, 2.895499009831252124e+01, 8.534402682922983985e+00, 4.127456131618492208e+01, 4.592779958775896176e+00, 8.624485011378499877e+00, 6.282688131772176554e+00, 2.245641404552842602e+01, 1.343545474327955169e+01, 1.717438528468348480e+01, 1.426857363755376795e+01
2.033000000000000000e+03, 3.020105710867075643e+01, 2.363539396946638860e+01, 2.939385903515569254e+01, 1.428745322512029148e+01, 1.556333796892971932e+01, 1.103049560254865646e+01, 2.895708254147296046e+01, 8.592402484098609960e+00, 4.145916742097411856e+01, 4.539184634981586086e+00, 8.408799283999021767e+00, 6.403123441906115154e+00, 2.259665311959101786e+01, 1.354377437847384158e+01, 1.728284953498813792e+01, 1.436801602616992213e+01
2.034000000000000000e+03, 3.037618017951761828e+01, 2.379166161055055184e+01, 2.965531331712171692e+01, 1.435162612717035735e+01, 1.567778367552491936e+01, 1.102108774720407602e+01, 2.901308773626914572e+01, 8.680059970364622401e+00, 4.157387478644671575e+01, 4.711192331551468548e+00, 8.310228358433050744e+00, 6.506158446994844802e+00, 2.262522277734473874e+01, 1.364650984438443615e+01, 1.744564470227256336e+01, 1.445263201503419026e+01
2.035000000000000000e+03, 3.037188907593666087e+01, 2.387947700464376766e+01, 2.987641287566821902e+01, 1.434715455515447857e+01, 1.571335942259699259e+01, 1.112163406548125799e+01, 2.908545647770354492e+01, 8.610859478638715814e+00, 4.162289110387646929e+01, 4.924878717845697196e+00, 8.182408315337383442e+00, 6.554993989918717290e+00, 2.254015875820178039e+01, 1.378395390798866416e+01, 1.751199108844820884e+01, 1.450775441600230309e+01
2.036000000000000000e+03, 3.051579051339200177e+01, 2.378538767023606582e+01, 3.024314204620322855e+01, 1.446443087801422500e+01, 1.587512255221182222e+01, 1.129358916433675475e+01, 2.912218741750275441e+01, 8.513197489313855115e+00, 4.164936088490876642e+01, 4.655542799209135829e+00, 8.378484688370832600e+00, 6.488264658678397190e+00, 2.261497110897740725e+01, 1.386222306764619105e+01, 1.737705772305605123e+01, 1.457601160774632021e+01
2.037000000000000000e+03, 3.080614886401390962e+01, 2.367614627195722221e+01, 3.043185144534667685e+01, 1.445873707048739298e+01, 1.597445023752266025e+01, 1.139218767799202325e+01, 2.921697205372957740e+01, 8.524065669301171155e+00, 4.166432850459952419e+01, 4.504509224737541118e+00, 8.388139688900160706e+00, 6.434717211174928231e+00, 2.268888913773788474e+01, 1.406447502549460538e+01, 1.762491902616939754e+01, 1.466916377997729093e+01
2.038000000000000000e+03, 3.087981148062358017e+01, 2.365476803850749832e+01, 3.053283432845687884e+01, 1.456974826444790772e+01, 1.605197199769595784e+01, 1.156285569306016647e+01, 2.932151099353719559e+01, 8.603759041698200605e+00, 4.177715876105661152e+01, 4.729373499324050378e+00, 8.463124922396719541e+00, 6.408259620176487203e+00, 2.273409210453449347e+01, 1.421931093889283026e+01, 1.768435329986238003e+01, 1.471863140437834261e+01
