year, GFDL-ESM4, EC-Earth3-Veg, MPI-ESM1-2-LR
2.015000000000000000e+03, 4.171705638268798945e-10, 2.746961428762657698e-10, 8.089325787306135255e-10
2.016000000000000000e+03, 4.769445068751017314e-10, 2.709588570381185182e-10, 8.844787213722431247e-10
2.017000000000000000e+03, 4.828416780103072999e-10, 2.818158809497265048e-10, 8.792638152958527862e-10
2.018000000000000000e+03, 5.297248516482587023e-10, 2.829456594038089449e-10, 8.377455169421702452e-10
2.019000000000000000e+03, 4.917882143626044235e-10, 2.833549777553043880e-10, 8.396358574884061442e-10
2.020000000000000000e+03, 4.876251652390965248e-10, 2.884766345868953244e-10, 8.474677688231137527e-10
2.021000000000000000e+03, 5.576999166851352196e-10, 2.670982290346308655e-10, 8.083926437400942560e-10
2.022000000000000000e+03, 5.105481689568043507e-10, 2.596521808254086055e-10, 8.387525223103187396e-10
2.023000000000000000e+03, 4.947874182863963984e-10, 2.685037439209918371e-10, 8.667179867071124975e-10
2.024000000000000000e+03, 4.779932884090507456e-10, 2.623017592036160419e-10, 8.308463277436021137e-10
2.025000000000000000e+03, 5.293152106276821762e-10, 2.590451380319670388e-10, 8.668926063459849994e-10
2.026000000000000000e+03, 4.576520518753713722e-10, 2.369811871037174747e-10, 8.712295918073915336e-10
2.027000000000000000e+03, 4.601724621607531544e-10, 2.624892843569581773e-10, 8.555186385027003136e-10
2.028000000000000000e+03, 4.422005172707733761e-10, 2.708260468011028540e-10, 8.720317740935702982e-10
2.029000000000000000e+03, 5.134929359274015022e-10, 2.693766689609497994e-10, 8.876202839196359553e-10
2.030000000000000000e+03, 5.691183271226787094e-10, 2.652680900162001009e-10, 9.118711309244085012e-10
2.031000000000000000e+03, 4.481653364064478192e-10, 2.454653243688623713e-10, 8.426057482843865041e-10
2.032000000000000000e+03, 4.742912661340821695e-10, 2.583128987880185899e-10, 8.574928475625302232e-10
2.033000000000000000e+03, 5.115297784856619887e-10, 2.450415734016813979e-10, 9.192110406740409989e-10
2.034000000000000000e+03, 4.668161878520380097e-10, 2.663019412952782011e-10, 9.524551856227193418e-10
2.035000000000000000e+03, 4.933528848685698792e-10, 2.452509930111570163e-10, 9.357569176058369864e-10
2.036000000000000000e+03, 4.591491047243934036e-10, 2.178425029487174367e-10, 9.013484296529305563e-10
2.037000000000000000e+03, 3.993147904927544648e-10, 2.564291242473833016e-10, 8.678519620009075096e-10
2.038000000000000000e+03, 4.446893457233011205e-10, 2.283375260399387777e-10, 8.588630170634524538e-10
2.039000000000000000e+03, 4.397509335397666750e-10, 2.423823144166189494e-10, 8.446809012020630025e-10
2.040000000000000000e+03, 4.487128357973065799e-10, 2.221718351677660315e-10, 7.991392849310643318e-10
2.041000000000000000e+03, 4.201150496023339719e-10, 2.289059870471359094e-10, 7.732928785028003329e-10
2.042000000000000000e+03, 4.412960347124742770e-10, 2.097948572884129471e-10, 8.506566408779829036e-10
2.043000000000000000e+03, 4.059781039282003812e-10, 2.333469917499235481e-10, 8.467360022322726981e-10
2.044000000000000000e+03, 4.181240205444261554e-10, 2.031975692912328380e-10, 8.457498567195677443e-10
2.045000000000000000e+03, 4.167238541000101669e-10, 2.302761941562970098e-10, 8.440374124111175979e-10
2.046000000000000000e+03, 4.396956837342397493e-10, 2.165665152488828713e-10, 7.851785044923349915e-10
2.047000000000000000e+03, 4.511374370241501513e-10, 2.141709648998699453e-10, 8.706688131431923665e-10
2.048000000000000000e+03, 4.716274258207693011e-10, 2.217578252572684442e-10, 8.719359662819133377e-10
2.049000000000000000e+03, 4.288484067428641750e-10, 2.148753445250312702e-10, 8.892668979767474636e-10
2.050000000000000000e+03, 4.382333061991904461e-10, 2.113797682011576779e-10, 8.617437529433754060e-10
2.051000000000000000e+03, 4.582053042127588575e-10, 2.258953036754000006e-10, 7.719535188081465492e-10
2.052000000000000000e+03, 4.595333450893524381e-10, 1.890705273279258794e-10, 8.632220078504753315e-10
2.053000000000000000e+03, 5.048330179768968718e-10, 2.122521386361174496e-10, 8.500617236475806787e-10
2.054000000000000000e+03, 5.033999767687323152e-10, 2.008321679190375041e-10, 9.004212885515623242e-10
2.055000000000000000e+03, 4.999384491461757494e-10, 2.088206583723450269e-10, 9.282225479516053056e-10
2.056000000000000000e+03, 4.199801557529646746e-10, 1.933532560613422171e-10, 8.719627088790437438e-10
2.057000000000000000e+03, 4.216585394804330504e-10, 2.128163081282636691e-10, 9.791644568354420744e-10
2.058000000000000000e+03, 4.093501957214316489e-10, 1.918236476218758918e-10, 8.784224263827307249e-10
2.059000000000000000e+03, 4.207809193756724380e-10, 1.980530452911879422e-10, 8.730182092068730055e-10
2.060000000000000000e+03, 4.816820951126888427e-10, 1.895151564037206236e-10, 7.827848381537893401e-10
2.061000000000000000e+03, 4.647481946731811430e-10, 1.868666654792841672e-10, 8.645226508747490251e-10
2.062000000000000000e+03, 4.457028563991970182e-10, 1.831582780928518172e-10, 8.013247540991449598e-10
2.063000000000000000e+03, 4.142683736897463817e-10, 1.790174250579100867e-10, 9.202242182631973370e-10
2.064000000000000000e+03, 3.885347435620804507e-10, 1.861555272696622913e-10, 9.113101570777666469e-10
