year, NorESM2-LM, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-MM, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
2.015000000000000000e+03, 1.166984114326774931e-09, 3.352864181011798018e-11, 3.912061208431389763e-13, 1.642300007184387880e-09, 2.889570718511454038e-10, 3.380170296085973573e-10, 1.905522295587957733e-11, 2.330523686884331196e-10, 1.050625533636744838e-10, 1.997675448136961367e-11
2.016000000000000000e+03, 1.276652006580762695e-09, 2.106223158619455119e-11, 2.705081343500597865e-13, 1.539039782300067659e-09, 1.677539183352947555e-10, 3.371901709798509945e-10, 1.464836044018446912e-11, 2.525041021407277303e-10, 6.113962736466639184e-11, 1.564878543984653954e-11
2.017000000000000000e+03, 1.192282610473529247e-09, 1.802973419953699833e-11, 2.643256774456206441e-13, 1.749944749508073128e-09, 1.604223960555851805e-10, 3.367815386231216130e-10, 1.158685333057961833e-11, 2.515369682088624317e-10, 5.673190084169536304e-11, 1.509688597408515561e-11
2.018000000000000000e+03, 1.327331800084832915e-09, 1.787951453398095901e-11, 2.511329355491198098e-13, 1.810402912001735114e-09, 1.582856240635686856e-10, 3.388050164962801492e-10, 1.237331846843049962e-11, 2.452090193236027829e-10, 4.518272888997804877e-11, 1.397646117180472880e-11
2.019000000000000000e+03, 1.383192356785433684e-09, 1.540542450904838027e-11, 2.422969473593043452e-13, 1.735651360737160364e-09, 1.513556668595921859e-10, 3.391502088042175395e-10, 1.298611095479482758e-11, 2.427770655389404481e-10, 4.455445108090021031e-11, 1.312710303724399670e-11
2.020000000000000000e+03, 1.559764992520935381e-09, 1.520739371499175640e-11, 2.243559411179256254e-13, 1.512432849784223109e-09, 1.471637950745041955e-10, 3.384552450385721058e-10, 1.209932738823845783e-11, 2.329813844613087827e-10, 3.298811116844575682e-11, 1.236176004209463938e-11
2.021000000000000000e+03, 1.547449745950977981e-09, 1.061258008736345830e-11, 2.097884845736091915e-13, 1.613655783752118564e-09, 1.465638963720200692e-10, 3.363592158139165467e-10, 1.017309337822575736e-11, 2.402709371787273696e-10, 2.748769148474607747e-11, 1.154381082141358067e-11
2.022000000000000000e+03, 1.511636057260498361e-09, 1.011311272753587471e-11, 2.145741843470179861e-13, 1.622948114043602240e-09, 1.407717845979521318e-10, 3.389639824145589054e-10, 3.573209126006610888e-11, 2.468299780691732267e-10, 2.344032657203319131e-11, 1.128197809053628646e-11
2.023000000000000000e+03, 1.667945632021766095e-09, 8.952011457388774635e-12, 2.222155705044743665e-13, 1.515142893877634789e-09, 1.425388357119096460e-10, 3.413848412010751582e-10, 3.570707711236224788e-11, 2.369188247959136385e-10, 1.804648450878623960e-11, 1.117219749461686262e-11
2.024000000000000000e+03, 1.568704688892103008e-09, 7.032333669363025332e-12, 3.119492877452035575e-13, 1.567172947940744811e-09, 1.445007202661605299e-10, 3.422320702362860385e-10, 3.313032055238998859e-11, 2.370961394446253617e-10, 1.502179830933696706e-11, 1.109584397890095305e-11
2.025000000000000000e+03, 1.440698730788108040e-09, 5.693012409739509648e-12, 2.900159543836982275e-13, 1.749481862434377503e-09, 1.418129310446700454e-10, 3.451479473199960890e-10, 3.009471956376245187e-11, 2.502178069099791977e-10, 1.254629381764820939e-11, 1.130586019766688272e-11
2.026000000000000000e+03, 1.563872480246374900e-09, 5.707703900851571771e-12, 2.161414400779220335e-13, 1.765189402982895797e-09, 1.420303513022900807e-10, 3.506702803062252056e-10, 2.811687441044098474e-11, 2.442980872541820684e-10, 1.558617533548126962e-11, 1.147768393302932777e-11
2.027000000000000000e+03, 1.701218470806049511e-09, 5.427362001806674693e-12, 1.951758341105682214e-13, 1.776694894326123647e-09, 1.389519670429259696e-10, 3.529085565788781496e-10, 2.661637720548871508e-11, 2.566947271652646532e-10, 1.567679468084626999e-11, 1.151545473083809705e-11
2.028000000000000000e+03, 1.712728998604829234e-09, 5.369542467615072829e-12, 2.367728852996129960e-13, 1.883231556775511668e-09, 1.381517435591231066e-10, 3.543981188405525540e-10, 2.488684204156973565e-11, 2.638970662877065362e-10, 1.544979106041368323e-11, 1.154483641413624672e-11
2.029000000000000000e+03, 1.798224269005344902e-09, 5.298812988999524792e-12, 2.460348643446716265e-13, 1.959454091902571773e-09, 1.387656739234120966e-10, 3.553319417490466360e-10, 2.332922107770399732e-11, 2.569061607507099891e-10, 1.515979057993401472e-11, 1.133569581860425149e-11
2.030000000000000000e+03, 1.829540919469563024e-09, 5.365387681703343136e-12, 2.273452787200324152e-13, 2.015393600737884724e-09, 1.325440797448694444e-10, 3.570666755114418575e-10, 2.570926828966007614e-11, 2.367374071016941118e-10, 1.548116088611799238e-11, 1.021994329905058008e-11
2.031000000000000000e+03, 1.650766178939348921e-09, 5.119597395519765467e-12, 1.822435938716761461e-13, 2.006588370907029777e-09, 1.307805713230927533e-10, 3.527509942369895609e-10, 1.901540174577972385e-11, 2.389116637676227190e-10, 1.474207670745342949e-11, 9.251709396589705609e-12
2.032000000000000000e+03, 1.606203204015784529e-09, 5.070452210595043169e-12, 1.683297522208170559e-13, 1.923405149041724272e-09, 1.321525110130762901e-10, 3.531049112368264610e-10, 1.819438832113753165e-11, 2.342011677012467955e-10, 1.444659128769017043e-11, 9.232802925266979076e-12
2.033000000000000000e+03, 1.547072764284713274e-09, 4.913640646802876275e-12, 1.529360833948116880e-13, 1.761729376260591286e-09, 1.324012049888188128e-10, 3.520413693844775960e-10, 1.747713857354386563e-11, 2.360268602105557568e-10, 1.472271774135923134e-11, 9.526202056350341406e-12
2.034000000000000000e+03, 1.521964771809332826e-09, 4.937641035787248371e-12, 1.527569496492188027e-13, 1.654102814661561465e-09, 1.356318608492050868e-10, 3.550456408670994649e-10, 1.693508273603401355e-11, 2.375071938039145721e-10, 1.462913120520751047e-11, 9.560568890860711729e-12
2.035000000000000000e+03, 1.694152136387401178e-09, 4.755660155292720440e-12, 1.526215571933303462e-13, 1.831116991360830821e-09, 1.425548155668987547e-10, 3.545740845839383843e-10, 1.371602137828118931e-10, 2.430136351389038205e-10, 1.465788168356151028e-11, 1.090848658334294905e-11
2.036000000000000000e+03, 1.833652868374834255e-09, 5.985409966751761277e-12, 1.573012377396639237e-13, 1.876977553060507789e-09, 1.384566787945527457e-10, 3.605525900307473573e-10, 1.469734085827544158e-10, 2.449648768353082278e-10, 1.517500732317248868e-11, 1.142477589076928654e-11
2.037000000000000000e+03, 1.927541255106523959e-09, 6.066605693561690672e-12, 1.596318745844142107e-13, 1.933584344387203588e-09, 1.381438416943001877e-10, 3.647436732497579507e-10, 1.435171961990775541e-10, 2.503292103158937096e-10, 1.520106873093173685e-11, 1.128590458028579965e-11
2.038000000000000000e+03, 1.937754857522537395e-09, 6.012378288185055489e-12, 1.554487827225166567e-13, 1.979876486428364261e-09, 1.422613093297349052e-10, 3.641432395028853431e-10, 1.383096924804508387e-10, 2.587745806988876486e-10, 1.539525594962496049e-11, 1.122092741061578561e-11
2.039000000000000000e+03, 1.476670819103698689e-09, 6.032730721099726582e-12, 1.238054082459583467e-13, 1.823557819826547118e-09, 1.371815287110516809e-10, 3.639081868103719017e-10, 1.304686373839927997e-10, 2.599046677277116670e-10, 1.518628338145147454e-11, 1.106248722978615958e-11
2.040000000000000000e+03, 1.519398635297119931e-09, 6.159793398161281596e-12, 1.296997396969758718e-13, 1.858972332349785905e-09, 1.343568443750723074e-10, 3.659860011201511436e-10, 1.237065218056067147e-10, 2.501648305307218744e-10, 1.508314845756906563e-11, 1.413004321645201136e-11
2.041000000000000000e+03, 1.588744457504799809e-09, 1.354646157180463332e-11, 1.278027795891230471e-13, 1.974443778769317317e-09, 1.345874169548285189e-10, 3.636655174943702444e-10, 1.197773059963392940e-10, 2.449733065067014950e-10, 2.769403620934478906e-11, 1.581707907902653242e-11
2.042000000000000000e+03, 1.634750304845691710e-09, 1.418585495064893754e-11, 1.336262563902867237e-13, 1.916883483755409385e-09, 1.340517124772567417e-10, 3.649169032243490057e-10, 1.116082071975790640e-10, 2.464409038648220240e-10, 2.808290084143621922e-11, 1.635518216301387568e-11
2.043000000000000000e+03, 1.806420920115271771e-09, 1.467626619701912648e-11, 1.732333976038520688e-13, 1.993759167951548604e-09, 1.334972581530123979e-10, 3.651995741038304660e-10, 1.067870689227972769e-10, 2.528531282748654555e-10, 2.844757929723844888e-11, 1.673820937423242129e-11
2.044000000000000000e+03, 1.733715213598269009e-09, 1.523422732448695281e-11, 1.849829598521333953e-13, 1.897049107008804213e-09, 1.323951832240922698e-10, 3.650029963293614292e-10, 9.967183300138958095e-11, 2.521025064318865846e-10, 2.762631637567889525e-11, 1.740423711310611711e-11
2.045000000000000000e+03, 1.526707783707645221e-09, 1.545107468677788203e-11, 1.869376380560796979e-13, 1.963393282725699820e-09, 1.299715313231290362e-10, 3.652004549887741257e-10, 9.119826695028031282e-11, 2.555820147322701648e-10, 2.689638600716168771e-11, 1.451848747996269313e-11
