year, ACCESS-ESM1-5, GFDL-ESM4, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, UKESM1-0-LL
2.015000000000000000e+03, 5.023866391705935951e-11, 1.946241212797233979e-09, 6.938770650551879051e-11, 2.510411426934476280e-09, 1.945210839959769260e-10, 1.673027802389617135e-09, 1.635536667529816565e-09, 2.011979656972095079e-09, 3.912061233484350440e-13
2.016000000000000000e+03, 1.883542892416886188e-10, 1.853010016972651597e-09, 5.741123965310457871e-11, 2.436639147071466005e-09, 1.955727857744675214e-10, 1.629639713460524899e-09, 1.734389058844801117e-09, 1.985324795103920235e-09, 2.705081357390312899e-13
2.017000000000000000e+03, 1.024761351198314480e-10, 2.285004427354272690e-09, 5.278140054660527011e-11, 2.674821815615131614e-09, 1.964350667285669873e-10, 1.700855228287028796e-09, 1.665452564653454361e-09, 1.966584416036193403e-09, 2.643256769757884175e-13
2.018000000000000000e+03, 6.889546615984926304e-11, 2.101373784629837462e-09, 4.173822027677266461e-11, 2.818722455442424829e-09, 1.970453045776779539e-10, 1.666524523444538087e-09, 1.703990742756691903e-09, 1.955762794963820379e-09, 2.511329394938500432e-13
2.019000000000000000e+03, 5.473930321273853765e-11, 2.057920697246811304e-09, 4.098730972048061068e-11, 2.560931183810964236e-09, 1.976376921525466461e-10, 1.638227482557053482e-09, 1.507777472356303631e-09, 1.944458127715462255e-09, 2.422969492503987142e-13
2.020000000000000000e+03, 4.785650691212992498e-11, 2.146131878375666270e-09, 2.937342790481617104e-11, 2.303513800748898319e-09, 1.982460760815432292e-10, 1.621609257538454798e-09, 1.316755857108197955e-09, 1.941780357232409428e-09, 2.243559454952014450e-13
2.021000000000000000e+03, 4.469800954036750866e-11, 2.186969596978141950e-09, 2.461340947863381809e-11, 2.516365827216080947e-09, 1.988086292532102088e-10, 1.586068176467218975e-09, 1.582667574492789317e-09, 1.940778946584967955e-09, 2.097884845753562975e-13
2.022000000000000000e+03, 4.219064041381557693e-11, 2.136249998147256814e-09, 2.061605312047210155e-11, 2.474161138469157702e-09, 1.996322549204804678e-10, 1.626037190846406766e-09, 1.788276425763383118e-09, 1.942260255984685593e-09, 2.145741823970822928e-13
2.023000000000000000e+03, 4.004007947462418825e-11, 2.191760165094717659e-09, 1.541398419655604414e-11, 2.918910044803294277e-09, 2.007926830035409437e-10, 1.653437331595108548e-09, 1.744783454427447533e-09, 1.941931467039393064e-09, 2.222155692301843060e-13
2.024000000000000000e+03, 3.809789468529652133e-11, 2.084627070220500340e-09, 1.209883645682178854e-11, 2.707397401050005674e-09, 2.017142849787321063e-10, 1.622778442335131628e-09, 1.798183708537548267e-09, 1.955403250362257020e-09, 3.119492883405653392e-13
2.025000000000000000e+03, 3.632093999424504288e-11, 2.156248624583024302e-09, 1.041244474648627764e-11, 2.563017532551557780e-09, 2.022740881436772376e-10, 1.632469664546519432e-09, 1.961742025602134665e-09, 1.955845651817711076e-09, 2.900159559573764253e-13
2.026000000000000000e+03, 4.172208304643491418e-11, 2.078620212666047688e-09, 1.032031055888347669e-11, 2.591120216541713565e-09, 2.027849470168850465e-10, 1.597300727903127547e-09, 1.843294821216080319e-09, 1.965596513234204519e-09, 2.161414402772508264e-13
2.027000000000000000e+03, 3.496340532529794828e-11, 2.179130001343336456e-09, 1.038366768037749530e-11, 2.382231163533044475e-09, 2.032567919490646355e-10, 1.627921438258103114e-09, 1.780914053313064790e-09, 1.941291028020080608e-09, 1.951758350034298473e-13
2.028000000000000000e+03, 3.154854858228353541e-11, 1.914369611916626694e-09, 1.048414140365531132e-11, 2.526863476890089471e-09, 2.037829356078222798e-10, 1.630715927308271150e-09, 1.945690557059402847e-09, 1.940815379179468699e-09, 2.367728844737400497e-13
2.029000000000000000e+03, 3.039565836041943439e-11, 2.349100206131317623e-09, 1.055692694079329580e-11, 2.665874592440100081e-09, 2.043768169757796482e-10, 1.591103559986823792e-09, 1.925515501835390527e-09, 1.958837492855926695e-09, 2.460348636824693700e-13
2.030000000000000000e+03, 2.952988611371256971e-11, 2.403707115082413489e-09, 1.060433767508633364e-11, 2.836264243288963745e-09, 2.049434637619110290e-10, 1.611008026438143238e-09, 1.770623046633846579e-09, 1.976149349982028513e-09, 2.273452746991653158e-13
2.031000000000000000e+03, 2.912200769445944501e-11, 1.940444708459844359e-09, 1.068473821869691257e-11, 2.714479182476945180e-09, 2.055051685107200499e-10, 1.602861758473455517e-09, 1.772899144517022646e-09, 1.981427696965082958e-09, 1.822435952114131365e-13
2.032000000000000000e+03, 2.863885127775460274e-11, 2.215843693654814580e-09, 1.072101050974047304e-11, 2.221179870421711168e-09, 2.060821199268369701e-10, 1.639901622161996252e-09, 1.739628962089712625e-09, 1.969757635986772229e-09, 1.683297526083766436e-13
2.033000000000000000e+03, 2.766471271819147670e-11, 2.324165798953308146e-09, 1.074674037238729159e-11, 2.742855791269341571e-09, 2.066061638126808468e-10, 1.693195933829613354e-09, 1.813830718651698324e-09, 1.934494277454864564e-09, 1.529360831195555252e-13
2.034000000000000000e+03, 2.742681241750729797e-11, 2.033512891773948166e-09, 1.076939288992805709e-11, 2.364415724784080498e-09, 2.071126592701382788e-10, 1.680545334659334096e-09, 1.662603394328725928e-09, 2.024170498235047420e-09, 1.527569491452456859e-13
2.035000000000000000e+03, 2.639270653448921217e-11, 2.329946017112469498e-09, 1.082997287493165520e-11, 2.529916920986097122e-09, 2.082717450715091316e-10, 1.740820221823676763e-09, 1.647481424882796387e-09, 2.066272994272500383e-09, 1.526215586156652133e-13
2.036000000000000000e+03, 2.596875761762934046e-11, 2.163990405972812102e-09, 1.073219171233852965e-11, 2.864850370132982395e-09, 2.100462212227109326e-10, 1.696967060969986849e-09, 1.955682077001774034e-09, 2.077390955450437287e-09, 1.573012373759526235e-13
2.037000000000000000e+03, 2.491907990375037068e-11, 2.153704283027369535e-09, 1.065720329634615558e-11, 2.680249631752177741e-09, 2.116555722847715814e-10, 1.659644635315416932e-09, 1.909960756752573663e-09, 2.086528939172191210e-09, 1.596318741148199046e-13
2.038000000000000000e+03, 2.515391894761563625e-11, 2.185307147148667169e-09, 1.060456582650616254e-11, 2.884565113379273542e-09, 2.130567488682286448e-10, 1.625461786485973805e-09, 1.826846636401397355e-09, 2.100944415566849820e-09, 1.554487833512979438e-13
2.039000000000000000e+03, 2.773514928677666227e-11, 2.229232312194536548e-09, 1.058826398740176810e-11, 2.788346991809699773e-09, 2.142743227841771219e-10, 1.578397955730485203e-09, 1.884031547898238944e-09, 2.098461839915089638e-09, 1.238054117810387665e-13
2.040000000000000000e+03, 3.020874761383633323e-11, 2.138034979547356185e-09, 1.053710490330078750e-11, 2.374001651955184459e-09, 2.153848059817628702e-10, 1.555646393457218686e-09, 1.855571858908233310e-09, 2.111160516839407624e-09, 1.296997402713127560e-13
2.041000000000000000e+03, 3.125871622765488965e-11, 2.105446960326073053e-09, 1.048689265474047059e-11, 2.810279037438379844e-09, 2.164179318835853496e-10, 1.496835190653873091e-09, 1.880551985281362318e-09, 2.102154120041160894e-09, 1.278027793307783455e-13
2.042000000000000000e+03, 3.211139656580682647e-11, 2.056861485017727893e-09, 1.099770871272699248e-11, 2.570772415772510498e-09, 2.172426441223997429e-10, 1.491106344035522694e-09, 1.781802067425562582e-09, 2.109979473159933445e-09, 1.336262519567598457e-13
2.043000000000000000e+03, 3.236070779131712397e-11, 2.132602067670711689e-09, 1.149959904024939391e-11, 2.366279581605143991e-09, 2.178559369145910797e-10, 1.523049701096619948e-09, 1.729334296954982511e-09, 2.134018818046420824e-09, 1.732333998103184117e-13
2.044000000000000000e+03, 3.306880272023599035e-11, 2.174601056674230685e-09, 1.146565414024188006e-11, 2.602013396369865398e-09, 2.184795796004985646e-10, 1.589149468502988953e-09, 1.636246653969311966e-09, 2.130764693648681479e-09, 1.849829611026764958e-13
2.045000000000000000e+03, 3.302979904729047290e-11, 2.203268228597243291e-09, 1.047967335156315914e-11, 2.322430325116731638e-09, 2.185921917326668745e-10, 1.603981872113726397e-09, 1.577104395143707016e-09, 2.101736775306671038e-09, 1.869376330437277337e-13
2.046000000000000000e+03, 3.105952832691795282e-11, 2.331888126673202043e-09, 9.955760549814471521e-12, 2.212248205636665049e-09, 2.182379842029579270e-10, 1.571398082024107960e-09, 1.596993206880594907e-09, 2.092771328181902024e-09, 1.998256671750601211e-13
2.047000000000000000e+03, 7.524343955091569547e-11, 2.186653386149865606e-09, 9.645237115860398777e-12, 2.747588489803498401e-09, 2.179811631733058791e-10, 1.560664994296880024e-09, 1.678362632934990373e-09, 2.097768068000900263e-09, 1.918547618315222558e-13
2.048000000000000000e+03, 4.998894560099184655e-11, 2.270334534953602193e-09, 8.746976650288235325e-12, 2.442033329338507221e-09, 2.178428150016583393e-10, 1.609711004162126058e-09, 1.851241517358889705e-09, 2.105967834519235070e-09, 1.621687201303389894e-13
