year, CNRM-ESM2-1, CanESM5, INM-CM4-8, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-LM, CMCC-CM2-SR5, TaiESM1, INM-CM5-0
2.015000000000000000e+03, 4.357326765251932521e+00, 6.370000410954920866e+00, 4.377623398915877928e+00, 5.011469273498927457e+00, 5.030646864275666097e+00, 5.914979534738188605e+00, 4.918764140268997664e+00, 4.832273253439031357e+00, 6.218484295758525349e+00, 3.987557351795196325e+00, 6.238945931324316518e+00, 6.281009900249754807e+00, 4.306416616946821208e+00, 4.469731046937667429e+00, 3.467218280714727374e+00, 4.108911085801349117e+00
2.016000000000000000e+03, 4.755244798603579959e+00, 6.354829854065099148e+00, 4.520824666701876993e+00, 4.950700221209647367e+00, 4.880262461683488873e+00, 5.652484135521910424e+00, 4.626601003730858253e+00, 4.920326933685837290e+00, 6.692115260417841327e+00, 4.366721159187730628e+00, 6.165044101247747044e+00, 6.835995796622374776e+00, 4.368729395987969610e+00, 5.050147566042836544e+00, 3.457307830780067981e+00, 4.555849754887927539e+00
2.017000000000000000e+03, 4.847907154348544800e+00, 6.422030550710666752e+00, 4.538652380324099234e+00, 5.092402755514892299e+00, 5.393584568860068096e+00, 5.542559539575970362e+00, 4.704698728880453373e+00, 4.657433379905446813e+00, 6.706316143490790083e+00, 4.321544247333076960e+00, 6.341824549742696604e+00, 6.790316813858475520e+00, 4.196910290956978429e+00, 4.904836854576502425e+00, 3.461482918892777594e+00, 4.172875575102387380e+00
2.018000000000000000e+03, 4.983413456159331290e+00, 6.321213529794973418e+00, 4.258872983710995541e+00, 5.243290173410614763e+00, 5.425511131518830688e+00, 5.510465784609396067e+00, 4.884796522748383829e+00, 4.944183972922740367e+00, 6.471271032413009827e+00, 4.247156091534046496e+00, 6.264745153592523152e+00, 6.544904309692097577e+00, 4.232937268713381052e+00, 4.461007584015534100e+00, 3.681945327490118380e+00, 4.650332606690560588e+00
2.019000000000000000e+03, 4.657913981638830414e+00, 6.540952585338352776e+00, 4.434125199991070687e+00, 4.899587967836168012e+00, 5.051795205232541441e+00, 5.646647975204146519e+00, 4.743842286251421569e+00, 5.352249951001914141e+00, 6.469209858133180724e+00, 4.409783508616865078e+00, 6.289306510688506435e+00, 6.459669726165275350e+00, 4.123987337617084137e+00, 4.535060134212200111e+00, 3.636465574873861240e+00, 4.157537443694963919e+00
2.020000000000000000e+03, 5.125831977040252951e+00, 6.191149578163906320e+00, 4.510001665130876525e+00, 4.659065828121041086e+00, 4.658278909821476077e+00, 5.716565552316716925e+00, 4.557537019323607552e+00, 5.182033547812655350e+00, 6.451305080377704115e+00, 4.671379077973582206e+00, 6.267478548720120557e+00, 6.723124821987831901e+00, 4.319483899725187648e+00, 4.443616882167132687e+00, 3.411021405805279905e+00, 4.848646710180268826e+00
2.021000000000000000e+03, 5.347692868214501516e+00, 6.577113771623029237e+00, 4.480078252032921426e+00, 4.802436874269266909e+00, 5.185665649785523357e+00, 5.802397403613297477e+00, 4.623937227613454937e+00, 5.255384881511501405e+00, 6.544686622328537595e+00, 4.367164472961527544e+00, 6.253391919855579850e+00, 6.292236567061850749e+00, 4.103086837191264991e+00, 5.035924359364322811e+00, 3.447260324852511992e+00, 4.855039062974009667e+00
2.022000000000000000e+03, 4.937356381348848799e+00, 6.767667378180111548e+00, 4.483301954975255299e+00, 5.213696448363170255e+00, 5.035897986856712194e+00, 5.861781814144999103e+00, 4.494798434651617214e+00, 5.348235126877817436e+00, 6.583159199697468544e+00, 4.480852663232565369e+00, 6.461413455735222300e+00, 6.587543418634821180e+00, 4.376684216908688363e+00, 4.577458255411036347e+00, 3.191464324963257049e+00, 4.694424196985586661e+00
2.023000000000000000e+03, 5.149078824761001094e+00, 7.009816325524756309e+00, 4.027410394595414722e+00, 4.981220320732498763e+00, 5.760189919757329413e+00, 5.787614341801657680e+00, 4.704220001224855174e+00, 4.915111647857651533e+00, 6.324110130713358480e+00, 4.462403453345867632e+00, 6.350303550981045042e+00, 6.901240388043030194e+00, 4.739526846109366254e+00, 4.456173014169795721e+00, 3.545499479364031981e+00, 4.681072212469874927e+00
2.024000000000000000e+03, 4.390279492453082355e+00, 6.353826764671701710e+00, 4.360602833330823103e+00, 5.349592729087390808e+00, 5.393930502112252334e+00, 5.938864021143696270e+00, 4.960816558589971059e+00, 5.534749947918673030e+00, 6.508387565446358991e+00, 4.528160441122769164e+00, 6.846571458434302926e+00, 6.425774538965926652e+00, 4.397171006608660448e+00, 4.713752483243601077e+00, 3.463034822647793831e+00, 4.651838005338810866e+00
2.025000000000000000e+03, 5.075797414036508748e+00, 6.548432788549337857e+00, 4.550406059825158778e+00, 5.212472288741284210e+00, 5.329061099272998980e+00, 6.001991781615497956e+00, 4.945327315325640960e+00, 5.206255320260903652e+00, 6.716055448632226366e+00, 4.304909696324958901e+00, 6.350525403660804535e+00, 6.983959329741765920e+00, 4.612556900456599607e+00, 4.469670152537387864e+00, 3.705240055006506772e+00, 4.631374533387291770e+00
2.026000000000000000e+03, 5.086703937810614917e+00, 6.478087247670078597e+00, 4.626413704269935145e+00, 5.415590017211211915e+00, 5.218764489899058390e+00, 6.069882172176809476e+00, 4.967857424513930198e+00, 5.134157218982662307e+00, 6.759134527567307593e+00, 4.398188305813349075e+00, 6.575411444350453216e+00, 6.845349884793384909e+00, 4.437814577427734442e+00, 4.271109620594542911e+00, 3.668514310518098398e+00, 4.704509776471994975e+00
2.027000000000000000e+03, 5.017826476826000359e+00, 6.653888610971272932e+00, 3.985145422036407759e+00, 5.156065753448626943e+00, 5.084787821775880623e+00, 6.163037350667817549e+00, 4.922918453449907972e+00, 5.133938075838226034e+00, 6.831820178277403066e+00, 4.217360284804756887e+00, 6.331625418861870358e+00, 6.846836492435176780e+00, 4.858788967247548385e+00, 4.794464871659420702e+00, 3.771421746028114974e+00, 5.002759302966610200e+00
2.028000000000000000e+03, 4.437007136242860916e+00, 6.924530403685024815e+00, 4.350306914975568873e+00, 5.309017186767033714e+00, 5.217188302657350896e+00, 6.009142718338831735e+00, 5.178209398277452635e+00, 5.751026202030285361e+00, 7.214424292463137434e+00, 4.614429372944417906e+00, 6.715151703888395218e+00, 6.876425123643455706e+00, 4.565743616286654039e+00, 5.167387657306239390e+00, 3.571995844349600269e+00, 4.793307347824404374e+00
