year, MIROC-ES2L, MPI-ESM1-2-LR, NorESM2-MM, NorESM2-LM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, CMCC-ESM2, INM-CM4-8, IPSL-CM6A-LR, CNRM-ESM2-1, CanESM5, CESM2-WACCM, TaiESM1
2.015000000000000000e+03, 1.290208044719086455e+00, 1.341431512432945894e+00, 1.602154714742144881e+00, 1.565715170745201279e+00, 1.919801392106003313e+00, 1.510147875090372516e+00, 1.679172827081418351e+00, 1.505403405659742955e+00, 2.218187043486837595e+00, 1.814009319316484348e+00, 1.472987996409511391e+00, 1.464643951673287203e+00, 1.388500103130738683e+00, 1.521022071142376086e+00, 1.723950423925318276e+00, 1.531422926003495277e+00
2.016000000000000000e+03, 1.272059844233807580e+00, 1.378887898478291074e+00, 1.637838864118495330e+00, 1.498177312078374124e+00, 1.800775788498599761e+00, 1.638552134316575870e+00, 1.690813584568777950e+00, 1.465960982239647548e+00, 2.216115774348388801e+00, 2.376633271909543321e+00, 1.491229343271099239e+00, 1.423834198467918144e+00, 1.474191438043215729e+00, 1.537398724803631156e+00, 1.720329136684420890e+00, 1.631045658475261950e+00
2.017000000000000000e+03, 1.290625246122149905e+00, 1.393294741869649744e+00, 1.554401024519521446e+00, 1.524605943996310442e+00, 1.746935747131634464e+00, 1.680060742993755074e+00, 1.760658821420396203e+00, 1.437868844419815773e+00, 2.231084085958250363e+00, 2.793311421330374689e+00, 1.479500818028116393e+00, 1.494592448144284491e+00, 1.485606788527508160e+00, 1.545621567251302730e+00, 1.727580296882206268e+00, 1.568772252663408473e+00
2.018000000000000000e+03, 1.283199596797191422e+00, 1.371901365060946176e+00, 1.672010055927177108e+00, 1.532033574153154110e+00, 1.774636651818097377e+00, 1.631219552707957821e+00, 1.761313703570239753e+00, 1.541964182491924129e+00, 2.221852213863370284e+00, 2.788128917194441669e+00, 1.452961341240188275e+00, 1.510671684009503135e+00, 1.506683248834909117e+00, 1.543713478417491736e+00, 1.754809381853170924e+00, 1.664453347021475293e+00
2.019000000000000000e+03, 1.241856049867398282e+00, 1.371543762769815933e+00, 1.682111071755323151e+00, 1.438596586536779576e+00, 1.783499366673884978e+00, 1.666923975306571881e+00, 1.788651906510358325e+00, 1.481768427055141446e+00, 2.252543872161407723e+00, 2.671608369823389673e+00, 1.424703866622395676e+00, 1.443509921211316271e+00, 1.436097935278932924e+00, 1.564137004243411067e+00, 1.757014657404568192e+00, 1.756576820725532340e+00
2.020000000000000000e+03, 1.315082678254699378e+00, 1.394159006846965587e+00, 1.581016692235758248e+00, 1.430707948633413107e+00, 1.821216367638153866e+00, 1.802226802643277725e+00, 1.798302722223306782e+00, 1.580525734303695584e+00, 2.250983458668097903e+00, 2.210601069110547989e+00, 1.506549689353769761e+00, 1.370165704529638928e+00, 1.553222498370279592e+00, 1.525185897674649294e+00, 1.607159962298916778e+00, 1.562396508684707364e+00
2.021000000000000000e+03, 1.273087936947888910e+00, 1.365828425147775915e+00, 1.568810839824886560e+00, 1.425198874429259188e+00, 1.850856072215806059e+00, 1.683023037449418169e+00, 1.770773533399021105e+00, 1.566228560025112015e+00, 2.253284878745689390e+00, 2.056115352448726341e+00, 1.512169019938118808e+00, 1.462064742518923932e+00, 1.645943926868039364e+00, 1.577949406168049018e+00, 1.694723027659722492e+00, 1.531967837753033246e+00
2.022000000000000000e+03, 1.339044738695458925e+00, 1.405288525002676092e+00, 1.573393058623024254e+00, 1.515264820999713047e+00, 1.830762419309402311e+00, 1.674853035748237184e+00, 1.776909017605101671e+00, 1.547176550597940237e+00, 2.283747365781603644e+00, 2.190790606735069534e+00, 1.525141705392521363e+00, 1.450059768060177001e+00, 1.473320049592371728e+00, 1.609915438144281730e+00, 1.742520647305322967e+00, 1.360559770902021626e+00
2.023000000000000000e+03, 1.293648398788622256e+00, 1.367170666958394065e+00, 1.654540386875731128e+00, 1.584524214127468911e+00, 1.840791762430317613e+00, 1.685442825260588418e+00, 1.744774163851828597e+00, 1.508083130696770358e+00, 2.246588124483687832e+00, 1.839634997811458339e+00, 1.404030266571836050e+00, 1.537098491730734429e+00, 1.544341634009901432e+00, 1.649687314032420860e+00, 1.733325564997778345e+00, 1.383385188144725664e+00
2.024000000000000000e+03, 1.354118195947515702e+00, 1.385220733503821355e+00, 1.679123655124370007e+00, 1.617756465173061819e+00, 1.878578014463637258e+00, 1.649874118759382613e+00, 1.801310209849134703e+00, 1.550598692358794217e+00, 2.302751849726162536e+00, 1.821549380785255190e+00, 1.484960047379593417e+00, 1.503959396532539960e+00, 1.393767333547926812e+00, 1.576297413536826397e+00, 1.817856750489152518e+00, 1.573257770120029209e+00
