year, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, TaiESM1, INM-CM5-0, CanESM5, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CMCC-CM2-SR5, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, UKESM1-0-LL, CESM2-WACCM
2.015000000000000000e+03, 1.872505937858810254e+00, 2.606560389354235507e+00, 1.871427398013336463e+00, 2.058667176744434002e+00, 1.751228433133769968e+00, 2.070264130934693192e+00, 2.561611445682369759e+00, 2.204141585691413940e+00, 2.683395415251846661e+00, 2.422060969686314458e+00, 2.147435940383940700e+00, 2.471244124917300500e+00, 2.087703943223718550e+00, 1.973243888235906462e+00, 2.092567793649424690e+00, 2.076535272208044347e+00
2.016000000000000000e+03, 2.053426942700843139e+00, 2.547176995447381742e+00, 1.905547110047012715e+00, 2.034812584599855700e+00, 1.928890284899331231e+00, 2.075142678967803800e+00, 2.667545715923982375e+00, 2.443710208830483843e+00, 2.474628881686976367e+00, 2.608532318221674640e+00, 2.289449903581057821e+00, 2.603352114368926884e+00, 2.109755628524884852e+00, 1.868262865822130081e+00, 1.990001034139791347e+00, 2.249555518495267137e+00
2.017000000000000000e+03, 1.986475359865216284e+00, 2.568467137357699492e+00, 2.023446783825389339e+00, 2.223771103455417730e+00, 1.861207982942574723e+00, 2.045329968387345154e+00, 2.466089747817392208e+00, 2.236506753347368814e+00, 2.555000760415520045e+00, 2.651017059691682221e+00, 2.232066611289810876e+00, 2.728791452557408181e+00, 2.252116238809024118e+00, 1.840505620792661112e+00, 1.968892657307177441e+00, 2.132170214615241477e+00
2.018000000000000000e+03, 1.967485140131465027e+00, 2.526793179653207488e+00, 1.827887369236267379e+00, 2.256100129161055179e+00, 1.838541768473284765e+00, 2.106581392984939072e+00, 2.356544235569748569e+00, 2.208803738619057988e+00, 2.653521074005211755e+00, 2.513852800043943958e+00, 2.182823981592881157e+00, 2.614280826044446115e+00, 2.339252221556359146e+00, 1.719854639613359382e+00, 2.306686175617564949e+00, 2.141228810312786113e+00
2.019000000000000000e+03, 2.033761516254009916e+00, 2.547398453159173126e+00, 1.875024821817141918e+00, 2.005156683933330353e+00, 1.659198405007643817e+00, 1.946920502193600910e+00, 2.310187163481743244e+00, 2.161125116443794347e+00, 2.631919619530652454e+00, 2.516534303398703987e+00, 2.211964511234509878e+00, 2.485068739198237342e+00, 2.468979503704216150e+00, 1.907322592843853304e+00, 2.272211993289949827e+00, 2.012941709928821155e+00
2.020000000000000000e+03, 1.906266955100948790e+00, 2.527498481846261580e+00, 1.872726082878160891e+00, 2.124335369089503711e+00, 1.944473780193764822e+00, 2.207623524735224940e+00, 2.436024302335892067e+00, 2.201947970264881427e+00, 2.476864248877548746e+00, 2.716580842102545468e+00, 2.046346625557777354e+00, 2.695578735089267486e+00, 2.233772204692403562e+00, 1.904390269480142894e+00, 2.172134272905531738e+00, 2.047799325709148466e+00
2.021000000000000000e+03, 1.911860817296949566e+00, 2.535908200735259577e+00, 1.925301453964309628e+00, 2.141986601509033417e+00, 2.070837578234064669e+00, 2.055702962836012393e+00, 2.475934771181199423e+00, 2.290700046663196598e+00, 2.491615080968616169e+00, 2.629703626547685857e+00, 2.217141159462059807e+00, 2.765587721834617874e+00, 2.117963330404132094e+00, 1.935218279189462764e+00, 2.262589315914935284e+00, 2.160029091493233189e+00
2.022000000000000000e+03, 1.666113959408549450e+00, 2.531358911730525740e+00, 1.899358174659639076e+00, 2.090733942924453359e+00, 1.705424140312664649e+00, 2.186483374564793802e+00, 2.284172520750245461e+00, 2.410995368888013246e+00, 2.565215688436943253e+00, 2.514168294335520581e+00, 2.125427748127850069e+00, 2.580020159219286402e+00, 2.381577170436639523e+00, 1.862280479616787776e+00, 2.107590034130687684e+00, 2.008959996938302073e+00
2.023000000000000000e+03, 2.112547577319393799e+00, 2.660329132438438826e+00, 1.857612360498485327e+00, 2.001977401250904620e+00, 1.862739109304253349e+00, 2.200327308000094906e+00, 2.394055250540491731e+00, 2.131996381849796229e+00, 2.667067857383727869e+00, 2.499512166471338670e+00, 2.104567695873544420e+00, 2.644659331649551248e+00, 2.233384955274321015e+00, 1.980259264528995145e+00, 2.052001051927645925e+00, 2.090511128030609456e+00
2.024000000000000000e+03, 2.105244288231339578e+00, 2.694276392236939266e+00, 1.950531533205089652e+00, 1.995574492270092426e+00, 1.963811876453718908e+00, 2.233664887138907318e+00, 2.839721583305249375e+00, 2.011391734851074808e+00, 2.779082241120323538e+00, 2.391136860959198529e+00, 2.024772696810606121e+00, 2.366765463522957358e+00, 2.286832295125306391e+00, 1.845820717445682657e+00, 2.124331626537355078e+00, 2.337448062138405280e+00
2.025000000000000000e+03, 2.006723984536428862e+00, 2.706740157004565273e+00, 2.038762229952289395e+00, 1.977998142069989695e+00, 1.932387261617324770e+00, 2.058154379973330173e+00, 2.509876627135751548e+00, 2.185528920341758496e+00, 2.539839430553782140e+00, 2.688380430039495561e+00, 2.063243106543485084e+00, 2.744644966892032745e+00, 2.057452943659249467e+00, 2.073324361692404416e+00, 2.052945064153878896e+00, 2.218123168416852309e+00
2.026000000000000000e+03, 2.117026993466724072e+00, 2.512461701561118588e+00, 1.902172959861093027e+00, 2.265213470669673157e+00, 1.906295239908942785e+00, 2.105857344458589964e+00, 2.794722028572869554e+00, 2.299487978923255405e+00, 2.646171804857465837e+00, 2.591288742287847224e+00, 2.169200218823601478e+00, 2.659521055264826295e+00, 2.319593640784054056e+00, 1.985555041768884754e+00, 1.991227119791881828e+00, 2.248271077671331497e+00
2.027000000000000000e+03, 2.001652246069537622e+00, 2.529054796841035735e+00, 1.654748463466149122e+00, 2.270516696874980145e+00, 2.100657454720759709e+00, 2.136475692224548251e+00, 2.666829701877805547e+00, 2.066104706355373022e+00, 2.449101181281151618e+00, 2.359950620372335273e+00, 2.120085766217846945e+00, 2.693626533817962354e+00, 2.227347745998433659e+00, 2.111014593271078876e+00, 2.258159145983013261e+00, 2.190836223997369103e+00
2.028000000000000000e+03, 2.098491525144330794e+00, 2.573933124394489180e+00, 1.897172347203363252e+00, 2.096233777969159551e+00, 2.092136515690776744e+00, 2.119019104486740357e+00, 2.634277642817486331e+00, 2.053896774878432918e+00, 2.766413930620934103e+00, 2.765997075999055976e+00, 2.323676728200761321e+00, 2.386608206432391466e+00, 2.186928606027006339e+00, 1.826541212307893680e+00, 2.290855503735762078e+00, 2.218812128075043688e+00
2.029000000000000000e+03, 2.165475234200087140e+00, 2.502178055477772833e+00, 1.929880240054668405e+00, 2.183889366176497315e+00, 1.978541955938994068e+00, 2.112373773315694425e+00, 2.692183554481399899e+00, 2.308010375275351134e+00, 2.770450697178290067e+00, 2.491729344965435189e+00, 2.006288148281753614e+00, 2.259690927920888548e+00, 2.391829816705066225e+00, 1.971748494648197791e+00, 2.023701395830773464e+00, 2.253644127104698747e+00
2.030000000000000000e+03, 2.218315557233748514e+00, 2.645895891243493558e+00, 1.687848237263019691e+00, 2.248703432000299429e+00, 2.023960318963362148e+00, 2.185458550494318253e+00, 2.473686650588305724e+00, 2.236551704473906277e+00, 2.615294340507464899e+00, 2.441583812486131322e+00, 2.003914324910781364e+00, 2.509105941265882489e+00, 2.239572875994854328e+00, 1.985865901075852147e+00, 2.039526795395273151e+00, 2.150344575408179359e+00
2.031000000000000000e+03, 2.087195220279675745e+00, 2.730237682013907818e+00, 1.814389762702433018e+00, 2.118023796826805416e+00, 1.843143750995863694e+00, 2.185971784531802964e+00, 2.464658459145053548e+00, 2.493909231341390420e+00, 2.478179486636595374e+00, 2.630028963963760624e+00, 2.192267678157400645e+00, 2.383395180019703297e+00, 2.119035722588651804e+00, 1.815533820149188404e+00, 2.302462250463816584e+00, 2.171999176289443945e+00
2.032000000000000000e+03, 1.877922392015117570e+00, 2.487646051430580929e+00, 2.015455482863503178e+00, 2.118787845898667310e+00, 1.917919445372024745e+00, 2.243581842415199645e+00, 2.660421721418396501e+00, 2.310630086753781232e+00, 2.582566457454166908e+00, 2.534544453346892379e+00, 2.229976857195900664e+00, 2.573937422403699493e+00, 2.229451280887865039e+00, 1.873644139341945403e+00, 2.193592667847102273e+00, 2.147708448020598571e+00
