year, TaiESM1, CanESM5, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, GFDL-ESM4, MIROC-ES2L, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL
2.015000000000000000e+03, 1.147785391355031770e+00, 3.811777582880630177e+00, 2.426069553995333639e+00, 2.860270391182121230e+00, 1.650212489254647474e+00, 1.811697492410462740e+00, 1.764161940323244471e+00, 3.181848937678855904e+00, 1.653053696419579222e+00, 2.145690085992727258e+00, 1.584037234946001904e+00, 1.833151237576843062e+00, 2.865051227719250804e+00, 2.393777334830853309e+00
2.016000000000000000e+03, 1.212707684197833480e+00, 3.720307627261019601e+00, 2.507312150984050803e+00, 2.972444764235953496e+00, 1.730738819638860893e+00, 1.737772747728843381e+00, 1.796496204281322617e+00, 3.000241632880187304e+00, 1.775637580440901919e+00, 1.894651105950808878e+00, 1.660166699807619661e+00, 1.848949794103065258e+00, 3.041792471232210637e+00, 2.339008257398597745e+00
2.017000000000000000e+03, 1.227771672625783017e+00, 3.758144093619174786e+00, 2.637262027318076463e+00, 2.953873138787699748e+00, 1.651164407693202385e+00, 1.775126261447977694e+00, 1.740709543851753693e+00, 3.143691663999509611e+00, 1.774247869656708332e+00, 1.999223286287328705e+00, 1.475864328589402863e+00, 1.856560570865542159e+00, 2.950957646089605202e+00, 2.385509547621117665e+00
2.018000000000000000e+03, 1.117386907682923480e+00, 3.816269189860905353e+00, 2.531720983613091835e+00, 2.785086674216210589e+00, 1.491836457454305265e+00, 1.843519744656305859e+00, 1.866780377700679061e+00, 3.030945784013897359e+00, 1.651857915028282831e+00, 2.198394009813958494e+00, 1.517872743552204140e+00, 1.841342892493033068e+00, 2.759738281634218637e+00, 2.505305313175920645e+00
2.019000000000000000e+03, 1.274436701270353023e+00, 3.728771255242682159e+00, 2.524327688176580597e+00, 2.811663356290208249e+00, 1.470560001060373878e+00, 1.735264151945225874e+00, 1.846377620169167733e+00, 3.292565997943166956e+00, 1.756748123073668566e+00, 2.016346359763210749e+00, 1.592781225790923516e+00, 1.742712296537623828e+00, 2.893777448426167798e+00, 2.640303563016782817e+00
2.020000000000000000e+03, 1.310646463817678686e+00, 3.720835502520516425e+00, 2.669668808094337376e+00, 2.955346623857083355e+00, 1.672169200535460698e+00, 1.642752730186761045e+00, 1.878474167564623265e+00, 3.104024580319481696e+00, 1.697107704942690809e+00, 2.044582602066027377e+00, 1.549331332900238278e+00, 1.754078556512915110e+00, 2.839311115397762819e+00, 2.558704511133711890e+00
2.021000000000000000e+03, 1.224808075810583929e+00, 3.831423901910884222e+00, 2.762584459267154458e+00, 2.820774579586319497e+00, 1.788170059451462235e+00, 1.716839927527742837e+00, 1.919737207508261712e+00, 3.123436193324975019e+00, 1.724000826497419814e+00, 2.136132628756070240e+00, 1.552494000445784339e+00, 1.865889635847632455e+00, 2.824071995535490931e+00, 2.589653352363447958e+00
2.022000000000000000e+03, 1.363167043280848256e+00, 3.912581292820790591e+00, 2.617277121666405471e+00, 2.810164333272748838e+00, 1.537875725715505126e+00, 1.797908423577758708e+00, 1.908915754198149628e+00, 3.134733555963362672e+00, 1.560993937548662336e+00, 1.958512054473740660e+00, 1.589841779820799772e+00, 1.766244979657452197e+00, 3.031639973597483717e+00, 2.546734178177584962e+00
2.023000000000000000e+03, 1.107668074161480609e+00, 3.991974728876212630e+00, 2.671073597224148610e+00, 2.854059102494386213e+00, 1.530099697984399709e+00, 1.866113257359528266e+00, 1.937289557236028914e+00, 3.170213575962369301e+00, 1.768591762288109992e+00, 2.132537519047846164e+00, 1.623061870526279815e+00, 1.833646397547717966e+00, 2.860311561742242770e+00, 2.518592605971477827e+00
2.024000000000000000e+03, 1.185851098928150549e+00, 3.810682760948243875e+00, 2.440045890286128838e+00, 2.646117138522808609e+00, 1.632747719775773376e+00, 1.830608759326812551e+00, 1.943565023433305283e+00, 3.363444607627854577e+00, 1.831055838510039724e+00, 2.018116558310133257e+00, 1.566068636311259699e+00, 2.015178514877517646e+00, 2.889638287700965424e+00, 2.560613669443867035e+00
2.025000000000000000e+03, 1.239851287892852927e+00, 3.682795330289900804e+00, 2.545733087433111663e+00, 2.978880751076375510e+00, 1.882671206664677133e+00, 1.865174121993272482e+00, 1.886330586605945214e+00, 3.181187110417743380e+00, 1.778810930560822401e+00, 1.970277130214667771e+00, 1.675034174452361801e+00, 1.899948832241608265e+00, 2.847114406801922293e+00, 2.545844044812013429e+00
2.026000000000000000e+03, 1.227336210428326302e+00, 3.865324791443886632e+00, 2.719922031745441782e+00, 2.989031096267646070e+00, 1.611329029293345094e+00, 1.817647523115540231e+00, 1.855032805673114238e+00, 3.245711698749842888e+00, 1.836788632777539787e+00, 2.083310887397856526e+00, 1.677064575359184406e+00, 1.884446144557823333e+00, 2.953160301931204934e+00, 2.523762509059038095e+00
2.027000000000000000e+03, 1.289729947471808469e+00, 3.847374430059903982e+00, 2.687381497961562893e+00, 2.810523244443329016e+00, 1.709323031969545381e+00, 1.815616055892369962e+00, 1.830082211657451552e+00, 3.252986799450348077e+00, 1.770158436960006298e+00, 1.946576352344011829e+00, 1.751928610888108695e+00, 1.894933960725450062e+00, 2.974855678443548701e+00, 2.544012556042488438e+00
2.028000000000000000e+03, 1.279581577763757583e+00, 4.009416449529115134e+00, 2.463249119298435819e+00, 2.935341768818514385e+00, 1.807364107224519900e+00, 1.749851348478641322e+00, 1.888716882487443183e+00, 3.291774077323064152e+00, 1.830134561891812339e+00, 2.023195845214181166e+00, 1.441581420238154276e+00, 1.902738795872449540e+00, 2.921394626782633619e+00, 2.719723725594032526e+00
