year, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, CanESM5, CESM2-WACCM, IPSL-CM6A-LR
2.015000000000000000e+03, 1.235480675304321885e+01, 2.180132418328927457e+01, 3.571406181006274716e-01, 2.414112573100159587e+00, 1.745917629481180455e+00, 2.748816269183540051e+00, 1.870301414656659489e+01, 4.042145131512699052e+00, 1.636896690328000448e+00, 5.608725622953021350e+00, 7.656484533311023633e+00, 1.746462704891402762e+00, 5.794074507971776811e+00
2.016000000000000000e+03, 1.229808261982912754e+01, 2.186050039036843273e+01, 3.005059880992340671e-01, 2.421475084099395936e+00, 1.799047057245105830e+00, 2.506242782826677118e+00, 1.874590118637313552e+01, 4.050522805233222279e+00, 1.722541147629367053e+00, 5.602994396702122515e+00, 7.552034547951316235e+00, 1.773155373370091992e+00, 5.736270832790664187e+00
2.017000000000000000e+03, 1.231895036439504842e+01, 2.190785478082343474e+01, 4.503324414360394545e-01, 2.415933282108750024e+00, 1.820304883725220924e+00, 2.327451010630992467e+00, 1.880700362757639255e+01, 3.983264335737187967e+00, 1.647823758657689375e+00, 5.625504634032258089e+00, 7.469137221923363157e+00, 1.731283955196625701e+00, 5.709938189422270938e+00
2.018000000000000000e+03, 1.241479543016784604e+01, 2.195781283988592136e+01, 4.310744021602637699e-01, 2.396429477691458310e+00, 1.795035343655981608e+00, 2.431007149081936269e+00, 1.874537799998666898e+01, 3.990439351920085365e+00, 1.591224334659859130e+00, 5.675034570762700348e+00, 7.619982312775500866e+00, 1.748205134108827385e+00, 5.741970313642897672e+00
2.019000000000000000e+03, 1.244622168899568493e+01, 2.203354079682347333e+01, 3.268036784320586530e-01, 2.437626547699701440e+00, 1.827248992870795341e+00, 2.437533695445166959e+00, 1.883552759331315585e+01, 3.970489734629448542e+00, 1.665067974481831525e+00, 5.683932321244340002e+00, 7.564896427334285356e+00, 1.808786080028883081e+00, 5.696773208688906465e+00
2.020000000000000000e+03, 1.259717307351910520e+01, 2.207753380293773304e+01, 3.866999329754927661e-01, 2.456135726788851503e+00, 1.832989992956844727e+00, 2.472750720925105838e+00, 1.894294177795618950e+01, 3.953469126274382628e+00, 1.730951014494191531e+00, 5.644218175030657925e+00, 7.412594016041247791e+00, 1.925801361810626444e+00, 5.739851928535934178e+00
2.021000000000000000e+03, 1.254634948116353144e+01, 2.214199496717217386e+01, 3.430572320556731225e-01, 2.461504861064145011e+00, 1.845524902032029457e+00, 2.220503120175393086e+00, 1.887691089045118176e+01, 3.875066167283590435e+00, 1.703056776612376533e+00, 5.695373851657666187e+00, 7.362443886437137763e+00, 1.799521829556361752e+00, 5.777347822347385531e+00
2.022000000000000000e+03, 1.259224007616077579e+01, 2.211979831342553382e+01, 3.687170280849975113e-01, 2.462927190453542803e+00, 1.784689701788581662e+00, 2.624619434892415004e+00, 1.908142322344397712e+01, 3.803608626950242044e+00, 1.605222669760152598e+00, 5.708671669840970964e+00, 7.419402435719516298e+00, 1.725373112803685993e+00, 5.777939610695869810e+00
2.023000000000000000e+03, 1.262631283678871519e+01, 2.207491591879383463e+01, 4.393287120093221088e-01, 2.490384853994907832e+00, 1.851638679146534683e+00, 2.997192351870490601e+00, 1.896679229681983614e+01, 3.795648923834745503e+00, 1.690770649265192382e+00, 5.753120546718495376e+00, 7.531347059803937150e+00, 1.779668019970099158e+00, 5.818137506144603677e+00
2.024000000000000000e+03, 1.261319257705737051e+01, 2.199741357121161300e+01, 4.820311693475416437e-01, 2.531926965589983425e+00, 1.892635017943093967e+00, 2.413261258865433856e+00, 1.903874879942594234e+01, 3.793389503339960278e+00, 1.678274767108828280e+00, 5.779667883169400611e+00, 7.535864017057366304e+00, 1.806006700190353698e+00, 5.874060190676634541e+00
