year, CNRM-ESM2-1, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4, CMCC-CM2-SR5, CanESM5, MIROC-ES2L, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, INM-CM5-0
2.015000000000000000e+03, 2.643778907670158773e+01, 1.262251037724361247e+01, 9.322330336554742303e+00, 5.534556781499069267e+00, 1.519835280393552246e+01, 1.274410191490719235e+01, 1.435817435437685852e+01, 7.818337214887888464e+00, 7.239255391725902378e+00, 2.576363485230139361e+01, 2.638259886207387339e+01, 2.186271828152600705e+01, 1.307257956574121494e+01, 3.899039949385807091e+01, 4.216215784684102630e+00, 2.297898416629926999e+01
2.016000000000000000e+03, 2.653453280390842650e+01, 1.257774316195621722e+01, 9.289984660904364588e+00, 5.637412577590562357e+00, 1.538960269987048690e+01, 1.283175387118392763e+01, 1.435266625268541851e+01, 7.862543357263482413e+00, 7.512988764334710190e+00, 2.593766188655570204e+01, 2.645189935871967890e+01, 2.187698128814206555e+01, 1.308103534868752504e+01, 3.893224084829887488e+01, 4.561862170932595717e+00, 2.295845380489647880e+01
2.017000000000000000e+03, 2.660050214636148880e+01, 1.266364077357130569e+01, 9.441063841099401444e+00, 5.695211943004171218e+00, 1.551581484102132613e+01, 1.291445556078467405e+01, 1.447234845745930443e+01, 7.923465550152839931e+00, 7.914630530928415730e+00, 2.614892459599134256e+01, 2.657338971572544750e+01, 2.191332121343647898e+01, 1.311924813071718177e+01, 3.904072904778679742e+01, 4.443803958613536942e+00, 2.293061737336949690e+01
2.018000000000000000e+03, 2.673898222732989538e+01, 1.280258204417828338e+01, 9.461223063931239352e+00, 5.744938572466764093e+00, 1.555931952469958723e+01, 1.300764593589215856e+01, 1.458623505995015712e+01, 7.869955442142969382e+00, 8.064775637275834796e+00, 2.629063205024536742e+01, 2.683900921439859388e+01, 2.185772046950505754e+01, 1.322604127151054598e+01, 3.922431041708179578e+01, 4.255163756128276908e+00, 2.287802634775620092e+01
2.019000000000000000e+03, 2.697886721991720904e+01, 1.281201853073088692e+01, 9.520425709062962483e+00, 5.826844680286846767e+00, 1.563504640972107751e+01, 1.308619250934125411e+01, 1.454252291078154613e+01, 7.893219917335533076e+00, 7.991914933408389210e+00, 2.638123250912798667e+01, 2.688546883575320123e+01, 2.186936253690328158e+01, 1.326362593292855507e+01, 3.941103447860017894e+01, 4.312900045503224256e+00, 2.301122902636132039e+01
2.020000000000000000e+03, 2.714105141064079163e+01, 1.271397238065590152e+01, 9.657066321740716219e+00, 5.662716838855621937e+00, 1.585213216297161765e+01, 1.313294917667834483e+01, 1.437099350949302767e+01, 7.946037198554603442e+00, 7.871238529930653094e+00, 2.659131756658702983e+01, 2.677354924092575317e+01, 2.194596502471100052e+01, 1.328236552625685540e+01, 3.942405241975666996e+01, 4.541492365775629203e+00, 2.314462395323799271e+01
2.021000000000000000e+03, 2.747120200632251041e+01, 1.270537375678384073e+01, 9.758739968026015177e+00, 5.717622497482037325e+00, 1.604972722962205367e+01, 1.319664601044572372e+01, 1.448244890745778335e+01, 8.047200450934942850e+00, 8.430591482783007962e+00, 2.687942291888332136e+01, 2.674014915756309207e+01, 2.199608883231456602e+01, 1.329823745219635001e+01, 3.937271643461431125e+01, 4.703858522553597155e+00, 2.320419620616657852e+01
2.022000000000000000e+03, 2.748170866986511740e+01, 1.287688265914600017e+01, 9.885520832548195358e+00, 5.748244369090933503e+00, 1.620186403223203442e+01, 1.325616243756038770e+01, 1.469278571188003113e+01, 7.999550511583413126e+00, 8.280379410374440141e+00, 2.711220078253826671e+01, 2.696124190361598139e+01, 2.205018821688137010e+01, 1.340013873065488959e+01, 3.933213752990099721e+01, 4.907896006688114987e+00, 2.336500914571546161e+01
2.023000000000000000e+03, 2.753326633068681062e+01, 1.289783208326313257e+01, 1.001197150645822553e+01, 5.764150558235297872e+00, 1.630788782307598694e+01, 1.337149506922342290e+01, 1.489016426615955879e+01, 8.048072036274927399e+00, 7.415067979871579062e+00, 2.726811264978852023e+01, 2.708370806368140649e+01, 2.218162033008733403e+01, 1.340263437454357920e+01, 3.936193701626856978e+01, 4.919154211553034450e+00, 2.338179368646108003e+01
2.024000000000000000e+03, 2.754183440091842883e+01, 1.292096460561240079e+01, 1.009321550290916036e+01, 5.794118690172123998e+00, 1.645708408035643089e+01, 1.348225410235616906e+01, 1.498535017970129601e+01, 8.121613097742500287e+00, 7.762237835358170912e+00, 2.748347122570931589e+01, 2.718569219104626811e+01, 2.233227114218286147e+01, 1.330504556894905832e+01, 3.946077961479129925e+01, 4.655465144260886312e+00, 2.338241317824745380e+01
2.025000000000000000e+03, 2.788395104798448543e+01, 1.287428012404199329e+01, 1.018379281598158848e+01, 5.873562472550360347e+00, 1.667217445606700466e+01, 1.359318477831715555e+01, 1.494629896570841332e+01, 8.125390279975066576e+00, 8.010525773550524420e+00, 2.758697304289852781e+01, 2.743412006779048085e+01, 2.242826781082291987e+01, 1.340388670613010191e+01, 3.947900974722893608e+01, 4.633157623306680684e+00, 2.339203893624278052e+01
2.026000000000000000e+03, 2.794483650671895703e+01, 1.285293323468224713e+01, 1.014588732747686173e+01, 5.881642115844304186e+00, 1.694405738756924151e+01, 1.364626916581637950e+01, 1.489705672319951724e+01, 8.179221141718299393e+00, 8.264793038102370204e+00, 2.770869343247105121e+01, 2.763723980349917397e+01, 2.244126476262479386e+01, 1.358215668868595216e+01, 3.951148277174131351e+01, 4.699162819066834196e+00, 2.336323946434662346e+01
2.027000000000000000e+03, 2.810224982829309681e+01, 1.285500983956361232e+01, 1.026435285011262621e+01, 5.887300299124969882e+00, 1.700623123680575333e+01, 1.370031401912943458e+01, 1.499230471976031787e+01, 8.249042790277067994e+00, 8.405149761644929995e+00, 2.790933658955173513e+01, 2.791796650543698988e+01, 2.255699347805974853e+01, 1.348435008600072038e+01, 3.968827191575554281e+01, 4.606273862525333662e+00, 2.345901061525133713e+01
2.028000000000000000e+03, 2.834978010379168722e+01, 1.289670254875616173e+01, 1.039246882615976020e+01, 5.938352123313160646e+00, 1.704195387113961502e+01, 1.378580595648648099e+01, 1.518512148818305363e+01, 8.303936941876255418e+00, 8.170849371423345886e+00, 2.823761367999054528e+01, 2.802011481870298226e+01, 2.251860031893840031e+01, 1.344419497709432676e+01, 3.991549540610096614e+01, 4.526440525591013397e+00, 2.358135167409021449e+01
2.029000000000000000e+03, 2.838457657204146400e+01, 1.307600839576832641e+01, 1.056152645919239319e+01, 5.930780655525325962e+00, 1.692893923862305172e+01, 1.389192083328072513e+01, 1.529100816982908029e+01, 8.305587237969902503e+00, 8.300571806455408819e+00, 2.847015449106447349e+01, 2.819193867775631190e+01, 2.255210098507614447e+01, 1.351399343701322664e+01, 4.013580335238165020e+01, 4.400363445867090384e+00, 2.359441136341378709e+01
2.030000000000000000e+03, 2.859999349626943044e+01, 1.311714574208448170e+01, 1.059257973680266396e+01, 5.920958272883655837e+00, 1.709754721279266221e+01, 1.395340967855010383e+01, 1.528971526657223023e+01, 8.345437429669667395e+00, 8.729905839989012151e+00, 2.867094426569817500e+01, 2.826108280761866354e+01, 2.261935882962538713e+01, 1.357859223488618383e+01, 4.016994362248185269e+01, 4.614074185934377681e+00, 2.370707338250597473e+01
2.031000000000000000e+03, 2.878164673954163177e+01, 1.306415205419528824e+01, 1.058412316505395090e+01, 6.047092207066874003e+00, 1.714919277739232939e+01, 1.402354463514377514e+01, 1.532571752916093111e+01, 8.397473334603111184e+00, 7.909144152484357093e+00, 2.892072173926391798e+01, 2.852343527888687902e+01, 2.253110455381624178e+01, 1.366598472449467216e+01, 4.015750195932393751e+01, 4.683621386883124238e+00, 2.379142604652749426e+01
2.032000000000000000e+03, 2.888422468661283560e+01, 1.303966947090100881e+01, 1.064749825218105705e+01, 6.136676687450200340e+00, 1.725647829578893067e+01, 1.405877512502200410e+01, 1.552977828203047572e+01, 8.424396617415654376e+00, 7.977706242914593737e+00, 2.913502069376450621e+01, 2.879553363216975015e+01, 2.245058023656144996e+01, 1.376785907466505599e+01, 4.031828481493568717e+01, 4.656699491375416500e+00, 2.377994694222551075e+01
2.033000000000000000e+03, 2.918221470316421318e+01, 1.315022563228136576e+01, 1.073589243321229070e+01, 6.233550799893210481e+00, 1.743197635979586479e+01, 1.406637817927918732e+01, 1.554757093863374884e+01, 8.448722370855136887e+00, 8.701236045022264776e+00, 2.928891712878363762e+01, 2.894671541820760652e+01, 2.247121458804812377e+01, 1.381379862735760966e+01, 4.055584421973074427e+01, 4.578323477102251182e+00, 2.379415463384507845e+01
2.034000000000000000e+03, 2.936181554118047643e+01, 1.329119950295889119e+01, 1.079498955051036546e+01, 6.232401133966429363e+00, 1.764126715124499967e+01, 1.414608186712080240e+01, 1.563257412607019781e+01, 8.455828387896639597e+00, 9.393993384702536531e+00, 2.943243397379564641e+01, 2.917768248675733389e+01, 2.246128712762882529e+01, 1.374752817730612620e+01, 4.071300870860707022e+01, 4.767062857242477136e+00, 2.388078530271690170e+01
2.035000000000000000e+03, 2.955771204947168940e+01, 1.338985011414219173e+01, 1.092752145284497267e+01, 6.228297543121696478e+00, 1.761574685487752134e+01, 1.422683332041047066e+01, 1.557254035682193205e+01, 8.477196440436332026e+00, 8.659576032147006330e+00, 2.961237132135854466e+01, 2.920751775039777698e+01, 2.253719367883325475e+01, 1.388591680550911356e+01, 4.083990438873382089e+01, 4.663711026448539521e+00, 2.389497346501105923e+01
2.036000000000000000e+03, 2.980676935920254778e+01, 1.347655401511445561e+01, 1.100662593528755373e+01, 6.210164707925897254e+00, 1.745747602586586211e+01, 1.426768907747719339e+01, 1.557131743375515143e+01, 8.489031312779941274e+00, 7.887198592608958059e+00, 2.978014940757561746e+01, 2.926399745879998804e+01, 2.256881656583901119e+01, 1.394623908577447935e+01, 4.099968749648888178e+01, 4.452025664062089660e+00, 2.407344662654263345e+01
2.037000000000000000e+03, 2.989291844997630321e+01, 1.358499287547835799e+01, 1.104601453720552762e+01, 6.276208956583409382e+00, 1.758097872485710056e+01, 1.430003699260619854e+01, 1.556406839103726725e+01, 8.504442414434558728e+00, 8.141554432608890224e+00, 3.011282564230086933e+01, 2.953315142417422479e+01, 2.262288955554286218e+01, 1.388904159363616309e+01, 4.103444159454664231e+01, 4.500714179017466066e+00, 2.428694090821429086e+01
