year, NorESM2-MM, NorESM2-LM, GFDL-ESM4, TaiESM1, CNRM-ESM2-1
2.015000000000000000e+03, 2.416762038966139963e-10, 1.679087707972735025e-10, 2.130806272917475157e-10, 1.371459892457415992e-10, 7.244675638852692699e-10
2.016000000000000000e+03, 2.510263464615388728e-10, 4.718636403586112757e-10, 1.375456017214411258e-10, 1.002082465747138493e-10, 3.947145266303288054e-10
2.017000000000000000e+03, 2.844737270024898529e-10, 2.490123418809436581e-10, 2.482226211868473091e-10, 1.673123317605031828e-10, 7.719617927273787801e-10
2.018000000000000000e+03, 2.629868247122853966e-10, 2.511201239332545395e-10, 4.869516579717125136e-10, 2.055798031176655102e-10, 3.110006765021828634e-10
2.019000000000000000e+03, 2.462398205440102647e-10, 4.986585962897636472e-10, 5.649544792707987236e-10, 1.229085618519847946e-10, 3.876306794942938413e-10
2.020000000000000000e+03, 3.210834185277752873e-10, 3.578720438722441691e-10, 1.408176338494013545e-10, 1.308740679199315586e-10, 3.708192074054942565e-10
2.021000000000000000e+03, 2.151265272857867169e-10, 2.232145657451681776e-10, 3.680811016700338408e-10, 1.104228673700939822e-10, 3.684176618712632578e-10
2.022000000000000000e+03, 2.741478646133567888e-10, 1.765398824803049704e-10, 3.422612541737441463e-10, 1.293097334016773657e-10, 6.943022999835311238e-10
2.023000000000000000e+03, 4.090061880332250160e-10, 4.645374473160904359e-10, 2.338185478596873063e-10, 1.159667912734098467e-10, 6.572662849240237095e-10
2.024000000000000000e+03, 2.362984245384737141e-10, 6.878973993073196489e-10, 2.619050053222421749e-10, 1.141388062989200433e-10, 5.947130683733019003e-10
2.025000000000000000e+03, 2.169470787293708908e-10, 6.715110243373109796e-10, 2.264409687276959737e-10, 1.147525727425295493e-10, 3.482963404376013519e-10
2.026000000000000000e+03, 3.031208171060402465e-10, 3.627532177169672262e-10, 3.401262260898971344e-10, 1.023320111331238900e-10, 6.766931683981348870e-10
2.027000000000000000e+03, 3.535406851622380897e-10, 5.459009718359936742e-10, 2.474820766087302690e-10, 1.233388456359269775e-10, 5.150105355966047074e-10
2.028000000000000000e+03, 2.085613745879209531e-10, 2.569749578728692916e-10, 2.844411862074725124e-10, 1.716146911672672316e-10, 5.018291100308034601e-10
2.029000000000000000e+03, 2.775333800800185409e-10, 2.909656251652067148e-10, 2.225133429536785190e-10, 1.430596878507988180e-10, 5.862505062920968480e-10
2.030000000000000000e+03, 4.203011169872875044e-10, 4.406813803487738476e-10, 3.992247593219146606e-10, 1.099372418433367948e-10, 4.531676643982731375e-10
2.031000000000000000e+03, 5.250020631465692232e-10, 6.629123038966524941e-10, 2.139887211281579171e-10, 1.442863863517914565e-10, 5.979793709373220093e-10
2.032000000000000000e+03, 2.301549343906221047e-10, 5.430885041528083295e-10, 5.147913352134161025e-10, 1.058313286818417886e-10, 7.759055152683855108e-10
2.033000000000000000e+03, 7.321306166360382269e-10, 3.751310255716360272e-10, 3.678486010661022663e-10, 1.134550788938273467e-10, 4.602956553395500243e-10
2.034000000000000000e+03, 2.359386711855041221e-10, 2.324544732955989369e-10, 3.476702836652246344e-10, 1.287211046071589060e-10, 3.957886049560164029e-10
2.035000000000000000e+03, 3.409746008550320220e-10, 3.833234081263378576e-10, 5.849829015771687038e-10, 1.232230724966514196e-10, 5.458926673043069613e-10
2.036000000000000000e+03, 3.988367993985634942e-10, 2.627569082165508481e-10, 2.664973830304611899e-10, 1.717238924919409835e-10, 7.821590506750698764e-10
2.037000000000000000e+03, 4.840820193404941192e-10, 2.852355606927244311e-10, 3.918120179788237923e-10, 8.963412965878449258e-11, 1.074883625910434720e-09
2.038000000000000000e+03, 2.568242617380646152e-10, 4.297370513199598629e-10, 5.875393537419920237e-10, 1.357421972967120990e-10, 5.106384583663647900e-10
2.039000000000000000e+03, 2.943788628709682434e-10, 3.324421697015879153e-10, 4.851835335643559824e-10, 1.021248809034986140e-10, 4.750553404675857975e-10
2.040000000000000000e+03, 3.957015453782700506e-10, 3.228364553091173648e-10, 3.564585587738562954e-10, 9.777263777760210061e-11, 5.605860239095718451e-10
2.041000000000000000e+03, 5.831842948974686371e-10, 4.238049132612603035e-10, 2.142163039377252651e-10, 1.332994393855304403e-10, 9.420218973529242316e-10
2.042000000000000000e+03, 3.140729877359274236e-10, 3.002927285817689225e-10, 3.446960620418046460e-10, 2.258265764876323784e-10, 5.964463917843796348e-10
2.043000000000000000e+03, 6.250189954069749797e-10, 2.816092636821000786e-10, 8.473057542050492956e-10, 1.091445881173601490e-10, 7.241334877933101138e-10
2.044000000000000000e+03, 5.148206004344765874e-10, 5.591576509126610807e-10, 3.461847917862611963e-10, 1.016431071851045785e-10, 6.110268544686118940e-10
2.045000000000000000e+03, 4.480227397785127486e-10, 5.994514493023156290e-10, 4.242815751564024754e-10, 1.391301099803998398e-10, 7.823125714714884792e-10
2.046000000000000000e+03, 5.653538664614688775e-10, 2.569034869959116237e-10, 4.075801176993551381e-10, 2.076812185997776171e-10, 5.845991177990862537e-10
2.047000000000000000e+03, 4.466093062531524965e-10, 3.910820583295803382e-10, 5.023818218895294149e-10, 1.689538866375475472e-10, 6.167108870106842110e-10
2.048000000000000000e+03, 4.056909550691784449e-10, 7.172236698673136558e-10, 5.630383269564937365e-10, 1.127520207393662411e-10, 8.113352749526499645e-10
2.049000000000000000e+03, 5.955070993805806359e-10, 2.307890087309657114e-10, 6.176343313535978593e-10, 1.531920382678784251e-10, 7.626102698079763066e-10
2.050000000000000000e+03, 5.173321736513597474e-10, 3.167085335035883686e-10, 2.922992652368359719e-10, 1.657277603627625701e-10, 1.181274550580428705e-09
2.051000000000000000e+03, 4.064244454073042806e-10, 7.270986827789113185e-10, 7.767740312014320279e-10, 2.409981482157901593e-10, 6.073973365621816754e-10
2.052000000000000000e+03, 5.105240352211864362e-10, 6.021962298071056238e-10, 7.072793084838515450e-10, 9.333811766251861761e-11, 8.244689723186591286e-10
2.053000000000000000e+03, 4.836528119745750267e-10, 4.404865340615655261e-10, 5.669261711165751522e-10, 1.577425334021040743e-10, 1.218253922082238900e-09
2.054000000000000000e+03, 5.142402002554138685e-10, 3.910872767503734237e-10, 4.512711657033976382e-10, 1.087095366849333957e-10, 6.042768335132640000e-10
2.055000000000000000e+03, 1.010567521028647969e-09, 7.021516359630678212e-10, 7.771598896481168076e-10, 1.450204076914733252e-10, 4.511822690522480597e-10
2.056000000000000000e+03, 5.815070134497899447e-10, 3.490616108837051917e-10, 6.155838079824416275e-10, 1.552656075464179362e-10, 7.385813272073687454e-10
2.057000000000000000e+03, 3.876385032561481997e-10, 5.011201665132287373e-10, 3.578915496452925659e-10, 1.503055750373091872e-10, 6.976804091079053345e-10
2.058000000000000000e+03, 6.884468058975480098e-10, 4.182212868435501650e-10, 1.061710861283981130e-09, 9.926983685627047940e-11, 7.766021721745294472e-10
2.059000000000000000e+03, 5.976106894849043340e-10, 4.671050499638071537e-10, 4.173026492644799570e-10, 1.774596464404088875e-10, 1.090968543224548879e-09
2.060000000000000000e+03, 7.188723448247410282e-10, 8.748332445857725038e-10, 5.097527409453440117e-10, 2.125024178380439067e-10, 5.386539782165871667e-10
2.061000000000000000e+03, 8.800658164386270532e-10, 3.155719520811661328e-10, 5.545710855594623183e-10, 1.653295426047961485e-10, 8.774427856368210420e-10
2.062000000000000000e+03, 5.923693950981035029e-10, 5.258481092935364263e-10, 6.687103631626254078e-10, 1.570096059217292765e-10, 7.976575218576435794e-10
2.063000000000000000e+03, 4.851668576358802373e-10, 1.037821948676188876e-09, 5.051126842876359792e-10, 1.189343676207867879e-10, 7.112206665181260420e-10
2.064000000000000000e+03, 6.594921927025303757e-10, 6.912061232415100119e-10, 5.879761528100533954e-10, 1.646285118181749981e-10, 1.070009397441289991e-09
2.065000000000000000e+03, 5.234589919676530060e-10, 4.448587247726833843e-10, 8.133399991743012873e-10, 1.959744255167225757e-10, 7.229656145375951235e-10
2.066000000000000000e+03, 7.152330763068883630e-10, 8.241915936100943064e-10, 9.801732309980935530e-10, 1.238216236860315518e-10, 1.755549713304088328e-09
2.067000000000000000e+03, 6.547534436373698470e-10, 9.878136907828092192e-10, 6.585493228926817619e-10, 1.483234539814630391e-10, 7.442797603448120005e-10
2.068000000000000000e+03, 8.938091114215231212e-10, 5.774167633526762417e-10, 7.170879234225115771e-10, 1.546643642613062499e-10, 7.782947104504373766e-10
2.069000000000000000e+03, 4.744152280060451004e-10, 6.463354063502326255e-10, 7.800985428310394341e-10, 1.702205890454422837e-10, 8.461363727631788419e-10
2.070000000000000000e+03, 9.491767540677039052e-10, 4.792811661930744879e-10, 5.411186863175679420e-10, 1.169003700208799501e-10, 6.756262968975411689e-10
2.071000000000000000e+03, 7.870978204442427341e-10, 6.327111029271598731e-10, 6.093867093150985137e-10, 1.175477318853457683e-10, 1.292351485747136089e-09
2.072000000000000000e+03, 4.588701282775663068e-10, 4.820031302780553931e-10, 3.801154166738739225e-10, 1.453789594816817655e-10, 7.009073553787598159e-10
2.073000000000000000e+03, 7.354104600945090336e-10, 6.775884143154719629e-10, 1.083852762826568824e-09, 1.372440008461677596e-10, 9.108858014452670785e-10
2.074000000000000000e+03, 7.029006410725658917e-10, 6.429759078001239822e-10, 5.474935216905848121e-10, 1.768503930124645805e-10, 1.169587788344168637e-09
2.075000000000000000e+03, 7.615875740278124608e-10, 6.009902770405439302e-10, 9.711763680247155598e-10, 1.861880907873639132e-10, 9.523744055402777407e-10
2.076000000000000000e+03, 5.745288129628901820e-10, 6.822831608497388200e-10, 8.146877990237367579e-10, 1.665632014911815513e-10, 6.162158299742326026e-10
2.077000000000000000e+03, 8.418593405073252582e-10, 8.892823833293728154e-10, 6.788053342155746552e-10, 1.493972632566784343e-10, 9.406003298268035382e-10
2.078000000000000000e+03, 7.858794081508062431e-10, 9.574895437525784549e-10, 8.064025053751593080e-10, 1.407545295463910540e-10, 1.106213951340376354e-09
2.079000000000000000e+03, 6.170152667246462505e-10, 3.615942112256412967e-10, 1.311125790059980792e-09, 1.621732917729800041e-10, 1.187363013901023567e-09
2.080000000000000000e+03, 8.410234557342153783e-10, 8.731107622717176229e-10, 1.489259269986343392e-09, 1.530979016137144707e-10, 1.438604857082754954e-09
2.081000000000000000e+03, 6.985360427555679440e-10, 4.116266423643720434e-10, 6.529743240370476198e-10, 1.600379457613351684e-10, 1.186556802182860049e-09
2.082000000000000000e+03, 7.251421088112494677e-10, 8.310527732101540300e-10, 6.842099291053817885e-10, 1.520780321923083848e-10, 1.451824599837823461e-09
2.083000000000000000e+03, 8.561500398300398799e-10, 4.917089013431424933e-10, 1.250599529480485472e-09, 1.480622985716523452e-10, 7.562345121670974139e-10
2.084000000000000000e+03, 8.082234174112835355e-10, 6.180460946474904958e-10, 7.513352461999642657e-10, 2.070933729685398214e-10, 1.188455135479128228e-09
2.085000000000000000e+03, 1.119541620082870699e-09, 1.077162886384721604e-09, 6.834045634508314419e-10, 1.322482979072657592e-10, 8.157664315173245766e-10
