year, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR
2.015000000000000000e+03, 1.498518516875723663e-09, 1.374846388471351731e-09, 1.109937591851569884e-10, 2.220349136103148809e-09, 1.124105168599611502e-09, 3.268474089166456927e-10, 0.000000000000000000e+00, 2.427779504157250849e-09, 1.650094566120398772e-09
2.016000000000000000e+03, 1.447906217183830861e-09, 1.337662882171882762e-09, 1.118757350735320065e-10, 2.162324671827562458e-09, 1.212310894115726224e-09, 3.196421880973320070e-10, 2.919631360746039300e-10, 2.316779043639703263e-09, 1.653284724816185536e-09
2.017000000000000000e+03, 1.372108055245694201e-09, 1.367029373551670844e-09, 1.126397541725158305e-10, 2.055999047996414329e-09, 1.129833453767777580e-09, 3.235984931427596140e-10, 2.916106883035443929e-10, 2.727089792155214986e-09, 1.682750393220652825e-09
2.018000000000000000e+03, 1.274483030941028356e-09, 1.390659438636649001e-09, 1.124936179303137932e-10, 2.172974192797879739e-09, 1.300648088485854597e-09, 3.246987157511718540e-10, 2.918362717687663809e-10, 2.377144926701057475e-09, 1.723191829836107196e-09
2.019000000000000000e+03, 1.261616810283848980e-09, 1.338858948085371713e-09, 1.129580537601211552e-10, 2.309987939859844716e-09, 1.124688631362075165e-09, 3.253957414010301107e-10, 2.927298749845292853e-10, 2.495454881136283455e-09, 1.744131964127335641e-09
2.020000000000000000e+03, 1.189623189509011248e-09, 1.369777049312931468e-09, 1.145507192862391974e-10, 2.237675040112627156e-09, 1.039518078892608307e-09, 3.270815265578732865e-10, 2.921278501485103430e-10, 2.682247564233752537e-09, 1.705178636859125152e-09
2.021000000000000000e+03, 1.370631970827461584e-09, 1.391722514522500648e-09, 1.154143406415541389e-10, 2.243675719528056456e-09, 1.075610806387254409e-09, 3.285641080548656174e-10, 2.919085784042887344e-10, 2.543996206306405068e-09, 1.688636546198742582e-09
2.022000000000000000e+03, 1.529369498293490527e-09, 1.588577053298992117e-09, 1.135462753226450677e-10, 2.234115941475116814e-09, 1.133497257569734116e-09, 3.380938392469103806e-10, 2.989765207740400408e-10, 2.828427717626737862e-09, 1.726222510531447077e-09
2.023000000000000000e+03, 1.411879108767952998e-09, 1.479088491331370565e-09, 1.117115132259812025e-10, 2.209699325032789979e-09, 1.311820879233837726e-09, 3.399200885798666891e-10, 3.006058769226020811e-10, 2.965099400095956510e-09, 1.710478339242695800e-09
2.024000000000000000e+03, 1.608597897642656395e-09, 1.558661165201616373e-09, 1.095239739159085929e-10, 2.313236741856819182e-09, 1.254105102483534323e-09, 3.396765881866624349e-10, 3.014111354965107024e-10, 2.778391415070975151e-09, 1.680166684037619009e-09
2.025000000000000000e+03, 1.419620533239521128e-09, 1.526243156823259706e-09, 1.083368616961165472e-10, 2.401564951096242669e-09, 1.312834612472699035e-09, 3.386038349830749246e-10, 3.020877235007503255e-10, 2.822759758967538850e-09, 1.703122233708046595e-09
2.026000000000000000e+03, 1.263365384289127567e-09, 1.631098289858387212e-09, 1.079302945148016421e-10, 2.405736135593876653e-09, 9.997773516689156934e-10, 3.388574836038881510e-10, 3.019039277424230449e-10, 2.423914905228117377e-09, 1.708679442794605013e-09
