year, CNRM-ESM2-1, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg
2.015000000000000000e+03, 1.050625533636744838e-10, 3.988720179427016674e-10, 1.901254914177396075e-11, 3.380170296085973573e-10, 2.110133917990345284e-10, 3.890908170659906095e-13, 1.857558325087586255e-09, 3.352865667916697437e-11, 1.451369713748410382e-09, 1.905522295587957733e-11
2.016000000000000000e+03, 1.014069244767301367e-10, 3.469566221376282085e-10, 1.415855675531082260e-11, 3.361733785904423605e-10, 2.158691009890928398e-10, 2.688945551333408406e-13, 1.736165647270459149e-09, 3.481235684903474071e-11, 1.326890742699902365e-09, 2.879992296933462871e-11
2.017000000000000000e+03, 9.905970553561325922e-11, 3.024990634740026388e-10, 1.325751591171785701e-11, 3.367757958298105122e-10, 2.195194067286641137e-10, 2.495071546116162635e-13, 1.801138467241415786e-09, 3.274866259924470030e-11, 1.516650463824627049e-09, 2.649735514367323368e-11
2.018000000000000000e+03, 9.022669974096131131e-11, 2.668200409680478550e-10, 1.249552965468071779e-11, 3.375233797368321271e-10, 2.226173052234054740e-10, 2.406946630304815926e-13, 1.866571934474071674e-09, 3.342145767329899507e-11, 1.830413558677633532e-09, 2.919126891604768238e-11
2.019000000000000000e+03, 9.208271074464471917e-11, 2.394276364870907058e-10, 1.216489589593456284e-11, 3.376580428230848739e-10, 2.178687364551227219e-10, 2.183413424523461513e-13, 1.923907901056327820e-09, 3.184312807589675461e-11, 1.590932345143863261e-09, 2.886865606020821417e-11
2.020000000000000000e+03, 8.341230356115909898e-11, 2.255347317687459306e-10, 1.218559395275526899e-11, 3.365632360049638133e-10, 2.282008601248855606e-10, 1.939696895738879829e-13, 1.945174159835076871e-09, 3.261007918760667425e-11, 1.486746361417048047e-09, 2.796501064182738949e-11
2.021000000000000000e+03, 7.981079094912323984e-11, 2.096326427283667192e-10, 1.171584806272894132e-11, 3.353254710416250176e-10, 2.307478295229918296e-10, 2.017438726315782130e-13, 1.960100330059947749e-09, 2.604981207711884458e-11, 1.541964237432207611e-09, 2.441176421598439633e-11
2.022000000000000000e+03, 1.041478004202464285e-10, 1.973599521832252641e-10, 1.193671966296551271e-11, 3.381618829990501704e-10, 2.306685849746447888e-10, 2.131177032655558954e-13, 1.994567586353219056e-09, 2.615961517855329811e-11, 1.680645396048065177e-09, 5.128467203073307995e-11
2.023000000000000000e+03, 1.021690211880140736e-10, 1.853629119821456370e-10, 1.142775774253920012e-11, 3.412211639200585372e-10, 2.363315804437301382e-10, 2.403166617009516283e-13, 1.938305464630214347e-09, 2.584768382515936451e-11, 1.691588047378787006e-09, 5.906145254843399280e-11
2.024000000000000000e+03, 1.029777917759069827e-10, 1.746019625542181498e-10, 1.114924402464335001e-11, 3.424942276736758614e-10, 2.370219522243456140e-10, 2.764684735122977560e-13, 1.958124966241436744e-09, 2.441576456465971564e-11, 1.598946151964856659e-09, 6.053109868383903723e-11
2.025000000000000000e+03, 1.047837457157461322e-10, 1.777221704334707201e-10, 1.262117153631354402e-11, 3.439731624258037366e-10, 2.439586005628081794e-10, 3.166999318070393120e-13, 1.911528084186325142e-09, 2.397871972973986858e-11, 1.564745835299133899e-09, 5.329049127470152773e-11
2.026000000000000000e+03, 1.317675052109805337e-10, 1.718645654541105048e-10, 1.349205783658738485e-11, 3.457565035468964147e-10, 2.442423201363432721e-10, 2.798629269484236332e-13, 2.012862432070326248e-09, 2.507715667549141622e-11, 1.717904392670921268e-09, 5.550237889514907907e-11
2.027000000000000000e+03, 1.341458232962136836e-10, 1.657585758506677754e-10, 1.324365516709487417e-11, 3.487032752367489194e-10, 2.477505162406989710e-10, 2.667564221999944570e-13, 1.970235631239054710e-09, 2.463364831693585982e-11, 1.494652528001317093e-09, 5.308438909521694729e-11
2.028000000000000000e+03, 1.374763679101237991e-10, 1.617405408213359646e-10, 1.291304316120560197e-11, 3.521656753744876191e-10, 2.579080488546970877e-10, 3.325080987178500350e-13, 1.891529485045964424e-09, 2.476542893391699974e-11, 1.506964041773267963e-09, 5.402669766660162946e-11
2.029000000000000000e+03, 1.408977469793137358e-10, 1.586560151716915514e-10, 1.338853299411726255e-11, 3.531058414888723297e-10, 2.531231869035088761e-10, 4.230733354216938594e-13, 1.943432792752016248e-09, 2.467666104020221264e-11, 1.720437866811281531e-09, 5.362444541163297573e-11
2.030000000000000000e+03, 1.578393866347459761e-10, 1.609904415925124654e-10, 1.353997034093231679e-11, 3.548012764855724342e-10, 2.505915374612752647e-10, 6.570723996102673903e-13, 2.013684732488435765e-09, 2.464959858545792037e-11, 1.874202280616243170e-09, 5.238562384632595300e-11
2.031000000000000000e+03, 1.498023460896077643e-10, 1.597631689752076521e-10, 1.412615760479058652e-11, 3.504343594578018057e-10, 2.555556497075043377e-10, 6.202716926314311931e-13, 2.104673616066547250e-09, 2.600903298122519407e-11, 1.705940739539301337e-09, 4.949656368893687996e-11
2.032000000000000000e+03, 1.741768104038306026e-10, 1.586791960677182681e-10, 1.478470981571690440e-11, 3.519940853846534510e-10, 2.594582816288532924e-10, 5.541703353477583839e-13, 2.114385485116657513e-09, 2.610503814170654597e-11, 1.673277905971926787e-09, 5.270518454350181006e-11
2.033000000000000000e+03, 1.794663747326318675e-10, 1.600386055459517024e-10, 1.508319896600830481e-11, 3.541848997134594367e-10, 2.596276796253724510e-10, 5.351028117162302337e-13, 2.047076350562481578e-09, 2.627712700572184520e-11, 1.748740501858301215e-09, 5.385890358457578517e-11
2.034000000000000000e+03, 1.818206313097766137e-10, 1.625005436084781859e-10, 1.581389382547056840e-11, 3.547397043191386281e-10, 2.510575973055296920e-10, 6.628687231878879527e-13, 2.077912481818794182e-09, 2.638399247958723869e-11, 1.874915521695107184e-09, 5.409820490064224784e-11
2.035000000000000000e+03, 1.854559781732427333e-10, 1.543235107864998315e-10, 1.396714120068621466e-11, 3.548228349647549560e-10, 2.494961399711154079e-10, 9.950168092529894571e-13, 2.061645734158440853e-09, 2.681980698441711853e-11, 1.889952025875398519e-09, 1.247043986459096800e-10
2.036000000000000000e+03, 1.458915473662015888e-10, 1.503781549538141409e-10, 1.308091915823937551e-11, 3.589513217827564822e-10, 2.628707852535906475e-10, 1.687292692781659797e-12, 2.044741233691058163e-09, 2.275409019613095129e-11, 2.056821151969124015e-09, 1.635005805564843382e-10
2.037000000000000000e+03, 1.468057289130197531e-10, 1.509437066661326361e-10, 1.303229105263891476e-11, 3.577944138131589133e-10, 2.680881308390319860e-10, 1.845318021506824884e-12, 1.867502125390396026e-09, 2.248650920655676589e-11, 2.144084066339361456e-09, 1.573263818390772139e-10
2.038000000000000000e+03, 1.451668608939305447e-10, 1.547177909252728211e-10, 1.317369355792175788e-11, 3.585681157627565422e-10, 2.607731764683315613e-10, 1.683964348015670161e-12, 1.966851473988577459e-09, 2.245372105409458439e-11, 2.108007598566537464e-09, 1.535729378861608666e-10
