year, CESM2-WACCM, CMCC-ESM2, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR
2.015000000000000000e+03, 1.823247559660699171e-09, 1.948299950713732448e-10, 5.023866391705935951e-11, 2.461308147020281486e-09, 3.890908188073484249e-13, 6.938770650551879051e-11, 2.061159626104424493e-09, 1.669108932936286684e-09
2.016000000000000000e+03, 1.772542412737718789e-09, 1.963415170881846208e-10, 2.128631666334821658e-10, 2.351591415115590156e-09, 2.688945557845319116e-13, 5.741123965310457871e-11, 2.050597042300150207e-09, 1.667444249543929930e-09
2.017000000000000000e+03, 1.696985420134391018e-09, 1.974130635529019816e-10, 1.317314218593416596e-10, 2.759838449356835410e-09, 2.495071549678338900e-13, 5.496171942324402144e-11, 2.029575058905692423e-09, 1.696005379307339753e-09
2.018000000000000000e+03, 1.599593207375843833e-09, 1.982530253080067193e-10, 1.001232877223552607e-10, 2.410566398172616135e-09, 2.406946630142524140e-13, 4.608853426162828345e-11, 2.041690354332659879e-09, 1.735691642831246396e-09
2.019000000000000000e+03, 1.587177566841051446e-09, 1.991322645424026483e-10, 8.759325752747312512e-11, 2.527298009263907044e-09, 2.183413367469782158e-13, 4.754255468357697143e-11, 2.051857575367096591e-09, 1.756300838344205109e-09
2.020000000000000000e+03, 1.515781633902691415e-09, 1.999876173428839026e-10, 8.170503671921853572e-11, 2.714857661126917562e-09, 1.939696899679188806e-13, 3.814877248778423332e-11, 2.028635781272203323e-09, 1.717364853372044623e-09
2.021000000000000000e+03, 1.697217012030238274e-09, 2.006277932760599960e-10, 8.164038113564522133e-11, 2.570046043365230436e-09, 2.017438720688488428e-13, 3.564850412743869907e-11, 2.015131877790530634e-09, 1.700358681510886771e-09
2.022000000000000000e+03, 1.857247374805807112e-09, 2.016217304642575755e-10, 8.121283808699597440e-11, 2.854587337581894130e-09, 2.131177030840783053e-13, 3.389747956511286890e-11, 2.024755863101163509e-09, 1.738158277530263387e-09
2.023000000000000000e+03, 1.740834795017741611e-09, 2.030135638572652236e-10, 8.069756203703051531e-11, 2.990947106495280872e-09, 2.403166627956668564e-13, 3.236156697971716150e-11, 2.037495270303346018e-09, 1.721904768914384765e-09
2.024000000000000000e+03, 1.938480292781080853e-09, 2.043287618998254840e-10, 8.036104020650521366e-11, 2.802807192069633454e-09, 2.764684715719065223e-13, 3.269860363788927543e-11, 2.032040203648665979e-09, 1.691311775665049668e-09
2.025000000000000000e+03, 1.750709111935314373e-09, 2.052813132574093683e-10, 7.964173428993335918e-11, 2.846738476639244049e-09, 3.166999294435961365e-13, 3.467191285231266034e-11, 2.050747271567639831e-09, 1.715741854269192137e-09
2.026000000000000000e+03, 1.595542412456377180e-09, 2.058394349897632525e-10, 7.830871436575365632e-11, 2.448992061145063551e-09, 2.798629262881003045e-13, 3.627641049471639878e-11, 2.076036827723940519e-09, 1.722170781280371384e-09
