year, CMCC-CM2-SR5, NorESM2-LM, NorESM2-MM, CNRM-ESM2-1, CanESM5, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, INM-CM4-8, EC-Earth3-Veg, UKESM1-0-LL, MIROC-ES2L
2.015000000000000000e+03, 4.101921911387234054e+00, 4.510439307859066993e+00, 5.056838974427070532e+00, 4.483309554768290184e+00, 6.276600210247674561e+00, 4.422985320316064950e+00, 6.246879139204275511e+00, 4.868783051727374023e+00, 5.936629230944189928e+00, 4.081826080345544838e+00, 4.811917540497240964e+00, 3.469606694411019543e+00, 4.065205533672873628e+00, 6.507454940956033163e+00, 4.997933039351035056e+00, 6.536963974808052136e+00
2.016000000000000000e+03, 4.168533143975593269e+00, 4.022353465467016775e+00, 4.819074798481081778e+00, 4.558447098579491374e+00, 6.305331046939003592e+00, 4.296328199475819787e+00, 6.915507402783220847e+00, 4.926830540461693886e+00, 5.795076046311199214e+00, 4.039753931912367868e+00, 4.621867614385366529e+00, 3.445217058976495217e+00, 4.190080398619080881e+00, 6.372513726989352811e+00, 5.171347714753968816e+00, 6.165574866838590573e+00
2.017000000000000000e+03, 4.887743158961248113e+00, 4.609698465895008646e+00, 4.617762894475244018e+00, 4.287732654971569524e+00, 6.490486206185832607e+00, 4.223856076460410947e+00, 6.739598477998135273e+00, 4.937010718025788947e+00, 5.721314649661304763e+00, 4.231297587993671172e+00, 5.420934105726527896e+00, 3.085224160362781465e+00, 4.248379675009751111e+00, 6.480498944748909196e+00, 5.029605582156185584e+00, 6.256083106068820676e+00
2.018000000000000000e+03, 4.401945913991569093e+00, 4.646106946338877108e+00, 4.915171076983854803e+00, 4.719441110044535925e+00, 6.305443445109888856e+00, 4.281452084884666220e+00, 6.823773350434382046e+00, 5.130871459345152097e+00, 5.807944461000700720e+00, 3.988442650486469621e+00, 4.889767384156292529e+00, 3.141425306769758841e+00, 4.079867022947761157e+00, 6.570537226298439393e+00, 5.547495974359144100e+00, 6.673134749615352135e+00
2.019000000000000000e+03, 4.376029681660528858e+00, 4.301196233180402118e+00, 4.783897668350712173e+00, 5.129297054628320751e+00, 6.244611344370139427e+00, 4.766098917894829867e+00, 7.140118186370099096e+00, 4.748609165358654849e+00, 5.782881926874700262e+00, 4.033166094684625946e+00, 5.045174548203986475e+00, 3.345202913832761471e+00, 4.073369603335289746e+00, 6.498035878754683026e+00, 4.901323993462272099e+00, 6.019529790022462912e+00
2.020000000000000000e+03, 4.325345118015485824e+00, 4.233463296440218571e+00, 4.627444995548965601e+00, 4.787633390323009053e+00, 6.457889274835182825e+00, 4.631872281945304870e+00, 6.175875614781190848e+00, 4.427558291508861821e+00, 5.443271595221832015e+00, 4.215132513697165351e+00, 5.300079412918174526e+00, 3.397171240874687914e+00, 4.418304684745227640e+00, 6.644418877192047823e+00, 4.730870697221749133e+00, 5.993856426852762986e+00
2.021000000000000000e+03, 5.012850830234190092e+00, 4.287467877468352562e+00, 4.723260317734307101e+00, 5.621392501606607972e+00, 6.689204166472026536e+00, 4.700789836885028272e+00, 7.035332853753813787e+00, 4.855352674610202257e+00, 5.481924268436035419e+00, 4.405851230198875257e+00, 5.288798765635422505e+00, 3.597938293465827275e+00, 4.144041126673568165e+00, 6.653923992281034039e+00, 4.803339488426663806e+00, 6.207918148925651636e+00
2.022000000000000000e+03, 4.399567385286128562e+00, 4.769345314577949857e+00, 4.781545068656049224e+00, 4.517673014550481980e+00, 6.594395042304930676e+00, 4.973390438152240023e+00, 6.757234253983845917e+00, 5.171270832249867055e+00, 5.470316564237434953e+00, 4.119636412879654763e+00, 5.473089670645552296e+00, 3.618635833330971163e+00, 4.511086088609246758e+00, 6.564600357086630034e+00, 4.959954303842235568e+00, 6.543951281152756039e+00
2.023000000000000000e+03, 3.877998841438123012e+00, 4.394859879167809957e+00, 4.658824776591140804e+00, 4.659657044126547909e+00, 6.658793828637025847e+00, 4.668203655788695450e+00, 6.798156426016672249e+00, 5.139603757742627010e+00, 5.663617433218241182e+00, 4.293290245012654438e+00, 5.561373983864553061e+00, 3.575083082370651866e+00, 4.517094133608160256e+00, 6.596661252767368033e+00, 5.620639623522944994e+00, 6.307684791422092374e+00
2.024000000000000000e+03, 4.610565872252935016e+00, 4.515818470757896996e+00, 4.630545772796581083e+00, 4.321008516866258198e+00, 6.810352554458179775e+00, 4.653668891706965738e+00, 6.795408772518228169e+00, 5.255643900770352595e+00, 5.781092230994597791e+00, 4.384971131089668184e+00, 5.449481302838499630e+00, 3.459912238550912011e+00, 4.813414398611202571e+00, 6.683751987717516663e+00, 5.391720525585239621e+00, 6.252261291433057089e+00
2.025000000000000000e+03, 4.570590399591575093e+00, 4.316841925057039120e+00, 4.874562000700823461e+00, 5.499723949689824032e+00, 6.499302987274089283e+00, 4.529215969506136474e+00, 7.234078639930594967e+00, 4.737811424564553064e+00, 5.630926537820826638e+00, 4.299306039383237632e+00, 5.499204702561020675e+00, 3.496325359149341061e+00, 4.340471723593206654e+00, 6.760633742512363042e+00, 5.579424646137106869e+00, 6.710196828938521207e+00
2.026000000000000000e+03, 4.926792887001736787e+00, 4.496271161918352632e+00, 5.096548039446015643e+00, 4.579253458320000192e+00, 6.642720370652527961e+00, 4.542770362869091194e+00, 6.633243014549711880e+00, 4.975550133880251913e+00, 5.667537881251134557e+00, 4.453784580624616574e+00, 4.908458642859108600e+00, 3.582112291145172378e+00, 4.660817074965261320e+00, 6.652457138373769396e+00, 4.782538289272966203e+00, 6.664130781361774503e+00
2.027000000000000000e+03, 4.700465152338106023e+00, 4.435366565246400938e+00, 4.650130810819344873e+00, 4.845734081954113037e+00, 6.526213044128167162e+00, 4.900421064463207799e+00, 7.041720459967348411e+00, 5.114356199715146545e+00, 5.971072085771697679e+00, 4.570494597084924671e+00, 5.589875114167709214e+00, 3.402857962972875683e+00, 4.679135841433462950e+00, 6.575796830918643643e+00, 5.004633257201514418e+00, 6.646362244158928512e+00
2.028000000000000000e+03, 4.286762150991346054e+00, 4.535146877405372479e+00, 4.709976824434928488e+00, 5.288759400131043620e+00, 7.002524221905537694e+00, 4.769069934496724450e+00, 7.150618537680950126e+00, 5.278161004064520156e+00, 6.114254566663248625e+00, 4.485473997682972502e+00, 5.537889427684948629e+00, 3.306253063635476330e+00, 4.209899405553613860e+00, 6.345678279654558551e+00, 5.285953049252780644e+00, 6.508996697393782505e+00
2.029000000000000000e+03, 4.889736090882909281e+00, 4.804127894233977791e+00, 4.714389896106345290e+00, 4.607582424786214048e+00, 6.984649816915530884e+00, 4.677890758509345659e+00, 6.537915959138506317e+00, 5.286814971173149580e+00, 6.088862105871320374e+00, 4.327003283849091275e+00, 5.797874263379082294e+00, 3.461766526725527537e+00, 4.571902368417474882e+00, 6.782849990135778384e+00, 5.387408932655385563e+00, 6.707867175563814399e+00
2.030000000000000000e+03, 4.814303706821822182e+00, 4.508710168080342306e+00, 4.793709170098556349e+00, 5.157954022583497888e+00, 7.243675845072186092e+00, 5.124158310890821966e+00, 6.516545809185509519e+00, 4.901873316909115097e+00, 5.717748029225210971e+00, 4.367450458755211429e+00, 5.323295931462449282e+00, 3.667130811617825614e+00, 4.580063787963308819e+00, 6.363693003627028943e+00, 5.205970037308425447e+00, 6.313962874748521692e+00
2.031000000000000000e+03, 4.216125969220089864e+00, 4.444617470181317032e+00, 4.896364985142567683e+00, 5.034498460855174606e+00, 6.652147356689086521e+00, 4.650181526534564291e+00, 7.064938572156233221e+00, 5.068355338025283707e+00, 5.756845348230728909e+00, 4.597539425516677269e+00, 5.079051809262107753e+00, 3.452582263228284987e+00, 4.058386479703574246e+00, 6.385803158589641981e+00, 5.256827006458662410e+00, 6.986362542242581242e+00
2.032000000000000000e+03, 4.710383975045097316e+00, 4.557193759205707906e+00, 5.202812127631499806e+00, 4.820482223342275496e+00, 7.003876272907969103e+00, 4.890182974452790710e+00, 7.293904416433782956e+00, 5.321627077242277792e+00, 6.184488653615740184e+00, 4.433235475045700369e+00, 5.356205800498313963e+00, 3.641158005997561453e+00, 4.134657732756944704e+00, 6.514130700016622200e+00, 4.765216634834644083e+00, 6.803669603206611072e+00
2.033000000000000000e+03, 5.582279142978928022e+00, 4.820525032342367844e+00, 4.971147317270625088e+00, 5.576701296333327562e+00, 6.844527126145467655e+00, 4.731328939951841228e+00, 7.432690919946229435e+00, 5.131384727893223641e+00, 6.287821459597486395e+00, 4.492306509517906221e+00, 5.569180862928435616e+00, 3.561032397232003710e+00, 4.368251238209073684e+00, 6.719900129459292160e+00, 4.714034921436762282e+00, 6.847771686170997185e+00
2.034000000000000000e+03, 5.376209977862679956e+00, 5.196058844278566013e+00, 4.888428268712079472e+00, 5.431532578975461156e+00, 7.013090738198658691e+00, 4.895561151786220755e+00, 6.964621547429207915e+00, 5.185391532731605579e+00, 6.103264314148506564e+00, 4.181926202636704559e+00, 5.477619696160949125e+00, 3.684488345846418156e+00, 4.154899160770217037e+00, 6.915100213269900209e+00, 5.284048587486917192e+00, 7.089192522150152165e+00
2.035000000000000000e+03, 4.444054864608309785e+00, 4.990802987702172899e+00, 5.064282422503336711e+00, 5.148511564419250952e+00, 6.915467377847303254e+00, 4.829956059933893542e+00, 7.056259945964534097e+00, 4.910479928800720373e+00, 6.244457686226508208e+00, 4.545433057322463277e+00, 5.721268968682454492e+00, 3.636694362722028728e+00, 4.606713291777458252e+00, 6.446244796901424046e+00, 5.452456524483412004e+00, 6.492932622845481561e+00
2.036000000000000000e+03, 4.525386954066098255e+00, 5.060106843709413660e+00, 5.059542978416844861e+00, 5.470359085380935404e+00, 6.909977650940491323e+00, 5.352258609591242333e+00, 6.731904996108504236e+00, 4.951058350700940913e+00, 6.094577546815036051e+00, 4.499202563671833133e+00, 5.400344904189963380e+00, 3.391814004943641603e+00, 4.294833900159806817e+00, 6.975287110853126471e+00, 5.084729709333844383e+00, 6.792450965344218439e+00
2.037000000000000000e+03, 4.974780811900607169e+00, 5.039496254576788736e+00, 4.926109642488651019e+00, 4.672408824938441008e+00, 7.492687115236083883e+00, 5.371407900721441919e+00, 7.289996370609106435e+00, 4.904032500997063337e+00, 5.831790063882330344e+00, 4.633807718930320618e+00, 5.206642416720571376e+00, 3.678858506187203670e+00, 4.624815665052657288e+00, 6.780603946366871249e+00, 4.881458649942717720e+00, 7.220331371927153796e+00
2.038000000000000000e+03, 4.148874649992150054e+00, 5.110705332262386769e+00, 4.867621673908136160e+00, 5.258653119065129111e+00, 7.166374529481384315e+00, 5.138483849491016997e+00, 7.227753841365660570e+00, 5.094692281166273595e+00, 6.151770368324591232e+00, 4.716507492964253423e+00, 5.972753689366118834e+00, 3.558015371805363092e+00, 4.663685536251692021e+00, 7.131777966112587741e+00, 5.624983371165410695e+00, 6.854536040409460185e+00
2.039000000000000000e+03, 5.013682131282182652e+00, 4.837817041821534048e+00, 5.115867458450549243e+00, 5.712350450785097067e+00, 7.004601000287820511e+00, 4.880050292320492922e+00, 7.193373637200747517e+00, 5.297263486781424113e+00, 6.108425934003117952e+00, 4.544110637032366284e+00, 5.976910969959035924e+00, 4.027665660513210177e+00, 4.356471569109385378e+00, 7.140704635322546956e+00, 5.703166715767254757e+00, 7.362108274839200384e+00
2.040000000000000000e+03, 4.995025118903087424e+00, 5.230828961081258832e+00, 5.213020245695033417e+00, 5.729440769615992579e+00, 7.040301304911276148e+00, 5.458910215021230528e+00, 7.304316302812424055e+00, 5.413421164710336519e+00, 6.088646533498230262e+00, 4.430033459418767805e+00, 6.042569861970515710e+00, 3.797448439182863122e+00, 4.354164147115310968e+00, 7.153660539664810969e+00, 5.629035041276766016e+00, 6.796551083274906979e+00
2.041000000000000000e+03, 4.983795953086413100e+00, 5.362802928791938761e+00, 5.130147157893312659e+00, 5.163457276963051790e+00, 7.405572870847396239e+00, 4.674892280422575652e+00, 7.357187869608064368e+00, 5.536446385280823002e+00, 6.120586847701438238e+00, 4.972467923120375666e+00, 6.041720852601700109e+00, 3.711309006692076196e+00, 4.573457528050481891e+00, 7.203725973737935995e+00, 5.418497844615255410e+00, 7.197598093265344943e+00
2.042000000000000000e+03, 5.039654157470858209e+00, 5.196582910670038302e+00, 5.100941327783164780e+00, 5.617160531213923669e+00, 7.325923447341675221e+00, 4.922212298615862736e+00, 7.622218970350131073e+00, 5.529823967077176938e+00, 6.124159478985645499e+00, 4.914466037898395534e+00, 5.898051159950992606e+00, 3.325463475068523245e+00, 4.424875708714142597e+00, 6.467497127128519097e+00, 6.050629312105406221e+00, 7.018308581706528493e+00
2.043000000000000000e+03, 5.203585069085347570e+00, 5.295836619554403768e+00, 5.053557299734149133e+00, 5.449092058410050399e+00, 7.007568899602976131e+00, 4.684722630199933846e+00, 7.235711162621131898e+00, 5.311375384928992638e+00, 5.852849977528573611e+00, 4.525382481684373737e+00, 5.943517014527059494e+00, 3.700598166098700847e+00, 4.398263340983564973e+00, 6.987014612089804899e+00, 5.985396525685362512e+00, 7.445462089528265714e+00
2.044000000000000000e+03, 5.823628435098780365e+00, 4.757469207984692083e+00, 4.998441187047332868e+00, 5.770696493948792138e+00, 7.370368444416128817e+00, 5.196587864004989399e+00, 7.768316154665730444e+00, 5.527382801877438467e+00, 6.169056315128935708e+00, 4.862777073629237279e+00, 5.679427276284538806e+00, 3.948197060406203107e+00, 4.648290818099710009e+00, 6.769384555901618583e+00, 5.781265724438584996e+00, 6.983009015662056562e+00
