year, NorESM2-LM, CESM2-WACCM, NorESM2-MM, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, CanESM5, MIROC-ES2L, GFDL-ESM4
2.015000000000000000e+03, 2.065718874938244465e+00, 2.251550414688503921e+00, 2.404954936818776368e+00, 2.663504148296224727e+00, 2.802851401733092995e+00, 2.581749376986606226e+00, 2.196790367290242241e+00, 2.441196981420957091e+00, 2.097752153735701786e+00, 2.237338953166962963e+00, 3.111133628643976134e+00, 1.392890153509446449e+00, 3.237553456835602805e+00, 3.829529111631636340e+00, 3.874608998315042907e+00, 2.251594750219193752e+00
2.016000000000000000e+03, 1.817944931460982572e+00, 2.266088377279445787e+00, 2.283891465181763003e+00, 2.756382209362393976e+00, 2.944290455041225663e+00, 2.456173216803381631e+00, 2.114065875693436070e+00, 2.359021332997119025e+00, 2.131872107595139454e+00, 2.251451577843100793e+00, 3.479092866417573759e+00, 1.317465116794620084e+00, 2.990806550020279175e+00, 3.839969910364736005e+00, 3.653625626727753595e+00, 2.246448589311533350e+00
2.017000000000000000e+03, 2.144218879274637057e+00, 2.324510525024655383e+00, 2.148260194179376636e+00, 2.543584297916458237e+00, 2.819734840548210553e+00, 2.376895324568941259e+00, 2.630895724415781345e+00, 2.270304553846118178e+00, 2.479703440458481900e+00, 2.299506245570145602e+00, 3.322261702740079148e+00, 1.071159108597427911e+00, 3.059105282649059010e+00, 3.968971798971030029e+00, 3.704365004280314455e+00, 2.313651820128158842e+00
2.018000000000000000e+03, 2.198259667482177271e+00, 2.357499151528378523e+00, 2.322311669970092307e+00, 2.888488998138666553e+00, 3.106955123332336477e+00, 2.465682343613577743e+00, 2.212176422167176693e+00, 2.294127103285056091e+00, 2.046268693892606017e+00, 2.203355229384034164e+00, 3.407948084111005027e+00, 1.144503967834159086e+00, 3.135315078766773400e+00, 3.840197780421251039e+00, 3.976152068621765068e+00, 2.225202761082960112e+00
2.019000000000000000e+03, 1.978202462254113669e+00, 2.186074431572261556e+00, 2.219841200056022146e+00, 3.057793648660961594e+00, 2.787995078065951038e+00, 2.601478393226694941e+00, 2.380947815565560788e+00, 2.629467010015288597e+00, 2.069915168544565365e+00, 2.192832064906875100e+00, 3.516021773095587832e+00, 1.344302134474030685e+00, 3.063321524112444294e+00, 3.831310766224054642e+00, 3.545218816319848365e+00, 2.205688621845312891e+00
2.020000000000000000e+03, 1.910734706537264627e+00, 2.000274921616041368e+00, 2.163619896708240287e+00, 2.925633227045800755e+00, 2.671246117843980805e+00, 2.611689644377742869e+00, 2.576499877673940286e+00, 2.562650835374352010e+00, 2.072285432782542181e+00, 2.410429702817316056e+00, 3.038283904126466872e+00, 1.250085523359850237e+00, 2.817754684687966193e+00, 3.954505325977954566e+00, 3.541590456284611665e+00, 2.351162048652182257e+00
2.021000000000000000e+03, 1.966440200901929058e+00, 2.296531398427408277e+00, 2.199315494850515140e+00, 3.326712741740136536e+00, 2.718545360019704038e+00, 2.634379571655774299e+00, 2.479246224118484943e+00, 2.599359499112982697e+00, 2.414956590761519806e+00, 2.242730161124484756e+00, 3.541722885962066858e+00, 1.363500098636341029e+00, 2.748386410095505550e+00, 4.100126731735938002e+00, 3.688866600238487337e+00, 2.409524912954091658e+00
2.022000000000000000e+03, 2.240555501153207452e+00, 2.491349287050885764e+00, 2.271766345243682039e+00, 2.676171892936260122e+00, 2.804670439430915874e+00, 2.517988683588006094e+00, 2.635353614462796923e+00, 2.709531884800416179e+00, 1.990280759577312208e+00, 2.489531221688825902e+00, 3.317751746463436291e+00, 1.281713283415986337e+00, 2.782359737913289610e+00, 4.007506750806961726e+00, 3.894620130074325726e+00, 2.301435823059030383e+00
2.023000000000000000e+03, 1.969904628861366636e+00, 2.371286030214266649e+00, 2.163463112814091538e+00, 2.761442492212887068e+00, 3.180780378521779195e+00, 2.526600398120546931e+00, 2.658514520201212594e+00, 2.547323872300628622e+00, 1.842628800584487969e+00, 2.459092856485663336e+00, 3.360082040941874570e+00, 1.228019055660002135e+00, 2.946930063513462539e+00, 4.059811276094995591e+00, 3.753981933485627032e+00, 2.397337502111650309e+00
2.024000000000000000e+03, 2.087720438314196070e+00, 2.396931433249536614e+00, 2.124801687099763026e+00, 2.620734063232875943e+00, 3.025606542996876147e+00, 2.656655093686055125e+00, 2.590206368624115019e+00, 2.514099769184183764e+00, 2.333471368632428877e+00, 2.677149809659784552e+00, 3.328618731294171962e+00, 1.238618438877995498e+00, 2.961399858870113366e+00, 4.145646156469427801e+00, 3.704248723687573186e+00, 2.409496782065029929e+00
2.025000000000000000e+03, 1.941825481777412987e+00, 2.147353816702878504e+00, 2.278073413330055974e+00, 3.304408690722047126e+00, 3.106785915567498169e+00, 2.780057870421124289e+00, 2.628711717398628522e+00, 2.469653303432204794e+00, 2.206980305168186884e+00, 2.385507492119039341e+00, 3.461143051234952139e+00, 1.322953084985944106e+00, 2.914718395679736229e+00, 3.944050276609849526e+00, 3.989931542802065856e+00, 2.400087400335865429e+00
2.026000000000000000e+03, 2.042026143607151845e+00, 2.306851304736585728e+00, 2.395335138320721757e+00, 2.698897941782687049e+00, 2.651048767146315210e+00, 2.669005141672628589e+00, 2.193388778379231852e+00, 2.447636837919703989e+00, 2.395918554868772254e+00, 2.556346402686267449e+00, 3.275186502928383092e+00, 1.346165125024090026e+00, 3.022540212576791951e+00, 4.071076467173972091e+00, 3.976469012231465427e+00, 2.470854139854151477e+00
2.027000000000000000e+03, 2.046144511962016299e+00, 2.383505135840774614e+00, 2.109853898325729116e+00, 2.918093262055433623e+00, 2.847045403373102967e+00, 2.460081328627450770e+00, 2.672949446188548794e+00, 2.701537825027638728e+00, 2.214501176695176099e+00, 2.541673754843128741e+00, 3.339918080513351928e+00, 1.232869332804451545e+00, 3.202793793140433998e+00, 3.971606024076286712e+00, 3.949858438614669787e+00, 2.553022575953891593e+00
2.028000000000000000e+03, 2.081177745320935024e+00, 2.484548125996843826e+00, 2.160445656846465390e+00, 3.119155914063461044e+00, 2.996023314815765559e+00, 2.385753242144932340e+00, 2.681039280599512686e+00, 2.560168318562807244e+00, 1.954555470101691173e+00, 2.292584290480028653e+00, 3.516863250750959402e+00, 1.161284374888829518e+00, 3.307617443710905825e+00, 4.297963876980084308e+00, 3.865429538372774587e+00, 2.469907596188376075e+00
