year, CMCC-CM2-SR5, INM-CM5-0, CESM2-WACCM, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, CanESM5, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, INM-CM4-8
2.015000000000000000e+03, 2.827810743883731561e+02, 2.829320742669038395e+02, 2.834799451979735636e+02, 2.825269169825098174e+02, 2.824718794947450533e+02, 2.837831998691677313e+02, 2.831016724755756400e+02, 2.830097862588561952e+02, 2.821562848911699461e+02, 2.833336646581312266e+02, 2.840963829163502510e+02, 2.832975622808696698e+02, 2.821186613007880055e+02, 2.825890674230834065e+02, 2.809344681508124495e+02, 2.812964721227351674e+02
2.016000000000000000e+03, 2.827621485833631141e+02, 2.825475992549756938e+02, 2.832141484165131828e+02, 2.823686396631533171e+02, 2.823214380584407195e+02, 2.832672328673768902e+02, 2.843471493892743638e+02, 2.833536627761410500e+02, 2.819081654888517505e+02, 2.839173480969421917e+02, 2.835107093069047437e+02, 2.826927537783782896e+02, 2.814974829948727120e+02, 2.822796215279669809e+02, 2.809721606129003248e+02, 2.835132454505966280e+02
2.017000000000000000e+03, 2.833481977444828317e+02, 2.837331692591192223e+02, 2.838807380769674751e+02, 2.831163180211149779e+02, 2.826201461907681391e+02, 2.840131501688688331e+02, 2.836015555147018858e+02, 2.831175196746474398e+02, 2.816112435134352836e+02, 2.840906599793890450e+02, 2.833944616725311221e+02, 2.839146556258336886e+02, 2.825146512606719398e+02, 2.824745474690068363e+02, 2.814572726710932216e+02, 2.830078354355713373e+02
2.018000000000000000e+03, 2.835864762917855728e+02, 2.829293266607793385e+02, 2.840633520269649352e+02, 2.829542579998735050e+02, 2.831172366079030098e+02, 2.839961474786015856e+02, 2.835323404186336234e+02, 2.834952956048855981e+02, 2.816473813919256486e+02, 2.837834473891526841e+02, 2.846596066714087101e+02, 2.824636319434485472e+02, 2.822656338466605348e+02, 2.830601812111797813e+02, 2.808909778146104941e+02, 2.829149986085234900e+02
2.019000000000000000e+03, 2.829433551013103738e+02, 2.830905509887056155e+02, 2.830423358198503934e+02, 2.822379528713360060e+02, 2.816986524681686319e+02, 2.829936334658949022e+02, 2.840307612891284066e+02, 2.829490219061125913e+02, 2.819930841643260919e+02, 2.836545201102339888e+02, 2.839484827512305856e+02, 2.834423506851761090e+02, 2.814084181917089040e+02, 2.817088871322747536e+02, 2.814578417696240535e+02, 2.834752761468144513e+02
2.020000000000000000e+03, 2.826819685237026647e+02, 2.827776853417666416e+02, 2.833741064554774880e+02, 2.826469143952199943e+02, 2.823088588677513826e+02, 2.827305159528130503e+02, 2.839760897753081963e+02, 2.830212471603845188e+02, 2.818981911758022534e+02, 2.839766719902117984e+02, 2.839257673179535573e+02, 2.824356926545279407e+02, 2.813306261048813326e+02, 2.813664214214340404e+02, 2.811536271016323099e+02, 2.831130510397222793e+02
2.021000000000000000e+03, 2.837635795301247867e+02, 2.822239556312659374e+02, 2.840040583939300518e+02, 2.822018415670370359e+02, 2.824082604606515474e+02, 2.829173492483456585e+02, 2.848023713089156672e+02, 2.837595725250088776e+02, 2.823985372603601149e+02, 2.841847132401422300e+02, 2.835122714094461571e+02, 2.825220228587797351e+02, 2.823156868567558604e+02, 2.822952847794850868e+02, 2.821898500011494093e+02, 2.830397976526261914e+02
2.022000000000000000e+03, 2.837811080779219992e+02, 2.835273507507504860e+02, 2.835645999139472906e+02, 2.821698097237171510e+02, 2.827398141419228637e+02, 2.836004714516100762e+02, 2.846858277443384964e+02, 2.840273188184633568e+02, 2.815799686238884192e+02, 2.841403146032686777e+02, 2.836036445375440849e+02, 2.831120366845440799e+02, 2.826864579304968288e+02, 2.822497302774443142e+02, 2.808022185890542346e+02, 2.827059808298079702e+02
2.023000000000000000e+03, 2.838724510280911772e+02, 2.830108049449651162e+02, 2.835203953009422548e+02, 2.820352929977148619e+02, 2.822219592802816237e+02, 2.832303351186364466e+02, 2.842850696470018192e+02, 2.840946737433885687e+02, 2.825363024593293630e+02, 2.840121289169151169e+02, 2.832159398020115191e+02, 2.836266260452124470e+02, 2.820921861392708365e+02, 2.823311183602130541e+02, 2.812224880784856396e+02, 2.829453788446608655e+02
2.024000000000000000e+03, 2.844086481118157508e+02, 2.830894820234520921e+02, 2.836558701509792400e+02, 2.821873941040324212e+02, 2.824557649550207543e+02, 2.837001557185893716e+02, 2.842964850659487865e+02, 2.842575711432639878e+02, 2.824507075566340859e+02, 2.848786016951332840e+02, 2.830462524862093119e+02, 2.830916715950743310e+02, 2.817069406885307785e+02, 2.821828024899764955e+02, 2.816305571869276605e+02, 2.829693876651625715e+02
2.025000000000000000e+03, 2.833793691576633478e+02, 2.830184776006207699e+02, 2.836307438235342602e+02, 2.818422497671409701e+02, 2.829982127292630594e+02, 2.840484747818676965e+02, 2.836133701279064212e+02, 2.833484420610039933e+02, 2.829988376927120157e+02, 2.841498014280026041e+02, 2.836173626461366553e+02, 2.827472603921615928e+02, 2.828601155426019886e+02, 2.819565616896344409e+02, 2.804919631869358909e+02, 2.830642046052795990e+02
2.026000000000000000e+03, 2.832400376938725231e+02, 2.835511690255571011e+02, 2.842786998638649152e+02, 2.821793664383654914e+02, 2.825697641735865773e+02, 2.839489843383791481e+02, 2.827759845386079860e+02, 2.838392007048407777e+02, 2.823967083832085905e+02, 2.839698421849035412e+02, 2.833997222157138367e+02, 2.829165619461496703e+02, 2.838684622741726571e+02, 2.830554975474101411e+02, 2.811542141722397332e+02, 2.832817746811304005e+02
2.027000000000000000e+03, 2.829236470188454291e+02, 2.828765197940502389e+02, 2.839615328934216905e+02, 2.823235850042329389e+02, 2.826188087614910955e+02, 2.838501624210129535e+02, 2.832786941022883411e+02, 2.836541261592333285e+02, 2.835587904150579561e+02, 2.845022383289993968e+02, 2.832527475926294755e+02, 2.834919829710648287e+02, 2.824022469998350289e+02, 2.826416297468408061e+02, 2.812903979387436948e+02, 2.841118640027546007e+02
2.028000000000000000e+03, 2.838569250433130833e+02, 2.837802167915868381e+02, 2.841648478090424419e+02, 2.816907391405933367e+02, 2.820167180088669170e+02, 2.838357058182044739e+02, 2.833838835249411545e+02, 2.841837268826791387e+02, 2.825401440130696642e+02, 2.842298147624694025e+02, 2.842873720759771459e+02, 2.834087905380773691e+02, 2.817838605252330240e+02, 2.819756023672345577e+02, 2.811026947028983045e+02, 2.831057608169726905e+02
2.029000000000000000e+03, 2.834668427666948105e+02, 2.836984747597469436e+02, 2.840925711378334881e+02, 2.825098849987801373e+02, 2.822415309675378126e+02, 2.842594368478766569e+02, 2.843178650093038868e+02, 2.846105437702902350e+02, 2.824122187292858825e+02, 2.837992226182169588e+02, 2.847436739632232729e+02, 2.823980712610440378e+02, 2.830325422432802611e+02, 2.828775568468105917e+02, 2.807119351678006183e+02, 2.839385887800260093e+02
2.030000000000000000e+03, 2.834932119928976704e+02, 2.833309531943284583e+02, 2.838402685486376527e+02, 2.819782803156770683e+02, 2.832925922920751418e+02, 2.833278583388539573e+02, 2.850039132176435714e+02, 2.848949640858531325e+02, 2.821485835663493162e+02, 2.841293713255112152e+02, 2.845367095449633439e+02, 2.834246403616813268e+02, 2.829509201459889596e+02, 2.817855295454951374e+02, 2.810432983571728300e+02, 2.835072253341735973e+02
2.031000000000000000e+03, 2.834965362827423405e+02, 2.841977090745993451e+02, 2.837545297249624241e+02, 2.812774825576700550e+02, 2.829845047539810139e+02, 2.840000893188363875e+02, 2.839847553056573020e+02, 2.840605259822060020e+02, 2.822915686598561820e+02, 2.845079347889271162e+02, 2.848563621306264508e+02, 2.840764120813851719e+02, 2.832497994179012153e+02, 2.821734821016019055e+02, 2.812721475631627186e+02, 2.828761478109811947e+02
2.032000000000000000e+03, 2.840195982548460734e+02, 2.831623053736377074e+02, 2.836271583124689641e+02, 2.812501354157001856e+02, 2.834324258091405113e+02, 2.839809134566120292e+02, 2.843948676325890688e+02, 2.845048583141819449e+02, 2.833087080505371773e+02, 2.845274990703942990e+02, 2.841507653926121293e+02, 2.836481165275009744e+02, 2.833245809283313292e+02, 2.835037692516736456e+02, 2.814401133175222753e+02, 2.828945208631101877e+02
2.033000000000000000e+03, 2.841141365905236285e+02, 2.831604670112105282e+02, 2.846901920829454866e+02, 2.816698493594602155e+02, 2.834271977570764420e+02, 2.845407514062123937e+02, 2.843350192322242833e+02, 2.841588471731962500e+02, 2.820653571297203825e+02, 2.846108848840809742e+02, 2.840549865194972199e+02, 2.835939629053701196e+02, 2.811477896892774311e+02, 2.835466375717004439e+02, 2.813216379342446203e+02, 2.839580895172014152e+02
2.034000000000000000e+03, 2.844031833919468681e+02, 2.837655213795563895e+02, 2.839902359591461050e+02, 2.826032691289555032e+02, 2.825834351004168070e+02, 2.841643090424278739e+02, 2.845760499742555112e+02, 2.842932238119666408e+02, 2.834705397204470501e+02, 2.846278850432699983e+02, 2.850001690775323482e+02, 2.826206884765363725e+02, 2.836670980169890299e+02, 2.834229365298850212e+02, 2.801883104970510203e+02, 2.836061141764033664e+02
2.035000000000000000e+03, 2.842946422213917685e+02, 2.832489693141542375e+02, 2.843607849956131304e+02, 2.822926746823587223e+02, 2.833426949596552618e+02, 2.840534884832440525e+02, 2.838071217063560425e+02, 2.839000243546576598e+02, 2.831420360105749978e+02, 2.850873035371854485e+02, 2.845939457453142154e+02, 2.832581000003773966e+02, 2.837936083381159733e+02, 2.833941691232128051e+02, 2.810499644500345084e+02, 2.840574170849760094e+02
2.036000000000000000e+03, 2.848546457332522550e+02, 2.839004318923725236e+02, 2.849414878874664510e+02, 2.820632046749017832e+02, 2.834936909109005114e+02, 2.840388406176792273e+02, 2.841320246802095539e+02, 2.842668274438662479e+02, 2.825516299995623513e+02, 2.840057993750189098e+02, 2.852652011238492946e+02, 2.836399647009984051e+02, 2.837251940162327060e+02, 2.821041596334400197e+02, 2.807463272656086133e+02, 2.841714235986337940e+02
2.037000000000000000e+03, 2.843481690993276061e+02, 2.852087719207121381e+02, 2.848146530904357974e+02, 2.834325558913423606e+02, 2.836977361319691227e+02, 2.840771260770988533e+02, 2.843231436635249452e+02, 2.849104769861299360e+02, 2.834814409909841402e+02, 2.839041172758520020e+02, 2.840470409456426069e+02, 2.839066115092742848e+02, 2.825398699901283521e+02, 2.827275476681455189e+02, 2.816974483343802831e+02, 2.838051274694093991e+02
2.038000000000000000e+03, 2.849687635056287718e+02, 2.835557966456148051e+02, 2.839659851732467928e+02, 2.837703154594913144e+02, 2.825107733071703251e+02, 2.839851526568478448e+02, 2.831956083908029314e+02, 2.845855823287099611e+02, 2.830474517579580152e+02, 2.845803521434780805e+02, 2.840425069442079007e+02, 2.836734652580290117e+02, 2.818550472027682758e+02, 2.834956127048692451e+02, 2.824653806539285483e+02, 2.833514006417832434e+02
