year, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, EC-Earth3-Veg, CMCC-CM2-SR5, ACCESS-ESM1-5, CNRM-ESM2-1, MIROC-ES2L
1.850000000000000000e+03, 2.498854748159999861e-01, 3.844688117760000079e-01, 5.702019839999999690e-04, 3.196233711615999784e+00, 0.000000000000000000e+00, 9.505868185599999909e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.537330503679999794e+00
1.851000000000000000e+03, 4.657082204160000183e-01, 4.376823398399999898e-01, 1.247673855999999974e-03, 3.605470642175999885e+00, 3.532251545600000042e-02, 2.683834204159999959e-01, 1.893636997119999832e-01, 6.603601920000000403e-02, 4.015345893375999786e+00
1.852000000000000000e+03, 6.493244620799999423e-01, 4.778425384960000022e-01, 1.419984640000000048e-03, 3.846544031744000058e+00, 6.351280128000000302e-02, 4.180334346239999999e-01, 3.686395740160000045e-01, 1.257766584320000047e-01, 4.350451646464000177e+00
1.853000000000000000e+03, 8.017865605120000350e-01, 5.133260554240000051e-01, 1.710038911999999921e-03, 4.043115855872000175e+00, 8.955377254400000153e-02, 5.447770111999999942e-01, 5.123555983359999733e-01, 1.791221923839999841e-01, 4.595365445631999890e+00
1.854000000000000000e+03, 9.226220339199999732e-01, 5.441581547520000228e-01, 1.860328319999999874e-03, 4.175706456063999816e+00, 1.100882001919999964e-01, 6.532271964160000222e-01, 6.474926653439999624e-01, 2.264825036800000024e-01, 4.777152872448000132e+00
1.855000000000000000e+03, 1.030594232319999914e+00, 5.708852756479999568e-01, 1.940010367999999872e-03, 4.303817277440000311e+00, 1.280836976639999902e-01, 7.474131107839999677e-01, 7.758953185279999776e-01, 2.675868794879999735e-01, 4.915165921279999850e+00
1.856000000000000000e+03, 1.128920776703999929e+00, 5.933063864319999547e-01, 1.915056511999999956e-03, 4.400047718399999752e+00, 1.426130698239999883e-01, 8.292281221120000323e-01, 8.982063349759999982e-01, 3.029970780160000099e-01, 5.020996075520000268e+00
1.857000000000000000e+03, 1.220165238784000072e+00, 6.123956469760000187e-01, 1.887132543999999910e-03, 4.467249381375999917e+00, 1.552899112960000050e-01, 9.014198927359999836e-01, 1.017496469504000078e+00, 3.326182359039999703e-01, 5.114403749887999950e+00
1.858000000000000000e+03, 1.296678518783999978e+00, 6.266488750080000392e-01, 1.895106944000000048e-03, 4.532899676159999558e+00, 1.677875118080000005e-01, 9.663773409279999838e-01, 1.130428628992000029e+00, 3.566922956799999933e-01, 5.194240753664000287e+00
1.859000000000000000e+03, 1.366845161472000081e+00, 6.377548677119999621e-01, 2.046261760000000172e-03, 4.593246797823999472e+00, 1.798257377280000069e-01, 1.025412431871999930e+00, 1.239009722367999888e+00, 3.752189296640000005e-01, 5.260356616191999457e+00
1.860000000000000000e+03, 1.435262779391999866e+00, 6.486820782079999459e-01, 1.981594495999999903e-03, 4.633147211775999530e+00, 1.905344020479999845e-01, 1.071106818047999898e+00, 1.344694910976000024e+00, 3.840357171200000086e-01, 5.240544821248000140e+00
1.861000000000000000e+03, 1.485161234431999988e+00, 6.329085460479999536e-01, 1.736384383999999871e-03, 4.633050742783999532e+00, 1.963050926079999980e-01, 1.109419491327999996e+00, 1.376214843392000065e+00, 3.634969968639999993e-01, 5.246297309183999502e+00
1.862000000000000000e+03, 1.536957743104000018e+00, 6.200197775360000163e-01, 1.740344960000000073e-03, 4.653683572735999974e+00, 2.019433676799999855e-01, 1.148806234112000002e+00, 1.413856755711999869e+00, 3.447699210240000034e-01, 5.259633623040000039e+00
1.863000000000000000e+03, 1.583076081663999934e+00, 6.080602439679999582e-01, 1.819916416000000054e-03, 4.671786713088000198e+00, 2.077081436159999850e-01, 1.185712570368000041e+00, 1.454982299647999966e+00, 3.281575608319999837e-01, 5.281432469503999805e+00
1.864000000000000000e+03, 1.625012174847999979e+00, 5.982257152000000078e-01, 1.787287039999999874e-03, 4.693569306624000070e+00, 2.131099484160000057e-01, 1.220316758015999925e+00, 1.497426296832000014e+00, 3.134573117439999890e-01, 5.303918133247999656e+00
1.865000000000000000e+03, 1.660700065791999913e+00, 5.898743971840000322e-01, 1.846840831999999911e-03, 4.710429884415999524e+00, 2.184507555839999837e-01, 1.252976623616000040e+00, 1.538568093696000005e+00, 3.007368396799999788e-01, 5.334897786880000048e+00
1.866000000000000000e+03, 1.703012728832000056e+00, 5.833635266559999977e-01, 1.797438591999999963e-03, 4.738081357823999973e+00, 2.179480125440000082e-01, 1.283702915072000073e+00, 1.580410470399999934e+00, 2.902456401919999984e-01, 5.367697768448000062e+00
1.867000000000000000e+03, 1.743173713919999868e+00, 5.790256988159999674e-01, 1.745521664000000044e-03, 4.774974455807999618e+00, 2.178996142079999976e-01, 1.312640598016000082e+00, 1.621459075071999933e+00, 2.817313341439999785e-01, 5.399810408448000310e+00
1.868000000000000000e+03, 1.773861994495999905e+00, 5.763384606720000081e-01, 1.807937408000000017e-03, 4.793665323007999746e+00, 2.186056990720000037e-01, 1.340330213376000001e+00, 1.662027956223999903e+00, 2.752835092479999912e-01, 5.427780124672000106e+00
1.869000000000000000e+03, 1.814933667839999876e+00, 5.752793333760000127e-01, 1.786348543999999880e-03, 4.799202328575999488e+00, 2.199864442879999882e-01, 1.366524690431999867e+00, 1.702347800575999992e+00, 2.708717404159999842e-01, 5.460170113023999683e+00
1.870000000000000000e+03, 1.847039361023999904e+00, 5.727572459519999493e-01, 2.045805184000000065e-03, 4.807786496000000298e+00, 2.217610936320000004e-01, 1.408067043328000034e+00, 1.745244258303999985e+00, 2.713305907199999867e-01, 5.664767737855999741e+00
1.871000000000000000e+03, 1.917139419136000056e+00, 6.203563704319999816e-01, 2.669853439999999786e-03, 4.833530609663999833e+00, 2.326670376960000008e-01, 1.457914249215999991e+00, 1.916779102207999852e+00, 3.345145855999999696e-01, 5.807073132543999705e+00
1.872000000000000000e+03, 1.983680872447999954e+00, 6.628575150079999423e-01, 6.261054975999999841e-03, 4.880663576575999585e+00, 2.444934512639999891e-01, 1.500139618303999889e+00, 2.067493945343999773e+00, 3.910988922879999885e-01, 5.925161140223999645e+00
1.873000000000000000e+03, 2.036788232191999892e+00, 7.014444564480000199e-01, 1.385271807999999966e-02, 4.922595082239999975e+00, 2.570021273599999989e-01, 1.540216061952000004e+00, 2.208576045056000137e+00, 4.415125258239999684e-01, 6.033177575424000239e+00
1.874000000000000000e+03, 2.089378381823999931e+00, 7.356988129279999900e-01, 2.271833087999999834e-02, 4.944977985536000098e+00, 2.701577584639999752e-01, 1.578203480063999908e+00, 2.342414712831999868e+00, 4.870216417279999987e-01, 6.125955055616000067e+00
1.875000000000000000e+03, 2.145201291264000165e+00, 7.664903782399999921e-01, 3.317077606399999878e-02, 4.975312240640000105e+00, 2.839860346879999886e-01, 1.614517633023999865e+00, 2.473041330176000141e+00, 5.252803461120000295e-01, 6.214225756160000280e+00
1.876000000000000000e+03, 2.195216531455999931e+00, 7.949369344000000170e-01, 4.266406707199999621e-02, 5.007199436799999681e+00, 2.979466772480000025e-01, 1.649670094847999868e+00, 2.598981861376000069e+00, 5.565856481280000434e-01, 6.295634051071999693e+00
1.877000000000000000e+03, 2.237108846592000155e+00, 8.192557711360000106e-01, 5.305987481599999667e-02, 5.042066685952000249e+00, 3.122926714879999954e-01, 1.683678560256000045e+00, 2.720821673984000100e+00, 5.834453155840000349e-01, 6.373772886015999894e+00
1.878000000000000000e+03, 2.278582648831999791e+00, 8.401829887999999746e-01, 6.837596569600000451e-02, 5.068679020543999769e+00, 3.271495188479999761e-01, 1.716770439167999873e+00, 2.839344578559999999e+00, 6.042288783360000304e-01, 6.450931826687999582e+00
1.879000000000000000e+03, 2.327513399295999985e+00, 8.574615552000000029e-01, 8.849751244799999861e-02, 5.084918317056000170e+00, 3.425174487039999716e-01, 1.748937605120000072e+00, 2.952101888000000063e+00, 6.189722501119999665e-01, 6.518875357184000130e+00
1.880000000000000000e+03, 2.368758349824000131e+00, 8.693758689280000063e-01, 8.897134592000000008e-02, 5.106913247231999797e+00, 3.583462604800000117e-01, 1.776625385471999996e+00, 3.062066577407999812e+00, 6.245251153919999521e-01, 6.545070882815999802e+00
1.881000000000000000e+03, 2.405988040703999964e+00, 8.668961177599999735e-01, 7.760314368000000018e-02, 5.165692747776000182e+00, 3.652290805760000092e-01, 1.798829113343999975e+00, 3.112649359359999757e+00, 6.154319298560000373e-01, 6.598935707647999749e+00
1.882000000000000000e+03, 2.437327355903999848e+00, 8.637872209920000044e-01, 7.332442111999999679e-02, 5.224343797759999575e+00, 3.715550412799999980e-01, 1.820266594303999952e+00, 3.170065186816000136e+00, 6.068491386879999450e-01, 6.655517392895999862e+00
1.883000000000000000e+03, 2.470443745279999881e+00, 8.613037998079999813e-01, 7.228135014400000058e-02, 5.241957253119999827e+00, 3.781886279680000129e-01, 1.842777948159999957e+00, 3.229706354688000047e+00, 5.981523804159999402e-01, 6.717947510783999654e+00
