year, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, IPSL-CM6A-LR, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-LM, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
1.850000000000000000e+03, 5.021341560340479759e+02, 1.333879000530944040e+03, 1.428861396975615889e+03, 3.482555105935359734e+02, 5.305518071480320259e+02, 1.763994205421568040e+03, 2.893098828955648059e+03, 1.480272155508735977e+03, 2.430072363417600172e+03, 8.204063321620479883e+02, 1.193115608154111897e+03, 6.865320002191359663e+02, 1.415993943392255915e+03, 1.860761697648639938e+03
1.851000000000000000e+03, 5.024003433431039980e+02, 1.333936714153983985e+03, 1.428763686469631921e+03, 3.485050213498880112e+02, 5.306061988823039428e+02, 1.764077688848384014e+03, 2.892987965112320126e+03, 1.480088948310015894e+03, 2.430124439896063905e+03, 8.203211039047679378e+02, 1.192897235910656036e+03, 6.874383054274559299e+02, 1.415949651542015999e+03, 1.860616339849216047e+03
1.852000000000000000e+03, 5.023141755617280069e+02, 1.333898327883775892e+03, 1.428700335702015991e+03, 3.489623682580480022e+02, 5.305884821422080222e+02, 1.763547797258240053e+03, 2.892374858530815800e+03, 1.479923726286848023e+03, 2.430115313090559994e+03, 8.203597586104319817e+02, 1.192494045855743934e+03, 6.876137951068160419e+02, 1.415971797467135957e+03, 1.860368439705599940e+03
1.853000000000000000e+03, 5.023676613263359627e+02, 1.333633516306432057e+03, 1.428565715320831941e+03, 3.481006904442879772e+02, 5.305462706667519797e+02, 1.763022200635391982e+03, 2.891796916994047933e+03, 1.479775684132863944e+03, 2.430132224524288176e+03, 8.204589455114239627e+02, 1.192129778941952054e+03, 6.878162625495040174e+02, 1.415951127937024012e+03, 1.860186172030975968e+03
1.854000000000000000e+03, 5.026758252298239995e+02, 1.333486279458815943e+03, 1.428590545600511859e+03, 3.479202011545600044e+02, 5.304668473262080397e+02, 1.762104285593600025e+03, 2.891822149926912061e+03, 1.479929900302335909e+03, 2.430025118777343778e+03, 8.204348534292479371e+02, 1.191776249446400016e+03, 6.875203124592640052e+02, 1.415928847794175908e+03, 1.860058933624831980e+03
1.855000000000000000e+03, 5.022500865966080141e+02, 1.333432860803071890e+03, 1.428473507741696039e+03, 3.484136861859839769e+02, 5.304328902410239834e+02, 1.762644780384255910e+03, 2.891328765558783743e+03, 1.479877555388415885e+03, 2.429738698145792114e+03, 8.202777515786240201e+02, 1.191432786280447999e+03, 6.870190092451839519e+02, 1.415931666366464015e+03, 1.860119734255615867e+03
1.856000000000000000e+03, 5.020843948113919737e+02, 1.333135300100095947e+03, 1.428338484707328007e+03, 3.488416058572800011e+02, 5.304407084236800074e+02, 1.763090114805759868e+03, 2.890961008984063938e+03, 1.480012578422783918e+03, 2.429558577954815973e+03, 8.201725919887360305e+02, 1.191176833073152011e+03, 6.872208727080959534e+02, 1.415913412755455965e+03, 1.860175166177280062e+03
1.857000000000000000e+03, 5.022502879232000055e+02, 1.333017322717184015e+03, 1.428366670430207932e+03, 3.480543182192640188e+02, 5.303590704906239353e+02, 1.762326684368895940e+03, 2.890943829114879918e+03, 1.479984124264447928e+03, 2.429488784736256093e+03, 8.200746130472959976e+02, 1.190815384731648010e+03, 6.874329367183360091e+02, 1.415857980833791999e+03, 1.860068060430335890e+03
1.858000000000000000e+03, 5.023949075251200043e+02, 1.332907532615679884e+03, 1.428511357140992004e+03, 3.478504750448639697e+02, 5.303693717012480420e+02, 1.762310041370624049e+03, 2.890717806460927932e+03, 1.480001169915904029e+03, 2.429509991137279940e+03, 8.200498498764800388e+02, 1.190274218852352078e+03, 6.876312434114560119e+02, 1.415931263713280032e+03, 1.859906462285823864e+03
1.859000000000000000e+03, 5.022553546424319961e+02, 1.332772241145856015e+03, 1.428602490978303877e+03, 3.476392498954239727e+02, 5.304506405355519973e+02, 1.761797598085119944e+03, 2.890336628113408096e+03, 1.480127066144767923e+03, 2.429478584188927925e+03, 8.202617796689919487e+02, 1.189887537577983949e+03, 6.879690694328319296e+02, 1.415908312481791882e+03, 1.859833447841791894e+03
