year, GFDL-ESM4, MIROC-ES2L, CanESM5, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CESM2-WACCM, EC-Earth3-Veg, TaiESM1, NorESM2-LM, UKESM1-0-LL, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM, IPSL-CM6A-LR, ACCESS-ESM1-5
1.850000000000000000e+03, 4.179505488855040198e+02, 5.362897827921919998e+02, 5.094939515944959680e+02, 5.072733528391680125e+02, 5.775739815198719498e+02, 4.296344034344959937e+02, 5.450652733931519833e+02, 4.321917209149439714e+02, 5.702393853378559925e+02, 5.275959301242879746e+02, 5.844275413647360438e+02, 3.900591654830079733e+02, 5.763761554063360109e+02, 5.248715786813439763e+02, 3.654497410744319836e+02, 6.341159509032960386e+02
1.851000000000000000e+03, 4.178168009195520085e+02, 5.353983757516799642e+02, 5.089761731543039787e+02, 5.070736704143359930e+02, 5.776765238640639382e+02, 4.283996003368960146e+02, 5.449829979258879575e+02, 4.282295464755200101e+02, 5.679556706959359644e+02, 5.265734259179520222e+02, 5.844731753922559392e+02, 3.893217397309439889e+02, 5.755686344458239319e+02, 5.245697565655040080e+02, 3.649019314175999966e+02, 6.338738221219839488e+02
1.852000000000000000e+03, 4.176191653150719958e+02, 5.338707766804479888e+02, 5.091592796897280095e+02, 5.062524927999999704e+02, 5.761335568629759791e+02, 4.269163602247679705e+02, 5.448066358312960347e+02, 4.264890109788159975e+02, 5.687368849817599994e+02, 5.260719213772799776e+02, 5.843305019473920083e+02, 3.921284001955839926e+02, 5.755856129884159600e+02, 5.237851197276160065e+02, 3.644245860679679936e+02, 6.342672813916159384e+02
1.853000000000000000e+03, 4.152907226152959765e+02, 5.328633384140799762e+02, 5.075486333992959658e+02, 5.068583180697600028e+02, 5.762422732226559674e+02, 4.247988742389759977e+02, 5.447101332848640141e+02, 4.230502185697279742e+02, 5.676528755015680190e+02, 5.249991190773760081e+02, 5.841510528450560287e+02, 3.923797564456959890e+02, 5.751250448547839369e+02, 5.238701802127360452e+02, 3.638042988380159954e+02, 6.345377301135359858e+02
1.854000000000000000e+03, 4.150680889589759772e+02, 5.323159314104319719e+02, 5.061148189655040142e+02, 5.057025021050880014e+02, 5.754767624110079396e+02, 4.220877432422399806e+02, 5.436021994946560199e+02, 4.172749639516159732e+02, 5.654531140485120204e+02, 5.239037010903040255e+02, 5.841901102039039415e+02, 3.897306004848639986e+02, 5.744032219135999640e+02, 5.226138016153599892e+02, 3.640133429493760104e+02, 6.340668943237119493e+02
1.855000000000000000e+03, 4.155226508492800122e+02, 5.317760405995519477e+02, 5.060707955507199927e+02, 5.058272910376959999e+02, 5.752973804175360328e+02, 4.227830246277119954e+02, 5.422695516733440400e+02, 4.174029070008319877e+02, 5.666964399718399363e+02, 5.236496269312000322e+02, 5.847019495096319588e+02, 3.924218001489920198e+02, 5.747948692439040315e+02, 5.221251148677120000e+02, 3.641182005493760130e+02, 6.333462122332159652e+02
1.856000000000000000e+03, 4.157280375275519759e+02, 5.312129636761600295e+02, 5.056155290173439880e+02, 5.054424888115199792e+02, 5.757058049638400234e+02, 4.230353875107840054e+02, 5.411539674726400335e+02, 4.149576948776959853e+02, 5.676673710161919644e+02, 5.235228582871039862e+02, 5.849864239841280096e+02, 3.915025429299199686e+02, 5.742600787066879775e+02, 5.222707075481599759e+02, 3.639885126696959787e+02, 6.328484657889280243e+02
1.857000000000000000e+03, 4.140184727715840154e+02, 5.308251751055360046e+02, 5.046527852543999870e+02, 5.052822328442879893e+02, 5.760702732042240086e+02, 4.229063707197440181e+02, 5.403122881003520206e+02, 4.130521051299839996e+02, 5.661087005409279982e+02, 5.232086210314239452e+02, 5.849558223421439607e+02, 3.899904460062720091e+02, 5.731583524863999628e+02, 5.220005608161279724e+02, 3.635188177305599879e+02, 6.327987381207040016e+02
1.858000000000000000e+03, 4.134127146106879991e+02, 5.297634122137600343e+02, 5.034830777548800143e+02, 5.055701634252799863e+02, 5.767992767938559382e+02, 4.217700498800639934e+02, 5.398415529738240366e+02, 4.125961339535359684e+02, 5.647976617738239611e+02, 5.219484507832320332e+02, 5.848876397363200113e+02, 3.912556494192639889e+02, 5.735339607982079997e+02, 5.213330625003519572e+02, 3.642360101601279894e+02, 6.337953047511040268e+02
1.859000000000000000e+03, 4.135147871928319887e+02, 5.289845467381759363e+02, 5.036026657505279900e+02, 5.046955336007679875e+02, 5.761952299089920189e+02, 4.213814224486399667e+02, 5.390927522693119727e+02, 4.105557896069120147e+02, 5.647012934451199726e+02, 5.216338779832319688e+02, 5.845371972485120295e+02, 3.919074442608639970e+02, 5.736669705666560048e+02, 5.208499122339840142e+02, 3.644643480698879898e+02, 6.353767251312640383e+02
