year, EC-Earth3-Veg, ACCESS-ESM1-5, TaiESM1, CESM2-WACCM, MIROC-ES2L, NorESM2-LM, CNRM-ESM2-1, INM-CM4-8, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, INM-CM5-0, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, CanESM5
1.850000000000000000e+03, 1.356901206479999757e+02, 9.783390416399998912e+01, 1.214268845399999890e+02, 9.612105785999999341e+01, 1.085478896159999920e+02, 9.284220475199998646e+01, 8.699767729199999167e+01, 1.383801572159999864e+02, 8.754634061999999517e+01, 1.089454324319999898e+02, 1.195465426559999855e+02, 1.419483767759999751e+02, 9.605629079999999931e+01, 9.116842366799998842e+01, 1.203571124639999965e+02, 1.196843549759999945e+02
1.851000000000000000e+03, 1.372416130080000016e+02, 9.915127325999999641e+01, 1.207846065959999891e+02, 9.771744171599999618e+01, 1.077714181079999918e+02, 9.421906651199999772e+01, 8.733452119199999686e+01, 1.383009387839999818e+02, 8.963615249999999435e+01, 1.140846572519999853e+02, 1.175407347959999953e+02, 1.394854782479999926e+02, 9.541717433999998832e+01, 9.184564349999999422e+01, 1.176106737599999974e+02, 1.205071607519999901e+02
1.852000000000000000e+03, 1.367214109199999825e+02, 1.005796806119999900e+02, 1.230217783199999957e+02, 9.742750761599998555e+01, 1.069882215479999985e+02, 9.390885476399999732e+01, 8.690686937999998918e+01, 1.401738775919999966e+02, 9.233063564399999734e+01, 1.138116658679999915e+02, 1.158661022399999894e+02, 1.397159748719999754e+02, 9.440437993199999767e+01, 9.259982693999999981e+01, 1.169820430199999919e+02, 1.215140106239999938e+02
1.853000000000000000e+03, 1.349336666159999822e+02, 1.003330217879999964e+02, 1.197306261719999867e+02, 9.790278667199999063e+01, 1.069518526559999856e+02, 9.295150852799999086e+01, 8.848969275599999662e+01, 1.375681525199999840e+02, 9.148070890799999688e+01, 1.100210623199999986e+02, 1.138846086359999958e+02, 1.398372307919999855e+02, 9.427620185999998625e+01, 9.391533541199999036e+01, 1.171352449079999900e+02, 1.185401264039999916e+02
1.854000000000000000e+03, 1.381377084479999837e+02, 9.881786678399998891e+01, 1.205094944159999955e+02, 9.683263616399999307e+01, 1.072992926519999912e+02, 9.196021378799999013e+01, 8.619911481599999092e+01, 1.378501474320000000e+02, 9.063652172399999074e+01, 1.120209492959999977e+02, 1.162111928039999924e+02, 1.367981537759999924e+02, 9.582495058799999299e+01, 9.276415315199999156e+01, 1.196280947519999955e+02, 1.202859435959999956e+02
1.855000000000000000e+03, 1.348660218959999781e+02, 9.850027561199999582e+01, 1.222771266359999913e+02, 9.667635163199999226e+01, 1.072394215559999964e+02, 9.405310042799999337e+01, 8.764993637999999976e+01, 1.410016345199999819e+02, 9.244173697199998685e+01, 1.181820508919999924e+02, 1.211520956039999959e+02, 1.414228608720000011e+02, 9.676560639599999547e+01, 9.342091400399999657e+01, 1.225138673879999942e+02, 1.195960778279999914e+02
1.856000000000000000e+03, 1.350386972639999783e+02, 9.852384877199999380e+01, 1.234737128519999914e+02, 9.626695127999998647e+01, 1.075122394919999920e+02, 9.406791446399999757e+01, 8.685103489199998705e+01, 1.364581168559999753e+02, 8.983378861199999221e+01, 1.139103104759999923e+02, 1.185996032999999841e+02, 1.417508037359999946e+02, 9.536915289599998857e+01, 9.436432132799998840e+01, 1.177785635399999933e+02, 1.212048001439999894e+02
1.857000000000000000e+03, 1.360581142319999799e+02, 9.964350291599998855e+01, 1.217378610359999840e+02, 9.608375865599998633e+01, 1.075884146999999871e+02, 9.487580371199999263e+01, 8.771432500799998877e+01, 1.377358452000000000e+02, 9.089715887999999211e+01, 1.114066910879999881e+02, 1.197137701799999974e+02, 1.423230559919999791e+02, 9.560579115599999511e+01, 9.416252246399999137e+01, 1.181800010519999944e+02, 1.181999475719999850e+02
1.858000000000000000e+03, 1.364544586799999877e+02, 1.025072240039999940e+02, 1.220725447199999962e+02, 9.790161983999999507e+01, 1.059756873119999909e+02, 9.313474057199999834e+01, 8.926647174000000007e+01, 1.403453072879999866e+02, 9.139041345599999033e+01, 1.123078874759999906e+02, 1.209793492799999939e+02, 1.415189825999999869e+02, 9.880516565999998591e+01, 9.437078620799999840e+01, 1.160256113279999965e+02, 1.204211541959999892e+02
1.859000000000000000e+03, 1.348447508639999910e+02, 1.022341222439999910e+02, 1.228593048479999936e+02, 9.561579595199999915e+01, 1.065032609399999899e+02, 9.359352629999999351e+01, 8.641650823199999820e+01, 1.393852253039999880e+02, 9.149650844399999983e+01, 1.118482818119999962e+02, 1.221223794839999925e+02, 1.400068471679999789e+02, 9.719174447999999700e+01, 9.367659212399999547e+01, 1.182936094919999874e+02, 1.214081127359999925e+02
1.860000000000000000e+03, 1.347909189119999951e+02, 1.014125306039999970e+02, 1.219253425559999897e+02, 9.801011156399999891e+01, 1.081597997159999949e+02, 9.447832396799999799e+01, 8.621619944399999724e+01, 1.401863343119999854e+02, 9.208342493999998624e+01, 1.136743896599999886e+02, 1.162802566439999907e+02, 1.428056829359999824e+02, 9.564946851599999889e+01, 9.336722396399999013e+01, 1.213570244159999874e+02, 1.208416000319999881e+02
1.861000000000000000e+03, 1.355936835599999881e+02, 1.018658606039999910e+02, 1.224849725279999859e+02, 9.822852201599999944e+01, 1.064430271799999872e+02, 9.353328465599999220e+01, 8.781365552399999785e+01, 1.399502715839999780e+02, 9.114026990399999306e+01, 1.142446236119999980e+02, 1.143190485719999856e+02, 1.408294637279999790e+02, 9.523593694799998843e+01, 9.373479969599999606e+01, 1.137025986119999885e+02, 1.212274351079999946e+02
1.862000000000000000e+03, 1.352703291839999906e+02, 1.021619836439999887e+02, 1.236798163799999912e+02, 9.876651829199998645e+01, 1.075186412999999988e+02, 9.373615574399998707e+01, 9.039608337599999288e+01, 1.397227866479999818e+02, 9.115398806399998932e+01, 1.116000304199999960e+02, 1.161335984759999889e+02, 1.410708875759999898e+02, 9.582815937599998790e+01, 9.336838291199998707e+01, 1.151778211559999932e+02, 1.232778585239999956e+02
