year, MIROC-ES2L, CNRM-ESM2-1, NorESM2-MM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, INM-CM5-0, CESM2-WACCM, EC-Earth3-Veg, MPI-ESM1-2-LR, CanESM5, INM-CM4-8, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-LM
1.850000000000000000e+03, -7.457959110937499858e-01, -1.967391222187499789e-01, -3.139460230781249694e-01, -9.509451055312498902e-01, -1.012183459593750001e+00, 2.717803767700195054e-03, 5.310029216249999573e-01, -8.387087894999999405e-01, -1.857859056562499944e+00, 1.264074611062499853e+00, -2.618777773124999708e+00, -1.514122815937499977e+00, 9.972243087187498967e-01, 8.913689666015624236e-02, -2.583268237124999978e+00, -1.170925905585937371e-01
1.851000000000000000e+03, -2.490717468374999743e+00, -6.254556437812499592e-01, -5.807313748124999231e-01, 2.956334620781249645e-01, 1.760578503749999912e-01, -9.959071879687498852e-01, -1.167680145937499914e+00, -1.793162059453124735e-01, -1.750485875062499863e+00, -6.377164956562499931e-01, 1.224592154999999960e-01, -1.104718768312499932e+00, -3.970647561093749722e-01, -7.543836812812499959e-01, 2.075713316999999947e+00, -5.076191008124999460e-01
1.852000000000000000e+03, -1.624607590499999921e+00, -5.312361771562499335e-01, -3.033921495937499935e-01, 1.134339818624999996e+00, 1.324265009062499887e+00, 1.421988913687499911e+00, -6.788414722499999110e-01, -1.271147559960937312e-01, -3.887000476874999499e+00, -1.189115140500000001e+00, 4.315391167499999514e-01, 1.069735073554687471e-01, -5.303349989999999181e-01, -8.446957019999998817e-01, -1.227608647312499857e+00, -3.375290996718749992e-01
1.853000000000000000e+03, -6.324047738437499344e-01, 5.046038403749999457e-01, -1.916661993749999710e-02, 2.358619323749999719e-01, -1.067696736187499829e+00, -2.042276657062499723e+00, -2.362045322109374845e-01, -6.695706889687499386e-01, -7.161376211999999519e+00, -3.422478646124999635e+00, -2.184137287874999611e+00, -1.364218410937499959e+00, -8.810100835312498768e-01, -6.048533351249999468e-01, -3.660028493624999602e+00, -9.571368172499998828e-01
1.854000000000000000e+03, -2.807150862656249690e-01, -8.723705129999999031e-01, -1.004582667656249928e+00, -1.212339556687499931e+00, -6.906413564999999144e-01, -7.217341894687498982e-01, -1.788360857437499840e+00, -5.150303071874999805e-01, 2.296109828671874797e-01, -1.947627881999999921e+00, -6.999382555312499976e-01, -1.085872805437499977e+00, -5.229069775312499280e-01, -1.745387021250000004e-01, -5.085817187343749657e-01, -1.405818829687499827e+00
1.855000000000000000e+03, -1.533322573312499992e+00, 8.508026607187498813e-01, -4.380026108906249771e-01, -5.979569293124999962e-01, 5.692719808124999670e-01, 1.357958638124999950e+00, 6.654193934062500038e-01, -1.065079248187499994e+00, -2.059054424999999799e+00, 1.132265710687499816e+00, -2.474932191328124698e-01, 1.115082532687500017e+00, 1.966523489437499883e+00, 1.670774816249999961e-01, 3.160722454874999698e+00, -2.123961918749999733e-01
1.856000000000000000e+03, -1.026237059156249964e+00, -4.313922464531249612e-01, 1.118272334414062430e-01, -5.300334975937499582e-01, -9.912802038749999323e-01, -2.296093044374999947e-01, 5.496064514999999817e-01, -1.234318916812499944e+00, -2.163600946124999869e+00, -1.217412787499999871e-01, 3.892052396249999768e-01, -1.923676166812499755e+00, -7.424798883749998968e-01, -7.056115326562499845e-01, -2.042824102312499779e+00, -9.419556824999998634e-02
1.857000000000000000e+03, -1.398423514499999909e+00, -9.997482512109373554e-02, -4.891200647343749708e-01, 1.519419262499999979e-01, -2.970668718281249676e-01, -1.777007404687499958e+00, 1.358851624312499951e+00, -8.865235864687499578e-01, 4.875583859999999548e-01, -6.339389509687499702e-01, -9.259187025937499760e-01, -1.083331324124999995e+00, -3.995277669843749768e-01, -4.580426302031249675e-01, -2.034509685187499972e+00, -3.986490397499999894e-01
1.858000000000000000e+03, -2.067147351000000022e+00, 6.192882615937499446e-01, -4.076137944843749583e-01, 2.556985444875000013e+00, 1.637825393671874796e-01, -6.746264271562499859e-01, 8.391071778749998877e-01, 7.573148662499999684e-02, -2.351305189124999639e+00, -2.053737652499999788e-01, -4.630723142343749488e-01, 6.518674133437499796e-01, -1.185663288164062468e-01, 9.159273340312499290e-01, -4.404386744999999603e-01, -8.721527174999998966e-01
1.859000000000000000e+03, -1.053874852312499888e+00, -1.365877869749999807e+00, -4.551801838593749761e-01, 1.184787317249999861e+00, 4.378740589599608608e-03, 5.990278598437499546e-01, -8.122904909999999479e-01, -1.053704114437499895e+00, -2.516973621328124633e-01, 4.111836450468749904e-01, -6.003065460937500042e-01, -1.060758862382812362e-01, -9.256880955937499822e-01, -6.503336057812499904e-01, -1.812461259937499847e+00, -3.603331385156249844e-01
