year, MIROC-ES2L, GFDL-ESM4, INM-CM5-0, TaiESM1, NorESM2-LM, CESM2-WACCM, ACCESS-ESM1-5, CMCC-CM2-SR5, MPI-ESM1-2-LR, EC-Earth3-Veg, CanESM5, UKESM1-0-LL, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM4-8, NorESM2-MM
1.850000000000000000e+03, 5.769116605799999320e+01, 5.064786851399999534e+01, 6.571871004599999821e+01, 4.202986811399999567e+01, 3.631893897599999832e+01, 3.847550074199999415e+01, 4.016607080400000029e+01, 3.655770197399999688e+01, 6.206705411399999406e+01, 4.756699052999999822e+01, 5.928384443399999526e+01, 6.048335561399999705e+01, 3.914932256999999538e+01, 3.989396636999999401e+01, 6.405943946399999334e+01, 3.667870560599999408e+01
1.851000000000000000e+03, 5.682771037799999903e+01, 5.378959520999999455e+01, 6.454498742999999195e+01, 4.223796629399999603e+01, 3.672834721199999564e+01, 3.972986090999999931e+01, 4.115689250399999821e+01, 3.861536290199999399e+01, 6.062408107199999563e+01, 4.934885731199999270e+01, 6.042456856799999798e+01, 5.888245816799999233e+01, 3.867508025999999433e+01, 3.983755634999999984e+01, 6.418778704199999652e+01, 3.674066990400000066e+01
1.852000000000000000e+03, 5.673340196999999563e+01, 5.289922749599999463e+01, 6.475595932799998877e+01, 4.355774395199999560e+01, 3.690143254799999539e+01, 3.954524916599999784e+01, 4.195508049000000028e+01, 3.943678109399999698e+01, 5.990069647799999331e+01, 4.791169871999999685e+01, 6.101072425799999621e+01, 5.877225561599999537e+01, 3.832612259399999743e+01, 4.036188176999999655e+01, 6.517413851399999203e+01, 3.727893423599999778e+01
1.853000000000000000e+03, 5.695658224199999609e+01, 5.096069774999999424e+01, 6.502513485599999399e+01, 4.098515138999999863e+01, 3.656174252399999602e+01, 3.958772421599999802e+01, 4.142581180199999835e+01, 3.774032956799999994e+01, 5.797207691999999213e+01, 4.604073485399999299e+01, 5.854966270199999201e+01, 5.895677275199999201e+01, 3.835564817399999527e+01, 4.062983527799999450e+01, 6.379998884999999831e+01, 3.755780314199999737e+01
1.854000000000000000e+03, 5.718783967199999552e+01, 5.253941356199999291e+01, 6.366662310599999586e+01, 4.220295344999999543e+01, 3.653334829799999994e+01, 3.855663104399999952e+01, 4.027371105599999623e+01, 3.838186641599999405e+01, 5.994597823199999453e+01, 5.113833215399999688e+01, 6.051929088599999318e+01, 6.007234692599999448e+01, 3.916307620799999967e+01, 3.955958227799999349e+01, 6.405768527399999357e+01, 3.675549182399999637e+01
1.855000000000000000e+03, 5.691313351799999509e+01, 5.604992224199999384e+01, 6.582957485400000053e+01, 4.341982519799999807e+01, 3.742188298199999963e+01, 3.849707136600000013e+01, 4.048984697399999533e+01, 3.895223045399999506e+01, 6.308068422599999536e+01, 4.856007493799999963e+01, 5.990648333399999359e+01, 6.171237266399999299e+01, 3.961003987799999493e+01, 4.061305024199999991e+01, 6.569051686199999551e+01, 3.765640832999999787e+01
1.856000000000000000e+03, 5.714753272199999401e+01, 5.282335582199999635e+01, 6.565098648599999365e+01, 4.229362733399999996e+01, 3.761222639399999679e+01, 3.855549968999999777e+01, 4.043659055399999858e+01, 3.724903022399999486e+01, 6.157528961399999190e+01, 4.878150890399999895e+01, 6.102094586399999798e+01, 5.920964416799999697e+01, 3.872869540199999960e+01, 3.988783261799999735e+01, 6.325858274399999459e+01, 3.787192535399999826e+01
1.857000000000000000e+03, 5.706652462199999576e+01, 5.174167890599999708e+01, 6.612081769799999620e+01, 4.141166790599999814e+01, 3.688875113399999606e+01, 3.868666579799999994e+01, 4.123886639399999865e+01, 3.870991571399999742e+01, 6.185143065599999801e+01, 5.025761445599999888e+01, 5.886727358399999588e+01, 5.936018126399999773e+01, 3.904427615399999496e+01, 4.013669107799999836e+01, 6.390389996999999767e+01, 3.739887746999999507e+01
1.858000000000000000e+03, 5.613121416599999236e+01, 5.287318270199999404e+01, 6.570878803200000107e+01, 4.225787339399999354e+01, 3.671538197399999603e+01, 3.944034466199999400e+01, 4.332919861799999950e+01, 3.884582010599999791e+01, 6.248577335399999555e+01, 4.893742682999999971e+01, 6.052603564799999702e+01, 5.871470635799999371e+01, 4.076075698199999664e+01, 4.113564118199999342e+01, 6.528883888800000079e+01, 3.741638783399999824e+01
1.859000000000000000e+03, 5.668802560799999668e+01, 5.210363334599999519e+01, 6.461786712599999305e+01, 4.315445764199999701e+01, 3.734932258799999971e+01, 3.843947874599999892e+01, 4.237077227399999657e+01, 3.837465255599999381e+01, 6.330218126399999790e+01, 4.943170632599999692e+01, 6.090460955999999726e+01, 5.950189222199999506e+01, 3.949407412199999357e+01, 3.893609584799999368e+01, 6.457218722999999727e+01, 3.735773481599999712e+01
