year, CESM2-WACCM, INM-CM4-8, CanESM5, IPSL-CM6A-LR, CMCC-CM2-SR5, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-MM, INM-CM5-0, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg
1.850000000000000000e+03, 2.908889623358845711e+00, 2.993617777246981859e+00, 2.864997473079711199e+00, 2.975763380527496338e+00, 3.067301621194928885e+00, 2.860330115072429180e+00, 2.963561424985527992e+00, 2.935848338529467583e+00, 3.078967973124235868e+00, 2.864014275837689638e+00, 3.002604853827506304e+00, 3.232360573019832373e+00, 3.202238841913640499e+00, 2.828069427050650120e+00, 3.082719398662447929e+00, 2.855339634697884321e+00
1.851000000000000000e+03, 2.903800446074455976e+00, 2.997936552856117487e+00, 2.849103184416890144e+00, 2.983078896068036556e+00, 3.059796255547553301e+00, 2.885728224646300077e+00, 2.962323627434670925e+00, 2.951414475683122873e+00, 3.086157445795834064e+00, 2.849351812619715929e+00, 2.995097916573286057e+00, 3.216916078235954046e+00, 3.208684630226343870e+00, 2.834310592152178288e+00, 3.100994357373565435e+00, 2.850313636008650064e+00
1.852000000000000000e+03, 2.895659522619098425e+00, 3.008056757971644402e+00, 2.854661957826465368e+00, 2.982224884908646345e+00, 3.048084955662488937e+00, 2.871712634805589914e+00, 2.985563606489449739e+00, 2.949954767245799303e+00, 3.092678985558450222e+00, 2.850273717194795609e+00, 2.999158005695790052e+00, 3.202431835234165192e+00, 3.198362630791962147e+00, 2.824868692550808191e+00, 3.101954923477023840e+00, 2.862904407083988190e+00
1.853000000000000000e+03, 2.912788151297718287e+00, 2.988636726513504982e+00, 2.852873469237238169e+00, 2.987264085095375776e+00, 3.074691945221275091e+00, 2.870640798937529325e+00, 2.984817093238234520e+00, 2.928530622739344835e+00, 3.093830973375588655e+00, 2.847666421439498663e+00, 2.992024796549230814e+00, 3.208998951595276594e+00, 3.184519289061427116e+00, 2.839349792338907719e+00, 3.106001496780663729e+00, 2.863161521963775158e+00
1.854000000000000000e+03, 2.903741353657096624e+00, 2.994690241757780313e+00, 2.862665522843599319e+00, 2.994595316704362631e+00, 3.077263094019144773e+00, 2.893229504115879536e+00, 2.967532561160624027e+00, 2.946972486097365618e+00, 3.107173286844044924e+00, 2.875069587025791407e+00, 2.977154881227761507e+00, 3.223943046759814024e+00, 3.185755515005439520e+00, 2.834651945158839226e+00, 3.113522264175117016e+00, 2.861420810222625732e+00
1.855000000000000000e+03, 2.913262462243437767e+00, 3.006139711942523718e+00, 2.849476283881813288e+00, 2.998362143989652395e+00, 3.070445463526993990e+00, 2.869799360632896423e+00, 2.964350685942918062e+00, 2.904348936863243580e+00, 3.081288293469697237e+00, 2.894053340423852205e+00, 3.006711148191243410e+00, 3.225134324748069048e+00, 3.203255042899399996e+00, 2.842208545189350843e+00, 3.081425651907920837e+00, 2.852875669486820698e+00
1.856000000000000000e+03, 2.917794662062078714e+00, 2.996783307753503323e+00, 2.863875974435359240e+00, 2.989921357948333025e+00, 3.079415252432227135e+00, 2.851364098023623228e+00, 2.972917514853179455e+00, 2.926702529657632113e+00, 3.097270592115819454e+00, 2.852744597475975752e+00, 2.999805507715791464e+00, 3.216068039182573557e+00, 3.194077487569302320e+00, 2.828452584799379110e+00, 3.106340649537742138e+00, 2.877016493584960699e+00
1.857000000000000000e+03, 2.928183926269412041e+00, 3.001106169540435076e+00, 2.845111303031444550e+00, 3.007997665554285049e+00, 3.078000177629292011e+00, 2.878991689067333937e+00, 2.986072807107120752e+00, 2.935776358935981989e+00, 3.101622685790061951e+00, 2.841847075615078211e+00, 3.006894083227962255e+00, 3.228435956407338381e+00, 3.202770673669874668e+00, 2.846993459388613701e+00, 3.103871340863406658e+00, 2.852655958849936724e+00
1.858000000000000000e+03, 2.907506609335541725e+00, 3.001698665320873260e+00, 2.851156645920127630e+00, 3.002339566592127085e+00, 3.061085916124284267e+00, 2.875544526614248753e+00, 2.965203754138201475e+00, 2.929296309594064951e+00, 3.074171429034322500e+00, 2.849028061609715223e+00, 3.003127255942672491e+00, 3.224149555899202824e+00, 3.189324005506932735e+00, 2.833193808328360319e+00, 3.120883984956890345e+00, 2.875194058287888765e+00
1.859000000000000000e+03, 2.909093932248651981e+00, 3.002169833052903414e+00, 2.855700475629419088e+00, 2.997416665311902761e+00, 3.076745721045881510e+00, 2.852419274859130383e+00, 2.964544936548918486e+00, 2.939062903169542551e+00, 3.097616659943014383e+00, 2.840271696913987398e+00, 3.015997458714991808e+00, 3.203819564078003168e+00, 3.198074083775281906e+00, 2.839315216988325119e+00, 3.087553975638002157e+00, 2.857055829372256994e+00
