year, CMCC-CM2-SR5, CanESM5, EC-Earth3-Veg, MIROC-ES2L, INM-CM4-8, NorESM2-LM, ACCESS-ESM1-5, IPSL-CM6A-LR, MPI-ESM1-2-LR, NorESM2-MM, TaiESM1, CNRM-ESM2-1, INM-CM5-0, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4
1.850000000000000000e+03, 2.872095336914062500e+02, 2.868102722167968750e+02, 2.865437316894531250e+02, 2.881023559570312500e+02, 2.865397033691406250e+02, 2.875768737792968750e+02, 2.877844848632812500e+02, 2.857532348632812500e+02, 2.866275634765625000e+02, 2.871442260742187500e+02, 2.868869018554687500e+02, 2.869015197753906250e+02, 2.863780517578125000e+02, 2.864768981933593750e+02, 2.868852539062500000e+02, 2.864762268066406250e+02
1.851000000000000000e+03, 2.872640991210937500e+02, 2.865547180175781250e+02, 2.866062622070312500e+02, 2.882623291015625000e+02, 2.865150451660156250e+02, 2.877949829101562500e+02, 2.876637268066406250e+02, 2.859345397949218750e+02, 2.866099853515625000e+02, 2.871636047363281250e+02, 2.870159912109375000e+02, 2.870820922851562500e+02, 2.863498840332031250e+02, 2.864853515625000000e+02, 2.866985168457031250e+02, 2.863899841308593750e+02
1.852000000000000000e+03, 2.871306457519531250e+02, 2.866259460449218750e+02, 2.867419433593750000e+02, 2.881859436035156250e+02, 2.865363769531250000e+02, 2.876990051269531250e+02, 2.876014099121093750e+02, 2.859239196777343750e+02, 2.866169738769531250e+02, 2.870586853027343750e+02, 2.870234680175781250e+02, 2.870062561035156250e+02, 2.863156738281250000e+02, 2.865895690917968750e+02, 2.868218688964843750e+02, 2.866001892089843750e+02
1.853000000000000000e+03, 2.874121704101562500e+02, 2.867803649902343750e+02, 2.867276000976562500e+02, 2.880016784667968750e+02, 2.865218200683593750e+02, 2.878269348144531250e+02, 2.876221618652343750e+02, 2.859984741210937500e+02, 2.869667968750000000e+02, 2.870286865234375000e+02, 2.870433044433593750e+02, 2.868736877441406250e+02, 2.863557434082031250e+02, 2.866399536132812500e+02, 2.867621765136718750e+02, 2.866469116210937500e+02
1.854000000000000000e+03, 2.873653869628906250e+02, 2.866420593261718750e+02, 2.865599060058593750e+02, 2.880162048339843750e+02, 2.864876098632812500e+02, 2.878812255859375000e+02, 2.877352600097656250e+02, 2.860934753417968750e+02, 2.868299560546875000e+02, 2.872934875488281250e+02, 2.870512390136718750e+02, 2.868750305175781250e+02, 2.863409729003906250e+02, 2.865610656738281250e+02, 2.867437133789062500e+02, 2.864347839355468750e+02
1.855000000000000000e+03, 2.873653869628906250e+02, 2.865909118652343750e+02, 2.866301574707031250e+02, 2.882513122558593750e+02, 2.864590454101562500e+02, 2.876479797363281250e+02, 2.876413879394531250e+02, 2.860045166015625000e+02, 2.866854858398437500e+02, 2.872904968261718750e+02, 2.869595947265625000e+02, 2.865955810546875000e+02, 2.864131164550781250e+02, 2.864320373535156250e+02, 2.869017944335937500e+02, 2.863597717285156250e+02
1.856000000000000000e+03, 2.874563293457031250e+02, 2.866408996582031250e+02, 2.867448120117187500e+02, 2.882336730957031250e+02, 2.865372314453125000e+02, 2.876182556152343750e+02, 2.877373352050781250e+02, 2.861300048828125000e+02, 2.866212463378906250e+02, 2.869390258789062500e+02, 2.871255187988281250e+02, 2.867639770507812500e+02, 2.863923645019531250e+02, 2.866253967285156250e+02, 2.869908142089843750e+02, 2.865858154296875000e+02
1.857000000000000000e+03, 2.874833068847656250e+02, 2.866328735351562500e+02, 2.867299194335937500e+02, 2.882845153808593750e+02, 2.865296936035156250e+02, 2.878483276367187500e+02, 2.876402282714843750e+02, 2.860881652832031250e+02, 2.867003784179687500e+02, 2.869106445312500000e+02, 2.871044006347656250e+02, 2.868525390625000000e+02, 2.863995666503906250e+02, 2.866452941894531250e+02, 2.869763793945312500e+02, 2.866352844238281250e+02
1.858000000000000000e+03, 2.874345092773437500e+02, 2.866103820800781250e+02, 2.867737731933593750e+02, 2.882055664062500000e+02, 2.865321044921875000e+02, 2.876822814941406250e+02, 2.875174865722656250e+02, 2.860246582031250000e+02, 2.866881408691406250e+02, 2.869061279296875000e+02, 2.871924133300781250e+02, 2.866775512695312500e+02, 2.863925781250000000e+02, 2.866271057128906250e+02, 2.867932434082031250e+02, 2.864761962890625000e+02
1.859000000000000000e+03, 2.873532714843750000e+02, 2.867374267578125000e+02, 2.865981140136718750e+02, 2.881809692382812500e+02, 2.864435119628906250e+02, 2.874114990234375000e+02, 2.875719299316406250e+02, 2.861415100097656250e+02, 2.867386169433593750e+02, 2.869335937500000000e+02, 2.871466979980468750e+02, 2.869778137207031250e+02, 2.863795471191406250e+02, 2.866659240722656250e+02, 2.869362487792968750e+02, 2.865255432128906250e+02
1.860000000000000000e+03, 2.873135681152343750e+02, 2.866999206542968750e+02, 2.865738525390625000e+02, 2.882940368652343750e+02, 2.863973999023437500e+02, 2.873483886718750000e+02, 2.876018981933593750e+02, 2.859757080078125000e+02, 2.867449340820312500e+02, 2.870085754394531250e+02, 2.873124084472656250e+02, 2.869714355468750000e+02, 2.864077453613281250e+02, 2.865905151367187500e+02, 2.869239196777343750e+02, 2.864442443847656250e+02
1.861000000000000000e+03, 2.873187561035156250e+02, 2.866642150878906250e+02, 2.866990051269531250e+02, 2.882288513183593750e+02, 2.863662414550781250e+02, 2.873531188964843750e+02, 2.876017761230468750e+02, 2.861561584472656250e+02, 2.868414611816406250e+02, 2.869023742675781250e+02, 2.874016418457031250e+02, 2.867568054199218750e+02, 2.863548889160156250e+02, 2.866876220703125000e+02, 2.867458801269531250e+02, 2.863601684570312500e+02
1.862000000000000000e+03, 2.873351135253906250e+02, 2.865130310058593750e+02, 2.865270080566406250e+02, 2.881789550781250000e+02, 2.864505310058593750e+02, 2.874051208496093750e+02, 2.875727844238281250e+02, 2.857600708007812500e+02, 2.866445312500000000e+02, 2.869220275878906250e+02, 2.870951232910156250e+02, 2.868341369628906250e+02, 2.862998962402343750e+02, 2.866040649414062500e+02, 2.866664123535156250e+02, 2.863742980957031250e+02
