year, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.015000000000000000e+03, 1.083577991167999910e+00, 8.138171875328000127e+00, 1.762971248230400079e+01, 2.931518865407999996e+00, 8.413760061439999882e-01, 1.335817771417599964e+01, 1.070797488128000019e+00, 5.527690543103999765e+00, 1.266851774463999902e+01
2.016000000000000000e+03, 1.044615331839999994e+00, 8.017561518079999061e+00, 1.737905248665600055e+01, 2.834517196799999805e+00, 7.693887733759999792e-01, 1.482233374310400009e+01, 9.566578278399999746e-01, 5.492477263871999860e+00, 1.251191082188799975e+01
2.017000000000000000e+03, 1.009437704191999963e+00, 7.924358840320000041e+00, 1.716656380313600039e+01, 2.747329675263999960e+00, 6.999260528640000034e-01, 1.434433827635199954e+01, 8.908760023039999920e-01, 5.465070108672000160e+00, 1.248011799756799967e+01
2.018000000000000000e+03, 9.746184273919999974e-01, 7.871708790783999987e+00, 1.697784633753600048e+01, 2.660006887424000155e+00, 6.338464972799999764e-01, 1.400412779315199963e+01, 8.440692735999999474e-01, 5.440351502336000067e+00, 1.240407946035199949e+01
2.019000000000000000e+03, 9.400961597439999595e-01, 7.789845413888000003e+00, 1.682772800307200001e+01, 2.578674614271999843e+00, 5.606295470079999399e-01, 1.373134703820799984e+01, 8.061818634240000003e-01, 5.415638663168000022e+00, 1.230349061324799997e+01
2.020000000000000000e+03, 9.065767895040000024e-01, 7.742898569215999949e+00, 1.664902968115200110e+01, 2.506571382784000157e+00, 5.132392857599999969e-01, 1.348883447807999936e+01, 7.728225320959999367e-01, 5.389368688640000293e+00, 1.216897089535999932e+01
2.021000000000000000e+03, 8.742216663040000002e-01, 7.657549201407999995e+00, 1.652258504703999975e+01, 2.438742671360000003e+00, 4.618374676479999885e-01, 1.333078681190399983e+01, 7.411400703999999617e-01, 5.359770009600000051e+00, 1.208087058841599948e+01
2.022000000000000000e+03, 8.434137169919999621e-01, 7.574913023999999773e+00, 1.643053580287999793e+01, 2.386648891391999872e+00, 4.166686146559999693e-01, 1.316307651788799937e+01, 7.125665710080000270e-01, 5.329938546688000045e+00, 1.202933517516799888e+01
2.023000000000000000e+03, 8.139856281599999743e-01, 7.495327678464000165e+00, 1.635702747955199854e+01, 2.347217190912000095e+00, 3.761775902719999842e-01, 1.301372049817599930e+01, 6.866122178560000178e-01, 5.302119301120000294e+00, 1.200294776012800035e+01
2.024000000000000000e+03, 7.859241615359999766e-01, 7.445788753919999614e+00, 1.630308034150399976e+01, 2.323911016448000133e+00, 3.513904660480000053e-01, 1.286736445440000054e+01, 6.628774379519999371e-01, 5.275942125568000129e+00, 1.198661514035199893e+01
2.025000000000000000e+03, 7.591036846080000400e-01, 7.416820793343999796e+00, 1.629949840588799859e+01, 2.311218266111999764e+00, 3.350198026239999960e-01, 1.273319496089600023e+01, 6.411202723839999340e-01, 5.251696951296000115e+00, 1.202567774207999918e+01
2.026000000000000000e+03, 7.323994685439999541e-01, 7.390661443583999457e+00, 1.637039892070399816e+01, 2.311245791231999913e+00, 3.233433845759999814e-01, 1.260296916172799975e+01, 6.212456284159999509e-01, 5.231202533375999941e+00, 1.199718898073600037e+01
2.027000000000000000e+03, 7.074872688640000407e-01, 7.315604373503999724e+00, 1.642573647052800112e+01, 2.309299372032000086e+00, 3.123707576320000068e-01, 1.245953130496000050e+01, 6.030081392639999871e-01, 5.210579664895999663e+00, 1.196836677222399992e+01
2.028000000000000000e+03, 6.840931450880000098e-01, 7.322251821055999699e+00, 1.647292239052799800e+01, 2.308070703103999755e+00, 3.016577843200000109e-01, 1.233923971481599935e+01, 5.858624143359999481e-01, 5.189886541824000332e+00, 1.198960777625599938e+01
2.029000000000000000e+03, 6.620010250239999339e-01, 7.306504830975999454e+00, 1.651917822361599875e+01, 2.307378642943999747e+00, 2.916847124479999831e-01, 1.221639589068800014e+01, 5.702862110719999489e-01, 5.174362374143999688e+00, 1.197385397043199973e+01
2.030000000000000000e+03, 6.415062794239999588e-01, 7.271308328960000011e+00, 1.660923097907199875e+01, 2.306006843391999794e+00, 2.837486305279999788e-01, 1.211104965427199964e+01, 5.579085578239999510e-01, 5.163392172032000182e+00, 1.195869156147199952e+01
2.031000000000000000e+03, 6.220970065919999570e-01, 7.263518982144000269e+00, 1.668506189824000074e+01, 2.314616438783999808e+00, 2.778671022079999831e-01, 1.208707501260800043e+01, 5.437147054080000430e-01, 5.155024011263999562e+00, 1.194500554751999921e+01
2.032000000000000000e+03, 6.033531863040000331e-01, 7.254551560191999648e+00, 1.674588035481599846e+01, 2.321849778175999912e+00, 2.738700287999999983e-01, 1.201740342886400015e+01, 5.330497372160000191e-01, 5.149241638911999708e+00, 1.195432843673600054e+01
2.033000000000000000e+03, 5.858655600640000349e-01, 7.260881289215999956e+00, 1.680111094988799891e+01, 2.326771269631999761e+00, 2.702773288959999798e-01, 1.196390717849599916e+01, 5.272289935359999458e-01, 5.147360493567999740e+00, 1.195933748428799959e+01
2.034000000000000000e+03, 5.696427786240000346e-01, 7.248573628415999615e+00, 1.687228409446399979e+01, 2.330632388608000038e+00, 2.674864783359999776e-01, 1.190393282560000010e+01, 5.293732331520000223e-01, 5.147583840255999910e+00, 1.202043171635200025e+01
2.035000000000000000e+03, 5.544316764159999966e-01, 7.247799779328000014e+00, 1.693888125337599959e+01, 2.332765454336000133e+00, 2.642637619200000065e-01, 1.186276992614399894e+01, 5.300425523199999711e-01, 5.150057431039999578e+00, 1.210627443916800061e+01
2.036000000000000000e+03, 5.395259064319999354e-01, 7.278539309055999773e+00, 1.698719544115200009e+01, 2.342478675968000079e+00, 2.588254699520000091e-01, 1.178355420364800032e+01, 5.130237050879999927e-01, 5.154753478655999643e+00, 1.207893701427200028e+01
2.037000000000000000e+03, 5.255541882879999349e-01, 7.272623243263999449e+00, 1.703070295654400113e+01, 2.348935806975999796e+00, 2.544757145600000103e-01, 1.168975383756800035e+01, 5.012257832959999826e-01, 5.159946551295999662e+00, 1.207599156428799958e+01
2.038000000000000000e+03, 5.123033006080000007e-01, 7.279323643904000107e+00, 1.707923839385599862e+01, 2.354997100543999800e+00, 2.495846809599999994e-01, 1.161453948108800027e+01, 4.928125992959999646e-01, 5.165174751231999650e+00, 1.211503424307199950e+01
2.039000000000000000e+03, 4.999635271679999660e-01, 7.290047954943999819e+00, 1.711976166195200122e+01, 2.358007562240000077e+00, 2.453208432639999992e-01, 1.154342715391999974e+01, 4.856593776639999693e-01, 5.169790058495999929e+00, 1.212893731225599936e+01
2.040000000000000000e+03, 4.881514823679999893e-01, 7.251362840576000224e+00, 1.707195079065600041e+01, 2.362326122495999936e+00, 2.404996055039999858e-01, 1.148412808396799889e+01, 4.787694469119999630e-01, 5.169391599615999588e+00, 1.208629277491199971e+01
2.041000000000000000e+03, 4.725458534399999966e-01, 7.276536004607999431e+00, 1.706726365593599937e+01, 2.341511888896000038e+00, 2.300216115200000022e-01, 1.141313948876799955e+01, 4.679953612799999663e-01, 5.165535461375999837e+00, 1.206068654899199899e+01
2.042000000000000000e+03, 4.579123527679999639e-01, 7.241123495935999799e+00, 1.707645861888000027e+01, 2.324302659584000175e+00, 2.191290695679999900e-01, 1.134787716710400041e+01, 4.583808040960000163e-01, 5.163295703040000184e+00, 1.205581905919999919e+01
2.043000000000000000e+03, 4.442996408319999646e-01, 7.235549265919999584e+00, 1.708317789388799923e+01, 2.308863164416000036e+00, 2.080253706240000056e-01, 1.128155578368000000e+01, 4.498594201599999676e-01, 5.162455793663999870e+00, 1.199776464896000050e+01
2.044000000000000000e+03, 4.315417149440000100e-01, 7.228140552191999468e+00, 1.707010424831999984e+01, 2.293089435648000052e+00, 1.992016363520000000e-01, 1.123656453324799998e+01, 4.419702947840000173e-01, 5.162047897599999935e+00, 1.196322874982399931e+01
2.045000000000000000e+03, 4.190820106239999676e-01, 7.214776975359999511e+00, 1.706421859123199880e+01, 2.280266924031999931e+00, 1.910894919679999859e-01, 1.118114938879999976e+01, 4.347725414399999933e-01, 5.162144366591999933e+00, 1.196249998950399984e+01
2.046000000000000000e+03, 4.067631759359999766e-01, 7.216709500928000232e+00, 1.706657683865600106e+01, 2.267405352960000009e+00, 1.791367413759999971e-01, 1.106317095731199984e+01, 4.279593861120000176e-01, 5.161994944512000139e+00, 1.197649009049600011e+01
2.047000000000000000e+03, 3.952110141440000057e-01, 7.197427761151999448e+00, 1.706516335820800023e+01, 2.254413496319999766e+00, 1.678653194239999868e-01, 1.097411015475199925e+01, 4.213484748799999902e-01, 5.160883978240000225e+00, 1.197226747494399923e+01
2.048000000000000000e+03, 3.844264755199999772e-01, 7.222260137983999684e+00, 1.705927560396800047e+01, 2.243876880384000128e+00, 1.574098370560000071e-01, 1.086808024678400031e+01, 4.150117990400000179e-01, 5.158533070847999724e+00, 1.194994853478399932e+01
2.049000000000000000e+03, 3.743203655679999686e-01, 7.198549213184000095e+00, 1.705318966886400034e+01, 2.234944847871999762e+00, 1.470350458880000100e-01, 1.079269602099200043e+01, 4.090936688640000041e-01, 5.155866542080000059e+00, 1.195879537049600039e+01
2.050000000000000000e+03, 3.643321221120000009e-01, 7.182091812863999891e+00, 1.707363165798399862e+01, 2.230561800192000010e+00, 1.403119042559999863e-01, 1.069424312319999970e+01, 4.032631603199999804e-01, 5.155309748224000010e+00, 1.194473186918400032e+01
2.051000000000000000e+03, 3.535451586560000026e-01, 7.189621637120000130e+00, 1.709621693644799834e+01, 2.225885413375999988e+00, 1.405830922240000058e-01, 1.066257403084799904e+01, 3.975554334720000083e-01, 5.152287227903999955e+00, 1.192751739699200009e+01
2.052000000000000000e+03, 3.439846031359999889e-01, 7.191278911488000247e+00, 1.710632520908799847e+01, 2.223353626624000157e+00, 1.416589967359999924e-01, 1.057428498022400021e+01, 3.921938022400000001e-01, 5.146792165375999595e+00, 1.194558226432000048e+01
2.053000000000000000e+03, 3.348855521279999747e-01, 7.163938865151999735e+00, 1.711602243993599970e+01, 2.222418558975999936e+00, 1.429116190720000068e-01, 1.049859666739200037e+01, 3.869177282560000153e-01, 5.142012755967999560e+00, 1.197863128268799926e+01
2.054000000000000000e+03, 3.263996559360000105e-01, 7.185520132096000268e+00, 1.712631316479999910e+01, 2.218774495232000099e+00, 1.453348782080000068e-01, 1.044349924147199893e+01, 3.835178188799999721e-01, 5.137322475519999543e+00, 1.200128367001599905e+01
2.055000000000000000e+03, 3.184401121279999969e-01, 7.186528862208000135e+00, 1.721401081855999848e+01, 2.217654878208000113e+00, 1.483937382399999894e-01, 1.037279795609599908e+01, 3.840347668479999754e-01, 5.138043895807999917e+00, 1.210076941516799920e+01
2.056000000000000000e+03, 3.106949038079999670e-01, 7.206116261887999919e+00, 1.726431205785599943e+01, 2.238637932544000009e+00, 1.743771238400000090e-01, 1.035851320524800023e+01, 3.813849169920000004e-01, 5.143212851199999491e+00, 1.213066851123199896e+01
2.057000000000000000e+03, 3.043138928640000129e-01, 7.174409945087999674e+00, 1.731327636275199922e+01, 2.255237939200000152e+00, 1.960686223360000036e-01, 1.030003621887999898e+01, 3.892551679999999847e-01, 5.146376929279999679e+00, 1.216659272499200029e+01
2.058000000000000000e+03, 2.990707507200000004e-01, 7.200401522687999822e+00, 1.736022949887999900e+01, 2.270012112896000023e+00, 2.175256002559999846e-01, 1.029877058764799891e+01, 4.136853503999999848e-01, 5.147517255679999515e+00, 1.221250357657599928e+01
2.059000000000000000e+03, 2.949241569280000030e-01, 7.227409170431999819e+00, 1.738754909798399950e+01, 2.284830588928000061e+00, 2.381552844800000068e-01, 1.025605474713599996e+01, 4.376546181120000156e-01, 5.149836181503999910e+00, 1.225059309977599931e+01
2.060000000000000000e+03, 2.915071426559999734e-01, 7.227919826943999482e+00, 1.745842025267199915e+01, 2.299284684799999923e+00, 2.578138890239999870e-01, 1.025067660083199961e+01, 4.611230924799999964e-01, 5.160322990080000061e+00, 1.223517483827200003e+01
2.061000000000000000e+03, 2.861581271040000152e-01, 7.222884564991999490e+00, 1.750282744627200060e+01, 2.337068810239999905e+00, 2.991747891200000065e-01, 1.039309838745599990e+01, 4.474762362879999844e-01, 5.175781621759999673e+00, 1.223984309862400011e+01
2.062000000000000000e+03, 2.817180303360000138e-01, 7.268109647871999535e+00, 1.754116757913600111e+01, 2.374055493631999969e+00, 3.361412546559999770e-01, 1.045391474688000066e+01, 4.379447459840000167e-01, 5.188092952575999561e+00, 1.228376480153599992e+01
2.063000000000000000e+03, 2.778942668800000182e-01, 7.280269459456000014e+00, 1.758694631014400045e+01, 2.405942951935999830e+00, 3.688571535360000153e-01, 1.052368489676799967e+01, 4.331198218239999953e-01, 5.198363230207999841e+00, 1.233460920319999943e+01
2.064000000000000000e+03, 2.748286730239999920e-01, 7.322845839360000220e+00, 1.761570770124799878e+01, 2.433996816384000006e+00, 4.048347136000000068e-01, 1.058200879103999981e+01, 4.301749944319999686e-01, 5.207230513152000029e+00, 1.240806509772800048e+01
2.065000000000000000e+03, 2.721698938880000029e-01, 7.368525479936000266e+00, 1.757685691187199950e+01, 2.457470500863999874e+00, 4.390070845440000036e-01, 1.064779540070400010e+01, 4.304392355839999906e-01, 5.206157819903999950e+00, 1.241293783039999887e+01
2.066000000000000000e+03, 2.677057617920000077e-01, 7.373456932864000279e+00, 1.756752668262399908e+01, 2.453773221887999956e+00, 4.476665528319999643e-01, 1.078057028812800056e+01, 4.277058600959999790e-01, 5.197482426367999508e+00, 1.238699606015999954e+01
2.067000000000000000e+03, 2.641846763519999919e-01, 7.309269401599999938e+00, 1.756259627827200021e+01, 2.452954546176000061e+00, 4.587351900159999940e-01, 1.083875367321599903e+01, 4.249667829759999904e-01, 5.190673498111999962e+00, 1.239065663897599912e+01
2.068000000000000000e+03, 2.614498426879999782e-01, 7.263780077567999705e+00, 1.753571393536000045e+01, 2.448177233920000084e+00, 4.686077296639999945e-01, 1.094424146739200054e+01, 4.243603128319999862e-01, 5.184525172735999554e+00, 1.238120267775999928e+01
2.069000000000000000e+03, 2.589061775359999817e-01, 7.229095280640000176e+00, 1.751596400640000084e+01, 2.443670716415999866e+00, 4.786287738880000142e-01, 1.100449369292799950e+01, 4.244648755200000068e-01, 5.178150354944000000e+00, 1.238750776524799946e+01
2.070000000000000000e+03, 2.570869145599999905e-01, 7.259264909311999858e+00, 1.767883197644799864e+01, 2.438960513023999965e+00, 4.851326975999999958e-01, 1.111028452556799984e+01, 4.223817154560000064e-01, 5.186146271232000338e+00, 1.244724723711999914e+01
2.071000000000000000e+03, 2.548053278719999981e-01, 7.254147334144000148e+00, 1.777424610099199853e+01, 2.476384714752000171e+00, 5.324873728000000250e-01, 1.122040807423999986e+01, 4.121028198399999676e-01, 5.206181937151999506e+00, 1.251216667443200059e+01
2.072000000000000000e+03, 2.538282680319999818e-01, 7.233536524287999647e+00, 1.783432950579199883e+01, 2.512660201471999866e+00, 5.827629547520000175e-01, 1.129737564979200037e+01, 4.042933207039999810e-01, 5.221047074816000055e+00, 1.259623730380799955e+01
2.073000000000000000e+03, 2.540419645440000207e-01, 7.269742280703999526e+00, 1.787851230412799808e+01, 2.547511459839999937e+00, 6.273487994880000418e-01, 1.137922958950399988e+01, 4.028325232639999864e-01, 5.231638740991999548e+00, 1.262795567923200046e+01
2.074000000000000000e+03, 2.551239147519999695e-01, 7.287212605439999713e+00, 1.793312214220799916e+01, 2.578749587456000025e+00, 6.695614545920000049e-01, 1.146494438604799981e+01, 4.071972863999999692e-01, 5.240183062527999702e+00, 1.267377006182399946e+01
2.075000000000000000e+03, 2.566960742400000162e-01, 7.297785397248000017e+00, 1.806115117465600051e+01, 2.607825289216000098e+00, 7.093486223359999343e-01, 1.156032181043199891e+01, 4.101477498880000128e-01, 5.264991846400000064e+00, 1.272222685593600033e+01
2.076000000000000000e+03, 2.563802398719999820e-01, 7.425880489983999411e+00, 1.814717634969600013e+01, 2.658167685120000012e+00, 7.696946954239999306e-01, 1.155725577420800043e+01, 4.032180060159999968e-01, 5.301552545792000082e+00, 1.275694940160000002e+01
2.077000000000000000e+03, 2.579906068480000148e-01, 7.446084452352000227e+00, 1.821698424831999930e+01, 2.701760921600000032e+00, 8.227138437119999592e-01, 1.154376374681599948e+01, 4.068173414399999799e-01, 5.330180243455999722e+00, 1.280750020198400030e+01
2.078000000000000000e+03, 2.611699220479999917e-01, 7.514361954303999447e+00, 1.828459223449599946e+01, 2.737501372415999779e+00, 8.667849687040000140e-01, 1.153539086745599995e+01, 4.299234017279999764e-01, 5.352047771647999497e+00, 1.279676697804799979e+01
2.079000000000000000e+03, 2.658696396799999917e-01, 7.535019425792000014e+00, 1.834611638271999823e+01, 2.767991078911999914e+00, 9.050739834879999446e-01, 1.153655688396800016e+01, 4.709897994239999885e-01, 5.369334595584000169e+00, 1.283710884249599893e+01
2.080000000000000000e+03, 2.723099443199999969e-01, 7.522429698047999658e+00, 1.833292739379199787e+01, 2.794148593664000035e+00, 9.340622602239999628e-01, 1.155563572428799901e+01, 5.133058703359999475e-01, 5.369431064576000168e+00, 1.287780093132800019e+01
2.081000000000000000e+03, 2.732225822719999697e-01, 7.522458533887999899e+00, 1.835808482918400131e+01, 2.800016949248000042e+00, 9.425932124160000258e-01, 1.147674191462400017e+01, 5.183672483839999456e-01, 5.354495672319999677e+00, 1.287063810867199898e+01
2.082000000000000000e+03, 2.763975884800000116e-01, 7.522727493631999884e+00, 1.839244037324800018e+01, 2.803770851327999747e+00, 9.486854389759999950e-01, 1.137600836403199978e+01, 5.432938004480000194e-01, 5.340686974976000201e+00, 1.290035265535999898e+01
