year, TaiESM1, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, EC-Earth3-Veg, INM-CM5-0, IPSL-CM6A-LR, NorESM2-LM, INM-CM4-8, ACCESS-ESM1-5, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, GFDL-ESM4
2.015000000000000000e+03, -2.039526742499999934e-01, 8.403464441249999251e-01, 1.208067167812499898e+00, 3.269953981406249488e-01, 2.823862786874999919e+00, 2.132348277374999768e+00, 2.784405830624999911e+00, 2.333451131999999983e+00, 5.931605747249999894e+00, 8.210496149999999549e-01, 2.177847334124999978e+00, 1.863879476062499929e+00, 1.133557701187499989e+00, 1.497621850312499836e+00, 3.756558464999999458e-01, 1.337655490312499973e+00
2.016000000000000000e+03, 2.818521684843749986e-01, 2.813160995999999692e+00, 6.191113643437499148e-01, 3.798277390124999542e+00, 1.343414505937500003e+00, 4.928350979249999320e+00, 2.184930368999999928e+00, 2.131346762999999811e+00, 4.691608256249999442e+00, 1.472597171999999954e+00, 3.808625386499999710e+00, 3.627122894999999847e+00, -2.664332202656249926e-01, 6.054294214687500064e-01, 2.173477134374999675e+00, 3.160647248906249818e-01
2.017000000000000000e+03, 2.432371218046874839e-01, 2.662136570249999945e+00, 2.651794240499999677e+00, 3.513467150999999511e+00, 2.669074243874999919e+00, 3.632110510499999556e+00, -4.375737336093749597e-01, 2.025180449437499863e+00, 6.998064572249999671e+00, 2.545742121749999587e+00, 9.627566925937499631e-01, 2.264686637624999666e+00, 2.542392653624999888e+00, 2.236466845124999825e+00, 2.687058140624999591e+00, -1.173057280312499895e+00
2.018000000000000000e+03, -1.095236164124999911e+00, 3.295601926874999865e+00, 1.720325263499999924e+00, 2.883351508874999691e+00, -5.061330899999999522e-02, 4.480705343249999473e+00, 2.416521883499999745e+00, 1.739731606312499901e+00, 5.784865289999999938e+00, 2.971163008124999561e+00, 4.097641554843749478e-01, 1.672329935249999844e+00, 1.741208624437499797e+00, 1.621600214062499878e+00, 2.680503087374999982e+00, 3.166824424499999679e+00
2.019000000000000000e+03, -2.516563406953125082e-01, 7.152765775312499574e-01, 6.456562379999999379e-01, -1.478603086171874914e-01, 6.578501374687499847e-01, 5.136130349999999289e+00, 2.645899225874999594e+00, 2.417791453874999608e+00, 4.619379482999999453e+00, 2.480832656999999664e+00, 3.013113279374999731e+00, 4.379834490749999532e+00, 2.325318046874999656e+00, 2.666775072374999667e+00, 2.423361253499999979e+00, 2.400348350249999818e+00
2.020000000000000000e+03, 9.381552865312499101e-01, 1.051238624414062434e-01, 1.105182446062499935e+00, 1.287889957687499809e+00, 1.991123909999999775e+00, 5.933594486249999633e+00, 2.175967985624999823e+00, 2.196796528124999703e+00, 5.157407787749999528e+00, 7.219732194140623949e-02, 3.904583275124999808e+00, 3.169416043124999582e+00, -8.543053124999999692e-02, 3.133114411499999807e+00, 1.710850543312499861e+00, -4.360709384999999494e-01
2.021000000000000000e+03, 1.218683220187499971e+00, 2.301969580874999810e+00, 2.989660350374999886e+00, 3.990574063124999515e+00, -1.105398516937500020e+00, 3.797152934624999698e+00, 2.553291298124999997e+00, 2.619499159124999643e+00, 5.816984213249999591e+00, 3.191463217968749655e-01, 4.162276496249999624e+00, 2.589901637624999697e+00, 1.242510146437499907e+00, 2.044711457999999649e+00, 2.222467324874999761e+00, -9.346339718437499666e-01
2.022000000000000000e+03, -7.938561591562499631e-01, 2.120625262124999910e+00, -4.279835251406249874e-01, 3.740164426124999775e+00, 2.341525087124999960e+00, 5.219978660999999853e+00, 3.820858151624999532e+00, 2.410579072125000000e+00, 5.817019691249999624e+00, 2.089806213374999722e+00, 5.019590047499999486e+00, 1.144538634937499966e+00, 3.252819154499999588e+00, 2.163439816874999977e+00, 2.722551415874999936e+00, 3.272384532374999822e+00
2.023000000000000000e+03, 5.170446152929687039e-02, 5.117309763749999796e+00, 1.521931178812499841e+00, 2.870227358999999812e+00, 3.548970773999999828e+00, 6.381751596749999145e+00, 2.322693660374999691e+00, 2.735594261999999777e+00, 7.053542309249999143e+00, 2.578350099374999704e+00, 1.305666899437499806e+00, 3.899057822999999701e+00, 2.665926064124999773e+00, 3.058428540374999560e+00, 2.850427924874999963e+00, 3.387017892374999839e+00
2.024000000000000000e+03, 7.103744541562498904e-01, 4.163836049999999567e+00, 1.461233371499999878e+00, 1.392913707187499961e+00, 4.313137821749999823e+00, 9.224419817812499200e-01, 2.162075392124999773e+00, 3.216473175374999549e+00, 2.409623383499999605e+00, 4.087821047343749847e-01, 1.040572203749999952e-01, 1.838736660937499767e+00, 1.417581511312499876e+00, 1.875872025562499879e+00, 3.151181829374999577e+00, 1.074105565874999835e+00
