year, MIROC-ES2L, GFDL-ESM4, INM-CM4-8, INM-CM5-0, EC-Earth3-Veg, NorESM2-MM, TaiESM1, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, CanESM5, CMCC-CM2-SR5, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR, CESM2-WACCM
2.015000000000000000e+03, 6.762226636799999824e+01, 5.655098986199999445e+01, 7.949885011199999951e+01, 7.767789051599999084e+01, 5.974824356999999253e+01, 4.807297382399999464e+01, 4.609108207799999946e+01, 6.816868275599999549e+01, 5.032800280799999371e+01, 4.915241956799999912e+01, 8.402129384399999878e+01, 4.679738992799999409e+01, 7.417268776799998875e+01, 4.783290208199999682e+01, 5.531533842599999673e+01, 4.883271154199999842e+01
2.016000000000000000e+03, 6.852335237999999151e+01, 5.633367528599999474e+01, 7.839879559199999903e+01, 7.930326383999999962e+01, 5.926012936199999359e+01, 4.767064936199999892e+01, 4.516849639799999494e+01, 6.754421476799998914e+01, 5.175749420999999728e+01, 5.224416170399999260e+01, 8.479476154799999676e+01, 4.635058787999999907e+01, 7.539518869199999074e+01, 4.819902321599999340e+01, 5.467854774599999246e+01, 4.760321750999999324e+01
2.017000000000000000e+03, 6.828812535599999478e+01, 5.461650066599999320e+01, 8.072406313199999772e+01, 7.836048723599999732e+01, 6.003509502599999337e+01, 4.854218219999999917e+01, 4.596131932199999426e+01, 7.183096631999998749e+01, 5.243479288199999644e+01, 5.016833209799999338e+01, 8.284619941199999005e+01, 4.846826575799999404e+01, 7.722225050399998736e+01, 4.798373088599999647e+01, 5.174280237599999310e+01, 4.974645925799999446e+01
2.018000000000000000e+03, 6.867697211999998785e+01, 5.739078565799999865e+01, 8.013512833199999363e+01, 7.959242530799998860e+01, 5.772235516199999239e+01, 4.846411877399999923e+01, 4.459529017799999906e+01, 7.026749816399998849e+01, 5.279903762399999323e+01, 4.974807153599999765e+01, 8.309491595999999447e+01, 4.762017993599999954e+01, 7.651766530799999089e+01, 4.800152901599999922e+01, 5.500240669799999438e+01, 4.946515813799999961e+01
2.019000000000000000e+03, 6.775415780400000187e+01, 5.861806428599999208e+01, 7.936448309999998685e+01, 8.118092516399998715e+01, 5.908783636799999783e+01, 4.830199219799999355e+01, 4.590421550999999312e+01, 6.970480131600000107e+01, 5.249670593399999774e+01, 5.222022587999999388e+01, 8.533877331599998683e+01, 4.826902919399999803e+01, 7.401779870400000050e+01, 4.821105025799999311e+01, 5.527956871799999305e+01, 5.077204939799999295e+01
2.020000000000000000e+03, 6.779029017599999918e+01, 5.678721026999999566e+01, 7.987532687999998871e+01, 8.198594463599999926e+01, 5.983524350999999797e+01, 4.815038287799999495e+01, 4.701890273399999387e+01, 7.182953931599999464e+01, 5.035052345399999751e+01, 5.194377736199999873e+01, 8.663203313999999011e+01, 4.603027672799999692e+01, 7.325280629999998894e+01, 4.850626663799999960e+01, 5.478235637399999547e+01, 5.084448758999999285e+01
2.021000000000000000e+03, 6.993122191199999804e+01, 5.606195322599999287e+01, 8.059381945199999109e+01, 8.032075711199999546e+01, 5.871246335999999388e+01, 4.880782175399999545e+01, 4.665372373799999650e+01, 7.300253660399999944e+01, 5.054610972599999741e+01, 5.179357927799999572e+01, 8.758116424799999322e+01, 4.766205974399999690e+01, 7.597679137199999388e+01, 4.905038878199999886e+01, 5.552720121599999459e+01, 4.983807133799999889e+01
2.022000000000000000e+03, 6.991018739999999809e+01, 5.836501153799999742e+01, 8.191781110799999510e+01, 8.171323707599999864e+01, 5.965291418399999657e+01, 4.936240202399999788e+01, 4.533847543799999613e+01, 7.010867498399998965e+01, 5.237243044199999531e+01, 4.840857993599999531e+01, 8.830703624399998830e+01, 4.937856816599999377e+01, 7.534102561199999570e+01, 4.809448531799999671e+01, 5.704154416799999439e+01, 5.087712340799999566e+01
2.023000000000000000e+03, 6.994189684799999895e+01, 6.017757467399999882e+01, 8.252700778799999171e+01, 8.207253460799999800e+01, 6.144732835199999244e+01, 4.950202766399999632e+01, 4.637921074199999794e+01, 7.029993293999999082e+01, 5.270687760599999905e+01, 5.171768789399999378e+01, 8.495746365599998740e+01, 4.904576875799999414e+01, 7.907660672399998703e+01, 4.942871828999999906e+01, 5.672858484599999684e+01, 5.155090187399999735e+01
2.024000000000000000e+03, 6.990515740799999378e+01, 5.863881103199999245e+01, 7.937845354799999598e+01, 7.902830933999999274e+01, 6.206451940799999534e+01, 4.980546705599999768e+01, 4.710825604799999411e+01, 7.205546321999999293e+01, 5.112466918199999810e+01, 4.867934803199999294e+01, 8.462265382799999713e+01, 4.769574413399999457e+01, 7.907270414399999936e+01, 4.925273952599999916e+01, 5.593474488599999717e+01, 5.031906235199999600e+01
2.025000000000000000e+03, 6.860460488399999690e+01, 5.794240548599999840e+01, 8.019779824799999801e+01, 8.099643168000000060e+01, 5.983627631399999558e+01, 4.869568367999999481e+01, 4.708456856999999474e+01, 7.405396261199999230e+01, 5.039565146999999712e+01, 5.264885924999999389e+01, 8.774370079199999850e+01, 4.726264447799999857e+01, 7.832871471599999325e+01, 4.976964610199999584e+01, 5.609825904599999546e+01, 5.216579080199999652e+01
2.026000000000000000e+03, 7.081553865600000108e+01, 5.801027884199999818e+01, 7.979309675999999740e+01, 8.085030173999999192e+01, 5.985802038599999264e+01, 4.921771485599999352e+01, 4.512276131399999457e+01, 7.273194983999999863e+01, 5.139221666399999577e+01, 5.379691550399999755e+01, 8.778193030799999974e+01, 4.711647117599999746e+01, 7.566028819199999589e+01, 4.919242298399999669e+01, 5.629425134399999564e+01, 5.219098018199999700e+01
2.027000000000000000e+03, 7.109052469199998825e+01, 5.935382675999999691e+01, 8.054173774799998853e+01, 8.222128991999998959e+01, 6.063084160199999673e+01, 5.043979792799999728e+01, 4.706943128999999715e+01, 7.084674352799999042e+01, 5.242306937399999356e+01, 5.016238756199999926e+01, 8.683234981199998970e+01, 4.843803850199999772e+01, 8.038659639599998741e+01, 4.998173752799999647e+01, 5.777378249399999532e+01, 5.130732569399999932e+01
2.028000000000000000e+03, 7.218111841199998935e+01, 6.066390709799999570e+01, 7.922413213199999404e+01, 8.208712789199999804e+01, 6.184335743999999835e+01, 5.020475617799999668e+01, 4.843572848999999536e+01, 7.136117452799999228e+01, 5.220116630999999785e+01, 5.211884946599999324e+01, 8.823368350799999860e+01, 4.967170316999999358e+01, 8.025503608799999711e+01, 4.886349856199999664e+01, 5.736975902999999732e+01, 5.170945305599999386e+01
2.029000000000000000e+03, 7.043756392799998878e+01, 5.940822241799999404e+01, 8.037891737999999009e+01, 8.270471314799999618e+01, 6.094240545599999592e+01, 5.106000067199999393e+01, 4.638728001599999828e+01, 7.644606281999999453e+01, 5.238860840999999624e+01, 5.181470445599999408e+01, 8.926163884799998982e+01, 4.997222548199999892e+01, 7.987446752399999639e+01, 4.961029075199999738e+01, 5.826050123399999592e+01, 5.149284803999999838e+01
2.030000000000000000e+03, 7.209359812799999645e+01, 5.965105750199999335e+01, 8.093506262399999684e+01, 8.188359454799999071e+01, 6.061602756599999253e+01, 5.148224011799999289e+01, 4.689879393599999702e+01, 7.433395498799998791e+01, 5.165704022399999928e+01, 5.199426649799999467e+01, 8.858345716799999536e+01, 4.885623739799999754e+01, 7.540591093199999762e+01, 5.068307057399999849e+01, 5.674751432999999423e+01, 5.217169591799999750e+01
2.031000000000000000e+03, 7.249852825199999984e+01, 6.001892099999999886e+01, 8.024619023999999001e+01, 8.161589332799999852e+01, 6.218223935399999647e+01, 4.950398683799999588e+01, 4.743192972599999990e+01, 7.335649666799999125e+01, 5.096128116599999913e+01, 5.112321064199999654e+01, 8.683011863999999491e+01, 5.001520116599999710e+01, 7.671942475199999478e+01, 5.073368585399999375e+01, 5.778667677599999308e+01, 5.322696537599999544e+01
2.032000000000000000e+03, 7.297291641599998968e+01, 6.147086997599999592e+01, 8.196412960799999325e+01, 8.186560326000000032e+01, 6.145809789599999817e+01, 5.079229550999999532e+01, 4.751781802199999305e+01, 7.429518935999999485e+01, 5.124657158999999496e+01, 5.299647269399999772e+01, 8.814544577999998864e+01, 4.877193378599999818e+01, 7.925220705599998894e+01, 4.916642155199999564e+01, 5.625667619999999403e+01, 5.319814147199999610e+01
2.033000000000000000e+03, 7.284088306799999657e+01, 6.033183695999999685e+01, 8.332401711599999317e+01, 8.321326268400000004e+01, 6.213017341799999826e+01, 5.209259574599999354e+01, 4.598079280199999630e+01, 7.490317978799998855e+01, 5.174540803799999367e+01, 5.007624697799999325e+01, 9.012622982399999216e+01, 4.792620133799999849e+01, 8.231300449199999036e+01, 5.123558917799999790e+01, 5.730315105599999725e+01, 5.232293468999999675e+01
2.034000000000000000e+03, 7.006927863599999284e+01, 6.230522186999999690e+01, 8.309855048400000044e+01, 8.463947828399999196e+01, 6.206229217799999276e+01, 5.141637718199999796e+01, 4.785821366399999732e+01, 7.337789384399999904e+01, 5.285726490599999750e+01, 5.257512019799999337e+01, 8.968983465599998794e+01, 5.024692769399999293e+01, 8.219239505999999551e+01, 5.107345471799999359e+01, 5.900754571199999532e+01, 5.368011010199999333e+01
