year, INM-CM5-0, NorESM2-MM, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, CanESM5, CESM2-WACCM, INM-CM4-8, CNRM-ESM2-1, MIROC-ES2L, EC-Earth3-Veg
2.015000000000000000e+03, 3.036889142822474241e+00, 2.869743097107857466e+00, 3.108262724708765745e+00, 2.941139310132712126e+00, 3.016826638486236334e+00, 3.132929408457130194e+00, 3.248771920334547758e+00, 3.099098370876163244e+00, 2.844302554149180651e+00, 2.872554387431591749e+00, 2.913394791539758444e+00, 2.925893466453999281e+00, 3.042664169333875179e+00, 2.968650602269917727e+00, 3.224234108347445726e+00, 2.954038430470973253e+00
2.016000000000000000e+03, 3.047640819568186998e+00, 2.869270986411720514e+00, 3.082459140568971634e+00, 2.951480168849229813e+00, 3.017661476042121649e+00, 3.131199069321155548e+00, 3.230366518255323172e+00, 3.111941227689385414e+00, 2.847433194983750582e+00, 2.864664606750011444e+00, 2.900882286485284567e+00, 2.952225424814969301e+00, 3.050109185278415680e+00, 2.968987554777413607e+00, 3.170928661711513996e+00, 2.943066100124269724e+00
2.017000000000000000e+03, 3.036738268565386534e+00, 2.856394811533391476e+00, 3.094068914651870728e+00, 2.968968695495277643e+00, 3.029267478268593550e+00, 3.137587022501975298e+00, 3.240386769175529480e+00, 3.118759486824274063e+00, 2.850379643496125937e+00, 2.863906149286776781e+00, 2.913279749918729067e+00, 2.936881512869149446e+00, 3.066346398554742336e+00, 2.971081563737243414e+00, 3.172232152428478003e+00, 2.936602709814906120e+00
2.018000000000000000e+03, 3.043738519772887230e+00, 2.863126317970454693e+00, 3.113825269974768162e+00, 2.957279083784669638e+00, 3.050624986644834280e+00, 3.125245193950831890e+00, 3.228766936808824539e+00, 3.122738481033593416e+00, 2.845779235940426588e+00, 2.862001990433782339e+00, 2.901239041239023209e+00, 2.967744099441915751e+00, 3.059473447501659393e+00, 2.991411869879812002e+00, 3.187198564410209656e+00, 2.929932181723415852e+00
2.019000000000000000e+03, 3.058032284025102854e+00, 2.864295279141515493e+00, 3.135952551383525133e+00, 2.958231163211166859e+00, 3.030991216655820608e+00, 3.108726663049310446e+00, 3.235502529423683882e+00, 3.138425317592918873e+00, 2.841756236739456654e+00, 2.876337559428066015e+00, 2.912300953175872564e+00, 2.964458498172461987e+00, 3.059417812619358301e+00, 2.966120000928640366e+00, 3.232703183311969042e+00, 2.960683812852948904e+00
2.020000000000000000e+03, 3.080866474192589521e+00, 2.881107700522989035e+00, 3.116443881299346685e+00, 2.972055331338196993e+00, 3.036320535466074944e+00, 3.112137364223599434e+00, 3.252580238040536642e+00, 3.136751241981983185e+00, 2.846200740896165371e+00, 2.855018398258835077e+00, 2.908353391103446484e+00, 2.943080558907240629e+00, 3.046934853773564100e+00, 2.981596870813518763e+00, 3.200337826274335384e+00, 2.941157540772110224e+00
2.021000000000000000e+03, 3.064460156019777060e+00, 2.886905986815690994e+00, 3.099138289690017700e+00, 2.988557203207165003e+00, 3.036863368470221758e+00, 3.145472088363021612e+00, 3.287467395421117544e+00, 3.137219895143061876e+00, 2.855670929420739412e+00, 2.857734134886413813e+00, 2.921790000982582569e+00, 2.964622259605675936e+00, 3.062933182809501886e+00, 2.998761017806828022e+00, 3.191793314181268215e+00, 2.938097936566919088e+00
2.022000000000000000e+03, 3.058331203646957874e+00, 2.862604858819395304e+00, 3.107575303874909878e+00, 2.965467155445367098e+00, 3.044845873955637217e+00, 3.156312718056142330e+00, 3.257980279158800840e+00, 3.149184852372854948e+00, 2.857541141565889120e+00, 2.873367536813020706e+00, 2.913170366082340479e+00, 2.986709936521947384e+00, 3.077380650211125612e+00, 2.982749801594763994e+00, 3.204953321255743504e+00, 2.945741603616625071e+00
2.023000000000000000e+03, 3.068971610628068447e+00, 2.851083723362535238e+00, 3.121151786763221025e+00, 2.963527163956314325e+00, 3.045825927983969450e+00, 3.115886903833597898e+00, 3.249537607189267874e+00, 3.151027089916169643e+00, 2.845217229332774878e+00, 2.890852291602641344e+00, 2.914386161137372255e+00, 2.951036661397665739e+00, 3.058378666173666716e+00, 2.969781216233968735e+00, 3.210361220408231020e+00, 2.943394251633435488e+00
2.024000000000000000e+03, 3.051766601856797934e+00, 2.873844048008322716e+00, 3.128150466363877058e+00, 2.950990770477801561e+00, 3.055608866270631552e+00, 3.094142465852200985e+00, 3.255944733973592520e+00, 3.152190393302589655e+00, 2.857015596237033606e+00, 2.861941955052316189e+00, 2.935589337721467018e+00, 2.974600391462445259e+00, 3.056236251723021269e+00, 2.967027446720749140e+00, 3.236745670437812805e+00, 2.948108443524688482e+00
