year, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, GFDL-ESM4, EC-Earth3-Veg, IPSL-CM6A-LR
2.015000000000000000e+03, 4.281451138799999967e+01, 8.183708683199999712e+01, 4.215292946999999657e+01, 4.139222596199999771e+01, 4.904881198199999659e+01, 6.373738200599999715e+01, 4.081992245999999369e+01, 4.301948356199999779e+01, 6.743336572799999828e+01, 6.187123920599999849e+01, 4.356466216199999764e+01, 4.531293127799999354e+01, 4.463392177799999416e+01, 4.596873028199999567e+01
2.016000000000000000e+03, 4.331224801799999824e+01, 8.095731127199999833e+01, 4.199283302399999940e+01, 4.049050134599999495e+01, 4.936987605599999540e+01, 6.373310493599999660e+01, 4.181008190399999336e+01, 4.198621440599999488e+01, 6.692532076799999174e+01, 5.942312317799999732e+01, 4.528151747999999799e+01, 4.614577338599999479e+01, 4.529099798999999393e+01, 4.627110139199999850e+01
2.017000000000000000e+03, 4.296233244599999779e+01, 8.186256003599999076e+01, 4.273353088199999661e+01, 4.088727152999999959e+01, 4.932954151199999870e+01, 6.586643649599999151e+01, 4.149908175599999538e+01, 4.317144766199999850e+01, 6.869691863999999271e+01, 5.956787735999999711e+01, 4.473410376599999694e+01, 4.593565690199999807e+01, 4.463295204599999977e+01, 4.607737180199999472e+01
2.018000000000000000e+03, 4.336246515599999896e+01, 8.266444955999999422e+01, 4.290470434799999566e+01, 4.074158309399999922e+01, 4.941176768999999780e+01, 6.530994829799999479e+01, 4.161319082999999353e+01, 4.291617950999999920e+01, 6.738560445599999582e+01, 6.067441252799999774e+01, 4.521092414399999626e+01, 4.483549988999999414e+01, 4.434731078399999404e+01, 4.639096578599999532e+01
2.019000000000000000e+03, 4.308837395399999792e+01, 8.230495492799998658e+01, 4.342370412599999696e+01, 4.076316160199999672e+01, 4.966146973799999387e+01, 6.581036942999999440e+01, 4.125968803800000018e+01, 4.356548998199999545e+01, 6.756735430799999165e+01, 6.284059277399999388e+01, 4.454583384599999363e+01, 4.588474202999999818e+01, 4.527935332199999863e+01, 4.658898032999999828e+01
2.020000000000000000e+03, 4.295144464199999845e+01, 8.270663684399998772e+01, 4.288692592799999659e+01, 4.110871337999999753e+01, 4.995646142399999690e+01, 6.745566956399999015e+01, 4.168595226599999393e+01, 4.356804045599999853e+01, 6.750484995600000104e+01, 6.154840517399999555e+01, 4.550959765799999701e+01, 4.695721831799999535e+01, 4.532144205599999509e+01, 4.654536998399999703e+01
2.021000000000000000e+03, 4.328880494399999890e+01, 8.340214755599998853e+01, 4.286499658199999629e+01, 4.162082254199999909e+01, 4.990499861399999304e+01, 6.666351677999999481e+01, 4.192910270999999511e+01, 4.303440797399999695e+01, 6.814103356799999744e+01, 6.102593249399999564e+01, 4.620246722999999633e+01, 4.682599307999999638e+01, 4.587457166999999458e+01, 4.695979638599999362e+01
2.022000000000000000e+03, 4.309885573199999698e+01, 8.327096567999998911e+01, 4.360867064999999343e+01, 4.151943430199999341e+01, 4.997182339799999795e+01, 6.729678331199998809e+01, 4.135460745599999655e+01, 4.363023338999999368e+01, 6.764364777599999456e+01, 6.128382995999999849e+01, 4.441877135999999382e+01, 4.540042790999999767e+01, 4.481377552799999364e+01, 4.709338682399999954e+01
2.023000000000000000e+03, 4.290934408199999694e+01, 8.363537204399999325e+01, 4.354039915199999911e+01, 4.171510335600000019e+01, 4.982515734599999746e+01, 6.567624682199999597e+01, 4.229914613399999723e+01, 4.375181255399999714e+01, 6.844119321599998784e+01, 6.220900159199999280e+01, 4.469601616199999938e+01, 4.630259402999999452e+01, 4.522300243199999414e+01, 4.817566686599999315e+01
2.024000000000000000e+03, 4.294672606799999670e+01, 8.450222572799999909e+01, 4.349400969599999911e+01, 4.182198674400000016e+01, 5.042209046399999295e+01, 6.732201211199999591e+01, 4.171639633199999508e+01, 4.377501516599999576e+01, 6.931466945999999041e+01, 6.366424213799999166e+01, 4.387830344999999710e+01, 4.702076335799999640e+01, 4.431590486999999712e+01, 4.770919029599999561e+01
