year, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, NorESM2-LM, TaiESM1, CNRM-ESM2-1
2.015000000000000000e+03, 1.310440692908031906e+03, 1.780957178757119891e+03, 1.457593922879487991e+03, 1.875307812356096065e+03, 5.532533936619520318e+02, 8.652632390369279847e+02, 2.891725244727295831e+03, 1.198442575560703972e+03, 7.133976246353919350e+02, 1.365703366017023882e+03, 2.448857476628480072e+03, 5.147923977338880377e+02, 1.583262786912255933e+03
2.016000000000000000e+03, 1.310377879011327877e+03, 1.782096150396927897e+03, 1.457985033338879930e+03, 1.875740396093440040e+03, 5.537912376524799356e+02, 8.657121973370880141e+02, 2.892596586217472122e+03, 1.198941194420224065e+03, 7.137040437084159521e+02, 1.365015500161023965e+03, 2.449238118105087779e+03, 5.144196415487999730e+02, 1.584477725786111932e+03
2.017000000000000000e+03, 1.310114812264447892e+03, 1.782586045104128061e+03, 1.458363661549567951e+03, 1.875947225612287866e+03, 5.540913149378559410e+02, 8.659547958804479322e+02, 2.892723824623616110e+03, 1.199610001358847967e+03, 7.140563652444159288e+02, 1.364550167298047882e+03, 2.449672715108351895e+03, 5.135485684940799729e+02, 1.585410404777984013e+03
2.018000000000000000e+03, 1.309920062341120001e+03, 1.783268408033279911e+03, 1.458770072829951914e+03, 1.876376856559616044e+03, 5.544177324523519701e+02, 8.661929652387839269e+02, 2.892428814057471754e+03, 1.200293706465279911e+03, 7.145541787975679426e+02, 1.364129931591679906e+03, 2.450054161891328022e+03, 5.133316726456320112e+02, 1.586591118131199892e+03
2.019000000000000000e+03, 1.309854027218943884e+03, 1.783250959728640055e+03, 1.459113938649087913e+03, 1.876800447709184027e+03, 5.548698113146880360e+02, 8.664315372503040180e+02, 2.892815897985024094e+03, 1.200761455247359891e+03, 7.152747937791999675e+02, 1.363488505069567964e+03, 2.450435608674304149e+03, 5.139575299112959783e+02, 1.587712104595455912e+03
2.020000000000000000e+03, 1.309766785695743920e+03, 1.783409336647679993e+03, 1.459438611333119979e+03, 1.877210080215039852e+03, 5.553653431664639584e+02, 8.666656129679359992e+02, 2.893536915619839874e+03, 1.201310271537151948e+03, 7.157414688194560313e+02, 1.363142760202239970e+03, 2.450765515849727763e+03, 5.141446629785599498e+02, 1.588922077413375973e+03
2.021000000000000000e+03, 1.309707461459968044e+03, 1.784445497507839946e+03, 1.459883811536896019e+03, 1.877619578503167986e+03, 5.557964505088000351e+02, 8.668937831055359311e+02, 2.894087208304639717e+03, 1.201927941521408002e+03, 7.164667814215679300e+02, 1.362759165935616011e+03, 2.451224540479488041e+03, 5.134071365631999697e+02, 1.589954480177151936e+03
2.022000000000000000e+03, 1.309651761102848013e+03, 1.786086711885823888e+03, 1.460466182258687923e+03, 1.877985858682880007e+03, 5.563692582174719519e+02, 8.671839618334719262e+02, 2.894172033908736012e+03, 1.202540377014272053e+03, 7.176095111577600392e+02, 1.362310610288639964e+03, 2.451661821837311891e+03, 5.134963913523199608e+02, 1.591368463941631944e+03
2.023000000000000000e+03, 1.309801145434111959e+03, 1.787667528286207926e+03, 1.461187736764416059e+03, 1.878403812687872005e+03, 5.570475946147839750e+02, 8.674961522687999604e+02, 2.894044527067135732e+03, 1.203190527688703924e+03, 7.183684453007359707e+02, 1.361857088585727979e+03, 2.451907708715008084e+03, 5.139927285104639623e+02, 1.592266112106495939e+03
2.024000000000000000e+03, 1.309811882852352028e+03, 1.788864481984511940e+03, 1.461834531995647922e+03, 1.878849415544832027e+03, 5.577348900454400109e+02, 8.674225338449920173e+02, 2.894159149006848111e+03, 1.203397625643008041e+03, 7.188718288896000104e+02, 1.361491076841472022e+03, 2.452154400899071788e+03, 5.140429259407360405e+02, 1.593092356440063895e+03
2.025000000000000000e+03, 1.309677799342079879e+03, 1.788427200626687863e+03, 1.462398380670975939e+03, 1.879234351988735853e+03, 5.582034776883199356e+02, 8.673184479969279437e+02, 2.894793730424832120e+03, 1.203632372449279956e+03, 7.195646608015359789e+02, 1.361163585585152077e+03, 2.452515715022847871e+03, 5.142178116403199510e+02, 1.594116840357887895e+03
2.026000000000000000e+03, 1.309629883613183893e+03, 1.788080113582080003e+03, 1.462894180958207926e+03, 1.879764914667519861e+03, 5.585081854853119694e+02, 8.676051370639360130e+02, 2.895652455448575893e+03, 1.203984962420735883e+03, 7.197391438479360204e+02, 1.360867098623999937e+03, 2.452993261699071809e+03, 5.142940137553920295e+02, 1.595308828000255971e+03
2.027000000000000000e+03, 1.309850134904831975e+03, 1.787922005098495902e+03, 1.463521246183423955e+03, 1.880234542497792063e+03, 5.590812616294399504e+02, 8.679683302359039772e+02, 2.896049739923455945e+03, 1.204652561399808064e+03, 7.207975848509439629e+02, 1.360634230865920017e+03, 2.453525300772863829e+03, 5.146539857018880184e+02, 1.596438941270015903e+03
2.028000000000000000e+03, 1.309926102138879969e+03, 1.788051390988287949e+03, 1.464100529897471915e+03, 1.880628874182655863e+03, 5.594986787635199335e+02, 8.681795218309119946e+02, 2.895601721147391800e+03, 1.204994548170752068e+03, 7.223375990620160110e+02, 1.360122324451328041e+03, 2.453964192743424064e+03, 5.143691756830719441e+02, 1.597358601142271937e+03
2.029000000000000000e+03, 1.309962206707712085e+03, 1.788366802649087958e+03, 1.464614583795711951e+03, 1.881067497717760034e+03, 5.597801668935679800e+02, 8.681818035322879723e+02, 2.895857540136959869e+03, 1.205268889206784024e+03, 7.223974601687040149e+02, 1.359787317002239888e+03, 2.454297052708864157e+03, 5.147057601904639341e+02, 1.598513142038528031e+03
2.030000000000000000e+03, 1.309877649539072081e+03, 1.789896347877376002e+03, 1.465270371614720034e+03, 1.881481693626368042e+03, 5.601438969364479590e+02, 8.682636092375039425e+02, 2.896438702899200052e+03, 1.205982256431103906e+03, 7.223741062840319955e+02, 1.359464523366400044e+03, 2.454697021538303943e+03, 5.147216314367999530e+02, 1.599931823423487913e+03
2.031000000000000000e+03, 1.309882212941824037e+03, 1.789910440738815851e+03, 1.465890591735807902e+03, 1.882004203241471942e+03, 5.607612649308159689e+02, 8.685932479774719468e+02, 2.897087779831807893e+03, 1.206986205036543879e+03, 7.234960322723840136e+02, 1.359180787089407886e+03, 2.455320865538048110e+03, 5.141825794867199875e+02, 1.600993485651968058e+03
