year, MIROC-ES2L, INM-CM5-0, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, NorESM2-LM, ACCESS-ESM1-5, CMCC-CM2-SR5, TaiESM1, NorESM2-MM, CESM2-WACCM, UKESM1-0-LL, CanESM5, IPSL-CM6A-LR, INM-CM4-8, CNRM-ESM2-1
2.015000000000000000e+03, 6.809126187599999014e+01, 7.859210338799999818e+01, 7.381250722800000119e+01, 5.641810504199999343e+01, 5.855989613399999882e+01, 4.756633615799999859e+01, 5.105029940999999383e+01, 4.555367315999999533e+01, 4.374797304599999848e+01, 4.699758833999999297e+01, 4.867327340999999308e+01, 7.098696835199999100e+01, 8.392881452399998921e+01, 5.542736218199999598e+01, 7.986046553999999276e+01, 4.997151592199999470e+01
2.016000000000000000e+03, 6.852794086800000173e+01, 7.843552714799999137e+01, 7.322369857199998933e+01, 5.358556517399999564e+01, 5.780676126599999520e+01, 4.768526629799999483e+01, 5.175404495999999455e+01, 4.678149578399999342e+01, 4.382585119799999518e+01, 4.736455306199999882e+01, 4.839537817799999431e+01, 6.912978966000000014e+01, 8.348812257599999498e+01, 5.473501295399999833e+01, 7.973043472799999165e+01, 5.200106644799999600e+01
2.017000000000000000e+03, 6.920862177600000109e+01, 7.865739079199998685e+01, 7.361483169599999599e+01, 5.285400092999999799e+01, 5.969160885599999489e+01, 4.804063759799999644e+01, 5.171595341399999768e+01, 5.031922003199999693e+01, 4.516100659799999306e+01, 4.764409604999999459e+01, 4.933530077399999669e+01, 7.021853852399999596e+01, 8.506360594799998864e+01, 5.453442822599999573e+01, 8.109316047599999422e+01, 5.107954116599999850e+01
2.018000000000000000e+03, 6.956973262799999702e+01, 7.930518753599999116e+01, 7.547653580399999385e+01, 5.446514363399999326e+01, 6.053471198999999814e+01, 4.835677022999999508e+01, 5.258942965799999314e+01, 4.677829487999999714e+01, 4.272727098599999351e+01, 4.828513620599999712e+01, 4.842353194199999677e+01, 6.813483674399999757e+01, 8.182333713599999214e+01, 5.616323897399999510e+01, 7.958670152399999154e+01, 5.079458186999999469e+01
2.019000000000000000e+03, 6.747557666400000187e+01, 7.963430511599999306e+01, 7.342152389999999684e+01, 5.679375398999999902e+01, 6.078502110599999497e+01, 4.820327663399999807e+01, 5.143581124199999266e+01, 4.589872824599999745e+01, 4.251231766799999434e+01, 4.890350591999999352e+01, 4.954045427999999873e+01, 7.030933066800000120e+01, 8.213816890799999726e+01, 5.659643323799999592e+01, 7.914954949199999135e+01, 5.051687191199999916e+01
2.020000000000000000e+03, 6.884404196399999876e+01, 8.018279499599999838e+01, 7.629396469199998876e+01, 5.587472399399999290e+01, 5.955482145599999200e+01, 4.844382535799999800e+01, 5.106575204999999329e+01, 4.610690526599999828e+01, 4.556879467199999567e+01, 4.939250707799999418e+01, 5.047035236999999341e+01, 7.106754283200000089e+01, 8.759424380399998711e+01, 5.674172747399999395e+01, 8.152737965999999403e+01, 5.205748435199999591e+01
2.021000000000000000e+03, 6.900127257599999098e+01, 7.924680651599999237e+01, 7.906265204399998936e+01, 5.496399979199999564e+01, 5.978640607199999835e+01, 4.725717298199999306e+01, 5.168700336599999900e+01, 4.762058990399999914e+01, 4.622069503799999524e+01, 4.963395851999999309e+01, 4.974045164999999713e+01, 7.334109133199999064e+01, 8.849303557199999659e+01, 5.577820018199999907e+01, 8.114154458399998759e+01, 5.052859936199999424e+01
2.022000000000000000e+03, 7.024003030800000147e+01, 8.103221715599998731e+01, 7.736032299599999362e+01, 5.540879930399999864e+01, 6.003062085599999875e+01, 4.922457393599999875e+01, 5.273738080199999700e+01, 4.915806056999999640e+01, 4.413674491199999750e+01, 4.909555621799999869e+01, 4.969398729599999598e+01, 7.257785705999999948e+01, 8.677570327199998701e+01, 5.774371291799999284e+01, 8.025096005999999704e+01, 5.054509663199999636e+01
2.023000000000000000e+03, 6.944671069199999636e+01, 8.055078069599998969e+01, 7.779518078399999581e+01, 5.890953576599999764e+01, 5.974545657599999515e+01, 5.038658486999999297e+01, 5.069108860199999356e+01, 4.832983060199999414e+01, 4.554508354199999332e+01, 4.917392711999999477e+01, 5.007216700799999387e+01, 7.189876871999999253e+01, 8.694531176399999595e+01, 5.828114942999999215e+01, 7.985577456000000041e+01, 5.162311142999999447e+01
2.024000000000000000e+03, 7.009494105599999614e+01, 8.025517011599998796e+01, 7.715190157199999987e+01, 5.790293423999999334e+01, 6.027197768999999283e+01, 4.997030572799999959e+01, 4.903065907199999884e+01, 4.717161187199999972e+01, 4.500649596599999569e+01, 4.889596881599999278e+01, 5.020768902599999706e+01, 7.127411151599999073e+01, 8.948328173999999535e+01, 5.637731322599999828e+01, 8.263317373199998883e+01, 5.267816407799999467e+01
