year, NorESM2-MM, CESM2-WACCM, NorESM2-LM, GFDL-ESM4, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, ACCESS-ESM1-5, MPI-ESM1-2-LR, TaiESM1, IPSL-CM6A-LR
1.850000000000000000e+03, 5.819854892902175614e+00, 5.993638410781951364e+00, 5.431890643838258370e+00, 5.330708473736711284e+01, 7.257097765270071932e+01, 9.506157514146828191e+00, 4.665240514427812712e+01, 1.415896625081784421e+01, 1.163864399711733100e+01, 8.166917489930836993e+00, 5.942192572544415441e+01, 1.624164662723269537e+00, 1.481543521909244809e+01
1.851000000000000000e+03, 5.887851387206783471e+00, 5.916952657647335911e+00, 5.358005199466857604e+00, 5.342650070740115353e+01, 7.228306982977845507e+01, 9.227610159563274905e+00, 4.652458007993621436e+01, 1.413104844354043799e+01, 1.182879218347011196e+01, 8.142993235826699205e+00, 5.932545866682141167e+01, 1.850486148901695271e+00, 1.473791913469404768e+01
1.852000000000000000e+03, 5.949480077174675863e+00, 5.972926161343481866e+00, 5.371310695754414333e+00, 5.360850310147532838e+01, 7.220076741597813452e+01, 9.477896590648542841e+00, 4.662878597130320202e+01, 1.402658750654677355e+01, 1.196101850444648740e+01, 8.167961666684362854e+00, 5.930761448993504814e+01, 1.765822951348941849e+00, 1.466790762678703608e+01
1.853000000000000000e+03, 6.030270676381390693e+00, 5.883875473967376202e+00, 5.381451103020187254e+00, 5.346336001243385994e+01, 7.223410567605874633e+01, 9.383032406344538501e+00, 4.667441027009459020e+01, 1.384155393501433551e+01, 1.182716329339589478e+01, 8.183071398713357425e+00, 5.914905972050124916e+01, 1.691390521157522198e+00, 1.465711277464878926e+01
1.854000000000000000e+03, 5.976404351084812383e+00, 5.901228525177395490e+00, 5.408312965823958152e+00, 5.358958728307927544e+01, 7.247199246797298144e+01, 9.136774720150489415e+00, 4.660888752288992265e+01, 1.399065305157951578e+01, 1.167840712833903183e+01, 8.149256755319774115e+00, 5.916239044078371023e+01, 1.749595032608256773e+00, 1.468053478226254249e+01
1.855000000000000000e+03, 5.944898521179193374e+00, 5.970574048762009589e+00, 5.412952194995342303e+00, 5.348078486269392329e+01, 7.248860083665312004e+01, 9.652415035922324194e+00, 4.656867335237998162e+01, 1.435717704106138726e+01, 1.162418309808843020e+01, 8.159696883489306884e+00, 5.919533169693318797e+01, 1.748083317535029657e+00, 1.464782136607815666e+01
1.856000000000000000e+03, 6.105465618321447963e+00, 5.849677474870281557e+00, 5.485005708292417737e+00, 5.366143399197613917e+01, 7.238917227097553564e+01, 9.365538816107019215e+00, 4.667829359361591912e+01, 1.451340350280360525e+01, 1.164882885739684681e+01, 8.159098102479973136e+00, 5.931813542501811298e+01, 1.772468112173338772e+00, 1.467543524708331049e+01
1.857000000000000000e+03, 6.130712539617813484e+00, 5.801163561489628862e+00, 5.565652889214335985e+00, 5.343660175485043595e+01, 7.218754714296595409e+01, 9.235146652239576426e+00, 4.668449689349037612e+01, 1.473265932701458958e+01, 1.148179060807609275e+01, 8.211314416404640326e+00, 5.931714203995941403e+01, 1.673561947719180765e+00, 1.464652501833696085e+01
1.858000000000000000e+03, 6.019407921595097299e+00, 5.858934194830218267e+00, 5.606288212073315513e+00, 5.354695585250959056e+01, 7.205684420197604823e+01, 9.212869010570342354e+00, 4.675848936918822574e+01, 1.465125025223022348e+01, 1.148761878891703248e+01, 8.276946740001088543e+00, 5.930434038421220322e+01, 1.819004414355948507e+00, 1.472764274410440422e+01
1.859000000000000000e+03, 5.973287177379396518e+00, 5.900418332473140737e+00, 5.636109014647119331e+00, 5.354538348437215944e+01, 7.205248522113907939e+01, 9.430049615415743602e+00, 4.664231006344057562e+01, 1.447142950231774527e+01, 1.154934758886661683e+01, 8.323161233134371173e+00, 5.920050112128463837e+01, 1.738064126228075601e+00, 1.470861549777061761e+01
1.860000000000000000e+03, 6.045914203688937505e+00, 5.930843433453747870e+00, 5.610688121805710082e+00, 5.364667574317022058e+01, 7.205377210101057983e+01, 9.576337809688290292e+00, 4.672794914475309014e+01, 1.441214719528598032e+01, 1.155188081368435071e+01, 8.328132076533341532e+00, 5.923069999335251623e+01, 1.729869139572421055e+00, 1.474507108303400926e+01
1.861000000000000000e+03, 6.022408190387335658e+00, 5.993382725441589010e+00, 5.559295358368069984e+00, 5.354956486571386165e+01, 7.190120464969660929e+01, 9.509392019449729005e+00, 4.677456457055205874e+01, 1.450437885946823968e+01, 1.170267051909439182e+01, 8.370519773930665153e+00, 5.907788139137089445e+01, 1.746867268661774775e+00, 1.471777520457110100e+01
1.862000000000000000e+03, 6.045533605382298781e+00, 6.034145841515588415e+00, 5.528983930462550767e+00, 5.353450466807636587e+01, 7.185054559317111966e+01, 9.291026673247092305e+00, 4.658647251609851736e+01, 1.455025991413067210e+01, 1.187871886265911847e+01, 8.461714323364834200e+00, 5.913101895031565647e+01, 1.814597063849459513e+00, 1.478181476594962085e+01
1.863000000000000000e+03, 6.117127818629334080e+00, 6.040181166113696598e+00, 5.487033907167086610e+00, 5.345182633590933818e+01, 7.182150709792546195e+01, 9.184690545357298674e+00, 4.657515509974806633e+01, 1.459971430294212880e+01, 1.195858451401630163e+01, 8.530280362801569538e+00, 5.923034793933229025e+01, 1.743681373260059120e+00, 1.479718769870492601e+01
1.864000000000000000e+03, 6.018935440088693412e+00, 5.967369834856041777e+00, 5.440986935680900416e+00, 5.349291043413458624e+01, 7.178536300463045450e+01, 9.431623280344211935e+00, 4.665629465433307388e+01, 1.459173009066388715e+01, 1.194320960927105446e+01, 8.610899007891328338e+00, 5.905082235258678480e+01, 1.783120683169103549e+00, 1.477731103459396778e+01
1.865000000000000000e+03, 5.900526992663324144e+00, 5.984546737241204006e+00, 5.461680623160281023e+00, 5.327777182575137971e+01, 7.151001024610178547e+01, 9.501205749070679829e+00, 4.677523472569473029e+01, 1.445480236839050292e+01, 1.163516427691564559e+01, 8.636067260156591985e+00, 5.891978341547653741e+01, 1.714487410494932806e+00, 1.476150185363136025e+01
1.866000000000000000e+03, 5.853191475185196779e+00, 5.959990701317769535e+00, 5.475822415186395453e+00, 5.349566237243954703e+01, 7.113202078088799851e+01, 9.421693822413804043e+00, 4.663353279617390257e+01, 1.447282599615041043e+01, 1.157601728278832809e+01, 8.654609141699721064e+00, 5.903860892325995735e+01, 1.636277321576933064e+00, 1.477472217732631776e+01
1.867000000000000000e+03, 5.950227090435298294e+00, 6.077481009798935574e+00, 5.483203666085722183e+00, 5.335224084031516156e+01, 7.099339263178092096e+01, 9.066334146787003334e+00, 4.668439759374498266e+01, 1.443149917991901354e+01, 1.183765777387145945e+01, 8.690863095135849647e+00, 5.912634742004011912e+01, 1.811323108695870765e+00, 1.471190689903167659e+01
1.868000000000000000e+03, 6.098654664527153990e+00, 6.033324295912813717e+00, 5.438400157868048979e+00, 5.332368532365742908e+01, 7.099791479264131056e+01, 9.067171308367324656e+00, 4.675238340134841053e+01, 1.455861218164641002e+01, 1.160117887942354287e+01, 8.686029264652074033e+00, 5.914506348431742566e+01, 2.064072849821752431e+00, 1.471965759774672300e+01
1.869000000000000000e+03, 6.160458536350597925e+00, 5.994888697134316935e+00, 5.381350023261821214e+00, 5.329242331733981075e+01, 7.091284598519715132e+01, 8.831493820462780420e+00, 4.675686353498503678e+01, 1.487837353926054718e+01, 1.145833817891321438e+01, 8.683178569852453066e+00, 5.909720292144599796e+01, 1.833863775743746150e+00, 1.477515416937044535e+01
1.870000000000000000e+03, 6.233003566888142721e+00, 5.891364242342196356e+00, 5.531440404860112459e+00, 5.316508141331126325e+01, 7.088789652214686043e+01, 8.822478081218580570e+00, 4.675778722504431784e+01, 1.494130030611048987e+01, 1.146310717200464602e+01, 8.749219727561778015e+00, 5.889163870912828713e+01, 1.598497296268623913e+00, 1.475658003863208023e+01
1.871000000000000000e+03, 6.285874453666441930e+00, 5.901213921750954050e+00, 5.582106021082899439e+00, 5.327466005552133765e+01, 7.075937493559466418e+01, 9.094657248608196909e+00, 4.694772002337757044e+01, 1.485441721438820650e+01, 1.149709695184015956e+01, 8.810413363218648541e+00, 5.874683607579017774e+01, 1.690103291121779705e+00, 1.479256335650635634e+01
1.872000000000000000e+03, 6.285168722002535624e+00, 5.959588881239316294e+00, 5.557637294776702319e+00, 5.327934142961228758e+01, 7.059970045744998401e+01, 9.393754393812862702e+00, 4.705747872161230561e+01, 1.484807785519937973e+01, 1.130617574864665720e+01, 8.856799887576796593e+00, 5.878700972078272713e+01, 1.692977695427721141e+00, 1.486455549079620120e+01
1.873000000000000000e+03, 6.197036088438129475e+00, 5.944631509221524723e+00, 5.661125563800761817e+00, 5.318051385146202392e+01, 7.048661721466550034e+01, 9.446449992692116382e+00, 4.709983049374537956e+01, 1.486888656928912233e+01, 1.133895099363343562e+01, 8.870819658346325909e+00, 5.883762441918763386e+01, 1.545984407662436722e+00, 1.489034267824237467e+01
1.874000000000000000e+03, 6.148753568370285194e+00, 5.965619648649055584e+00, 5.772783232053672720e+00, 5.301572119299233776e+01, 7.044669287321541162e+01, 9.548451102440255411e+00, 4.731351044638185499e+01, 1.481177165431142484e+01, 1.152991278397756503e+01, 8.931885188677746612e+00, 5.885678576200133705e+01, 1.779744140371505301e+00, 1.492121491088260044e+01
1.875000000000000000e+03, 6.075204666802897613e+00, 6.036096291723623608e+00, 5.701432586828123483e+00, 5.294326182055661434e+01, 7.039368474345555171e+01, 9.441691487611794997e+00, 4.730210340103329258e+01, 1.480500758128849625e+01, 1.157651897419920317e+01, 8.937036693508490615e+00, 5.877003306340674982e+01, 1.919336875418818256e+00, 1.497198490365744661e+01
1.876000000000000000e+03, 6.089376910708423019e+00, 6.004077157588062263e+00, 5.740675973698631473e+00, 5.286476496085170140e+01, 7.016849783249064387e+01, 9.458141663743381500e+00, 4.733010986225584560e+01, 1.485854963312050891e+01, 1.178836353045333318e+01, 8.974563102288417582e+00, 5.877157683732123417e+01, 1.638845658976808783e+00, 1.499652699367638142e+01
1.877000000000000000e+03, 6.103285438823021103e+00, 5.977171287262405208e+00, 5.702776954844449797e+00, 5.276313225959789577e+01, 7.004408790071164503e+01, 9.488152255324370898e+00, 4.736732667887967807e+01, 1.491738772731842388e+01, 1.198578540562520267e+01, 8.931402196069996080e+00, 5.881388098517383156e+01, 1.679903068706968927e+00, 1.496664630013547281e+01
1.878000000000000000e+03, 6.030203333208312699e+00, 5.932803334918506089e+00, 5.551243658712351703e+00, 5.252481290637510369e+01, 7.004965927522813729e+01, 9.072340643422402096e+00, 4.746879831966505492e+01, 1.509358821309305299e+01, 1.198026553610470835e+01, 8.880845800752878105e+00, 5.881334582339859907e+01, 1.728692685004536322e+00, 1.495442857496613875e+01
1.879000000000000000e+03, 6.091250847971076965e+00, 5.892449745898105107e+00, 5.512223228996758984e+00, 5.244571172443134799e+01, 7.020231000214683093e+01, 9.319788367173167387e+00, 4.757340728940339147e+01, 1.520393249400966162e+01, 1.198758089285934858e+01, 8.890731432924729560e+00, 5.876936348167652113e+01, 1.681458808791865156e+00, 1.504319797078953869e+01
1.880000000000000000e+03, 6.170532292859459034e+00, 6.014862539143247311e+00, 5.578676215026531438e+00, 5.239487292711467603e+01, 7.014135840184762571e+01, 9.753303948823374370e+00, 4.768692855900162186e+01, 1.516180753642235501e+01, 1.181304728281307703e+01, 8.859353713826955357e+00, 5.871403054070895422e+01, 1.839674574850957312e+00, 1.501876003090745293e+01
1.881000000000000000e+03, 6.158339226373885644e+00, 6.116924587798215462e+00, 5.616589805799826252e+00, 5.233444232474867874e+01, 7.003418216285706421e+01, 9.523782530502447941e+00, 4.776193489419072336e+01, 1.513597281728064381e+01, 1.149530433326417977e+01, 8.827042788523598915e+00, 5.877613638249343353e+01, 1.648665909026872489e+00, 1.506950448253641817e+01
1.882000000000000000e+03, 6.137335399348565979e+00, 6.012392435043558692e+00, 5.705425662928717223e+00, 5.249604534779865617e+01, 7.007024670875902927e+01, 8.901007254197542906e+00, 4.798855082184341114e+01, 1.532044091032018684e+01, 1.133730012447739277e+01, 8.826385097178603090e+00, 5.877645929486605070e+01, 1.791321489689196911e+00, 1.507295349920353900e+01
1.883000000000000000e+03, 6.205247599809186276e+00, 5.967816436657572332e+00, 5.696089859554379409e+00, 5.260260220866704373e+01, 7.003619842472700441e+01, 9.373452865237442921e+00, 4.794958405792575462e+01, 1.560298768789113311e+01, 1.132578793422210595e+01, 8.827711432764768773e+00, 5.864347547940958805e+01, 1.987015835929378582e+00, 1.508529265630291682e+01
1.884000000000000000e+03, 6.256985547364852351e+00, 6.060275230536524838e+00, 5.557534307320459277e+00, 5.252252585155250131e+01, 7.027308613290576034e+01, 9.204570353206179334e+00, 4.787623145240984002e+01, 1.544840943897539987e+01, 1.144127715911188226e+01, 8.837449878897947642e+00, 5.859233409307583429e+01, 1.820859933182815915e+00, 1.511918367719921719e+01
1.885000000000000000e+03, 6.240930619034600113e+00, 6.085499969866967618e+00, 5.624298670322369631e+00, 5.269220707799357228e+01, 7.057385757305124230e+01, 9.307327411933151495e+00, 4.808741222563471496e+01, 1.560444498578718076e+01, 1.164413753682002373e+01, 8.979752920066230715e+00, 5.869079601441179506e+01, 1.782380585729493871e+00, 1.515963660486345610e+01
1.886000000000000000e+03, 6.239335291998481026e+00, 6.111115206870580963e+00, 5.698108379080740526e+00, 5.262938312330798851e+01, 7.067592755334419508e+01, 9.267790095338483525e+00, 4.826207612511552014e+01, 1.575262367105964678e+01, 1.184923988700739450e+01, 9.080226950187856971e+00, 5.887637761189239427e+01, 1.673316867425550747e+00, 1.512890764449894832e+01
1.887000000000000000e+03, 6.164231279733418667e+00, 6.045197018284074630e+00, 5.775417024205318661e+00, 5.264071516396972328e+01, 7.062108539699040932e+01, 9.401178398812742643e+00, 4.835799597273404515e+01, 1.582787364451020551e+01, 1.190111847019760738e+01, 9.087680174016815826e+00, 5.888210453124070654e+01, 1.787775747363203882e+00, 1.513711361902324448e+01
1.888000000000000000e+03, 6.099475358222966825e+00, 6.043152714766039324e+00, 5.774306892629524235e+00, 5.262759051234230157e+01, 7.051568093951888727e+01, 9.633260166794421764e+00, 4.840377894807566150e+01, 1.590014046961672811e+01, 1.175254757769394587e+01, 9.066105425890985003e+00, 5.885697448592032544e+01, 1.731611972524911502e+00, 1.516733818072472317e+01
1.889000000000000000e+03, 6.063729503961757139e+00, 6.004307737419440016e+00, 5.772828220837918245e+00, 5.258976588533882790e+01, 7.049123088974860707e+01, 9.914320860215728004e+00, 4.849728725045094535e+01, 1.591482325374878215e+01, 1.163899469135059483e+01, 9.044944621595440992e+00, 5.868160290105511478e+01, 1.757644347194670775e+00, 1.514817972068843588e+01
1.890000000000000000e+03, 6.098889972907705292e+00, 6.012209638673163603e+00, 5.758539739447005701e+00, 5.246384458383671756e+01, 7.067495513846159838e+01, 9.657807886396192032e+00, 4.872586621657232087e+01, 1.599566421050499265e+01, 1.158462597055172871e+01, 9.064659003704171880e+00, 5.857876726551246094e+01, 1.684022505299977546e+00, 1.518737748417834332e+01
1.891000000000000000e+03, 6.133742783929180931e+00, 6.040772301682935108e+00, 5.797410988941338772e+00, 5.266572852030524388e+01, 7.091611607301872766e+01, 9.371326425316206965e+00, 4.871826884604500663e+01, 1.604725470798920028e+01, 1.136162742339393894e+01, 9.058384501311783410e+00, 5.857870646764972378e+01, 1.917505969770015417e+00, 1.517171173150689079e+01
1.892000000000000000e+03, 6.213956423303321763e+00, 6.125813245098660431e+00, 5.717076154718679248e+00, 5.261478483621606728e+01, 7.085997331802298049e+01, 9.630267483546449014e+00, 4.891192859620148425e+01, 1.590921981728844159e+01, 1.165525810517255501e+01, 9.068763014958822311e+00, 5.862380053752373499e+01, 1.942345729723601755e+00, 1.516157689777824658e+01
1.893000000000000000e+03, 6.301029080494028989e+00, 6.127258086045881846e+00, 5.700720355082772528e+00, 5.244041540240111487e+01, 7.072600826949692987e+01, 9.569977228880999220e+00, 4.904577716005866250e+01, 1.598902171018723450e+01, 1.185097461673245256e+01, 9.064998499451938585e+00, 5.845294412354498803e+01, 1.741390657820059973e+00, 1.512912391019515290e+01
1.894000000000000000e+03, 6.313301470649753888e+00, 6.062743973348839965e+00, 5.707343356669489332e+00, 5.232953547323729282e+01, 7.058298782313855213e+01, 9.395744812754776021e+00, 4.906010588764889491e+01, 1.603361654592190888e+01, 1.140976060159115768e+01, 9.067904480019914004e+00, 5.833793925372528122e+01, 1.519833403680864281e+00, 1.509879297866593362e+01
1.895000000000000000e+03, 6.251310117956625056e+00, 6.095372873490481958e+00, 5.665871858613574119e+00, 5.227810232661696688e+01, 7.064706239196100057e+01, 9.781321863669656835e+00, 4.914665592446037579e+01, 1.599272748053146209e+01, 1.096639549399303881e+01, 9.115484910858771883e+00, 5.831870446724035162e+01, 1.924050052976226555e+00, 1.508595237821267077e+01
1.896000000000000000e+03, 6.213439215345402111e+00, 6.166451798651723770e+00, 5.678498069766894751e+00, 5.218947451692882566e+01, 7.077811614505995408e+01, 1.028866803197925783e+01, 4.924785759345235903e+01, 1.587480353983160342e+01, 1.103413666982017638e+01, 9.082946924225019814e+00, 5.822018955265154716e+01, 1.906612660833069350e+00, 1.509998429791149377e+01
1.897000000000000000e+03, 6.154230729484930329e+00, 6.130242352568383346e+00, 5.768231201511211381e+00, 5.219533102445412709e+01, 7.092202556131780966e+01, 9.732956833001981778e+00, 4.944070564264301026e+01, 1.605184795525279995e+01, 1.104720147386452567e+01, 9.135034626124092227e+00, 5.807201176551820510e+01, 1.794088082364238890e+00, 1.511692686364013660e+01
1.898000000000000000e+03, 6.124368955667826242e+00, 5.965843666642073551e+00, 5.850094121629053845e+00, 5.218680396453981984e+01, 7.066893896903235373e+01, 9.682042660645095111e+00, 4.950775703466953104e+01, 1.626559433623382844e+01, 1.131543455393137876e+01, 9.213224703452539188e+00, 5.806202243142390529e+01, 1.818195753267067172e+00, 1.513401672029820944e+01
1.899000000000000000e+03, 6.210528637478195613e+00, 6.011914732343712764e+00, 5.897230021590235793e+00, 5.214510141968627721e+01, 7.041929772611166527e+01, 9.479581301758296163e+00, 4.951890926224628231e+01, 1.600969600757374067e+01, 1.123656012799651371e+01, 9.256151000670872264e+00, 5.809468147489809553e+01, 1.654329994215472777e+00, 1.514363109892495984e+01
1.900000000000000000e+03, 6.308569223718461849e+00, 6.144295446868481392e+00, 5.870211099398891186e+00, 5.210528752290323240e+01, 7.027461670008266026e+01, 9.208640860155687946e+00, 4.958839098275992541e+01, 1.596582686216032521e+01, 1.139477185239025481e+01, 9.232544973028876001e+00, 5.808719932440741474e+01, 1.681604007207492257e+00, 1.511343554968125780e+01
1.901000000000000000e+03, 6.369093682190766437e+00, 6.152210814770131542e+00, 5.805163785633878248e+00, 5.216230249224401661e+01, 7.018296964366362545e+01, 9.199323310715584512e+00, 4.962202571383633654e+01, 1.621638583473454531e+01, 1.144830534033663305e+01, 9.199341090376822905e+00, 5.802831745056688106e+01, 1.877426961333077404e+00, 1.514337812270545491e+01
1.902000000000000000e+03, 6.344925450555906288e+00, 6.151587281174530020e+00, 5.762113141486826073e+00, 5.202483887560976683e+01, 6.988988576365865413e+01, 9.166008071535488355e+00, 4.989587011958444407e+01, 1.642732151088778281e+01, 1.129749665175455320e+01, 9.094326807349448316e+00, 5.794045542265895676e+01, 1.700344161345633598e+00, 1.520465549615348522e+01
1.903000000000000000e+03, 6.275036397795176413e+00, 6.167902964432289359e+00, 5.792346834822245327e+00, 5.204505810533227361e+01, 6.974847852770652423e+01, 9.801652365807861145e+00, 4.993120696791470436e+01, 1.668789019178091237e+01, 1.138286159907327644e+01, 9.127488841164696609e+00, 5.797082424354886143e+01, 1.815082854011721425e+00, 1.527406447816398405e+01
1.904000000000000000e+03, 6.253146888040546969e+00, 6.071911698550304770e+00, 5.754139024544933534e+00, 5.196728734051106358e+01, 6.989281235240663648e+01, 9.961009751775186771e+00, 5.024793749123909947e+01, 1.672242276340433165e+01, 1.171479899928051793e+01, 9.176382185154714932e+00, 5.798757496457432126e+01, 1.913583259265999814e+00, 1.527288566101949030e+01
1.905000000000000000e+03, 6.359205750121373235e+00, 6.138944874094917736e+00, 5.719316939808536837e+00, 5.187386837674029039e+01, 7.002014370033528223e+01, 9.495243782137409383e+00, 5.035484346501088027e+01, 1.671834229257170534e+01, 1.160848739575161659e+01, 9.209011993044182276e+00, 5.799848124483572320e+01, 1.827529523897310826e+00, 1.535021085063185353e+01
1.906000000000000000e+03, 6.336350571518437391e+00, 6.168377671727204081e+00, 5.616562914773498782e+00, 5.179757506588916982e+01, 7.004320017708830903e+01, 9.329970130781228832e+00, 5.031106748369507642e+01, 1.670398168750736900e+01, 1.170592361505879886e+01, 9.167678768679376589e+00, 5.799982857312947715e+01, 1.843647854763947436e+00, 1.526561570092274778e+01
1.907000000000000000e+03, 6.373108961118517435e+00, 6.219522483783275213e+00, 5.640273256691238579e+00, 5.176246691831528324e+01, 7.003707088156869531e+01, 9.661892882097609103e+00, 5.052177824676152085e+01, 1.672308974907345203e+01, 1.182589676451645211e+01, 9.151581431164657943e+00, 5.801551708447881595e+01, 1.853115797521821317e+00, 1.523806213571722346e+01
1.908000000000000000e+03, 6.458047033762324141e+00, 6.233202187740133127e+00, 5.716765826726110333e+00, 5.160686972793073579e+01, 6.981733013194597959e+01, 9.416826204983399506e+00, 5.062077434342972992e+01, 1.672892572912004994e+01, 1.171570365606067909e+01, 9.152129970226740241e+00, 5.807761479551746930e+01, 1.707514720555673771e+00, 1.518586987333405425e+01
1.909000000000000000e+03, 6.440587812009798796e+00, 6.114880080308568111e+00, 5.577647241746492845e+00, 5.147665746573203904e+01, 6.976127361238107483e+01, 9.119413572655670208e+00, 5.071107012078034870e+01, 1.665092714897294002e+01, 1.141896498793932757e+01, 9.101566274144589741e+00, 5.804439028166556369e+01, 1.853671647471669903e+00, 1.524733694458842592e+01
1.910000000000000000e+03, 6.348747183095128754e+00, 6.073964050518442903e+00, 5.596742519833543206e+00, 5.151368026838441949e+01, 6.985000524778055819e+01, 9.071499520700646357e+00, 5.085909452503626227e+01, 1.660953202763779402e+01, 1.146202410106217506e+01, 9.054109946117470997e+00, 5.805425609088624839e+01, 1.969773445316508553e+00, 1.524283924807132529e+01
1.911000000000000000e+03, 6.206969501258335242e+00, 6.085869873743652292e+00, 5.710308778612294134e+00, 5.142239256686380600e+01, 6.966137068632068008e+01, 9.302210012049918930e+00, 5.108533779030391742e+01, 1.670659263192016653e+01, 1.155628662613149160e+01, 9.023719127733309975e+00, 5.795842064472468280e+01, 1.874074916196329710e+00, 1.523802803921602056e+01
1.912000000000000000e+03, 6.170024959114070562e+00, 6.057395762074171408e+00, 5.731843511466918173e+00, 5.142278204921990437e+01, 6.942481735254786201e+01, 9.993738334190519268e+00, 5.106877412420730167e+01, 1.671145405375714432e+01, 1.159829863575821207e+01, 8.978999052975689565e+00, 5.794329313526346681e+01, 1.832909370505756863e+00, 1.525311288398411769e+01
1.913000000000000000e+03, 6.315220918685677809e+00, 6.058487615996309472e+00, 5.872629243617220496e+00, 5.144738765677769265e+01, 6.949337690602241935e+01, 9.507367554488599382e+00, 5.143266758622983303e+01, 1.677958750094208540e+01, 1.169061934865768748e+01, 9.069736444589091562e+00, 5.796157435232107957e+01, 1.690645892370962189e+00, 1.533581835680692507e+01
1.914000000000000000e+03, 6.268540030140409947e+00, 6.048548490555098134e+00, 5.944456193963405966e+00, 5.141906956396620387e+01, 6.970027071592113543e+01, 9.611231394905374259e+00, 5.152050539321518130e+01, 1.673877956482797913e+01, 1.167924427455861291e+01, 9.127510766548560639e+00, 5.781824022401187335e+01, 1.817937270515603165e+00, 1.537732349495928297e+01
1.915000000000000000e+03, 6.278709348760165732e+00, 6.061743527330973436e+00, 5.937041165236205842e+00, 5.150080209390880270e+01, 6.967026016186133575e+01, 9.443967842863004947e+00, 5.144847545411622747e+01, 1.691007843327005133e+01, 1.176928499720048293e+01, 9.163160745344795188e+00, 5.776312226530394867e+01, 1.875732038949224023e+00, 1.534711970710645623e+01
1.916000000000000000e+03, 6.285648577312620056e+00, 6.032649089732127656e+00, 5.928347382639013396e+00, 5.136241989134293817e+01, 6.934311908697955573e+01, 9.208899163395859233e+00, 5.144393026119837486e+01, 1.711189917558931484e+01, 1.176376594328994685e+01, 9.203328699787386213e+00, 5.784680606706783124e+01, 1.781290927309281624e+00, 1.537683807608480180e+01
1.917000000000000000e+03, 6.447134236318446732e+00, 5.989579455949179732e+00, 5.978728531212087027e+00, 5.128500979848080021e+01, 6.906621583151734001e+01, 9.700738024335501919e+00, 5.150947328276908621e+01, 1.714432078764117406e+01, 1.154883050048766613e+01, 9.141661202489963500e+00, 5.780660829904065423e+01, 1.783390670457859262e+00, 1.532924197819805379e+01
1.918000000000000000e+03, 6.497233941506745936e+00, 6.115203211935461347e+00, 5.949387050855386327e+00, 5.127614776561149768e+01, 6.903614371846875031e+01, 1.005807520165162039e+01, 5.178589928116247876e+01, 1.706208136668571740e+01, 1.156306955082362542e+01, 9.085377415317005045e+00, 5.782670831445371107e+01, 1.819984657800254757e+00, 1.543192955112746922e+01
1.919000000000000000e+03, 6.399805186843343208e+00, 6.136040386122148860e+00, 5.720637433128098692e+00, 5.107466608776417871e+01, 6.912736136160245337e+01, 9.403402649268310043e+00, 5.208039755065155418e+01, 1.724414390737682723e+01, 1.159174728798587850e+01, 9.051657174251220184e+00, 5.780043618528546290e+01, 1.799948917848092522e+00, 1.544135600062276836e+01
1.920000000000000000e+03, 6.399399441527337196e+00, 6.233235047186804323e+00, 5.609235773474253506e+00, 5.096442529265819132e+01, 6.919698228485084712e+01, 9.458411433627054166e+00, 5.225104945923818889e+01, 1.731335131564772212e+01, 1.135305430128430970e+01, 9.036905992816842925e+00, 5.761823602455354632e+01, 1.742694167655754134e+00, 1.542932183068493934e+01
