year, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, UKESM1-0-LL, TaiESM1, INM-CM4-8, CanESM5, NorESM2-MM
1.850000000000000000e+03, 1.132143730437763480e+02, 6.043082836704802929e+01, 8.478124655144773669e+01, 6.813011279017491972e+01, 4.580822139463771236e+01, 9.923144852790942139e+01, 4.588446503112951547e+01, 6.494657285845025285e+01, 7.129429495069425116e+01, 9.945292530537611242e+01, 9.079132660525803544e+01, 7.747395305119142961e+01, 5.018787750329961028e+01, 1.121513944398772651e+02, 7.348521294427401074e+01, 6.686062620806659140e+01
1.851000000000000000e+03, 1.131129434933721569e+02, 6.101575502590533517e+01, 8.479568407067596070e+01, 6.778230701989664908e+01, 4.553139969756288963e+01, 9.874099143073679841e+01, 4.566288668981423626e+01, 6.488562838651459685e+01, 7.114622700268672872e+01, 9.924020297746608321e+01, 9.046843124440766815e+01, 7.759480062851915250e+01, 4.969655717159302100e+01, 1.121845155386921107e+02, 7.322123936192670612e+01, 6.684042752828621303e+01
1.852000000000000000e+03, 1.130261648407520028e+02, 6.093039746031118398e+01, 8.447823172926457858e+01, 6.769060100273111402e+01, 4.537103651819968775e+01, 9.836914721811209006e+01, 4.553455819240509328e+01, 6.487482792511391949e+01, 7.093949276060756404e+01, 9.895850679625321789e+01, 8.999936867252647232e+01, 7.750786655592989405e+01, 4.921149225608897382e+01, 1.124472711304968300e+02, 7.294355869184641961e+01, 6.673075916901191817e+01
1.853000000000000000e+03, 1.127753023910498769e+02, 6.074881976877453837e+01, 8.430112719425383716e+01, 6.737668327669048551e+01, 4.545156712227075957e+01, 9.826007101486914053e+01, 4.555756898398716004e+01, 6.480294332163300908e+01, 7.088717843801008200e+01, 9.847930226083171590e+01, 8.990526235591345028e+01, 7.761549279503228149e+01, 4.957875413711325052e+01, 1.124973657898132302e+02, 7.298358227541623933e+01, 6.647649455633555249e+01
1.854000000000000000e+03, 1.123773844937525723e+02, 6.126871051664929269e+01, 8.383002566773497222e+01, 6.673927562413315684e+01, 4.565815232949098146e+01, 9.825790205097317198e+01, 4.548427790714328722e+01, 6.468292819898184121e+01, 7.079984856161537721e+01, 9.811090287141662714e+01, 8.956263795473594769e+01, 7.782431512750852676e+01, 4.973186116204808371e+01, 1.123666837743072193e+02, 7.314379213658541801e+01, 6.652984028014934381e+01
1.855000000000000000e+03, 1.123620146801227264e+02, 6.063397609804095367e+01, 8.357593228333399793e+01, 6.684962139479108600e+01, 4.571625655798312948e+01, 9.797918343850507483e+01, 4.539058084027703899e+01, 6.467413734692789262e+01, 7.061347833127695139e+01, 9.797360202474925472e+01, 8.934572569839383505e+01, 7.781441003400531997e+01, 4.984249375871062426e+01, 1.123633946870412217e+02, 7.283105104697219190e+01, 6.660713054518772935e+01
1.856000000000000000e+03, 1.125457177467893075e+02, 6.024042675634198929e+01, 8.360122829599404781e+01, 6.603287371059558097e+01, 4.545003915714985254e+01, 9.776741075751563415e+01, 4.525777131970274780e+01, 6.462869429627571094e+01, 7.051955685844895072e+01, 9.781279219009728365e+01, 8.916265279586770021e+01, 7.778099643924916506e+01, 4.962283718772144425e+01, 1.123401741967944361e+02, 7.237462079926891079e+01, 6.637912159628179154e+01
1.857000000000000000e+03, 1.126037438103094530e+02, 6.065627577105146884e+01, 8.377289601338129899e+01, 6.629550364724903488e+01, 4.535562682641594989e+01, 9.769329431354296389e+01, 4.528562869802468072e+01, 6.454188567476168714e+01, 7.056614519638877425e+01, 9.754350830515411985e+01, 8.906091938497152682e+01, 7.776353711758036980e+01, 4.985907146670646739e+01, 1.121111483967760591e+02, 7.187735148294996179e+01, 6.614333391650747274e+01
1.858000000000000000e+03, 1.125923856784310857e+02, 6.087287041238274554e+01, 8.381610073217142087e+01, 6.647920969978093808e+01, 4.543308548040160844e+01, 9.764554468230818429e+01, 4.524022409739134076e+01, 6.437481925425518625e+01, 7.048128049992551780e+01, 9.712328932356918187e+01, 8.885114433383232324e+01, 7.784827331096626324e+01, 4.969085621675642983e+01, 1.121656542057846480e+02, 7.168174883209594839e+01, 6.613871527857025967e+01
1.859000000000000000e+03, 1.126099884339028137e+02, 6.063124181844518290e+01, 8.361901542458572578e+01, 6.632449610567142884e+01, 4.533649581051102473e+01, 9.760395921814021847e+01, 4.518056106388688420e+01, 6.411216892763778219e+01, 7.030403544871234089e+01, 9.693423150801180554e+01, 8.872973130921923257e+01, 7.785753599744046483e+01, 4.950436612699991912e+01, 1.122100703225010534e+02, 7.177070121882684361e+01, 6.621688343305055469e+01
1.860000000000000000e+03, 1.126952769485486527e+02, 6.018546266808424150e+01, 8.348272019108922848e+01, 6.567976866343528286e+01, 4.505745625408096799e+01, 9.748776062613771387e+01, 4.497320815446760633e+01, 6.382507594972389597e+01, 7.022394037171392256e+01, 9.653431411994561984e+01, 8.820624031062574488e+01, 7.781548917176718305e+01, 4.950463243346338515e+01, 1.123971726114879317e+02, 7.190249425867281730e+01, 6.604844089139477603e+01
1.861000000000000000e+03, 1.128856096057633351e+02, 5.980130510763338236e+01, 8.350069311228607205e+01, 6.571432125888098597e+01, 4.520083258115491986e+01, 9.760636379970191001e+01, 4.502215231891785407e+01, 6.360056302305115850e+01, 7.014376858181060470e+01, 9.619480463520454805e+01, 8.801089280800300685e+01, 7.749195177249015387e+01, 4.949123772614175465e+01, 1.124216010204192742e+02, 7.176484566229085260e+01, 6.600911218285017412e+01
1.862000000000000000e+03, 1.128571358614740490e+02, 5.998644982951698523e+01, 8.326724117847972195e+01, 6.541051919042403995e+01, 4.522039678729897361e+01, 9.786920680935601524e+01, 4.491562555975689719e+01, 6.357678313752263222e+01, 6.998308993870999473e+01, 9.619150550809322908e+01, 8.797778199309001934e+01, 7.754394546274032507e+01, 4.957359060190493949e+01, 1.124406129659190441e+02, 7.157683132773883017e+01, 6.593394073975650826e+01
