year, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL
1.850000000000000000e+03, -2.543283505596497032e-10, 8.036751177080677190e-14, 0.000000000000000000e+00, 1.612165922523000232e-10
1.851000000000000000e+03, -3.586674385027337465e-10, 5.659770919767423904e-11, 1.858920544447933430e-10, 1.734249955663161543e-10
1.852000000000000000e+03, -3.481176439251259819e-10, 6.075182404502517569e-11, 1.973236302296244707e-10, 1.726748325291010971e-10
1.853000000000000000e+03, -3.662518071187438107e-10, 6.381247720305898411e-11, 2.061730461502797289e-10, 2.014187530254484037e-10
1.854000000000000000e+03, -3.720915021658789799e-10, 6.677198373051151060e-11, 2.169411116979977266e-10, 2.054266925177840039e-10
1.855000000000000000e+03, -3.830108359026426985e-10, 6.874518075742262782e-11, 2.267309360654721203e-10, 1.970844716183675091e-10
1.856000000000000000e+03, -4.042315987550688303e-10, 7.063455168665822935e-11, 2.380770917189047135e-10, 2.076792552757123167e-10
1.857000000000000000e+03, -4.278317770382963903e-10, 7.260182217881821660e-11, 2.487001161288385184e-10, 2.231554127351128474e-10
1.858000000000000000e+03, -4.223418838276581998e-10, 7.372439948827553077e-11, 2.591649021054114116e-10, 2.287771622488993577e-10
1.859000000000000000e+03, -4.390974445701774693e-10, 7.415850946501453951e-11, 2.688837409969599699e-10, 2.423983128745631911e-10
1.860000000000000000e+03, -4.558061900782426896e-10, 7.499902165951845312e-11, 2.795370700663407383e-10, 2.188719912735732453e-10
1.861000000000000000e+03, -4.128697928904787746e-10, 4.096419053785611990e-11, 1.625517610027263604e-10, 2.010351101897784897e-10
1.862000000000000000e+03, -4.067974764242628979e-10, 3.937584307180900470e-11, 1.562801016577248857e-10, 2.380144402006468406e-10
1.863000000000000000e+03, -4.223360718421831606e-10, 3.835560319352619260e-11, 1.511595428781329013e-10, 2.284114961627481736e-10
1.864000000000000000e+03, -4.131608073704856195e-10, 3.789975281372805014e-11, 1.455547404936943995e-10, 2.268800932717619618e-10
1.865000000000000000e+03, -4.112649619801275982e-10, 3.759175506994347293e-11, 1.404706793299940813e-10, 2.404772947954263199e-10
1.866000000000000000e+03, -4.134043843677362593e-10, 3.756471813040159889e-11, 1.353323683998241691e-10, 2.211929882523468329e-10
1.867000000000000000e+03, -4.114054877681897781e-10, 3.767764570456556589e-11, 1.296994707341657485e-10, 2.396325479987357850e-10
1.868000000000000000e+03, -4.336428831176327392e-10, 3.720159560317027473e-11, 1.240392759406854772e-10, 2.357859617543181067e-10
1.869000000000000000e+03, -4.168047729910462677e-10, 3.790437167543692962e-11, 1.182587694345940966e-10, 2.213149043712606534e-10
1.870000000000000000e+03, -4.389399692702105024e-10, 3.818208282677081964e-11, 1.129746979561847047e-10, 2.062585334088594472e-10
1.871000000000000000e+03, -5.560003665915841264e-10, 9.748763805543404922e-11, 3.419184729608476653e-10, 2.594903183560064282e-10
1.872000000000000000e+03, -5.523000585639075476e-10, 1.029494111315422610e-10, 3.577677942632706531e-10, 2.487051789665144902e-10
1.873000000000000000e+03, -5.770551686663778110e-10, 1.068393569034192705e-10, 3.764111851952880898e-10, 2.715668641296418700e-10
1.874000000000000000e+03, -5.961455628541244843e-10, 1.100898219612314198e-10, 3.978392417248406002e-10, 2.744700313179867955e-10
1.875000000000000000e+03, -5.922563526164985825e-10, 1.126752553496596620e-10, 4.121899890957799803e-10, 2.686855208816356478e-10
1.876000000000000000e+03, -6.122809277149360839e-10, 1.147188523668433075e-10, 4.262416535616706907e-10, 2.635739354578058541e-10
1.877000000000000000e+03, -6.386823977275127085e-10, 1.172352037686554941e-10, 4.473644242835196331e-10, 2.788926980872871995e-10
1.878000000000000000e+03, -6.800368654534025653e-10, 1.198370131778321197e-10, 4.654970273242499578e-10, 2.588848034767837020e-10
1.879000000000000000e+03, -6.836041918283462062e-10, 1.217900481272067060e-10, 4.821506709915806100e-10, 3.015206349209206491e-10
1.880000000000000000e+03, -7.030255040219573966e-10, 1.231318415384086961e-10, 5.004577349035556916e-10, 3.284021727871809611e-10
1.881000000000000000e+03, -6.738662656147739478e-10, 9.425349807547661265e-11, 3.483725726673857775e-10, 2.821097472716674243e-10
1.882000000000000000e+03, -6.945370206304880475e-10, 9.354545227476947057e-11, 3.439593295039334098e-10, 2.764474257866747338e-10
1.883000000000000000e+03, -7.071713211203683040e-10, 9.397188992519611059e-11, 3.385567983896927917e-10, 3.513325151592963238e-10
1.884000000000000000e+03, -6.897902056894251964e-10, 9.383332157645999597e-11, 3.335040834664606894e-10, 3.738907885513243085e-10
1.885000000000000000e+03, -6.932150645728632147e-10, 9.387116781332009274e-11, 3.281482492891238866e-10, 3.983032566750848739e-10
1.886000000000000000e+03, -7.468282740687678863e-10, 9.493850829998175574e-11, 3.230544963896328254e-10, 3.457900625286888171e-10
1.887000000000000000e+03, -7.773637899273282750e-10, 9.559793405050128385e-11, 3.169386006192185783e-10, 3.296952273427529113e-10
1.888000000000000000e+03, -7.620272226680457612e-10, 9.709887420015227457e-11, 3.122063403409102182e-10, 4.022526926613226895e-10
