year, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg
1.850000000000000000e+03, 7.552878700315422660e-10, 1.241063404428692741e-10, 5.660025098834886365e-10, 1.353357626216784890e-10, 2.657424306822883205e-10, 2.657424306822883205e-10, 5.660025098834886365e-10, 1.241063404428692741e-10, 7.558383668997325702e-10, 5.363639114754334168e-10, 6.444840059694004753e-11, 6.448316286685323024e-10
1.851000000000000000e+03, 6.416070705966287256e-10, 1.404475333828461302e-10, 3.926458417918518376e-10, 1.767984810916458425e-10, 3.170155864099768509e-10, 3.170155864099768509e-10, 3.926458417918518376e-10, 1.404475333828461302e-10, 6.421805643419443048e-10, 4.820083105570759424e-10, 1.074597612802790166e-10, 6.345161559313647670e-10
1.852000000000000000e+03, 8.190998372234425478e-10, 2.627257959029135628e-10, 5.175981032773520035e-10, 2.244583155197860889e-10, 2.141409929874829685e-10, 2.141409929874829685e-10, 5.175981032773520035e-10, 2.627257959029135628e-10, 8.197050923004553562e-10, 4.113410183580900069e-10, 9.765187107045542631e-11, 6.661836903378731571e-10
1.853000000000000000e+03, 6.519164542618880098e-10, 1.736021904842024866e-10, 6.019666407366312857e-10, 1.139865862637702606e-10, 2.076146994331385480e-10, 2.076146994331385480e-10, 6.019666407366312857e-10, 1.736021904842024866e-10, 6.525717473244104736e-10, 3.853729684963459949e-10, 1.181720372189861900e-10, 7.621811814953474697e-10
1.854000000000000000e+03, 9.598085430561529080e-10, 1.255208393011150651e-10, 4.974685792735980293e-10, 1.084710204181401571e-10, 2.189550324450341691e-10, 2.189550324450341691e-10, 4.974685792735980293e-10, 1.255208393011150651e-10, 9.604715769686207664e-10, 4.076728685292446581e-10, 1.309480883223030470e-10, 6.483816898724917315e-10
1.855000000000000000e+03, 6.608251692944516156e-10, 1.814869406630746249e-10, 4.502789186955953352e-10, 1.497327384293151649e-10, 2.538743068040176060e-10, 2.538743068040176060e-10, 4.502789186955953352e-10, 1.814869406630746249e-10, 6.615047576127209231e-10, 4.343862215850123680e-10, 1.119303579089763036e-10, 6.681661186322237319e-10
1.856000000000000000e+03, 7.610390861772093764e-10, 1.968536535650982384e-10, 4.331542489837984935e-10, 9.592126038755515229e-11, 2.637603556836508761e-10, 2.637603556836508761e-10, 4.331542489837984935e-10, 1.968536535650982384e-10, 7.617180678605919720e-10, 5.384113407387869321e-10, 8.635145407446673134e-11, 5.314486958911496303e-10
1.857000000000000000e+03, 4.968625573718739077e-10, 1.675225451422040014e-10, 5.099773828955205497e-10, 1.429934793243070810e-10, 2.101758893301538031e-10, 2.101758893301538031e-10, 5.099773828955205497e-10, 1.675225451422040014e-10, 4.975837876492046881e-10, 3.695906824536400971e-10, 1.441414560332177831e-10, 4.685689521266808817e-10
1.858000000000000000e+03, 8.137438454674373754e-10, 1.345684282337493803e-10, 5.616475257657169118e-10, 1.566923507825860683e-10, 2.606587715650256241e-10, 2.606587715650256241e-10, 5.616475257657169118e-10, 1.345684282337493803e-10, 8.144778642169491274e-10, 4.568343941041484539e-10, 1.046874030601109915e-10, 8.177338953008819938e-10
1.859000000000000000e+03, 6.847393206411155625e-10, 1.345825401577628670e-10, 6.243635771131888034e-10, 1.953960559277431270e-10, 2.180646110420089105e-10, 2.180646110420089105e-10, 6.243635771131888034e-10, 1.345825401577628670e-10, 6.854982779407125138e-10, 5.912487948698703333e-10, 1.080323183428115578e-10, 8.542412043909475669e-10
